_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,CHILD_GO_down_common_genes,CHILD_GO_down_epi_only,CHILD_GO_down_mes_only,CHILD_GO_down_mes_up_epi,CHILD_GO_up_common_genes,CHILD_GO_up_epi_only,CHILD_GO_up_mes_down_epi,CHILD_GO_up_mes_only
1,1,1,1,1,1,1,1,-13.418027082746018,-21.629311583033466,-3.045844837468903,-4.553635717560756,-5.023819725091728,-4.149088654898046,-11.919665504320918,-10.902874780357147,GO:0008152,metabolic process,M11111111,8,GO:0016054 organic acid catabolic process,GO:0034660 ncRNA metabolic process,GO:0016485 protein processing,GO:0046777 protein autophosphorylation,GO:0042176 regulation of protein catabolic process,GO:0016310 phosphorylation,GO:0034660 ncRNA metabolic process,GO:0070085 glycosylation
1,0,1,1,1,1,0,1,-5.795097526460575,0.0,-3.3152478682055224,-3.638895020553682,-5.6240519053834355,-4.854875403301897,0.0,-2.477762632665586,GO:0065007,biological regulation,M10111101,6,GO:0051338 regulation of transferase activity,,GO:0050821 protein stabilization,GO:0090066 regulation of anatomical structure size,GO:0007599 hemostasis,GO:0090066 regulation of anatomical structure size,,GO:0043087 regulation of GTPase activity
1,1,1,1,1,1,1,1,-5.393638462381776,-2.058449876859865,-5.400127744983047,-8.19031462323395,-18.502431072168232,-8.358332839624277,-2.842332869825716,-6.696599069665733,GO:0032502,developmental process,M11111111,8,GO:0001841 neural tube formation,GO:0048644 muscle organ morphogenesis,GO:0048598 embryonic morphogenesis,GO:0030097 hemopoiesis,GO:0001944 vasculature development,GO:0032989 cellular anatomical entity morphogenesis,GO:0001649 osteoblast differentiation,GO:0001501 skeletal system development
1,1,1,1,1,1,1,1,-4.980941726987849,-22.24234159062509,-3.6372424450013203,-8.168839309646483,-22.68545331427946,-5.284322452917056,-10.175044374510124,-10.105762405845594,GO:0009987,cellular process,M11111111,8,GO:0022613 ribonucleoprotein complex biogenesis,GO:0042254 ribosome biogenesis,GO:0001667 ameboidal-type cell migration,GO:0098609 cell-cell adhesion,GO:0030029 actin filament-based process,GO:0034330 cell junction organization,GO:0042254 ribosome biogenesis,GO:0016050 vesicle organization
1,1,1,1,1,1,1,1,-4.085894840620753,-4.453064279595466,-3.596877064674692,-6.763645831071508,-4.543661727275051,-4.264611230214535,-2.3145601949621732,-3.639239310113989,GO:0048519,negative regulation of biological process,M11111111,8,GO:0045541 negative regulation of cholesterol biosynthetic process,GO:0006402 mRNA catabolic process,GO:0008285 negative regulation of cell population proliferation,GO:0032102 negative regulation of response to external stimulus,GO:0008285 negative regulation of cell population proliferation,GO:0043242 negative regulation of protein-containing complex disassembly,GO:2001243 negative regulation of intrinsic apoptotic signaling pathway,"GO:0043518 negative regulation of DNA damage response, signal transduction by p53 class mediator"
1,1,1,1,1,1,1,1,-3.882197348812356,-2.7468779422600176,-7.398265213507675,-7.753686417471089,-8.916159840960844,-8.266169277117577,-4.153480471248532,-6.961246554166363,GO:0050896,response to stimulus,M11111111,8,GO:0006979 response to oxidative stress,GO:0034599 cellular response to oxidative stress,GO:0036293 response to decreased oxygen levels,GO:0002831 regulation of response to biotic stimulus,GO:0042060 wound healing,GO:0043122 regulation of canonical NF-kappaB signal transduction,GO:0034976 response to endoplasmic reticulum stress,GO:0036503 ERAD pathway
1,1,1,1,1,1,1,1,-3.076833721262762,-2.195223142586148,-3.6530796789823645,-5.424226116526944,-7.433735987310224,-7.670435162676426,-2.4314985553892043,-2.442119898548188,GO:0050789,regulation of biological process,M11111111,8,GO:0010824 regulation of centrosome duplication,GO:1905818 regulation of chromosome separation,GO:0050804 modulation of chemical synaptic transmission,GO:0050678 regulation of epithelial cell proliferation,GO:0010810 regulation of cell-substrate adhesion,GO:0120035 regulation of plasma membrane bounded cell projection organization,GO:0033044 regulation of chromosome organization,GO:0043244 regulation of protein-containing complex disassembly
1,0,0,1,1,1,0,0,-3.0584419243439753,0.0,0.0,-2.0741855361521964,-3.738816207597633,-2.547676323823663,0.0,0.0,GO:0022414,reproductive process,M10011100,4,GO:0046661 male sex differentiation,,,GO:0045137 development of primary sexual characteristics,GO:0001893 maternal placenta development,GO:2000241 regulation of reproductive process,,
1,1,1,1,1,1,1,1,-2.881017911675246,-12.532416453564542,-4.226684385972157,-5.406738590650264,-5.910053146457891,-5.6902341394889655,-4.772298107993341,-25.09215266496945,GO:0051179,localization,M11111111,8,GO:0051168 nuclear export,GO:0006839 mitochondrial transport,GO:0051640 organelle localization,GO:0051668 localization within membrane,GO:0046888 negative regulation of hormone secretion,GO:0010970 transport along microtubule,GO:0160063 multi-pass transmembrane protein insertion into ER membrane,GO:0048193 Golgi vesicle transport
1,1,1,1,1,1,1,1,-2.759392464318091,-4.424754201815477,-3.7291624890793034,-9.988001854904374,-6.957285301410092,-8.31927065055785,-2.1152340421112985,-2.4313643038570216,GO:0048518,positive regulation of biological process,M11111111,8,GO:0033674 positive regulation of kinase activity,GO:0034250 positive regulation of amide metabolic process,GO:0045785 positive regulation of cell adhesion,GO:0032103 positive regulation of response to external stimulus,GO:0045785 positive regulation of cell adhesion,GO:0043123 positive regulation of canonical NF-kappaB signal transduction,GO:1903322 positive regulation of protein modification by small protein conjugation or removal,"GO:0141137 positive regulation of gene expression, epigenetic"
1,0,0,0,0,0,0,0,-2.477519390398545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GO:0098754,detoxification,M10000000,1,GO:1990748 cellular detoxification,,,,,,,
