_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,1,1,1,1,1,1,-2.4,0,-3.1,-3.7,-51,-6.8,-2.1,-13,M39175,M10111111,7,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-51,12,26,30286,680,246,66,27,2.8,60|87|633|800|861|1072|1277|1282|1289|1303|1462|1490|1499|2316|2335|3371|3589|3624|3685|3688|3976|3987|4017|4053|4134|4478|4627|5054|5216|5743|6251|6282|6498|7045|7094|7168|7171|8560|8728|8870|9645|9902|10096|10487|10652|11031|23012|25932|25960|26064|29995|30850|51026|51177|51330|55454|55740|55858|56937|60626|64778|80176|91010|114907|115908|162073,ACTB|ACTN1|BGN|CALD1|RUNX1|CFL1|COL1A1|COL4A1|COL5A1|COL12A1|VCAN|CCN2|CTNNB1|FLNA|FN1|TNC|IL11|INHBA|ITGAV|ITGB1|LIF|LIMS1|LOXL2|LTBP2|MAP4|MSN|MYH9|SERPINE1|PFN1|PTGS2|RSU1|S100A11|SKIL|TGFBI|TLN1|TPM1|TPM4|DEGS1|ADAM19|IER3|MICAL2|MRC2|ACTR3|CAP1|YKT6|RAB31|STK38L|CLIC4|ADGRA2|RAI14|LMCD1|CDR2L|GOLT1B|PLEKHO1|TNFRSF12A|CSGALNACT2|ENAH|TMEM165|PMEPA1|RIC8A|FNDC3B|SPSB1|FMNL3|FBXO32|CTHRC1|ITPRIPL2,-46,0
0,0,1,1,1,1,0,1,0,0,-3.2,-25,-27,-18,0,-3.5,M41700,M00111101,5,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-27,7.8,17,30286,726,246,46,19,2.5,60|87|861|965|1263|1462|1499|2120|2316|2354|2768|3597|3685|3987|4084|4478|4616|4627|4637|5045|5216|5271|5743|6282|6483|6498|7045|7171|7408|8036|8728|8870|10049|10092|10096|11031|22919|25797|25932|26286|55858|56937|57514|64778|80149|162073,ACTB|ACTN1|RUNX1|CD58|PLK3|VCAN|CTNNB1|ETV6|FLNA|FOSB|GNA12|IL13RA1|ITGAV|LIMS1|MXD1|MSN|GADD45B|MYH9|MYL6|FURIN|PFN1|SERPINB8|PTGS2|S100A11|ST3GAL2|SKIL|TGFBI|TPM4|VASP|SHOC2|ADAM19|IER3|DNAJB6|ARPC5|ACTR3|RAB31|MAPRE1|QPCT|CLIC4|ARFGAP3|TMEM165|PMEPA1|ARHGAP31|FNDC3B|ZC3H12A|ITPRIPL2,-23,0
0,0,1,1,1,1,0,1,0,0,-2.6,-6.3,-22,-5,0,-3.4,M41659,M00111101,5,0,Cell Type Signatures,7,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 1 CELL,,-22,10,16,30286,391,246,32,13,2.1,60|1030|1282|1303|1490|1906|2316|2335|3315|3918|4092|4616|4637|4739|5743|6876|7126|7171|9144|10092|10272|10398|11031|11099|27063|27295|51177|51330|55679|55700|79899|91252,ACTB|CDKN2B|COL4A1|COL12A1|CCN2|EDN1|FLNA|FN1|HSPB1|LAMC2|SMAD7|GADD45B|MYL6|NEDD9|PTGS2|TAGLN|TNFAIP1|TPM4|SYNGR2|ARPC5|FSTL3|MYL9|RAB31|PTPN21|ANKRD1|PDLIM3|PLEKHO1|TNFRSF12A|LIMS2|MAP7D1|PRR5L|SLC39A13,-18,0
0,1,0,1,1,1,1,1,0,-3.3,0,-3.3,-20,-2.4,-5,-3.9,M41719,M01011111,6,0,Cell Type Signatures,7,FAN OVARY CL17 PUTATIVE APOPTOTIC SMOOTH MUSCLE CELL,,-20,13,17,30286,231,246,25,10,1.9,87|633|1264|1282|1407|1465|3315|3987|4478|4616|4637|6876|7168|8560|8870|10049|10398|10611|25932|51177|51330|55858|58515|80219|140606,ACTN1|BGN|CNN1|COL4A1|CRY1|CSRP1|HSPB1|LIMS1|MSN|GADD45B|MYL6|TAGLN|TPM1|DEGS1|IER3|DNAJB6|MYL9|PDLIM5|CLIC4|PLEKHO1|TNFRSF12A|TMEM165|SELENOK|COQ10B|SELENOM,-16,0
0,0,1,1,1,1,0,1,0,0,-6.5,-12,-20,-10,0,-5,M39050,M00111101,5,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPERIC,,-20,6.2,13,30286,795,246,40,16,2.4,87|633|800|861|1282|1959|2316|2335|2354|3315|3611|3685|3688|3726|3987|4017|4478|4616|4627|5216|5743|6251|6548|6876|6990|7045|7094|7126|7171|8407|9902|10398|11346|23597|25960|56937|64778|83786|91010|162073,ACTN1|BGN|CALD1|RUNX1|COL4A1|EGR2|FLNA|FN1|FOSB|HSPB1|ILK|ITGAV|ITGB1|JUNB|LIMS1|LOXL2|MSN|GADD45B|MYH9|PFN1|PTGS2|RSU1|SLC9A1|TAGLN|DYNLT3|TGFBI|TLN1|TNFAIP1|TPM4|TAGLN2|MRC2|MYL9|SYNPO|ACOT9|ADGRA2|PMEPA1|FNDC3B|FRMD8|FMNL3|ITPRIPL2,-16,0
0,0,0,1,1,1,0,0,0,0,0,-5.6,-19,-2.2,0,0,M41716,M00011100,3,0,Cell Type Signatures,7,FAN OVARY CL14 MATURE SMOOTH MUSCLE CELL,,-19,11,16,30286,306,246,27,11,2,60|87|388|633|800|1465|2316|2354|3315|3611|3688|3726|4616|4637|5216|6251|6282|6876|7168|7171|8870|10092|10398|10487|23022|25932|140606,ACTB|ACTN1|RHOB|BGN|CALD1|CSRP1|FLNA|FOSB|HSPB1|ILK|ITGB1|JUNB|GADD45B|MYL6|PFN1|RSU1|S100A11|TAGLN|TPM1|TPM4|IER3|ARPC5|MYL9|CAP1|PALLD|CLIC4|SELENOM,-16,0
1,0,1,1,1,1,1,0,-4.9,0,-2.4,-19,-7.4,-9.5,-3.9,0,M39174,M10111110,6,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-19,5.8,13,30286,731,301,42,14,2,143|602|677|824|960|1956|2296|2872|2919|3655|3725|4088|5359|5696|5796|6303|6385|6648|6659|6778|6892|7035|7114|8878|9021|9076|9124|9185|9249|9367|9563|9586|10723|11282|51274|54704|55092|55785|56288|58191|64838|84002,PARP4|BCL3|ZFP36L1|CAPN2|CD44|EGFR|FOXC1|MKNK2|CXCL1|ITGA6|JUN|SMAD3|PLSCR1|PSMB8|PTPRK|SAT1|SDC4|SOD2|SOX4|STAT6|TAPBP|TFPI|TMSB4X|SQSTM1|SOCS3|CLDN1|PDLIM1|REPS2|DHRS3|RAB9A|H6PD|CREB5|SLC12A7|MGAT4B|KLF3|PDP1|TMEM51|FGD6|PARD3|CXCL16|FNDC4|B3GNT5,-16,0
0,0,1,1,1,1,0,1,0,0,-2.9,-13,-18,-7.3,0,-2.5,M41697,M00111101,5,0,Cell Type Signatures,7,TRAVAGLINI LUNG EREG DENDRITIC CELL,,-18,7,13,30286,579,246,33,13,2.2,60|87|388|861|965|1462|1499|2120|2354|2768|3597|3685|3987|4084|4616|4637|5045|5271|6282|6498|7045|7171|7408|8036|8728|8870|10092|11010|11031|25797|51330|57514|80149,ACTB|ACTN1|RHOB|RUNX1|CD58|VCAN|CTNNB1|ETV6|FOSB|GNA12|IL13RA1|ITGAV|LIMS1|MXD1|GADD45B|MYL6|FURIN|SERPINB8|S100A11|SKIL|TGFBI|TPM4|VASP|SHOC2|ADAM19|IER3|ARPC5|GLIPR1|RAB31|QPCT|TNFRSF12A|ARHGAP31|ZC3H12A,-14,0
0,0,0,1,1,1,0,1,0,0,0,-6.8,-17,-6.8,0,-2.5,M39176,M00011101,4,0,Cell Type Signatures,7,MURARO PANCREAS ENDOTHELIAL CELL,,-17,9.2,14,30286,362,246,27,11,2,633|659|1072|1282|1499|3685|3987|4092|4478|4627|4739|5054|6251|7798|9710|11031|11346|25932|26064|30850|51177|56262|56937|57514|83786|91010|162073,BGN|BMPR2|CFL1|COL4A1|CTNNB1|ITGAV|LIMS1|SMAD7|MSN|MYH9|NEDD9|SERPINE1|RSU1|LUZP1|GARRE1|RAB31|SYNPO|CLIC4|RAI14|CDR2L|PLEKHO1|LRRC8A|PMEPA1|ARHGAP31|FRMD8|FMNL3|ITPRIPL2,-14,0
0,0,1,1,1,1,0,1,0,0,-4.2,-12,-17,-2.7,0,-6.9,M39264,M00111101,5,0,Cell Type Signatures,7,HU FETAL RETINA FIBROBLAST,,-17,8.6,14,30286,385,246,27,11,2,633|800|1277|1282|1289|1462|1490|2275|2316|2335|2354|3688|3726|4017|4478|4616|4627|5216|6282|7045|7094|7168|7171|7798|9902|10398|25932,BGN|CALD1|COL1A1|COL4A1|COL5A1|VCAN|CCN2|FHL3|FLNA|FN1|FOSB|ITGB1|JUNB|LOXL2|MSN|GADD45B|MYH9|PFN1|S100A11|TGFBI|TLN1|TPM1|TPM4|LUZP1|MRC2|MYL9|CLIC4,-13,0
