_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,0,1,0,0,1,0,0,0,0,-9.1,0,0,-4.6,PGB:00011,M00001001,2,0,PaGenBase,36,Tissue-specific: Smooth Muscle,,-9.1,13,11,30286,103,246,11,4.5,1.3,1000|1462|5054|5743|7045|7171|9645|11010|25932|64943|81688,CDH2|VCAN|SERPINE1|PTGS2|TGFBI|TPM4|MICAL2|GLIPR1|CLIC4|NT5DC2|C6orf62,-6.6,0
0,0,0,0,1,0,0,0,0,0,0,0,-7.5,0,0,0,PGB:00133,M00001000,1,0,PaGenBase,36,Cell-specific: Cardiac Myocytes,,-7.5,16,11,30286,60,246,8,3.3,1.1,633|1000|1490|1906|2335|5054|7168|27295,BGN|CDH2|CCN2|EDN1|FN1|SERPINE1|TPM1|PDLIM3,-5.2,0
1,0,0,0,1,0,0,1,-2.5,0,0,0,-5.9,0,0,-2.6,PGB:00081,M10001001,3,0,PaGenBase,36,Cell-specific: Brain cell,,-5.9,13,8.8,30286,67,246,7,2.8,1.1,1462|3371|5054|5270|5743|11010|51330,VCAN|TNC|SERPINE1|SERPINE2|PTGS2|GLIPR1|TNFRSF12A,-4,0
0,0,0,1,0,1,0,0,0,0,0,-4.1,0,-2.1,0,0,PGB:00094,M00010100,2,0,PaGenBase,36,Cell-specific: Bronchial Epithelial Cells,,-4.1,5.9,5.7,30286,137,301,8,2.7,0.93,390|1956|5796|6385|7162|9638|64065|84002,RND3|EGFR|PTPRK|SDC4|TPBG|FEZ1|PERP|B3GNT5,-2.6,0
1,0,0,0,0,0,0,0,-3.3,0,0,0,0,0,0,0,PGB:00058,M10000000,1,0,PaGenBase,36,Cell-specific: HEPG2,,-3.3,3.1,4.2,30286,425,272,12,4.4,1.2,30|2593|2762|4257|5447|6470|6641|7205|7706|55556|55787|57715,ACAA1|GAMT|GMDS|MGST1|POR|SHMT1|SNTB1|TRIP6|TRIM25|ENOSF1|TXLNG|SEMA4G,-2,0
1,1,0,0,0,0,0,0,-2.4,-3.2,0,0,0,0,0,0,PGB:00001,M11000000,2,0,PaGenBase,36,Tissue-specific: liver,,-3.2,2.5,3.9,30286,691,301,17,5.6,1.3,435|949|1723|1892|1962|2639|3157|3336|10247|10449|10682|10841|28960|55937|92840|133686|255738,ASL|SCARB1|DHODH|ECHS1|EHHADH|GCDH|HMGCS1|HSPE1|RIDA|ACAA2|EBP|FTCD|DCPS|APOM|REEP6|NADK2|PCSK9,-2,0
1,0,0,0,0,0,0,0,-2.9,0,0,0,0,0,0,0,PGB:00128,M10000000,1,0,PaGenBase,36,Cell-specific: COLO205,,-2.9,14,6,30286,24,272,3,1.1,0.63,6641|51084|221443,SNTB1|CRYL1|OARD1,-1.8,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,0,PGB:00028,M00001000,1,0,PaGenBase,36,Tissue-specific: skeletal muscle,,-2.9,3.2,3.9,30286,384,246,10,4.1,1.3,2275|3836|6253|6760|8482|10611|11155|25822|27295|114907,FHL3|KPNA1|RTN2|SS18|SEMA7A|PDLIM5|LDB3|DNAJB5|PDLIM3|FBXO32,-1.7,0
0,0,0,1,0,0,0,0,0,0,0,-2.7,0,0,0,0,PGB:00051,M00010000,1,0,PaGenBase,36,Tissue-specific: Corpus,,-2.7,12,5.4,30286,26,301,3,1,0.57,4281|23604|404093,MID1|DAPK2|CUEDC1,-1.6,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,PGB:00071,M00001000,1,0,PaGenBase,36,Cell-specific: HUVEC,,-2.5,3,3.5,30286,371,246,9,3.7,1.2,5045|5054|5271|6498|7798|25797|26064|57154|80256,FURIN|SERPINE1|SERPINB8|SKIL|LUZP1|QPCT|RAI14|SMURF1|ATOSB,-1.5,0
