_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,1,1,0,0,0,0,0,0,-12,-6.2,0,0,0,TRR01158,M00011000,2,0,TRRUST,34,Regulated by: RELA,,-12,6.9,11,30286,334,301,23,7.6,1.5,595|602|1435|1508|1956|2919|3162|3383|3659|5698|5734|6277|6648|6774|6892|7412|8837|9021|9185|9536|9734|10018|64167,CCND1|BCL3|CSF1|CTSB|EGFR|CXCL1|HMOX1|ICAM1|IRF1|PSMB9|PTGER4|S100A6|SOD2|STAT3|TAPBP|VCAM1|CFLAR|SOCS3|REPS2|PTGES|HDAC9|BCL2L11|ERAP2,-9.3,0
0,0,0,1,1,0,0,0,0,0,0,-12,-6.1,0,0,0,TRR00875,M00011000,2,0,TRRUST,34,Regulated by: NFKB1,,-12,6.8,11,30286,340,301,23,7.6,1.5,595|602|1435|1508|1956|2919|3162|3383|3659|5698|5734|6277|6648|6892|7412|8837|8878|9021|9185|9536|9734|10018|64167,CCND1|BCL3|CSF1|CTSB|EGFR|CXCL1|HMOX1|ICAM1|IRF1|PSMB9|PTGER4|S100A6|SOD2|TAPBP|VCAM1|CFLAR|SQSTM1|SOCS3|REPS2|PTGES|HDAC9|BCL2L11|ERAP2,-9.2,0
0,0,0,1,0,0,0,0,0,0,0,-9.7,0,0,0,0,TRR01275,M00010000,1,0,TRRUST,34,Regulated by: STAT1,,-9.7,13,11,30286,96,301,12,4,1.1,1508|1956|3133|3162|3383|3659|5359|5698|6774|9021|9961|27151,CTSB|EGFR|HLA-E|HMOX1|ICAM1|IRF1|PLSCR1|PSMB9|STAT3|SOCS3|MVP|CPAMD8,-7,0
0,0,0,0,1,0,0,0,0,0,0,0,-8.1,0,0,0,TRR01236,M00001000,1,0,TRRUST,34,Regulated by: SMAD4,,-8.1,26,13,30286,33,246,7,2.8,1.1,1030|3371|4092|5054|6498|10272|114907,CDKN2B|TNC|SMAD7|SERPINE1|SKIL|FSTL3|FBXO32,-5.7,0
0,0,0,1,1,0,0,0,0,0,0,-5.3,-4.2,0,0,0,TRR01277,M00011000,2,0,TRRUST,34,Regulated by: STAT3,,-5.3,6.2,6.7,30286,162,301,10,3.3,1,595|1956|3162|3383|3659|4615|8462|8837|9021|9590,CCND1|EGFR|HMOX1|ICAM1|IRF1|MYD88|KLF11|CFLAR|SOCS3|AKAP12,-3.5,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.9,0,0,0,TRR01235,M00001000,1,0,TRRUST,34,Regulated by: SMAD3,,-4.9,17,8.6,30286,37,246,5,2,0.9,3371|4084|4092|5054|10272,TNC|MXD1|SMAD7|SERPINE1|FSTL3,-3.2,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.9,0,0,0,TRR01437,M00001000,1,0,TRRUST,34,Regulated by: TWIST1,,-4.9,17,8.6,30286,37,246,5,2,0.9,1000|2335|3611|3688|26052,CDH2|FN1|ILK|ITGB1|DNM3,-3.2,0
0,0,0,1,1,0,0,0,0,0,0,-4.9,-2.4,0,0,0,TRR01062,M00011000,2,0,TRRUST,34,Regulated by: PPARG,,-4.9,9,7.1,30286,78,301,7,2.3,0.87,595|1435|1956|3162|3383|6303|8837,CCND1|CSF1|EGFR|HMOX1|ICAM1|SAT1|CFLAR,-3.2,0
0,0,0,1,1,0,0,0,0,0,0,-2.7,-4.8,0,0,0,TRR01419,M00011000,2,0,TRRUST,34,Regulated by: TP53,,-4.8,6.3,6.4,30286,176,246,9,3.7,1.2,317|1263|1462|1499|3480|4134|8870|10950|27063,APAF1|PLK3|VCAN|CTNNB1|IGF1R|MAP4|IER3|BTG3|ANKRD1,-3.1,0
0,0,0,1,0,0,0,0,0,0,0,-4.8,0,0,0,0,TRR00602,M00010000,1,0,TRRUST,34,Regulated by: IRF1,,-4.8,11,7.4,30286,55,301,6,2,0.81,3660|5698|6892|7412|23586|64167,IRF2|PSMB9|TAPBP|VCAM1|RIGI|ERAP2,-3.1,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.6,0,0,0,TRR00011,M00001000,1,0,TRRUST,34,Regulated by: AR,,-4.6,8.1,6.6,30286,107,246,7,2.8,1.1,331|1000|1499|2335|3480|5743|56937,XIAP|CDH2|CTNNB1|FN1|IGF1R|PTGS2|PMEPA1,-2.9,0
0,0,0,1,0,0,0,0,0,0,0,-4.5,0,0,0,0,TRR00075,M00010000,1,0,TRRUST,34,Regulated by: BRCA1,,-4.5,10,7,30286,60,301,6,2,0.81,595|1956|2296|2919|6774|10379,CCND1|EGFR|FOXC1|CXCL1|STAT3|IRF9,-2.9,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.3,0,0,0,TRR01270,M00001000,1,0,TRRUST,34,Regulated by: SRF,,-4.3,20,8.5,30286,25,246,4,1.6,0.81,3836|5054|6876|10398,KPNA1|SERPINE1|TAGLN|MYL9,-2.8,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.3,0,0,0,TRR01438,M00001000,1,0,TRRUST,34,Regulated by: TWIST2,,-4.3,19,8.3,30286,26,246,4,1.6,0.81,1000|2335|3611|3688,CDH2|FN1|ILK|ITGB1,-2.7,0
0,0,0,1,1,0,0,0,0,0,0,-3.5,-4.1,0,0,0,TRR00645,M00011000,2,0,TRRUST,34,Regulated by: JUN,,-4.1,5.7,5.6,30286,172,246,8,3.3,1.1,388|1490|1906|3371|4017|4092|5743|147040,RHOB|CCN2|EDN1|TNC|LOXL2|SMAD7|PTGS2|KCTD11,-2.6,0
0,0,0,1,0,0,0,0,0,0,0,-4.1,0,0,0,0,TRR00125,M00010000,1,0,TRRUST,34,Regulated by: CREB1,,-4.1,6.7,5.9,30286,105,301,7,2.3,0.87,3162|3725|5663|9536|10018|10982|27151,HMOX1|JUN|PSEN1|PTGES|BCL2L11|MAPRE2|CPAMD8,-2.6,0
0,0,0,1,0,0,0,0,0,0,0,-4,0,0,0,0,TRR00138,M00010000,1,0,TRRUST,34,Regulated by: CTNNB1,,-4,16,7.6,30286,25,301,4,1.3,0.66,595|960|3725|5337,CCND1|CD44|JUN|PLD1,-2.5,0
0,0,0,1,1,0,0,0,0,0,0,-3.1,-3.9,0,0,0,TRR01256,M00011000,2,0,TRRUST,34,Regulated by: SP1,,-3.9,3.3,4.8,30286,526,246,14,5.7,1.5,317|331|1000|1030|1277|1490|3371|3480|3685|4017|5054|5743|56034|147040,APAF1|XIAP|CDH2|CDKN2B|COL1A1|CCN2|TNC|IGF1R|ITGAV|LOXL2|SERPINE1|PTGS2|PDGFC|KCTD11,-2.5,0
0,0,0,1,0,0,0,0,0,0,0,-3.9,0,0,0,0,TRR01393,M00010000,1,0,TRRUST,34,Regulated by: TCF4,,-3.9,15,7.2,30286,27,301,4,1.3,0.66,595|960|3725|5337,CCND1|CD44|JUN|PLD1,-2.4,0
0,0,0,1,0,0,0,0,0,0,0,-3.7,0,0,0,0,TRR00274,M00010000,1,0,TRRUST,34,Regulated by: ERG,,-3.7,13,6.8,30286,30,301,4,1.3,0.66,3162|3383|6659|23136,HMOX1|ICAM1|SOX4|EPB41L3,-2.3,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.1,0,0,TRR00877,M00000100,1,0,TRRUST,34,Regulated by: NFKBIA,,-3.1,16,6.6,30286,21,264,3,1.1,0.65,5445|7185|10148,PON2|TRAF1|EBI3,-1.9,0
0,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,0,TRR01512,M00010000,1,0,TRRUST,34,Regulated by: USF1,,-3,6.5,4.9,30286,77,301,5,1.7,0.74,1508|3162|3669|6277|9961,CTSB|HMOX1|ISG20|S100A6|MVP,-1.8,0
0,0,0,1,1,0,0,0,0,0,0,-2.6,-2.9,0,0,0,TRR01012,M00011000,2,0,TRRUST,34,Regulated by: PARP1,,-2.9,14,6,30286,27,246,3,1.2,0.7,2308|2335|5054,FOXO1|FN1|SERPINE1,-1.7,0
0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,0,0,TRR00466,M00010000,1,0,TRRUST,34,Regulated by: HDAC1,,-2.9,6.1,4.7,30286,82,301,5,1.7,0.74,595|960|1956|3383|6774,CCND1|CD44|EGFR|ICAM1|STAT3,-1.7,0
