GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
C0151650,Renal fibrosis,0.0,0.0,0.0,-4.1855930323926875,-11.004402728105898,-2.7925097198613638,0.0,0.0
C0007193,"Cardiomyopathy, Dilated",0.0,0.0,0.0,-2.26456910347116,-13.769733199723937,-2.7217311881645774,0.0,0.0
C0007785,Cerebral Infarction,0.0,0.0,-2.239045621192636,-4.174767889148588,-9.29966606987394,-2.5184083916166675,0.0,0.0
C3875321,Inflammatory dermatosis,0.0,0.0,0.0,-11.133186472026278,-2.914299784110768,-3.240115127883286,0.0,0.0
C0011603,Dermatitis,0.0,0.0,0.0,-11.162272752898312,-3.63478618033669,-2.829239017115216,0.0,0.0
C0011615,"Dermatitis, Atopic",0.0,0.0,0.0,-9.893770352483685,-3.337060369268861,0.0,0.0,0.0
C3714636,Pneumonitis,0.0,0.0,0.0,-10.680288210901598,-5.3158483064370605,0.0,0.0,0.0
C0011644,Scleroderma,0.0,0.0,0.0,-3.450949406249815,-9.854566459075986,0.0,0.0,0.0
C0022548,Keloid,0.0,0.0,0.0,-2.201527300435561,-17.155481027527866,0.0,0.0,0.0
C0042133,Uterine Fibroids,0.0,0.0,-3.477424859377367,0.0,-10.232142851230176,0.0,0.0,0.0
C0023267,Fibroid Tumor,0.0,0.0,-4.503968811381806,-2.519070455589646,-9.63961878063227,0.0,0.0,0.0
C0035126,Reperfusion Injury,0.0,0.0,0.0,-11.439819539644388,0.0,0.0,0.0,0.0
C3714514,Infection,0.0,0.0,-3.1691559480233704,-9.720837242602204,0.0,0.0,0.0,0.0
C0013720,Ehlers-Danlos Syndrome,0.0,0.0,0.0,0.0,-9.206759045484244,0.0,0.0,-7.897814289138185
C0017668,Focal glomerulosclerosis,0.0,0.0,0.0,0.0,-9.739376973458468,-2.4676788524181834,0.0,-2.0591257207688045
C0013421,Dystonia,0.0,-11.232220764296335,0.0,0.0,0.0,0.0,-2.228435352297914,0.0
C0001125,"Acidosis, Lactic",0.0,-11.380403439051742,0.0,0.0,0.0,0.0,-4.419335401787753,0.0
C1836440,Increased serum lactate,0.0,-17.620901346470138,0.0,0.0,0.0,0.0,0.0,0.0
C0751651,Mitochondrial Diseases,0.0,-10.090123345196742,0.0,0.0,0.0,0.0,0.0,0.0
C0220981,Metabolic acidosis,0.0,-17.00205295388862,0.0,0.0,0.0,0.0,0.0,0.0
