_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,0,1,1,1,1,0,-2,-6,0,-2.4,-3.4,-5.3,-4.9,0,GO:0009611,response to wounding,M11011110,6,0
1,0,1,1,1,1,1,0,-2.8,0,-2.3,-3.3,-6.7,-3,-5.8,0,GO:0035239,tube morphogenesis,M10111110,6,0
0,0,1,1,1,1,1,1,0,0,-2.1,-2.8,-3.4,-2.9,-2.2,-2.3,GO:0001666,response to hypoxia,M00111111,6,0
1,1,1,1,1,1,0,0,-3.1,-3,-5.3,-3.6,-2.4,-4,0,0,GO:0071417,cellular response to organonitrogen compound,M11111100,6,0
1,0,1,0,1,1,1,1,-2.6,0,-2.2,0,-2.8,-3.3,-2.6,-2.4,R-HSA-194315,Signaling by Rho GTPases,M10101111,6,0
1,1,1,1,1,1,0,0,-2.6,-2.9,-5.1,-4.7,-3.8,-4.4,0,0,GO:1901699,cellular response to nitrogen compound,M11111100,6,0
1,1,0,1,1,1,1,0,-3.4,-4.8,0,-2.3,-3.1,-4.3,-2.5,0,GO:0006897,endocytosis,M11011110,6,0
1,0,1,0,1,1,1,1,-2.5,0,-2.1,0,-2.7,-3.2,-2.5,-2.7,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",M10101111,6,0
0,0,1,1,1,1,1,1,0,0,-2,-2.6,-3.3,-2.8,-2,-2.6,GO:0036293,response to decreased oxygen levels,M00111111,6,0
1,1,0,1,1,1,1,0,-3.1,-6.1,0,-2.2,-2.4,-4.8,-3.5,0,GO:0098657,import into cell,M11011110,6,0
