_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,CHILD_GO_down_common_genes,CHILD_GO_down_epi_only,CHILD_GO_down_mes_only,CHILD_GO_down_mes_up_epi,CHILD_GO_up_common_genes,CHILD_GO_up_epi_only,CHILD_GO_up_mes_down_epi,CHILD_GO_up_mes_only
1,1,1,1,1,1,1,1,-7.336369498296912,-16.964430233088084,-3.373349072107063,-5.779551921079941,-10.8068892973586,-4.091925648568294,-19.441246170490636,-9.611885699177517,GO:0008152,metabolic process,M11111111,8,GO:0044282 small molecule catabolic process,GO:0019752 carboxylic acid metabolic process,GO:0031952 regulation of protein autophosphorylation,GO:0016310 phosphorylation,GO:0043161 proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0051043 regulation of membrane protein ectodomain proteolysis,GO:0016126 sterol biosynthetic process,GO:0043604 amide biosynthetic process
1,1,1,1,1,1,1,1,-7.303336984057898,-6.454487418315323,-5.725302325966463,-5.494026234697766,-15.909838953771702,-9.046745574876205,-5.038572397575181,-4.858240898766477,GO:0050896,response to stimulus,M11111111,8,GO:0007167 enzyme-linked receptor protein signaling pathway,GO:0009636 response to toxic substance,GO:0071407 cellular response to organic cyclic compound,GO:0071560 cellular response to transforming growth factor beta stimulus,GO:0019221 cytokine-mediated signaling pathway,GO:0006954 inflammatory response,GO:0042060 wound healing,GO:0090287 regulation of cellular response to growth factor stimulus
1,1,1,1,1,1,1,1,-4.231086122662263,-5.2934396049529955,-7.377893148006442,-4.105350344850655,-7.205912896060568,-6.756245520430565,-5.76884634449948,-2.5326530102660163,GO:0032502,developmental process,M11111111,8,GO:0008045 motor neuron axon guidance,GO:0030855 epithelial cell differentiation,GO:0120039 plasma membrane bounded cell projection morphogenesis,GO:1901342 regulation of vasculature development,GO:0001525 angiogenesis,GO:0031175 neuron projection development,GO:0035239 tube morphogenesis,GO:0030851 granulocyte differentiation
1,0,1,1,1,1,0,0,-4.16426625293866,0.0,-3.103167762475825,-2.6886204720006854,-6.5998054489478815,-6.931190339490456,0.0,0.0,GO:0040011,locomotion,M10111100,5,GO:0010758 regulation of macrophage chemotaxis,,GO:0040013 negative regulation of locomotion,GO:0030336 negative regulation of cell migration,GO:0030335 positive regulation of cell migration,GO:0002685 regulation of leukocyte migration,,
1,1,1,1,1,1,0,1,-4.156394365677625,-4.962580193622674,-5.210734895102113,-3.8681029836633134,-6.992680785923576,-5.870363436274591,0.0,-2.5379263814335626,GO:0050789,regulation of biological process,M11111101,7,GO:1902806 regulation of cell cycle G1/S phase transition,GO:1900046 regulation of hemostasis,GO:1901888 regulation of cell junction assembly,GO:0051493 regulation of cytoskeleton organization,GO:0022407 regulation of cell-cell adhesion,GO:1903037 regulation of leukocyte cell-cell adhesion,,GO:1902115 regulation of organelle assembly
1,1,1,1,1,1,1,1,-4.150490040103966,-4.2625724764977955,-4.0981102064218335,-2.921380226603931,-13.163475923824993,-8.513419445025603,-2.871283524629882,-3.2995477795717396,GO:0048518,positive regulation of biological process,M11111111,8,GO:1902117 positive regulation of organelle assembly,GO:0045834 positive regulation of lipid metabolic process,GO:0031954 positive regulation of protein autophosphorylation,GO:1901890 positive regulation of cell junction assembly,GO:0001819 positive regulation of cytokine production,GO:0001819 positive regulation of cytokine production,GO:0046889 positive regulation of lipid biosynthetic process,"GO:0032230 positive regulation of synaptic transmission, GABAergic"
1,0,1,1,1,1,0,0,-4.058897851474433,0.0,-4.300208431442381,-2.6305361501855034,-2.847601135899456,-4.048697634997241,0.0,0.0,GO:0040007,growth,M10111100,5,GO:0048846 axon extension involved in axon guidance,,GO:0048589 developmental growth,GO:0045926 negative regulation of growth,GO:0048589 developmental growth,GO:0040007 growth,,
1,1,1,1,1,1,1,1,-3.876552424698423,-8.612070970384686,-2.7961076622406376,-4.376996070998189,-4.109821778405279,-6.901744649327342,-6.2189012806228465,-11.203642626074597,GO:0051179,localization,M11111111,8,GO:1905475 regulation of protein localization to membrane,GO:0015711 organic anion transport,GO:0006814 sodium ion transport,GO:0033365 protein localization to organelle,GO:0046903 secretion,GO:1903530 regulation of secretion by cell,GO:0033365 protein localization to organelle,GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport
1,1,1,0,1,1,0,0,-3.5701519039877248,-2.1737266405651345,-3.0089572848426074,0.0,-3.8495149852861097,-2.110257175810826,0.0,0.0,GO:0048511,rhythmic process,M11101100,5,GO:0042698 ovulation cycle,GO:0032922 circadian regulation of gene expression,GO:0048511 rhythmic process,,GO:0048511 rhythmic process,GO:0022602 ovulation cycle process,,
1,1,1,1,1,1,1,1,-3.3835359111230754,-3.93858407701196,-4.565538533608644,-2.522398080261071,-7.79322408359205,-3.2896309543607574,-2.381339012990746,-3.1919517070165613,GO:0048519,negative regulation of biological process,M11111111,8,GO:0043524 negative regulation of neuron apoptotic process,GO:0030195 negative regulation of blood coagulation,GO:0046600 negative regulation of centriole replication,GO:0051129 negative regulation of cellular component organization,GO:1902532 negative regulation of intracellular signal transduction,GO:0043242 negative regulation of protein-containing complex disassembly,GO:2001243 negative regulation of intrinsic apoptotic signaling pathway,GO:0060392 negative regulation of SMAD protein signal transduction
