_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,0,0,1,1,1,0,1,0.0,0.0,0.0,-2.6945528939456134,-37.83262759972359,-17.128093641829174,0.0,-4.815262670446888,R-HSA-1280215,M00011101,4,0,Reactome Gene Sets,6,Cytokine Signaling in Immune system,,-37.83262759972359,8.691384950926935,20.566201027462895,30286,786,266,60,22.55639097744361,2.5626351596975865,329|1072|1982|2335|2919|3105|3106|3107|3135|3383|3455|3459|3460|3576|3656|3836|4790|4791|4792|4793|4893|4940|5293|5371|5685|5687|5690|5692|5701|5704|5707|5709|5713|5717|5720|5721|5743|5970|5971|6648|6776|7157|7186|7187|7292|7297|8767|8771|9097|9235|9261|9466|10019|10148|10213|23586|81603|84790|92610|146433,BIRC2|CFL1|EIF4G2|FN1|CXCL1|HLA-A|HLA-B|HLA-C|HLA-G|ICAM1|IFNAR2|IFNGR1|IFNGR2|CXCL8|IRAK2|KPNA1|NFKB1|NFKB2|NFKBIA|NFKBIB|NRAS|OAS3|PIK3CD|PML|PSMA4|PSMA6|PSMB2|PSMB4|PSMC2|PSMC4|PSMD1|PSMD3|PSMD7|PSMD11|PSME1|PSME2|PTGS2|RELA|RELB|SOD2|STAT5A|TP53|TRAF2|TRAF3|TNFSF4|TYK2|RIPK2|TNFRSF6B|USP14|IL32|MAPKAPK2|IL27RA|SH2B3|EBI3|PSMD14|RIGI|TRIM8|TUBA1C|TIFA|IL34,-33.54312783384973,0,1.0,1.0,1.0,-37.83262759972359,34.652173913043484,
0,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,-35.81809588352126,-5.836100511757409,0.0,-2.8315244175487964,M5890,M00001101,3,0,Hallmark Gene Sets,23,HALLMARK TNFA SIGNALING VIA NFKB,,-35.81809588352126,20.49428571428571,26.03690524245625,30286,200,266,36,13.533834586466165,2.097455296765053,329|1906|2643|2919|3383|3460|3624|4790|4791|4792|4794|4814|5271|5329|5743|5970|5971|6372|6446|6648|6776|6890|7127|7128|7185|8767|8837|9308|10010|10318|10611|11182|23586|24145|64135|80149,BIRC2|EDN1|GCH1|CXCL1|ICAM1|IFNGR2|INHBA|NFKB1|NFKB2|NFKBIA|NFKBIE|NINJ1|SERPINB8|PLAUR|PTGS2|RELA|RELB|CXCL6|SGK1|SOD2|STAT5A|TAP1|TNFAIP2|TNFAIP3|TRAF1|RIPK2|CFLAR|CD83|TANK|TNIP1|PDLIM5|SLC2A6|RIGI|PANX1|IFIH1|ZC3H12A,-31.829626113311384,0,2.0,1.0,1.0,-35.81809588352126,20.49428571428571,
0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,-32.77915336727288,-2.7156202224590014,0.0,0.0,hsa05169,M00001100,2,0,KEGG Pathway,24,Epstein-Barr virus infection,,-32.77915336727288,19.164073550212162,24.38206079772824,30286,202,266,34,12.781954887218046,2.047203408781916,637|3105|3106|3107|3135|3383|3455|4790|4791|4792|4793|4794|4940|5293|5701|5704|5707|5709|5713|5717|5879|5970|5971|6890|6892|7128|7157|7186|7187|7297|9641|10213|11047|23586,BID|HLA-A|HLA-B|HLA-C|HLA-G|ICAM1|IFNAR2|NFKB1|NFKB2|NFKBIA|NFKBIB|NFKBIE|OAS3|PIK3CD|PSMC2|PSMC4|PSMD1|PSMD3|PSMD7|PSMD11|RAC1|RELA|RELB|TAP1|TAPBP|TNFAIP3|TP53|TRAF2|TRAF3|TYK2|IKBKE|PSMD14|ADRM1|RIGI,-28.96677485611869,0,1.0,0.0,0.0,-37.83262759972359,34.652173913043484,
0,1,0,0,1,0,1,1,0.0,-2.2326828172781834,0.0,0.0,-2.0604820841710083,0.0,-28.084645190605897,-3.4889728469178776,M5924,M01001011,4,0,Hallmark Gene Sets,23,HALLMARK MTORC1 SIGNALING,,-28.084645190605897,16.825555555555553,21.65191625150486,30286,200,279,31,11.11111111111111,1.8814833629657852,1595|1717|2181|2232|2805|3156|3157|3309|3313|3329|3422|3638|4860|5033|5230|6309|6319|6510|6533|6713|7184|7277|7494|10682|10989|23478|23753|51109|51377|80777|134429,CYP51A1|DHCR7|ACSL3|FDXR|GOT1|HMGCR|HMGCS1|HSPA5|HSPA9|HSPD1|IDI1|INSIG1|PNP|P4HA1|PGK1|SC5D|SCD|SLC1A5|SLC6A6|SQLE|HSP90B1|TUBA4A|XBP1|EBP|IMMT|SEC11A|SDF2L1|RDH11|UCHL5|CYB5B|STARD4,-24.397205416060004,0,3.0,1.0,1.0,-28.084645190605897,79.6047789725209,
1,1,0,1,0,0,1,0,-3.688540019036782,-6.687608783260694,0.0,-6.700663189314231,0.0,0.0,-17.492504349017352,0.0,R-HSA-556833,M11010010,4,0,Reactome Gene Sets,6,Metabolism of lipids,,-27.632492248898295,2.6659860043043415,13.011066896550584,30286,757,2206,147,6.663644605621034,0.5309805078317154,30|32|34|37|43|47|183|196|213|221|224|335|377|622|1024|1384|1387|1543|1557|1595|1622|1645|1666|1717|1800|2053|2181|2182|2194|2222|2232|2581|2638|2687|2720|2820|2877|3030|3074|3156|3157|3158|3422|3638|3837|4048|4597|4862|5007|5286|5293|5563|5565|5641|5660|5743|5783|5920|6256|6307|6309|6319|6584|6610|6713|6785|6907|7108|8309|8396|8503|8560|8605|8694|8705|8706|8714|8760|8898|9107|9261|9514|9536|9663|9871|9885|9915|10025|10449|10498|10682|10809|10998|11001|11010|11332|23054|23097|23175|23179|23309|23396|23761|25870|26027|26230|27242|30815|50814|51144|51478|51495|51763|53947|54675|55300|55304|55711|56261|56623|56848|79143|79603|79642|79777|79966|80168|80221|80270|80724|80777|81544|81849|84002|84129|85441|85465|89944|94103|126282|126969|134429|145482|151056|165679|201562|401494,ACAA1|ACACB|ACADM|ACADVL|ACHE|ACLY|AGT|AHR|ALB|ALDH3B1|ALDH3A2|APOA1|ARF3|BDH1|CDK8|CRAT|CREBBP|CYP1A1|CYP2C19|CYP51A1|DBI|AKR1C1|DECR1|DHCR7|DPEP1|EPHX2|ACSL3|ACSL4|FASN|FDFT1|FDXR|GALC|GC|GGT5|GLB1|GPD2|GPX2|HADHA|HEXB|HMGCR|HMGCS1|HMGCS2|IDI1|INSIG1|KPNB1|LTA4H|MVD|NPAS2|OSBP|PIK3C2A|PIK3CD|PRKAA2|PRKAB2|LGMN|PSAP|PTGS2|PTPN13|PLAAT4|RXRA|MSMO1|SC5D|SCD|SLC22A5|SMPD2|SQLE|ELOVL4|TBL1X|TM7SF2|ACOX2|PIP4K2B|PIK3R3|DEGS1|PLA2G4C|DGAT1|B3GALT4|B3GALNT1|ABCC3|CDS2|MTMR2|MTMR6|MAPKAPK2|GAL3ST1|PTGES|LPIN2|SEC24D|OSBPL2|ARNT2|MED16|ACAA2|CARM1|EBP|STARD10|SLC27A5|SLC27A2|GLIPR1|ACOT7|NCOA6|CDK19|LPIN1|RGL1|SIN3B|PIP5K1C|PISD|SUMF2|ACOT11|TIAM2|TNFRSF21|ST6GALNAC6|NSDHL|HSD17B12|HSD17B7|HACD3|INPP5K|A4GALT|CRLS1|PI4K2B|SPTLC3|FAR2|GPCPD1|INPP5E|SPHK2|MBOAT7|CERS4|ARSJ|ACBD4|SCD5|MOGAT2|ACSF2|HSD3B7|ACAD10|CYB5B|GDPD5|ST6GALNAC5|B3GNT5|ACAD11|HELZ2|SELENOI|GLB1L2|ORMDL3|TNFAIP8L1|SLC44A3|STARD4|PTGR2|PLB1|SPTSSB|HACD2|HACD4,-23.64402247868842,0,4.0,1.0,1.0,-27.632492248898295,3.432230281051677,
0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,-25.575574904920444,0.0,0.0,-2.0964053426775076,R-HSA-9020702,M00001001,2,0,Reactome Gene Sets,6,Interleukin-1 signaling,,-25.575574904920444,23.761490683229816,23.01993178488562,30286,115,266,24,9.022556390977444,1.7566726870945886,3656|4790|4791|4792|4793|5685|5687|5690|5692|5701|5704|5707|5709|5713|5717|5720|5721|5970|7157|7186|8767|9097|10213|92610,IRAK2|NFKB1|NFKB2|NFKBIA|NFKBIB|PSMA4|PSMA6|PSMB2|PSMB4|PSMC2|PSMC4|PSMD1|PSMD3|PSMD7|PSMD11|PSME1|PSME2|RELA|TP53|TRAF2|RIPK2|USP14|PSMD14|TIFA,-22.03105074735067,0,1.0,0.0,0.0,-37.83262759972359,34.652173913043484,
0,0,0,1,1,1,0,1,0.0,0.0,0.0,-2.0822663895555906,-25.54239926284088,-8.940785997996162,0.0,-2.2758738131997642,R-HSA-449147,M00011101,4,0,Reactome Gene Sets,6,Signaling by Interleukins,,-25.54239926284088,9.387798248263366,17.30712656039947,30286,473,266,39,14.661654135338345,2.168816342877757,1072|2335|2919|3383|3576|3656|4790|4791|4792|4793|5293|5685|5687|5690|5692|5701|5704|5707|5709|5713|5717|5720|5721|5743|5970|6648|6776|7157|7186|7297|8767|9097|9235|9261|9466|10148|10213|92610|146433,CFL1|FN1|CXCL1|ICAM1|CXCL8|IRAK2|NFKB1|NFKB2|NFKBIA|NFKBIB|PIK3CD|PSMA4|PSMA6|PSMB2|PSMB4|PSMC2|PSMC4|PSMD1|PSMD3|PSMD7|PSMD11|PSME1|PSME2|PTGS2|RELA|SOD2|STAT5A|TP53|TRAF2|TYK2|RIPK2|USP14|IL32|MAPKAPK2|IL27RA|EBI3|PSMD14|TIFA|IL34,-22.03105074735067,0,1.0,0.0,0.0,-37.83262759972359,34.652173913043484,
1,1,0,0,0,0,1,1,-4.988935973786329,-16.964430233088084,0.0,0.0,0.0,0.0,-13.01127647838971,-2.276987880514277,GO:0019752,M11000011,4,0,GO Biological Processes,19,carboxylic acid metabolic process,19_GO:0008152 metabolic process,-24.730279234849764,2.523059015221765,12.150224443521687,30286,789,2206,145,6.57298277425204,0.5276120853769433,30|32|34|37|47|48|216|224|435|538|1312|1382|1384|1543|1557|1622|1645|1666|1738|1800|1906|2181|2182|2194|2348|2356|2584|2593|2687|2731|2746|2752|2805|2821|2938|2950|3028|3030|3074|3098|3099|3417|3418|3419|3990|4048|4191|4329|4357|4522|4942|5007|5033|5034|5053|5091|5162|5194|5205|5223|5230|5562|5563|5565|5743|5825|5828|5832|6307|6319|6389|6566|6652|6785|7157|7494|7915|8050|8309|8560|8605|8876|9104|9123|9261|9446|9536|9663|9885|9942|10090|10165|10247|10327|10434|10449|10840|10994|10998|11001|11313|11332|23042|23175|23475|26027|27163|28976|50507|51084|51144|51380|51390|51495|51582|54578|55556|55577|57103|57406|58478|64116|64122|79602|79777|79944|79966|80150|80221|80270|80724|84129|84266|84532|84706|113189|138199|145482|197257|201562|284439|387521|389434|401494|414328,ACAA1|ACACB|ACADM|ACADVL|ACLY|ACO1|ALDH1A1|ALDH3A2|ASL|ATP7A|COMT|CRABP2|CRAT|CYP1A1|CYP2C19|DBI|AKR1C1|DECR1|DLD|DPEP1|EDN1|ACSL3|ACSL4|FASN|FOLR1|FPGS|GALK1|GAMT|GGT5|GLDC|GLUD1|GLUL|GOT1|GPI|GSTA1|GSTP1|HSD17B10|HADHA|HEXB|HK1|HK2|IDH1|IDH2|IDH3A|LIPC|LTA4H|MDH2|ALDH6A1|MPST|MTHFD1|OAT|OSBP|P4HA1|P4HB|PAH|PC|PDHB|PEX13|ATP8B1|PGAM1|PGK1|PRKAA1|PRKAA2|PRKAB2|PTGS2|ABCD3|PEX2|ALDH18A1|MSMO1|SCD|SDHA|SLC16A1|SORD|ELOVL4|TP53|XBP1|ALDH5A1|PDHX|ACOX2|DEGS1|PLA2G4C|VNN1|RGN|SLC16A3|MAPKAPK2|GSTO1|PTGES|LPIN2|OSBPL2|XYLB|UST|SLC25A13|RIDA|AKR1A1|LYPLA1|ACAA2|ALDH1L1|ILVBL|SLC27A5|SLC27A2|LYPLA2|ACOT7|PDXDC1|LPIN1|QPRT|ACOT11|NAAA|ACAD9|NOX4|CRYL1|HSD17B12|CSAD|AIG1|HACD3|AZIN1|UGT1A6|ENOSF1|NAGK|TIGAR|ABHD6|ENOPH1|SLC39A8|FN3K|ADIPOR2|ACBD4|L2HGDH|SCD5|ASRGL1|ACSF2|HSD3B7|ACAD10|ACAD11|ALKBH7|ACSS1|GPT2|CHST14|CARNMT1|PTGR2|LDHD|HACD2|SLC25A42|PEDS1|IYD|HACD4|IDNK,-20.91790072369557,0,4.0,0.0,0.0,-27.632492248898295,3.432230281051677,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-24.351687262149618,0.0,0.0,0.0,R-HSA-1168372,M00001000,1,0,Reactome Gene Sets,6,Downstream signaling events of B Cell Receptor (BCR),,-24.351687262149618,28.80722891566265,23.879266384741186,30286,83,266,21,7.894736842105263,1.6533706906251138,2280|4790|4792|4793|4794|4893|5685|5687|5690|5692|5701|5704|5707|5709|5713|5717|5720|5721|5970|10125|10213,FKBP1A|NFKB1|NFKBIA|NFKBIB|NFKBIE|NRAS|PSMA4|PSMA6|PSMB2|PSMB4|PSMC2|PSMC4|PSMD1|PSMD3|PSMD7|PSMD11|PSME1|PSME2|RELA|RASGRP1|PSMD14,-20.90728553629002,0,1.0,0.0,0.0,-37.83262759972359,34.652173913043484,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-22.85442241056002,0.0,0.0,0.0,R-HSA-983705,M00001000,1,0,Reactome Gene Sets,6,Signaling by the B Cell Receptor (BCR),,-22.85442241056002,22.364795918367346,21.3226206461138,30286,112,266,22,8.270676691729323,1.6888216920817694,2280|4790|4792|4793|4794|4893|5293|5685|5687|5690|5692|5701|5704|5707|5709|5713|5717|5720|5721|5970|10125|10213,FKBP1A|NFKB1|NFKBIA|NFKBIB|NFKBIE|NRAS|PIK3CD|PSMA4|PSMA6|PSMB2|PSMB4|PSMC2|PSMC4|PSMD1|PSMD3|PSMD7|PSMD11|PSME1|PSME2|RELA|RASGRP1|PSMD14,-19.468012631678107,0,1.0,0.0,0.0,-37.83262759972359,34.652173913043484,
