_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,0,1,1,0,0,0,0,0,0,-15,-7,0,0,C0151449,M00001100,2,0,DisGeNET,35,Primary Sjögren's syndrome,,-15,8.8,13,30286,312,266,24,9,1.8,1072|2113|2919|3105|3106|3107|3383|3576|4790|4792|5293|5743|6776|7128|7157|7292|9641|10148|10318|10970|23586|64135|84790|146433,CFL1|ETS1|CXCL1|HLA-A|HLA-B|HLA-C|ICAM1|CXCL8|NFKB1|NFKBIA|PIK3CD|PTGS2|STAT5A|TNFAIP3|TP53|TNFSF4|IKBKE|EBI3|TNIP1|CKAP4|RIGI|IFIH1|TUBA1C|IL34,-12,0
0,0,0,0,1,1,0,0,0,0,0,0,-15,-11,0,0,C0004623,M00001100,2,0,DisGeNET,35,Bacterial Infections,,-15,5.9,12,30286,616,266,32,12,2,637|1465|1540|1906|2004|2335|2643|2919|3106|3383|3459|3576|3656|3918|4790|4792|4940|5293|5371|5743|5879|5970|7187|7980|8407|8767|8837|9235|10019|10148|11332|80149,BID|CSRP1|CYLD|EDN1|ELK3|FN1|GCH1|CXCL1|HLA-B|ICAM1|IFNGR1|CXCL8|IRAK2|LAMC2|NFKB1|NFKBIA|OAS3|PIK3CD|PML|PTGS2|RAC1|RELA|TRAF3|TFPI2|TAGLN2|RIPK2|CFLAR|IL32|SH2B3|EBI3|ACOT7|ZC3H12A,-12,0
0,0,0,0,1,1,0,0,0,0,0,0,-15,-7.1,0,0,C0011603,M00001100,2,0,DisGeNET,35,Dermatitis,,-15,6.7,12,30286,496,266,29,11,1.9,43|329|1906|2113|2335|2643|2919|3106|3383|3455|3576|5293|5329|5713|5743|5970|6648|6776|6890|7128|7157|7186|7297|8837|9235|10318|23586|64135|80149,ACHE|BIRC2|EDN1|ETS1|FN1|GCH1|CXCL1|HLA-B|ICAM1|IFNAR2|CXCL8|PIK3CD|PLAUR|PSMD7|PTGS2|RELA|SOD2|STAT5A|TAP1|TNFAIP3|TP53|TRAF2|TYK2|CFLAR|IL32|TNIP1|RIGI|IFIH1|ZC3H12A,-12,0
0,0,0,0,1,1,0,0,0,0,0,0,-14,-6.5,0,0,C3714514,M00001100,2,0,DisGeNET,35,Infection,,-14,6.5,12,30286,491,266,28,11,1.9,1540|2950|3105|3106|3107|3135|3383|3455|3459|3460|3576|4790|4792|5329|5371|5743|5970|6648|6890|7157|8767|8795|9308|9641|10010|22809|23586|64135,CYLD|GSTP1|HLA-A|HLA-B|HLA-C|HLA-G|ICAM1|IFNAR2|IFNGR1|IFNGR2|CXCL8|NFKB1|NFKBIA|PLAUR|PML|PTGS2|RELA|SOD2|TAP1|TP53|RIPK2|TNFRSF10B|CD83|IKBKE|TANK|ATF5|RIGI|IFIH1,-11,0
0,0,1,0,1,0,0,0,0,0,-2.3,0,-14,0,0,0,C1333064,M00101000,2,0,DisGeNET,35,Classical Hodgkin's Lymphoma,,-14,8.8,12,30286,285,266,22,8.3,1.7,1540|3105|3107|3135|4790|4792|5293|5371|5452|5743|5971|6648|6776|7128|7157|7187|8837|9308|10970|22809|23586|51752,CYLD|HLA-A|HLA-C|HLA-G|NFKB1|NFKBIA|PIK3CD|PML|POU2F2|PTGS2|RELB|SOD2|STAT5A|TNFAIP3|TP53|TRAF3|CFLAR|CD83|CKAP4|ATF5|RIGI|ERAP1,-11,0
0,0,0,0,1,1,0,0,0,0,0,0,-14,-2.1,0,0,C0220597,M00001100,2,0,DisGeNET,35,Adult Hodgkin Lymphoma,,-14,7.1,12,30286,399,266,25,9.4,1.8,2113|2950|3105|3135|3383|4683|4790|4791|4792|4794|5293|5371|5452|5743|5971|6776|7128|7157|7185|7187|7292|8837|9308|9641|10125,ETS1|GSTP1|HLA-A|HLA-G|ICAM1|NBN|NFKB1|NFKB2|NFKBIA|NFKBIE|PIK3CD|PML|POU2F2|PTGS2|RELB|STAT5A|TNFAIP3|TP53|TRAF1|TRAF3|TNFSF4|CFLAR|CD83|IKBKE|RASGRP1,-11,0
0,0,0,0,1,1,0,0,0,0,0,0,-14,-2.1,0,0,C0220644,M00001100,2,0,DisGeNET,35,Childhood Hodgkin Lymphoma,,-14,7.1,12,30286,399,266,25,9.4,1.8,2113|2950|3105|3135|3383|4683|4790|4791|4792|4794|5293|5371|5452|5743|5971|6776|7128|7157|7185|7187|7292|8837|9308|9641|10125,ETS1|GSTP1|HLA-A|HLA-G|ICAM1|NBN|NFKB1|NFKB2|NFKBIA|NFKBIE|PIK3CD|PML|POU2F2|PTGS2|RELB|STAT5A|TNFAIP3|TP53|TRAF1|TRAF3|TNFSF4|CFLAR|CD83|IKBKE|RASGRP1,-11,0
0,1,0,0,1,1,0,0,0,-3.7,0,0,-13,-7.4,0,0,C0011615,M01001100,3,0,DisGeNET,35,"Dermatitis, Atopic",,-13,5,10,30286,750,266,33,12,2,1906|2113|2335|2919|2950|3106|3107|3383|3459|3576|4017|4790|4792|5329|5713|5743|5970|5971|6776|6890|7128|7157|7297|8771|9235|10148|10318|10970|25797|51131|51752|55248|64135,EDN1|ETS1|FN1|CXCL1|GSTP1|HLA-B|HLA-C|ICAM1|IFNGR1|CXCL8|LOXL2|NFKB1|NFKBIA|PLAUR|PSMD7|PTGS2|RELA|RELB|STAT5A|TAP1|TNFAIP3|TP53|TYK2|TNFRSF6B|IL32|EBI3|TNIP1|CKAP4|QPCT|PHF11|ERAP1|PACC1|IFIH1,-11,0
0,0,0,0,1,1,0,0,0,0,0,0,-13,-6.6,0,0,C3875321,M00001100,2,0,DisGeNET,35,Inflammatory dermatosis,,-13,7.2,11,30286,382,266,24,9,1.8,43|329|1906|2113|2335|2643|2919|3383|3455|3576|5293|5743|5970|6648|6776|7128|7157|7186|7297|8837|9235|23586|64135|80149,ACHE|BIRC2|EDN1|ETS1|FN1|GCH1|CXCL1|ICAM1|IFNAR2|CXCL8|PIK3CD|PTGS2|RELA|SOD2|STAT5A|TNFAIP3|TP53|TRAF2|TYK2|CFLAR|IL32|RIGI|IFIH1|ZC3H12A,-10,0
0,1,0,0,1,1,0,1,0,-3.4,0,0,-13,-4.5,0,-2.1,C0004943,M01001101,4,0,DisGeNET,35,Behcet Syndrome,,-13,6.1,11,30286,502,266,27,10,1.9,2113|2919|3105|3106|3107|3135|3383|3576|3918|4790|4792|5713|6372|6648|6890|7128|7157|7292|7297|9235|9308|10318|23286|24145|25797|51752|84790,ETS1|CXCL1|HLA-A|HLA-B|HLA-C|HLA-G|ICAM1|CXCL8|LAMC2|NFKB1|NFKBIA|PSMD7|CXCL6|SOD2|TAP1|TNFAIP3|TP53|TNFSF4|TYK2|IL32|CD83|TNIP1|WWC1|PANX1|QPCT|ERAP1|TUBA1C,-10,0
