_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,1,0,0,0,0,1,0,0,-47,0,0,0,0,-2.3,0,PGB:00001,M01000010,2,0,PaGenBase,36,Tissue-specific: liver,,-47,9.5,23,30286,691,323,70,22,2.3,13|173|183|197|213|335|350|622|729|949|1312|1468|1557|1645|2147|2155|2244|2584|2705|2731|3053|3158|3170|3171|3249|3960|5005|5053|5091|5345|5624|5950|5959|6519|6576|6819|7018|7032|7104|8431|9032|9075|9104|9942|10247|10449|10458|10840|10991|10998|11001|11199|11309|22977|23584|27284|29974|51085|51156|55365|63910|79962|92840|127845|145226|164656|196410|257407|284111|388323,AADAC|AFM|AGT|AHSG|ALB|APOA1|APOH|BDH1|C6|SCARB1|COMT|SLC25A10|CYP2C19|AKR1C1|F2|F7|FGB|GALK1|GJB1|GLDC|SERPIND1|HMGCS2|FOXA2|FOXA3|HPN|LGALS4|ORM2|PAH|PC|SERPINF2|PROC|RBP4|RDH5|SLC3A1|SLC25A1|SULT1C2|TF|TFF2|TM4SF4|NR0B2|TM4SF5|CLDN2|RGN|XYLB|RIDA|ACAA2|BAIAP2|ALDH1L1|SLC38A3|SLC27A5|SLC27A2|ANXA10|SLCO2B1|AKR7A3|VSIG2|SULT1B1|A1CF|MLXIPL|SERPINA10|TMEM176A|SLC17A9|DNAJC22|REEP6|GOLT1A|RDH12|TMPRSS6|TMT1B|C2orf72|SLC13A5|GLTPD2,-42,0
0,1,0,0,0,0,0,0,0,-25,0,0,0,0,0,0,PGB:00058,M01000000,1,0,PaGenBase,36,Cell-specific: HEPG2,,-25,8.8,17,30286,425,323,40,12,1.8,174|183|197|213|335|350|364|1184|1543|1800|2147|2244|2705|2731|2813|2938|2939|3053|3170|3249|4072|5053|5174|5345|5624|5950|6286|7018|7032|7276|7429|8416|8431|9032|9942|10551|26762|27163|29974|257407,AFP|AGT|AHSG|ALB|APOA1|APOH|AQP7|CLCN5|CYP1A1|DPEP1|F2|FGB|GJB1|GLDC|GP2|GSTA1|GSTA2|SERPIND1|FOXA2|HPN|EPCAM|PAH|PDZK1|SERPINF2|PROC|RBP4|S100P|TF|TFF2|TTR|VIL1|ANXA9|NR0B2|TM4SF5|XYLB|AGR2|HAVCR1|NAAA|A1CF|C2orf72,-21,0
0,1,0,0,0,1,0,0,0,-12,0,0,0,-2.6,0,0,PGB:00005,M01000100,2,0,PaGenBase,36,Tissue-specific: colon,,-12,6.7,11,30286,338,323,24,7.4,1.5,430|760|2984|3110|3960|4224|4640|5948|7033|7429|10331|10551|23584|25803|51085|56649|65010|79170|81693|83998|91860|132014|140893|192134,ASCL2|CA2|GUCY2C|MNX1|LGALS4|MEP1A|MYO1A|RBP2|TFF3|VIL1|B3GNT3|AGR2|VSIG2|SPDEF|MLXIPL|TMPRSS4|SLC26A6|PRR15L|AMN|REG4|CALML4|IL17RE|RBBP8NL|B3GNT6,-9.6,0
0,1,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,PGB:00060,M01000000,1,0,PaGenBase,36,Cell-specific: liver cell,,-12,14,13,30286,91,323,14,4.3,1.1,174|183|197|213|335|350|2147|2244|3053|5005|5950|7018|7276|9032,AFP|AGT|AHSG|ALB|APOA1|APOH|F2|FGB|SERPIND1|ORM2|RBP4|TF|TTR|TM4SF5,-9.2,0
0,1,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,PGB:00002,M01000000,1,0,PaGenBase,36,Tissue-specific: kidney,,-10,4.9,8.9,30286,483,323,25,7.7,1.5,604|760|1184|1644|1800|2244|2731|2938|2939|3814|5174|6519|6819|9071|9075|9942|11001|26762|51473|81693|113220|284422|353189|377841|388581,BCL6|CA2|CLCN5|DDC|DPEP1|FGB|GLDC|GSTA1|GSTA2|KISS1|PDZK1|SLC3A1|SULT1C2|CLDN10|CLDN2|XYLB|SLC27A2|HAVCR1|DCDC2|AMN|KIF12|SMIM24|SLCO4C1|ENTPD8|C1QTNF12,-7.4,0
0,1,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,PGB:00006,M01000000,1,0,PaGenBase,36,Tissue-specific: small intestine,,-10,10,11,30286,128,323,14,4.3,1.1,13|2984|4224|4640|5948|7429|7433|9032|11200|26027|54810|57016|79154|83998,AADAC|GUCY2C|MEP1A|MYO1A|RBP2|VIL1|VIPR1|TM4SF5|CHEK2|ACOT11|GIPC2|AKR1B10|DHRS11|REG4,-7.4,0
0,1,0,0,0,0,0,0,0,-8.7,0,0,0,0,0,0,PGB:00139,M01000000,1,0,PaGenBase,36,Cell-specific: Renal Epithelial,,-8.7,18,12,30286,48,323,9,2.8,0.92,4072|9071|23242|26762|26996|51473|54504|85477|353189,EPCAM|CLDN10|COBL|HAVCR1|GPR160|DCDC2|CPVL|SCIN|SLCO4C1,-6.4,0
0,0,0,0,1,0,0,0,0,0,0,0,-7.6,0,0,0,PGB:00011,M00001000,1,0,PaGenBase,36,Tissue-specific: Smooth Muscle,,-7.6,11,9.6,30286,103,266,10,3.8,1.2,2919|3576|5743|6372|8767|10970|11010|25932|54431|81688,CXCL1|CXCL8|PTGS2|CXCL6|RIPK2|CKAP4|GLIPR1|CLIC4|DNAJC10|C6orf62,-5.4,0
0,0,0,0,1,0,1,1,0,0,0,0,-7.3,0,-2.6,-3.3,PGB:00133,M00001011,3,0,PaGenBase,36,Cell-specific: Cardiac Myocytes,,-7.3,15,10,30286,60,266,8,3,1,1906|2335|2627|2919|6372|7168|7980|27295,EDN1|FN1|GATA6|CXCL1|CXCL6|TPM1|TFPI2|PDLIM3,-5.2,0
0,0,0,0,1,1,0,0,0,0,0,0,-7,-3.4,0,0,PGB:00008,M00001100,2,0,PaGenBase,36,Tissue-specific: spleen,,-7,4.3,7.1,30286,499,266,19,7.1,1.6,1890|2919|4791|4794|4814|5293|5371|5452|6372|7185|7186|10010|10652|10981|55544|64386|80774|146433|148022,TYMP|CXCL1|NFKB2|NFKBIE|NINJ1|PIK3CD|PML|POU2F2|CXCL6|TRAF1|TRAF2|TANK|YKT6|RAB32|RBM38|MMP25|LIMD2|IL34|TICAM1,-4.9,0
0,0,0,0,1,0,0,0,0,0,0,0,-5.3,0,0,0,PGB:00110,M00001000,1,0,PaGenBase,36,Cell-specific: Lymphoma burkitts Raji,,-5.3,7.3,7,30286,141,266,9,3.4,1.1,4791|5452|7185|7186|7187|10010|22904|64386|83637,NFKB2|POU2F2|TRAF1|TRAF2|TRAF3|TANK|SBNO2|MMP25|ZMIZ2,-3.6,0
0,0,1,1,0,0,0,0,0,0,-5.2,-2.7,0,0,0,0,PGB:00065,M00110000,2,0,PaGenBase,36,Cell-specific: DRG,,-5.2,3.8,5.8,30286,455,282,16,5.7,1.4,463|610|2297|2596|4013|5764|6256|6495|8642|8786|9696|10297|10457|23090|25903|26050,ZFHX3|HCN2|FOXD1|GAP43|VWA5A|PTN|RXRA|SIX1|DCHS1|RGS11|CROCC|APC2|GPNMB|ZNF423|OLFML2B|SLITRK5,-3.5,0
1,0,1,0,0,0,1,1,-3.7,0,-5,0,0,0,-3.4,-2.3,PGB:00080,M10100011,4,0,PaGenBase,36,Cell-specific: Adipocyte,,-5,6.7,6.6,30286,145,282,9,3.2,1,1634|2273|4311|4811|10457|23452|54510|57124|126393,DCN|FHL1|MME|NID1|GPNMB|ANGPTL2|PCDH18|CD248|HSPB6,-3.4,0
0,0,1,1,0,0,0,0,0,0,-2.6,-4,0,0,0,0,PGB:00071,M00110000,2,0,PaGenBase,36,Cell-specific: HUVEC,,-4,4.1,5.1,30286,371,221,11,5,1.5,94|493|3204|3257|4088|6558|8706|9706|26035|56100|79966,ACVRL1|ATP2B4|HOXA7|HPS1|SMAD3|SLC12A2|B3GALNT1|ULK2|GLCE|PCDHGB6|SCD5,-2.7,0
1,0,0,0,0,0,0,0,-3.9,0,0,0,0,0,0,0,PGB:00073,M10000000,1,0,PaGenBase,36,Cell-specific: OVR278E,,-3.9,6.5,5.7,30286,131,250,7,2.8,1,770|2064|3488|3667|7301|8100|9610,CA11|ERBB2|IGFBP5|IRS1|TYRO3|IFT88|RIN1,-2.6,0
0,1,0,0,0,0,0,0,0,-3.8,0,0,0,0,0,0,PGB:00038,M01000000,1,0,PaGenBase,36,Tissue-specific: Stomach,,-3.8,9.8,6.3,30286,48,323,5,1.5,0.69,2650|4586|6819|7032|11199,GCNT1|MUC5AC|SULT1C2|TFF2|ANXA10,-2.5,0
0,1,0,0,0,0,0,0,0,-3.7,0,0,0,0,0,0,PGB:00093,M01000000,1,0,PaGenBase,36,Cell-specific: Vaginal Epithelial,,-3.7,13,6.8,30286,28,323,4,1.2,0.62,4680|6286|6947|10551,CEACAM6|S100P|TCN1|AGR2,-2.4,0
0,1,0,0,0,0,0,0,0,-3.4,0,0,0,0,0,0,PGB:00063,M01000000,1,0,PaGenBase,36,Cell-specific: H1-hesc,,-3.4,2.9,4.3,30286,447,323,14,4.3,1.1,196|622|926|3171|6819|7276|7348|9071|51473|127845|257629|340547|387914|389434,AHR|BDH1|CD8B|FOXA3|SULT1C2|TTR|UPK1B|CLDN10|DCDC2|GOLT1A|ANKS4B|VSIG1|SHISA2|IYD,-2.3,0
0,1,0,0,0,1,0,0,0,-3.4,0,0,0,-2.1,0,0,PGB:00031,M01000100,2,0,PaGenBase,36,Tissue-specific: trachea,,-3.4,6.2,5.1,30286,91,323,6,1.9,0.75,1543|2302|4586|6947|7348|10840,CYP1A1|FOXJ1|MUC5AC|TCN1|UPK1B|ALDH1L1,-2.2,0
1,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,PGB:00128,M10000000,1,0,PaGenBase,36,Cell-specific: COLO205,,-3,15,6.3,30286,24,250,3,1.2,0.69,6641|8100|51084,SNTB1|IFT88|CRYL1,-1.9,0
0,0,1,0,0,0,0,0,0,0,-3,0,0,0,0,0,PGB:00022,M00100000,1,0,PaGenBase,36,Tissue-specific: Thalamus,,-3,15,6.2,30286,22,282,3,1.1,0.61,320|6934|284058,APBA1|TCF7L2|KANSL1,-1.9,0
0,0,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,PGB:00078,M00001000,1,0,PaGenBase,36,Cell-specific: 721B lymphoblasts,,-3,6.5,4.8,30286,88,266,5,1.9,0.83,7157|10148|23176|56938|59274,TP53|EBI3|SEPTIN8|BMAL2|TLNRD1,-1.9,0
0,0,0,0,1,1,0,0,0,0,0,0,-2.3,-2.9,0,0,PGB:00026,M00001100,2,0,PaGenBase,36,Tissue-specific: Blood,,-2.9,3.9,4.2,30286,239,261,8,3.1,1.1,101|3936|6793|7133|9111|27128|64127|83593,ADAM8|LCP1|STK10|TNFRSF1B|NMI|CYTH4|NOD2|RASSF5,-1.9,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,PGB:00014,M00000100,1,0,PaGenBase,36,Tissue-specific: lung,,-2.9,2.8,3.8,30286,498,261,12,4.6,1.3,960|1510|3627|3684|3694|3934|4319|6373|10568|27074|53905|164312,CD44|CTSE|CXCL10|ITGAM|ITGB6|LCN2|MMP10|CXCL11|SLC34A2|LAMP3|DUOX1|LRRN4,-1.8,0
1,0,0,0,0,0,0,0,-2.8,0,0,0,0,0,0,0,PGB:00016,M10000000,1,0,PaGenBase,36,Tissue-specific: ovary pool,,-2.8,13,5.8,30286,28,250,3,1.2,0.69,32|3488|6872,ACACB|IGFBP5|TAF1,-1.8,0
0,1,0,0,0,0,0,0,0,-2.7,0,0,0,0,0,0,PGB:00105,M01000000,1,0,PaGenBase,36,Cell-specific: huh-7,,-2.7,12,5.6,30286,23,323,3,0.93,0.53,4224|7276|79962,MEP1A|TTR|DNAJC22,-1.8,0
1,0,0,0,0,0,0,0,-2.7,0,0,0,0,0,0,0,PGB:00077,M10000000,1,0,PaGenBase,36,Cell-specific: CD56+ NKCells,,-2.7,7.6,4.8,30286,64,250,4,1.6,0.79,2064|4094|55020|55893,ERBB2|MAF|TTC38|ZNF395,-1.7,0
0,1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,PGB:00067,M01000000,1,0,PaGenBase,36,Cell-specific: Testis Germ Cell,,-2.6,5.4,4.3,30286,87,323,5,1.5,0.69,335|1515|3158|84266|92840,APOA1|CTSV|HMGCS2|ALKBH7|REEP6,-1.7,0
0,1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,PGB:00106,M01000000,1,0,PaGenBase,36,Cell-specific: Breast cell,,-2.5,6.8,4.5,30286,55,323,4,1.2,0.62,10551|79083|94122|155465,AGR2|MLPH|SYTL5|AGR3,-1.6,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,PGB:00081,M00001000,1,0,PaGenBase,36,Cell-specific: Brain cell,,-2.5,6.8,4.5,30286,67,266,4,1.5,0.75,5743|7980|11010|57552,PTGS2|TFPI2|GLIPR1|NCEH1,-1.6,0
0,0,0,1,0,1,0,0,0,0,0,-2.5,0,-2.2,0,0,PGB:00094,M00010100,2,0,PaGenBase,36,Cell-specific: Bronchial Epithelial Cells,,-2.5,5,4,30286,137,221,5,2.3,1,667|2706|7162|64065|84002,DST|GJB2|TPBG|PERP|B3GNT5,-1.6,0
1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,0,0,PGB:00027,M10000000,1,0,PaGenBase,36,Tissue-specific: corpus callosum,,-2.4,9.6,4.8,30286,38,250,3,1.2,0.69,2549|7586|57185,GAB1|ZKSCAN1|NIPAL3,-1.5,0
0,0,0,1,0,0,0,0,0,0,0,-2.4,0,0,0,0,PGB:00126,M00010000,1,0,PaGenBase,36,Cell-specific: SHSYSY-RA,,-2.4,9.1,4.7,30286,45,221,3,1.4,0.78,730|9201|23148,C7|DCLK1|NACAD,-1.5,0
0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,0,PGB:00018,M01000000,1,0,PaGenBase,36,Tissue-specific: pancreas,,-2.3,3.1,3.4,30286,245,323,8,2.5,0.86,2813|3171|23096|23456|28999|84266|113220|283375,GP2|FOXA3|IQSEC2|ABCB10|KLF15|ALKBH7|KIF12|SLC39A5,-1.5,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.2,0,PGB:00046,M00000010,1,0,PaGenBase,36,Tissue-specific: Colorectal adenocarcinoma,,-2.2,7.9,4.3,30286,41,279,3,1.1,0.62,1848|6510|81848,DUSP6|SLC1A5|SPRY4,-1.4,0
