GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
M41720,FAN OVARY CL18 B LYMPHOCYTE,0.0,0.0,0.0,0.0,-16.859689824470056,0.0,-4.372515216204374,-4.242948154390048
M41697,TRAVAGLINI LUNG EREG DENDRITIC CELL,0.0,0.0,0.0,0.0,-19.45790189903574,-3.259006688189862,-3.9731389251733553,-2.801706038381248
M41715,FAN OVARY CL13 MONOCYTE MACROPHAGE,0.0,0.0,0.0,0.0,-22.858929036297933,0.0,-2.430077052221525,0.0
M39160,GAO LARGE INTESTINE 24W C11 PANETH LIKE CELL,0.0,0.0,0.0,0.0,-16.750572023480835,-5.248578384389287,0.0,0.0
M41700,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,0.0,0.0,0.0,-2.131841672659491,-42.050801720178136,-8.281881890940621,-4.8118740574500345,-4.860130433411299
M39175,MURARO PANCREAS MESENCHYMAL STROMAL CELL,0.0,0.0,0.0,-6.805253086307601,-15.509673986245211,-2.6029681925120314,-8.258522321303719,-8.18652973951621
M39135,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,0.0,0.0,0.0,-4.181210324025679,-23.061671604447415,-2.947406002343678,-2.133057066474878,0.0
M39174,MURARO PANCREAS ACINAR CELL,-5.47630938768591,-9.413968710455205,0.0,-3.4731801644629208,-17.89163660531283,-7.576335227060249,-4.259242073793367,0.0
M39209,HAY BONE MARROW STROMAL,0.0,0.0,-14.781332502137225,-10.04953159614053,-2.0895703108841865,-2.9711261686729857,0.0,-2.7844987348976664
M39148,GAO SMALL INTESTINE 24W C4 ENTEROCYTE PROGENITOR SUBTYPE 2,0.0,-18.18156187635222,0.0,0.0,0.0,0.0,0.0,0.0
M39119,AIZARANI LIVER C17 HEPATOCYTES 3,0.0,-15.080878242624241,0.0,0.0,0.0,0.0,0.0,0.0
M40013,BUSSLINGER GASTRIC MATURE PIT CELLS,0.0,-15.40068586066166,0.0,0.0,-2.4206505421466438,0.0,0.0,0.0
M40276,DESCARTES FETAL PLACENTA AFP ALB POSITIVE CELLS,0.0,-31.0507515007751,0.0,0.0,0.0,0.0,-2.964706825286081,0.0
M40212,DESCARTES FETAL INTESTINE INTESTINAL EPITHELIAL CELLS,0.0,-21.78177116988651,0.0,0.0,0.0,-5.25203926048602,0.0,0.0
M40234,DESCARTES FETAL LIVER HEPATOBLASTS,-2.503693779982179,-48.904663761500686,0.0,0.0,0.0,0.0,-2.151813102253592,0.0
M40287,DESCARTES FETAL SPLEEN AFP ALB POSITIVE CELLS,-4.5457441610959926,-28.28675428700055,0.0,0.0,0.0,0.0,-3.426456404836191,0.0
M39115,AIZARANI LIVER C11 HEPATOCYTES 1,-4.3801695002234355,-32.35243241844352,0.0,0.0,0.0,-2.34483581153828,-3.31801748923599,0.0
M39118,AIZARANI LIVER C14 HEPATOCYTES 2,-4.693811065377368,-22.047721371141268,0.0,0.0,0.0,0.0,0.0,0.0
M40028,BUSSLINGER DUODENAL LATE IMMATURE ENTEROCYTES,-5.627087873597731,-16.529972970513512,0.0,0.0,0.0,0.0,0.0,0.0
M41710,FAN OVARY CL8 MATURE CUMULUS GRANULOSA CELL 2,0.0,-2.767527861042318,0.0,0.0,0.0,0.0,-18.09577597248345,0.0
