GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
TRR01275,Regulated by: STAT1,0.0,0.0,0.0,0.0,-3.6825296580210134,-4.69448563546174,0.0,0.0
TRR00602,Regulated by: IRF1,0.0,0.0,0.0,0.0,-5.057074909815489,-5.1039845265030905,0.0,0.0
TRR00466,Regulated by: HDAC1,0.0,0.0,0.0,0.0,-5.092649889738897,-2.2539234011901925,0.0,0.0
TRR00875,Regulated by: NFKB1,0.0,0.0,0.0,0.0,-18.347980368585965,-8.092977127988462,0.0,0.0
TRR01158,Regulated by: RELA,0.0,0.0,0.0,0.0,-18.553664314881914,-8.207715427359627,0.0,0.0
TRR00253,Regulated by: EGR1,-2.833937338592638,0.0,0.0,0.0,-5.5297282790347655,-3.6301918182668436,0.0,0.0
TRR00645,Regulated by: JUN,0.0,0.0,0.0,0.0,-9.35290318856302,0.0,0.0,0.0
TRR00474,Regulated by: HDAC9,0.0,0.0,0.0,0.0,-6.405852977458772,0.0,0.0,0.0
TRR00489,Regulated by: HIVEP2,0.0,0.0,0.0,0.0,-7.065135320621429,0.0,0.0,0.0
TRR00342,Regulated by: FOS,0.0,0.0,0.0,0.0,-7.0351673560259576,0.0,0.0,0.0
TRR00877,Regulated by: NFKBIA,0.0,0.0,0.0,0.0,-7.676175428115074,0.0,0.0,0.0
TRR01259,Regulated by: SP3,0.0,0.0,0.0,0.0,-4.7606984108344506,0.0,0.0,0.0
TRR01277,Regulated by: STAT3,0.0,0.0,0.0,0.0,-5.732906127192216,0.0,0.0,0.0
TRR00780,Regulated by: MYC,0.0,0.0,0.0,0.0,-6.168349033660197,0.0,0.0,-2.143669328583296
TRR00011,Regulated by: AR,0.0,-3.8120818173182753,0.0,-2.1006961698590336,-4.337262857325322,0.0,0.0,0.0
TRR01256,Regulated by: SP1,-2.339572158191697,-3.2302545757342713,0.0,0.0,-7.280426228625127,-2.2026355459823077,-2.425077789880301,0.0
TRR01264,Regulated by: SPI1,0.0,-3.184047196765051,0.0,0.0,0.0,-4.680498862653219,0.0,0.0
TRR01268,Regulated by: SREBF1,0.0,-2.2139003211458927,0.0,0.0,0.0,0.0,-4.780644398511704,0.0
TRR00027,Regulated by: ATF6,0.0,0.0,0.0,0.0,0.0,0.0,-6.303500831725042,0.0
TRR00255,Regulated by: EGR3,-5.260420402687254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
