Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M41708,FAN OVARY CL6 PUTATIVE EARLY ATRETIC FOLLICLE THECAL CELL 2,,-11,7.7,11,30286,300,250,19,7.6,1.7,223|1153|2217|2752|3488|3615|3646|4192|5037|5156|5176|5660|6767|8574|10628|23770|30061|57447|112483,ALDH9A1|CIRBP|FCGRT|GLUL|IGFBP5|IMPDH2|EIF3E|MDK|PEBP1|PDGFRA|SERPINF1|PSAP|ST13|AKR7A2|TXNIP|FKBP8|SLC40A1|NDRG2|SAT2,-8.3,down_common_genes
Cell Type Signatures,7,M41652,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-11,5,9.3,30286,629,250,26,10,1.9,224|1075|1153|1937|1938|1975|2217|2261|2517|2593|2746|2752|3030|3615|3646|3691|4059|4192|5176|5589|10628|26060|26751|51386|57447|93100,ALDH3A2|CTSC|CIRBP|EEF1G|EEF2|EIF4B|FCGRT|FGFR3|FUCA1|GAMT|GLUD1|GLUL|HADHA|IMPDH2|EIF3E|ITGB4|BCAM|MDK|SERPINF1|PRKCSH|TXNIP|APPL1|SH3YL1|EIF3L|NDRG2|NAPRT,-8,down_common_genes
Cell Type Signatures,7,M39231,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-8.4,5.7,8.5,30286,381,250,18,7.2,1.6,32|847|1153|1938|2053|2261|2770|3030|3613|5037|5660|10144|23236|23363|25840|51280|55074|81618,ACACB|CAT|CIRBP|EEF2|EPHX2|FGFR3|GNAI1|HADHA|IMPA2|PEBP1|PSAP|FAM13A|PLCB1|OBSL1|TMT1A|GOLM1|OXR1|ITM2C,-6.1,down_common_genes
Cell Type Signatures,7,M40001,BUSSLINGER ESOPHAGEAL QUIESCENT BASAL CELLS,,-7.8,14,11,30286,77,250,9,3.6,1.2,224|1191|1937|1938|1975|2752|3488|3691|10628,ALDH3A2|CLU|EEF1G|EEF2|EIF4B|GLUL|IGFBP5|ITGB4|TXNIP,-5.6,down_common_genes
Cell Type Signatures,7,M39056,MANNO MIDBRAIN NEUROTYPES HRGL3,,-6.4,4,6.6,30286,574,250,19,7.6,1.7,214|223|1075|1191|1612|2261|3488|3667|4035|5660|7802|8100|8829|23363|55103|55893|81618|133686|200942,ALCAM|ALDH9A1|CTSC|CLU|DAPK1|FGFR3|IGFBP5|IRS1|LRP1|PSAP|DNALI1|IFT88|NRP1|OBSL1|RALGPS2|ZNF395|ITM2C|NADK2|KLHDC8B,-4.5,down_common_genes
DisGeNET,35,C0233794,Memory impairment,,-6.4,3.5,6.4,30286,763,250,22,8.8,1.8,274|847|1191|1612|2185|2752|3481|3667|4192|5071|5575|5578|5627|5660|7048|7067|9772|10347|10628|23552|23621|57447,BIN1|CAT|CLU|DAPK1|PTK2B|GLUL|IGF2|IRS1|MDK|PRKN|PRKAR1B|PRKCA|PROS1|PSAP|TGFBR2|THRA|TMEM94|ABCA7|TXNIP|CDK20|BACE1|NDRG2,-4.5,down_common_genes
Cell Type Signatures,7,M41707,FAN OVARY CL5 HEALTHY SELECTABLE FOLLICLE THECAL CELL,,-6.3,5.3,7.1,30286,318,250,14,5.6,1.5,30|223|847|1075|1938|5156|5176|8829|9646|10801|55186|57509|81618|112483,ACAA1|ALDH9A1|CAT|CTSC|EEF2|PDGFRA|SERPINF1|NRP1|CTR9|SEPTIN9|SLC25A36|MTUS1|ITM2C|SAT2,-4.4,down_common_genes
Cell Type Signatures,7,M39034,FAN EMBRYONIC CTX ASTROCYTE 2,,-6.2,7.9,7.8,30286,153,250,10,4,1.2,214|828|1191|2261|2746|2752|11041|25840|57447|81618,ALCAM|CAPS|CLU|FGFR3|GLUD1|GLUL|B4GAT1|TMT1A|NDRG2|ITM2C,-4.3,down_common_genes
Cell Type Signatures,7,M39077,ZHONG PFC MAJOR TYPES MICROGLIA,,-6.1,4.4,6.6,30286,438,250,16,6.4,1.5,2|274|1075|2040|2217|2548|2752|4094|5176|5660|8635|25840|27143|29116|81618|94134,A2M|BIN1|CTSC|STOM|FCGRT|GAA|GLUL|MAF|SERPINF1|PSAP|RNASET2|TMT1A|PALD1|MYLIP|ITM2C|ARHGAP12,-4.2,down_common_genes
Cell Type Signatures,7,M39051,MANNO MIDBRAIN NEUROTYPES HMGL,,-5.8,3.8,6.1,30286,577,250,18,7.2,1.6,2|274|1075|2040|2185|2217|4094|5176|5578|7048|8635|10628|25840|27143|29116|64798|80221|112574,A2M|BIN1|CTSC|STOM|PTK2B|FCGRT|MAF|SERPINF1|PRKCA|TGFBR2|RNASET2|TXNIP|TMT1A|PALD1|MYLIP|DEPTOR|ACSF2|SNX18,-4,down_common_genes
