GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0035239,tube morphogenesis,-2.7631904511267296,0.0,-2.294078597925516,-3.277908276606038,-6.710175046196865,-3.033149563103066,-5.76884634449948,0.0
GO:0007167,enzyme-linked receptor protein signaling pathway,-7.303336984057898,0.0,0.0,-3.2039718036097633,-3.413498520589624,-4.016545902980211,0.0,0.0
hsa05167,Kaposi sarcoma-associated herpesvirus infection,0.0,0.0,0.0,0.0,-19.91299410797836,-2.8152903396892803,0.0,-2.2962844821182604
M5890,HALLMARK TNFA SIGNALING VIA NFKB,0.0,0.0,0.0,0.0,-35.81809588352126,-5.836100511757409,0.0,-2.8315244175487964
M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,0.0,0.0,0.0,0.0,-12.614342738204737,-2.7400634575477505,-3.9713009064531937,-2.8315244175487964
GO:0071345,cellular response to cytokine stimulus,0.0,0.0,0.0,-2.0784907306771707,-14.463562678024488,-7.498622301646388,0.0,0.0
GO:0019221,cytokine-mediated signaling pathway,0.0,0.0,0.0,0.0,-15.909838953771702,-7.2876500570917635,0.0,0.0
R-HSA-1280215,Cytokine Signaling in Immune system,0.0,0.0,0.0,-2.6945528939456134,-37.83262759972359,-17.128093641829174,0.0,-4.815262670446888
WP5434,Pathways in cancer,-2.935223040978811,0.0,-2.9731992087453962,0.0,-16.519222041624385,-2.7771978856301787,0.0,0.0
R-HSA-5653656,Vesicle-mediated transport,0.0,0.0,0.0,-2.3852516491641897,-2.159446505622543,-2.6435319428740987,-6.450959736313013,-5.916694231221889
M5924,HALLMARK MTORC1 SIGNALING,0.0,-2.2326828172781834,0.0,0.0,-2.0604820841710083,0.0,-28.084645190605897,-3.4889728469178776
GO:0030163,protein catabolic process,-3.041287739810302,0.0,0.0,0.0,-8.963418347707547,0.0,-2.180371551211501,-6.6135561780091745
GO:0009611,response to wounding,-2.0310379647819503,-6.039015441294072,0.0,-2.3689644074058367,-3.3710325547247972,-5.293376648758676,-4.946584393317138,0.0
GO:0098657,import into cell,-3.053518219583554,-6.1016809429773975,0.0,-2.2098777324101184,-2.3691380928128245,-4.83635944086954,-3.460212954852223,0.0
R-HSA-6798695,Neutrophil degranulation,-6.918729396682818,-4.1742104168013,0.0,0.0,-9.445302019373106,-4.087147208424543,-4.348522031172724,0.0
R-HSA-382551,Transport of small molecules,-2.4597499090427126,-9.97593696599437,0.0,-2.5024111895138836,-5.0208456066659775,0.0,-3.270495431421157,0.0
GO:1901615,organic hydroxy compound metabolic process,-3.138156704192145,-16.522000533878657,0.0,0.0,0.0,-2.48195319330762,-10.567959684477417,0.0
R-HSA-556833,Metabolism of lipids,-3.688540019036782,-6.687608783260694,0.0,-6.700663189314231,0.0,0.0,-17.492504349017352,0.0
GO:0009725,response to hormone,-4.492089973515003,-3.9145865676909013,-2.919685532360791,0.0,0.0,-7.001076614097263,-2.970049049749416,0.0
R-HSA-9012999,RHO GTPase cycle,-3.409022310225558,0.0,-3.477049480220754,0.0,0.0,-3.8029671505901343,-3.5214963176585035,-2.4530802552709425
