Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
down_common_genes,GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-11,7.2,10,30286,614,130,19,15,3.1,652|2064|2261|2549|3481|3488|3693|4035|4054|4774|5296|7048|7049|7301|10454|10628|23770|27250|51196,BMP4|ERBB2|FGFR3|GAB1|IGF2|IGFBP5|ITGB5|LRP1|LTBP3|NFIA|PIK3R2|TGFBR2|TGFBR3|TYRO3|TAB1|TXNIP|FKBP8|PDCD4|PLCE1,-9.3
down_common_genes,GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-8.5,7.2,9,30286,488,130,15,12,2.8,652|678|1915|2064|2261|2549|3693|4054|4774|7048|7049|10454|23770|27250|29904,BMP4|ZFP36L2|EEF1A1|ERBB2|FGFR3|GAB1|ITGB5|LTBP3|NFIA|TGFBR2|TGFBR3|TAB1|FKBP8|PDCD4|EEF2K,-7.2
down_common_genes,GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-8.1,6.7,8.6,30286,520,130,15,12,2.8,652|678|1915|2064|2261|2549|3693|4054|4774|7048|7049|10454|23770|27250|29904,BMP4|ZFP36L2|EEF1A1|ERBB2|FGFR3|GAB1|ITGB5|LTBP3|NFIA|TGFBR2|TGFBR3|TAB1|FKBP8|PDCD4|EEF2K,-6.9
down_common_genes,GO Biological Processes,19,GO:0006518,peptide metabolic process,19_GO:0008152 metabolic process,-7.8,6.3,8.3,30286,551,130,15,12,2.8,290|1200|1915|1938|1975|3646|4048|5859|8665|23621|29904|51386|54760|55139|123283,ANPEP|TPP1|EEF1A1|EEF2|EIF4B|EIF3E|LTA4H|QARS1|EIF3F|BACE1|EEF2K|EIF3L|PCSK4|ANKZF1|TARS3,-6.6
down_common_genes,GO Biological Processes,19,GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,19_GO:0050896 response to stimulus,-7.2,12,9.6,30286,174,130,9,6.9,2.2,652|3693|4054|4774|7048|7049|10454|23770|27250,BMP4|ITGB5|LTBP3|NFIA|TGFBR2|TGFBR3|TAB1|FKBP8|PDCD4,-6
down_common_genes,WikiPathways,27,WP107,Translation factors,,-7.1,28,13,30286,50,130,6,4.6,1.8,1915|1938|1975|3646|8665|29904,EEF1A1|EEF2|EIF4B|EIF3E|EIF3F|EEF2K,-6
down_common_genes,GO Biological Processes,19,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,19_GO:0050896 response to stimulus,-6.9,11,9.2,30286,187,130,9,6.9,2.2,652|3693|4054|4774|7048|7049|10454|23770|27250,BMP4|ITGB5|LTBP3|NFIA|TGFBR2|TGFBR3|TAB1|FKBP8|PDCD4,-5.8
down_common_genes,KEGG Pathway,24,hsa05205,Proteoglycans in cancer,,-6.6,10,8.8,30286,203,130,9,6.9,2.2,1975|2064|2549|3481|3693|5296|5578|27250|51196,EIF4B|ERBB2|GAB1|IGF2|ITGB5|PIK3R2|PRKCA|PDCD4|PLCE1,-5.5
down_common_genes,GO Biological Processes,19,GO:0043549,regulation of kinase activity,19_GO:0008152 metabolic process,-6.3,5.7,7.2,30286,532,130,13,10,2.6,894|1915|2064|2261|5575|5859|7048|7301|10454|10961|27250|51149|64798,CCND2|EEF1A1|ERBB2|FGFR3|PRKAR1B|QARS1|TGFBR2|TYRO3|TAB1|ERP29|PDCD4|MRNIP|DEPTOR,-5.3
down_common_genes,Canonical Pathways,11,M121,PID MTOR 4PATHWAY,,-6.3,20,11,30286,69,130,6,4.6,1.8,1938|1975|5578|27250|29904|64798,EEF2|EIF4B|PRKCA|PDCD4|EEF2K|DEPTOR,-5.3
down_common_genes,WikiPathways,27,WP2261,Glioblastoma signaling pathways,,-5.8,17,9.6,30286,82,130,6,4.6,1.8,894|2064|2549|5296|5578|5608,CCND2|ERBB2|GAB1|PIK3R2|PRKCA|MAP2K6,-4.9
down_common_genes,WikiPathways,27,WP4566,Translation inhibitors in chronically activated PDGFRA cells,,-5.8,25,11,30286,46,130,5,3.8,1.7,1975|5296|5578|5608|27250,EIF4B|PIK3R2|PRKCA|MAP2K6|PDCD4,-4.8
down_common_genes,KEGG Pathway,24,hsa04151,PI3K-Akt signaling pathway,,-5.4,6.5,6.9,30286,359,130,10,7.7,2.3,894|1975|2064|2261|3481|3693|3912|5296|5578|23239,CCND2|EIF4B|ERBB2|FGFR3|IGF2|ITGB5|LAMB1|PIK3R2|PRKCA|PHLPP1,-4.5
down_common_genes,GO Biological Processes,19,GO:0051338,regulation of transferase activity,19_GO:0065007 biological regulation,-5.4,4.7,6.3,30286,639,130,13,10,2.6,894|1915|2064|2261|5575|5859|7048|7301|10454|10961|27250|51149|64798,CCND2|EEF1A1|ERBB2|FGFR3|PRKAR1B|QARS1|TGFBR2|TYRO3|TAB1|ERP29|PDCD4|MRNIP|DEPTOR,-4.5
down_common_genes,WikiPathways,27,WP437,EGF EGFR signaling pathway,,-5.2,10,7.7,30286,159,130,7,5.4,2,2064|2549|5037|5296|5578|9610|51196,ERBB2|GAB1|PEBP1|PIK3R2|PRKCA|RIN1|PLCE1,-4.3
down_common_genes,GO Biological Processes,19,GO:0043408,regulation of MAPK cascade,19_GO:0050896 response to stimulus,-5.2,4.5,6.1,30286,669,130,13,10,2.6,652|2064|2261|3481|5037|5296|5578|5608|5859|10454|10961|23239|27250,BMP4|ERBB2|FGFR3|IGF2|PEBP1|PIK3R2|PRKCA|MAP2K6|QARS1|TAB1|ERP29|PHLPP1|PDCD4,-4.3
down_common_genes,GO Biological Processes,19,GO:0046395,carboxylic acid catabolic process,19_GO:0008152 metabolic process,-5.1,8,7.1,30286,232,130,8,6.2,2.1,275|2746|2752|8309|10994|23475|51084|80724,AMT|GLUD1|GLUL|ACOX2|ILVBL|QPRT|CRYL1|ACAD10,-4.2
down_common_genes,GO Biological Processes,19,GO:0016054,organic acid catabolic process,19_GO:0008152 metabolic process,-5.1,8,7.1,30286,232,130,8,6.2,2.1,275|2746|2752|8309|10994|23475|51084|80724,AMT|GLUD1|GLUL|ACOX2|ILVBL|QPRT|CRYL1|ACAD10,-4.2
down_common_genes,GO Biological Processes,19,GO:0006412,translation,19_GO:0008152 metabolic process,-5.1,5.9,6.5,30286,392,130,10,7.7,2.3,1915|1938|1975|3646|5859|8665|29904|51386|55139|123283,EEF1A1|EEF2|EIF4B|EIF3E|QARS1|EIF3F|EEF2K|EIF3L|ANKZF1|TARS3,-4.2
down_common_genes,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-5.1,4.4,6,30286,682,130,13,10,2.6,290|652|2549|2752|2909|4035|5578|7048|7049|23059|23552|79600|113026,ANPEP|BMP4|GAB1|GLUL|ARHGAP35|LRP1|PRKCA|TGFBR2|TGFBR3|CLUAP1|CDK20|TCTN1|PLCD3,-4.2
down_common_genes,WikiPathways,27,WP244,Alpha 6 beta 4 signaling pathway,,-4.9,28,10,30286,33,130,4,3.1,1.5,2549|3912|5296|5578,GAB1|LAMB1|PIK3R2|PRKCA,-4.1
down_common_genes,WikiPathways,27,WP5434,Pathways in cancer,,-4.9,5,6,30286,509,130,11,8.5,2.4,652|894|1612|2064|2261|3481|3912|5296|5578|7048|27436,BMP4|CCND2|DAPK1|ERBB2|FGFR3|IGF2|LAMB1|PIK3R2|PRKCA|TGFBR2|EML4,-4
