Cluster,Score,Type,Gene,Symbol,Network
2,2.5,Seed,51386,EIF3L,down_common_genes_SUB1
2,2.5,Clustered,1975,EIF4B,down_common_genes_SUB1
2,2.5,Clustered,114987,WDR31,down_common_genes_SUB1
2,2.5,Clustered,8665,EIF3F,down_common_genes_SUB1
2,2.5,Clustered,3646,EIF3E,down_common_genes_SUB1
2,2.5,Clustered,51149,MRNIP,down_common_genes_SUB1
1,1.75,Clustered,5296,PIK3R2,down_common_genes_SUB1
1,1.75,Seed,113026,PLCD3,down_common_genes_SUB1
1,1.75,Clustered,222484,LNX2,down_common_genes_SUB1
1,1.75,Clustered,2549,GAB1,down_common_genes_SUB1
1,1.75,Clustered,2064,ERBB2,down_common_genes_SUB1
1,1.75,Clustered,2261,FGFR3,down_common_genes_SUB1
1,1.75,Clustered,51196,PLCE1,down_common_genes_SUB1
1,1.75,Clustered,5578,PRKCA,down_common_genes_SUB1
3,1.4000000000000001,Seed,7086,TKT,down_common_genes_SUB1
3,1.4000000000000001,Clustered,4833,NME4,down_common_genes_SUB1
3,1.4000000000000001,Clustered,5037,PEBP1,down_common_genes_SUB1
3,1.4000000000000001,Clustered,1915,EEF1A1,down_common_genes_SUB1
3,1.4000000000000001,Clustered,123283,TARS3,down_common_genes_SUB1
4,1.0,Seed,51082,POLR1D,down_common_genes_SUB1
4,1.0,Clustered,64425,POLR1E,down_common_genes_SUB1
4,1.0,Clustered,81488,POLR2M,down_common_genes_SUB1
1,2.5,Clustered,336,APOA2,down_epi_only_SUB1
1,2.5,Clustered,338,APOB,down_epi_only_SUB1
1,2.5,Clustered,341,APOC1,down_epi_only_SUB1
1,2.5,Clustered,335,APOA1,down_epi_only_SUB1
1,2.5,Seed,350,APOH,down_epi_only_SUB1
1,2.5,Clustered,4481,MSR1,down_epi_only_SUB1
2,2.0,Clustered,4586,MUC5AC,down_epi_only_SUB1
2,2.0,Seed,192134,B3GNT6,down_epi_only_SUB1
2,2.0,Clustered,2650,GCNT1,down_epi_only_SUB1
