GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
C0011644,Scleroderma,0.0,0.0,0.0,0.0,-11.093077375361187,-2.502140996062264,0.0,0.0
C0375023,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,0.0,0.0,0.0,0.0,-10.67929330972797,-2.7814931536597354,0.0,-2.160415751309893
C1333064,Classical Hodgkin's Lymphoma,0.0,0.0,0.0,0.0,-11.879409193028277,0.0,0.0,0.0
C2347747,Adult Classical Hodgkin Lymphoma,0.0,0.0,0.0,0.0,-11.305505591570952,0.0,0.0,0.0
C1290884,Inflammatory disorder,0.0,0.0,0.0,0.0,-10.382657341944169,0.0,0.0,0.0
C1868683,"B-CELL MALIGNANCY, LOW-GRADE",0.0,0.0,0.0,0.0,-11.24842043416023,0.0,0.0,0.0
C0026896,Myasthenia Gravis,0.0,0.0,0.0,0.0,-12.535658681507078,0.0,0.0,0.0
C0011603,Dermatitis,0.0,0.0,0.0,0.0,-11.006915393018254,0.0,0.0,-4.596332895433132
C3714514,Infection,0.0,0.0,0.0,0.0,-13.72387666670641,0.0,0.0,-4.054747393269225
C0220644,Childhood Hodgkin Lymphoma,0.0,0.0,0.0,0.0,-11.111006431984796,0.0,0.0,-5.720643563511683
C0220597,Adult Hodgkin Lymphoma,0.0,0.0,0.0,0.0,-11.111006431984796,0.0,0.0,-5.720643563511683
C0151449,Primary Sjögren's syndrome,0.0,0.0,0.0,0.0,-13.162076911590574,0.0,0.0,-2.8312187277899032
C2062441,Influenza A,0.0,0.0,0.0,0.0,-12.370294804814478,0.0,0.0,-2.951473534898696
C3495559,Juvenile arthritis,0.0,0.0,0.0,0.0,-13.678665672036457,0.0,-2.622841697629234,-2.7625551025794777
C0021368,Inflammation,0.0,-3.5820765436916955,0.0,0.0,-10.67929330972797,0.0,0.0,-4.285713700161343
C0004943,Behcet Syndrome,0.0,-3.240256204211712,0.0,0.0,-12.613657043391393,0.0,0.0,-2.884003723105856
C0153690,Secondary malignant neoplasm of bone,0.0,-2.508712514453144,-2.8933014735997884,0.0,-10.996545154627487,0.0,0.0,-2.421839816236323
C0004623,Bacterial Infections,0.0,0.0,0.0,0.0,-13.110816220845853,-2.238161361527714,-4.157173890500456,-4.6275450523529855
C0038013,Ankylosing spondylitis,0.0,0.0,0.0,0.0,-10.859301821036958,-3.8320215612822914,-2.1872341617741267,-2.4959895586862024
C2316810,Chronic kidney disease stage 5,0.0,-12.108590992876543,0.0,0.0,-3.594731668334552,-3.213873770815791,-2.8439744877871393,0.0
