GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
TRR01268,Regulated by: SREBF1,0.0,0.0,0.0,0.0,0.0,0.0,-4.5748448537356925,0.0
TRR00027,Regulated by: ATF6,0.0,0.0,0.0,0.0,0.0,0.0,-6.091817413956881,0.0
TRR01512,Regulated by: USF1,0.0,-5.298693660596542,0.0,0.0,0.0,0.0,0.0,0.0
TRR00500,Regulated by: HNF4A,0.0,-5.4071961930279295,0.0,0.0,0.0,0.0,0.0,0.0
TRR00023,Regulated by: ATF2,0.0,0.0,0.0,0.0,0.0,-4.622253750863612,0.0,0.0
TRR01270,Regulated by: SRF,0.0,0.0,0.0,0.0,0.0,-4.086250183158576,0.0,0.0
TRR01400,Regulated by: TFAP2A,-4.612733461785142,0.0,0.0,0.0,0.0,-3.023084778303702,0.0,0.0
TRR00489,Regulated by: HIVEP2,0.0,0.0,0.0,0.0,-7.273578122400118,0.0,0.0,0.0
TRR00780,Regulated by: MYC,0.0,0.0,0.0,0.0,-7.715021053238108,0.0,0.0,0.0
TRR01277,Regulated by: STAT3,0.0,0.0,0.0,0.0,-6.202752474051424,0.0,0.0,0.0
TRR01157,Regulated by: REL,0.0,0.0,0.0,0.0,-4.261305707291559,0.0,0.0,0.0
TRR00117,Regulated by: CIITA,0.0,0.0,0.0,0.0,-5.069351463798901,0.0,0.0,0.0
TRR00877,Regulated by: NFKBIA,0.0,0.0,0.0,0.0,-4.712571647929844,0.0,0.0,0.0
TRR01419,Regulated by: TP53,0.0,0.0,0.0,0.0,-4.117360588810216,0.0,0.0,0.0
TRR01259,Regulated by: SP3,0.0,0.0,0.0,0.0,-4.19021982020244,0.0,0.0,0.0
TRR00602,Regulated by: IRF1,0.0,0.0,0.0,0.0,-5.353973949646997,-2.7512406266727236,0.0,0.0
TRR01275,Regulated by: STAT1,0.0,0.0,0.0,0.0,-4.9764902318700095,0.0,0.0,-2.0386311209600727
TRR00875,Regulated by: NFKB1,0.0,-2.4443121241965247,0.0,0.0,-19.756936807129154,-2.2959730462252295,0.0,0.0
TRR01158,Regulated by: RELA,0.0,-2.5025393508860945,0.0,0.0,-19.965143000561262,-2.3455464912098387,0.0,0.0
TRR01256,Regulated by: SP1,0.0,-2.2054583563410852,0.0,0.0,-6.707126147146027,0.0,-3.9547326067924002,0.0
