GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0048511,rhythmic process,0.0,0.0,-4.29583675570952,0.0,-2.280659851627293,0.0,0.0,-2.957014011701486
GO:0022414,reproductive process,-3.5179956658326152,-2.0290894868849807,-4.1117040892069,0.0,-3.02384152776994,0.0,-2.2709348133242746,0.0
GO:0044419,biological process involved in interspecies interaction between organisms,0.0,-2.4617994653371023,0.0,0.0,-11.158853059148178,0.0,0.0,-9.957665933514608
GO:0002376,immune system process,-2.012477074523936,-2.242524466788104,0.0,0.0,-10.893291086160355,-2.9474673652311076,-2.4620901886945084,-5.426166017331009
GO:0016032,viral process,-3.563178492815047,0.0,0.0,0.0,-3.146752959730187,0.0,0.0,-3.839016813153613
GO:0098754,detoxification,0.0,-3.828297511644552,0.0,0.0,0.0,0.0,-3.010483418728398,0.0
GO:0051179,localization,-2.4274083488265883,-8.515159756339449,-4.9849770204125,-4.49473063780197,-4.133084605499894,-6.822747504468648,-6.189153888642834,-9.192898201706146
GO:0032501,multicellular organismal process,-2.959008609530502,-8.510067869521027,-5.621676010345596,-4.838961938151446,-9.187695274278349,-5.0943934547010565,-4.233187147657519,-3.282080342645365
GO:0009987,cellular process,-2.8125480275684107,-8.510067869521027,-3.7731544253332823,-3.24546795039086,-5.335512868141107,-10.420394133886811,-10.078842574816349,-3.2930084476774133
GO:0065007,biological regulation,-4.192769975999544,-9.662969841120729,-3.2581777339909426,-5.175980816915849,-5.053877095319616,-3.177170332029826,-7.303759698537564,-2.701586812342845
GO:0042592,homeostatic process,-3.4908412307183547,-3.852703331252372,-4.198311009127908,-2.071926739656641,-4.146089769359536,-5.41026845643336,-3.3329242818519185,-3.0946571239383376
GO:0048519,negative regulation of biological process,-4.576580554017223,-5.642722070995352,-4.671835255047281,-7.18196185126093,-5.504073646961349,-3.6632388950376966,-3.186969962143778,-4.231443874436262
GO:0048518,positive regulation of biological process,-3.9483935554261067,-4.66255171924151,-4.3944295993350835,-6.047022061841071,-11.622103488678764,-5.149215486558766,-4.8825000623996155,-7.073146272856615
GO:0032502,developmental process,-5.840578680796845,-4.82897012640267,-11.06757574701756,-9.414995790570599,-8.304223655482943,-9.835068767529794,-3.5740226436281652,-3.50632423636727
GO:0008152,metabolic process,-6.253794056767815,-11.521702953626871,-3.750287190227913,-6.353606808505552,-16.988960321176236,-3.041218464729933,-22.33949542515864,-7.297030187960231
GO:0050896,response to stimulus,-7.655253551148266,-5.251265084712675,-6.439819544177614,-4.262032405161125,-16.05995528132658,-9.322474706062822,-12.548156081364757,-5.234206102672857
GO:0050789,regulation of biological process,-2.837420533389447,-9.838917396598518,-8.813950702517818,-7.799755854520723,-7.195284846045086,-7.719857571439064,0.0,-2.419495512558057
GO:0040007,growth,0.0,0.0,-6.141236362007624,-4.651329101019092,-2.3694789416717272,-3.1919163134024675,0.0,-2.1610718338323776
GO:0040011,locomotion,-2.562028827266699,0.0,-2.8979078559882345,-4.479763180791185,-10.815335624150663,-5.69499150455079,0.0,-5.259179711141671
