_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,1,1,1,0,0,-3.9,-2.5,-7.3,-2.8,-2.9,-3.2,0,0,GO:0009725,response to hormone,M11111100,6,0
1,0,1,1,1,1,0,1,-4.4,0,-2.8,-2.4,-8.4,-4.6,0,-3.5,GO:0007507,heart development,M10111101,6,0
1,1,0,1,1,1,1,0,-3.3,-4.1,0,-4.7,-2.7,-5.2,-2.3,0,GO:0048732,gland development,M11011110,6,0
1,1,1,0,1,1,0,0,-4.7,-3.2,-4.7,0,-8.5,-4.5,0,0,GO:0009792,embryo development ending in birth or egg hatching,M11101100,5,0
0,0,1,0,1,1,1,1,0,0,-4.2,0,-7.1,-2.8,-3.5,-15,R-HSA-5653656,Vesicle-mediated transport,M00101111,5,0
1,1,0,1,0,1,1,0,-2.3,-6.8,0,-4.3,0,-2.5,-2.1,0,M5907,HALLMARK ESTROGEN RESPONSE LATE,M11010110,5,0
1,0,1,1,1,1,0,0,-3.1,0,-3.7,-3,-8.4,-5.7,0,0,GO:0060562,epithelial tube morphogenesis,M10111100,5,0
0,0,0,1,1,1,1,1,0,0,0,-4.4,-6.3,-2.9,-2.7,-2,R-HSA-9012999,RHO GTPase cycle,M00011111,5,0
0,0,1,1,1,1,1,0,0,0,-2.1,-3.9,-11,-3.5,-2.2,0,WP3888,VEGFA VEGFR2 signaling,M00111110,5,0
0,1,1,1,1,1,0,0,0,-2.3,-3.1,-2.7,-2.1,-4.1,0,0,GO:0006897,endocytosis,M01111100,5,0
1,0,1,1,1,1,0,0,-2,0,-2.8,-3.1,-13,-6.6,0,0,GO:0002009,morphogenesis of an epithelium,M10111100,5,0
1,0,1,1,1,1,0,0,-2.1,0,-2.7,-3.7,-6.2,-5.6,0,0,GO:0045937,positive regulation of phosphate metabolic process,M10111100,5,0
1,0,1,1,1,1,0,0,-2.1,0,-2.7,-3.7,-6.2,-5.6,0,0,GO:0010562,positive regulation of phosphorus metabolic process,M10111100,5,0
0,1,1,1,1,1,0,0,0,-5,-2.3,-2.1,-6.9,-3.1,0,0,GO:0030855,epithelial cell differentiation,M01111100,5,0
1,0,1,1,1,1,0,0,-2.3,0,-5.2,-2.8,-4.8,-2,0,0,GO:0070482,response to oxygen levels,M10111100,5,0
0,1,1,1,1,1,0,0,0,-3.8,-3,-3.7,-2.9,-3.7,0,0,GO:0098657,import into cell,M01111100,5,0
0,0,0,1,1,1,1,1,0,0,0,-3.2,-10,-3.7,-2.3,-2.2,R-HSA-194315,Signaling by Rho GTPases,M00011111,5,0
0,0,1,1,1,1,0,1,0,0,-3.3,-3,-7.8,-5.8,0,-2,GO:0045596,negative regulation of cell differentiation,M00111101,5,0
1,1,1,0,1,1,0,0,-3.6,-3.5,-3.9,0,-4.9,-2.5,0,0,GO:0001701,in utero embryonic development,M11101100,5,0
1,1,1,0,1,1,0,0,-4.9,-2.6,-4.9,0,-8.8,-4.2,0,0,GO:0043009,chordate embryonic development,M11101100,5,0
0,0,1,1,1,1,0,1,0,0,-3.7,-3.5,-15,-7.9,0,-2.1,GO:0048729,tissue morphogenesis,M00111101,5,0
1,0,1,1,1,1,0,0,-2.6,0,-2.8,-4.4,-21,-8.7,0,0,GO:0035239,tube morphogenesis,M10111100,5,0
1,0,1,1,1,1,0,0,-2.5,0,-5.6,-3,-3.8,-2.3,0,0,GO:0036293,response to decreased oxygen levels,M10111100,5,0
1,0,1,1,1,1,0,0,-2,0,-2.4,-4.2,-5.7,-5.5,0,0,GO:0042327,positive regulation of phosphorylation,M10111100,5,0
1,1,0,0,1,1,0,1,-3.2,-2.1,0,0,-2.4,-3.3,0,-2.1,GO:0030323,respiratory tube development,M11001101,5,0
0,0,1,0,1,1,1,1,0,0,-3.5,0,-3.1,-2.6,-2.5,-4.5,GO:0061024,membrane organization,M00101111,5,0
