_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,1,1,1,1,0,1,-2.6,0,-2.4,-4.4,-54,-4.9,0,-20,M39175,M10111101,6,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-54,13,27,30293,680,234,67,29,3,60|71|87|378|633|861|1072|1266|1277|1490|1499|2335|3371|3491|3589|3624|3685|3976|4017|4053|4134|4478|4627|5054|5216|5329|5743|5791|6251|6282|6498|7041|7045|7057|7168|7171|8460|8553|8560|8728|8870|9645|9902|10019|10487|11031|23012|25932|25937|25960|26064|29940|29995|51026|51148|51177|51330|51339|54587|56937|60626|64778|80176|84790|91010|91663|115908,ACTB|ACTG1|ACTN1|ARF4|BGN|RUNX1|CFL1|CNN3|COL1A1|CCN2|CTNNB1|FN1|TNC|CCN1|IL11|INHBA|ITGAV|LIF|LOXL2|LTBP2|MAP4|MSN|MYH9|SERPINE1|PFN1|PLAUR|PTGS2|PTPRE|RSU1|S100A11|SKIL|TGFB1I1|TGFBI|THBS1|TPM1|TPM4|TPST1|BHLHE40|DEGS1|ADAM19|IER3|MICAL2|MRC2|SH2B3|CAP1|RAB31|STK38L|CLIC4|WWTR1|ADGRA2|RAI14|DSE|LMCD1|GOLT1B|CERCAM|PLEKHO1|TNFRSF12A|DACT1|MXRA8|PMEPA1|RIC8A|FNDC3B|SPSB1|TUBA1C|FMNL3|MYADM|CTHRC1,-49,0
1,1,0,0,0,0,0,0,-2.7,-44,0,0,0,0,0,0,M40234,M11000000,2,0,Cell Type Signatures,7,DESCARTES FETAL LIVER HEPATOBLASTS,,-44,10,23,30293,500,367,63,17,2,13|173|174|216|259|335|338|350|433|729|1244|1644|1733|1852|1962|2168|2330|2620|2705|2731|2939|3026|3158|3174|3698|4224|4547|5053|5174|5345|6819|7068|7274|7276|7366|7429|8431|10110|10247|10840|10841|10861|27134|27165|28999|29974|51085|51156|55195|79814|92840|134548|151258|163183|255738|256394|256764|257407|257629|283375|319089|342979|100996492,AADAC|AFM|AFP|ALDH1A1|AMBP|APOA1|APOB|APOH|ASGR2|C6|ABCC2|DDC|DIO1|DUSP9|EHHADH|FABP1|FMO5|GAS2|GJB1|GLDC|GSTA2|HABP2|HMGCS2|HNF4G|ITIH2|MEP1A|MTTP|PAH|PDZK1|SERPINF2|SULT1C2|THRB|TTPA|TTR|UGT2B15|VIL1|NR0B2|SGK2|RIDA|ALDH1L1|FTCD|SLC26A1|TJP3|GLS2|KLF15|A1CF|MLXIPL|SERPINA10|CCDC198|AGMAT|REEP6|SOWAHA|SLC38A11|SYNE4|PCSK9|SERPINA11|WDR72|C2orf72|ANKS4B|SLC39A5|TTC6|PALM3|CTXND1,-40,0
1,1,0,0,0,0,0,0,-5.4,-27,0,0,0,0,0,0,M39115,M11000000,2,0,Cell Type Signatures,7,AIZARANI LIVER C11 HEPATOCYTES 1,,-27,11,18,30293,298,367,38,10,1.6,13|34|173|216|259|335|338|350|433|729|1892|1962|2168|2330|2628|2690|2938|2939|3158|3248|3698|4522|4547|5005|5053|5345|7276|7366|10247|10840|10841|10935|11001|28999|29974|51085|133686|256394,AADAC|ACADM|AFM|ALDH1A1|AMBP|APOA1|APOB|APOH|ASGR2|C6|ECHS1|EHHADH|FABP1|FMO5|GATM|GHR|GSTA1|GSTA2|HMGCS2|HPGD|ITIH2|MTHFD1|MTTP|ORM2|PAH|SERPINF2|TTR|UGT2B15|RIDA|ALDH1L1|FTCD|PRDX3|SLC27A2|KLF15|A1CF|MLXIPL|NADK2|SERPINA11,-23,0
0,0,0,1,1,1,0,1,0,0,0,-21,-26,-23,0,-2.5,M41700,M00011101,4,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-26,7.8,16,30293,726,234,44,19,2.6,60|71|87|378|387|861|1263|1499|2120|2354|3685|4478|4616|4627|5045|5216|5271|5329|5743|6282|6483|6498|7045|7057|7071|7171|7408|8460|8728|8870|9260|10019|10049|10092|11031|22919|25932|26286|29940|56937|57514|64778|80149|387521,ACTB|ACTG1|ACTN1|ARF4|RHOA|RUNX1|PLK3|CTNNB1|ETV6|FOSB|ITGAV|MSN|GADD45B|MYH9|FURIN|PFN1|SERPINB8|PLAUR|PTGS2|S100A11|ST3GAL2|SKIL|TGFBI|THBS1|KLF10|TPM4|VASP|TPST1|ADAM19|IER3|PDLIM7|SH2B3|DNAJB6|ARPC5|RAB31|MAPRE1|CLIC4|ARFGAP3|DSE|PMEPA1|ARHGAP31|FNDC3B|ZC3H12A|PEDS1,-22,0
0,1,0,0,0,0,0,0,0,-26,0,0,0,0,0,0,M40212,M01000000,1,0,Cell Type Signatures,7,DESCARTES FETAL INTESTINE INTESTINAL EPITHELIAL CELLS,,-26,11,18,30293,276,367,36,9.8,1.6,13|126|173|174|335|338|729|1244|2168|2705|2938|2939|4224|4547|5625|6505|6819|7015|7103|10840|27134|54810|55195|64080|79774|79814|80004|92840|117247|132158|140893|155465|196410|222643|257407|284422,AADAC|ADH1C|AFM|AFP|APOA1|APOB|C6|ABCC2|FABP1|GJB1|GSTA1|GSTA2|MEP1A|MTTP|PRODH|SLC1A1|SULT1C2|TERT|TSPAN8|ALDH1L1|TJP3|GIPC2|CCDC198|RBKS|GRTP1|AGMAT|ESRP2|REEP6|SLC16A10|GLYCTK|RBBP8NL|AGR3|TMT1B|UNC5CL|C2orf72|SMIM24,-22,0
0,0,0,1,1,1,0,0,0,0,0,-7,-25,-4.6,0,0,M41716,M00011100,3,0,Cell Type Signatures,7,FAN OVARY CL14 MATURE SMOOTH MUSCLE CELL,,-25,13,19,30293,306,234,31,13,2.2,60|87|387|388|633|1397|1465|2354|2778|3315|3491|3726|4162|4616|5216|6251|6282|6876|7041|7071|7168|7171|8870|9260|10092|10398|10487|23022|25932|91663|140606,ACTB|ACTN1|RHOA|RHOB|BGN|CRIP2|CSRP1|FOSB|GNAS|HSPB1|CCN1|JUNB|MCAM|GADD45B|PFN1|RSU1|S100A11|TAGLN|TGFB1I1|KLF10|TPM1|TPM4|IER3|PDLIM7|ARPC5|MYL9|CAP1|PALLD|CLIC4|MYADM|SELENOM,-21,0
1,1,0,0,0,0,0,0,-7.6,-23,0,0,0,0,0,0,M40287,M11000000,2,0,Cell Type Signatures,7,DESCARTES FETAL SPLEEN AFP ALB POSITIVE CELLS,,-23,13,18,30293,188,367,29,7.9,1.4,174|259|335|338|350|433|1468|1852|2168|2330|2628|2705|2731|2938|3026|3158|3698|4547|5053|5345|5618|6819|7276|10841|11001|29974|54884|64080|283375,AFP|AMBP|APOA1|APOB|APOH|ASGR2|SLC25A10|DUSP9|FABP1|FMO5|GATM|GJB1|GLDC|GSTA1|HABP2|HMGCS2|ITIH2|MTTP|PAH|SERPINF2|PRLR|SULT1C2|TTR|FTCD|SLC27A2|A1CF|RETSAT|RBKS|SLC39A5,-19,0
1,1,0,0,0,0,0,0,-5.1,-22,0,0,0,0,0,0,M40276,M11000000,2,0,Cell Type Signatures,7,DESCARTES FETAL PLACENTA AFP ALB POSITIVE CELLS,,-22,13,17,30293,171,367,27,7.4,1.4,174|259|335|338|350|433|1244|1644|1733|2168|2330|2938|3158|3698|4224|5053|5345|7276|10247|10841|27165|29974|51085|51156|92840|283375|326625,AFP|AMBP|APOA1|APOB|APOH|ASGR2|ABCC2|DDC|DIO1|FABP1|FMO5|GSTA1|HMGCS2|ITIH2|MEP1A|PAH|SERPINF2|TTR|RIDA|FTCD|GLS2|A1CF|MLXIPL|SERPINA10|REEP6|SLC39A5|MMAB,-18,0
0,0,1,1,1,1,0,1,0,0,-4.5,-4.3,-21,-7,0,-4.1,M41659,M00111101,5,0,Cell Type Signatures,7,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 1 CELL,,-21,10,16,30293,391,234,31,13,2.2,60|71|1030|1397|1490|1906|2335|3315|3491|3855|3918|4092|4616|5743|5791|6237|6876|7126|7171|9780|10092|10272|10398|11031|27295|51177|51330|55679|55700|91252|91663,ACTB|ACTG1|CDKN2B|CRIP2|CCN2|EDN1|FN1|HSPB1|CCN1|KRT7|LAMC2|SMAD7|GADD45B|PTGS2|PTPRE|RRAS|TAGLN|TNFAIP1|TPM4|PIEZO1|ARPC5|FSTL3|MYL9|RAB31|PDLIM3|PLEKHO1|TNFRSF12A|LIMS2|MAP7D1|SLC39A13|MYADM,-18,0
0,0,1,1,1,1,0,1,0,0,-11,-10,-20,-6.7,0,-4.2,M39050,M00111101,5,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPERIC,,-20,6.5,14,30293,795,234,40,17,2.5,87|633|861|1959|2335|2354|3315|3491|3685|3726|4017|4162|4478|4616|4627|5216|5329|5743|6237|6251|6876|7040|7045|7126|7171|8407|9780|9902|10019|10398|11346|23597|25937|25960|51339|56937|64778|83786|91010|91663,ACTN1|BGN|RUNX1|EGR2|FN1|FOSB|HSPB1|CCN1|ITGAV|JUNB|LOXL2|MCAM|MSN|GADD45B|MYH9|PFN1|PLAUR|PTGS2|RRAS|RSU1|TAGLN|TGFB1|TGFBI|TNFAIP1|TPM4|TAGLN2|PIEZO1|MRC2|SH2B3|MYL9|SYNPO|ACOT9|WWTR1|ADGRA2|DACT1|PMEPA1|FNDC3B|FRMD8|FMNL3|MYADM,-17,0
