GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
C2973725,Pulmonary arterial hypertension,0.0,0.0,0.0,0.0,-10.029100695773595,-2.729524957534025,0.0,0.0
C1845050,"PIGMENTARY DISORDER, RETICULATE, WITH SYSTEMIC MANIFESTATIONS",0.0,0.0,0.0,0.0,-10.019945342838408,-2.9572713524568353,0.0,0.0
C0022548,Keloid,0.0,0.0,0.0,0.0,-20.226352557946704,-2.9998685258150886,0.0,0.0
C0042133,Uterine Fibroids,0.0,0.0,-3.6689923781421854,0.0,-11.504172128712193,-2.7264622041945397,0.0,0.0
C0023267,Fibroid Tumor,-2.30781975457854,-2.312934134953348,-3.6623100960938544,0.0,-11.798425081836532,-2.729524957534025,0.0,0.0
C0151650,Renal fibrosis,0.0,0.0,-3.1931564965334274,-2.410316441477291,-14.039219904033528,-4.547126244646377,0.0,0.0
C4551686,Malignant neoplasm of soft tissue,0.0,0.0,-5.44308131142948,-4.905797991223778,-10.345472415142293,-2.9633901656359622,0.0,0.0
C0740391,Middle Cerebral Artery Occlusion,0.0,0.0,-3.197983610216908,-4.248474002032494,-5.067253621448,-10.919215892783113,0.0,0.0
C0158266,Intervertebral Disc Degeneration,0.0,0.0,-3.350117022972361,-2.7683404530204094,-10.565431900910633,0.0,0.0,0.0
C3203102,Idiopathic pulmonary arterial hypertension,0.0,0.0,0.0,-7.495036450824236,-10.079865472993173,-3.5928455278657307,0.0,0.0
C0153690,Secondary malignant neoplasm of bone,0.0,0.0,0.0,-4.69488172697416,-10.30934102042417,-4.256800179521136,0.0,0.0
C0027626,Neoplasm Invasiveness,0.0,0.0,0.0,-2.0845864330990898,-10.481102941080744,-3.186924904121086,0.0,0.0
C0016057,Fibrosarcoma,0.0,0.0,0.0,-2.272200945290003,-10.90224327841377,-4.809097394204619,0.0,0.0
C0035126,Reperfusion Injury,0.0,0.0,0.0,-9.919881795522908,-2.043408376239825,-4.033779732428087,0.0,0.0
C0151744,Myocardial Ischemia,-3.5614452133555345,0.0,0.0,-4.493361435520189,-11.072584489007722,-6.090185325483676,0.0,0.0
C0521158,Recurrent tumor,0.0,-2.3930022692690063,0.0,-2.093354935123081,-9.15806654578448,-11.039990090819048,-2.6298230285426607,0.0
C0030297,Pancreatic Neoplasm,0.0,-4.165465365804462,-3.89384792275754,-4.438849739680904,-12.487689850347605,-8.16727629983589,0.0,0.0
C0024796,Marfan Syndrome,0.0,0.0,0.0,-2.0042164758000722,-10.531739599296962,0.0,0.0,-3.658852101167435
C0011644,Scleroderma,0.0,0.0,0.0,-2.985231872366253,-14.149046405583832,0.0,0.0,-3.706579513973929
C0002793,Anaplasia,-2.037335063858708,0.0,0.0,-2.5875797892974255,-10.378690456633983,0.0,0.0,0.0
