_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,CHILD_GO_down_common_genes,CHILD_GO_down_epi_only,CHILD_GO_down_mes_only,CHILD_GO_down_mes_up_epi,CHILD_GO_up_common_genes,CHILD_GO_up_epi_only,CHILD_GO_up_mes_down_epi,CHILD_GO_up_mes_only
1,1,1,1,1,1,1,1,-14.199562846429872,-13.225475408325162,-4.711011697752706,-5.2979707692133235,-9.864041940820652,-5.705315207943674,-13.550204074393362,-6.838601888513229,GO:0008152,metabolic process,M11111111,8,GO:0044282 small molecule catabolic process,GO:1901615 organic hydroxy compound metabolic process,GO:0016241 regulation of macroautophagy,GO:0016310 phosphorylation,GO:0051090 regulation of DNA-binding transcription factor activity,GO:0051043 regulation of membrane protein ectodomain proteolysis,GO:0008610 lipid biosynthetic process,GO:0051604 protein maturation
1,1,1,1,1,1,1,1,-10.231262002016509,-6.694133071839155,-3.482227299852165,-5.965669718904296,-19.871360680481065,-7.021978435902882,-7.10807395776091,-4.08961705172769,GO:0050896,response to stimulus,M11111111,8,GO:0006979 response to oxidative stress,GO:0006805 xenobiotic metabolic process,GO:0016055 Wnt signaling pathway,GO:0000165 MAPK cascade,GO:0019221 cytokine-mediated signaling pathway,GO:0071345 cellular response to cytokine stimulus,GO:0042060 wound healing,GO:0036295 cellular response to increased oxygen levels
1,1,1,1,1,1,1,1,-6.448827684115476,-5.958297382765932,-5.397367071317602,-4.981427791891274,-5.951365552183543,-4.129079934308251,-4.924259638537629,-3.2619254986522996,GO:0032502,developmental process,M11111111,8,GO:0060509 type I pneumocyte differentiation,GO:0030855 epithelial cell differentiation,GO:0120039 plasma membrane bounded cell projection morphogenesis,GO:0035239 tube morphogenesis,GO:0030097 hemopoiesis,GO:0045596 negative regulation of cell differentiation,GO:0060348 bone development,GO:0001568 blood vessel development
1,1,1,1,1,1,1,1,-4.345643085585992,-11.978282025915314,-3.9039986129720434,-2.9273659677886528,-7.059097705579114,-2.434821151826753,-5.186049655866897,-2.9977505986436666,GO:0065007,biological regulation,M11111111,8,GO:0051338 regulation of transferase activity,GO:0010817 regulation of hormone levels,GO:0050803 regulation of synapse structure or activity,GO:0051098 regulation of binding,GO:0044092 negative regulation of molecular function,GO:0010817 regulation of hormone levels,GO:0007599 hemostasis,GO:0051338 regulation of transferase activity
1,1,1,1,1,1,1,1,-4.247119087566861,-5.327132969667292,-6.029001050710414,-4.8999778221670445,-9.67893353158812,-4.406182089062873,-3.52600658844568,-3.094917662592577,GO:0050789,regulation of biological process,M11111111,8,GO:0120035 regulation of plasma membrane bounded cell projection organization,GO:0097006 regulation of plasma lipoprotein particle levels,GO:1901888 regulation of cell junction assembly,GO:0110053 regulation of actin filament organization,GO:0022407 regulation of cell-cell adhesion,GO:0022407 regulation of cell-cell adhesion,GO:0120035 regulation of plasma membrane bounded cell projection organization,GO:0010821 regulation of mitochondrion organization
1,0,1,1,1,1,0,0,-4.013709343514213,0.0,-2.6654505324661577,-2.622212816862799,-2.711456368974007,-2.201378209014725,0.0,0.0,GO:0040007,growth,M10111100,5,GO:0048846 axon extension involved in axon guidance,,GO:0048589 developmental growth,GO:0035264 multicellular organism growth,GO:0043403 skeletal muscle tissue regeneration,GO:0048589 developmental growth,,
1,1,1,1,1,1,1,1,-3.7345764094294625,-6.25433083872884,-5.158426416269594,-3.289470359248635,-4.942192520352268,-7.198888033572736,-4.2792451331078825,-4.308966351724911,GO:0009987,cellular process,M11111111,8,GO:0007160 cell-matrix adhesion,GO:1904970 brush border assembly,GO:0098742 cell-cell adhesion via plasma-membrane adhesion molecules,GO:0090497 mesenchymal cell migration,GO:0097435 supramolecular fiber organization,GO:0098609 cell-cell adhesion,GO:0010256 endomembrane system organization,GO:0016050 vesicle organization
1,0,0,1,1,1,0,1,-3.5841861383029916,0.0,0.0,-3.7014083005843106,-12.63377784635375,-7.931548136136475,0.0,-2.7066515553897905,GO:0044419,biological process involved in interspecies interaction between organisms,M10011101,5,"GO:0006957 complement activation, alternative pathway",,,GO:0009615 response to virus,GO:0045088 regulation of innate immune response,GO:0045087 innate immune response,,GO:0042267 natural killer cell mediated cytotoxicity
1,1,1,1,1,1,1,1,-3.2466760586532555,-4.720722778990433,-3.2921251910328158,-3.8341370732922826,-7.62915423354555,-4.849997885522519,-2.515037572342827,-3.3751985188302314,GO:0048519,negative regulation of biological process,M11111111,8,GO:0051129 negative regulation of cellular component organization,GO:0050819 negative regulation of coagulation,GO:0051129 negative regulation of cellular component organization,GO:0001933 negative regulation of protein phosphorylation,GO:1902532 negative regulation of intracellular signal transduction,GO:0032102 negative regulation of response to external stimulus,GO:0090101 negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,GO:1902532 negative regulation of intracellular signal transduction
1,1,1,1,1,1,1,1,-3.2134709064060965,-6.90593484980608,-2.31573760976972,-3.7841221444966555,-4.88063050825686,-4.935732744384916,-7.346495416693999,-12.292255658846265,GO:0051179,localization,M11111111,8,GO:0006897 endocytosis,GO:0051180 vitamin transport,GO:0015931 nucleobase-containing compound transport,GO:0006897 endocytosis,GO:0034504 protein localization to nucleus,GO:1903530 regulation of secretion by cell,GO:0006886 intracellular protein transport,GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport
