Cluster,Score,Type,Gene,Symbol,Network
2,3.25,Clustered,84263,HSDL2,down_common_genes_SUB1
2,3.25,Clustered,847,CAT,down_common_genes_SUB1
2,3.25,Clustered,8309,ACOX2,down_common_genes_SUB1
2,3.25,Seed,1891,ECH1,down_common_genes_SUB1
2,3.25,Clustered,1384,CRAT,down_common_genes_SUB1
2,3.25,Clustered,2053,EPHX2,down_common_genes_SUB1
2,3.25,Clustered,5830,PEX5,down_common_genes_SUB1
2,3.25,Clustered,6342,SCP2,down_common_genes_SUB1
4,2.0,Clustered,3613,IMPA2,down_common_genes_SUB1
4,2.0,Clustered,113026,PLCD3,down_common_genes_SUB1
4,2.0,Seed,3628,INPP1,down_common_genes_SUB1
4,2.0,Clustered,23236,PLCB1,down_common_genes_SUB1
4,2.0,Clustered,5333,PLCD1,down_common_genes_SUB1
6,1.5,Clustered,54414,SIAE,down_common_genes_SUB1
6,1.5,Clustered,54681,P4HTM,down_common_genes_SUB1
6,1.5,Seed,2990,GUSB,down_common_genes_SUB1
6,1.5,Clustered,686,BTD,down_common_genes_SUB1
5,1.4000000000000001,Clustered,36,ACADSB,down_common_genes_SUB1
5,1.4000000000000001,Seed,80724,ACAD10,down_common_genes_SUB1
5,1.4000000000000001,Clustered,3030,HADHA,down_common_genes_SUB1
5,1.4000000000000001,Clustered,30,ACAA1,down_common_genes_SUB1
5,1.4000000000000001,Clustered,10994,ILVBL,down_common_genes_SUB1
1,1.3333333333333333,Clustered,8100,IFT88,down_common_genes_SUB1
1,1.3333333333333333,Clustered,51386,EIF3L,down_common_genes_SUB1
1,1.3333333333333333,Clustered,2770,GNAI1,down_common_genes_SUB1
1,1.3333333333333333,Clustered,1975,EIF4B,down_common_genes_SUB1
1,1.3333333333333333,Clustered,134147,CMBL,down_common_genes_SUB1
1,1.3333333333333333,Clustered,3615,IMPDH2,down_common_genes_SUB1
1,1.3333333333333333,Clustered,4926,NUMA1,down_common_genes_SUB1
1,1.3333333333333333,Seed,3646,EIF3E,down_common_genes_SUB1
1,1.3333333333333333,Clustered,2064,ERBB2,down_common_genes_SUB1
1,1.3333333333333333,Clustered,1938,EEF2,down_common_genes_SUB1
1,1.3333333333333333,Clustered,2549,GAB1,down_common_genes_SUB1
1,1.3333333333333333,Clustered,23770,FKBP8,down_common_genes_SUB1
3,1.1428571428571428,Clustered,57488,ESYT2,down_common_genes_SUB1
3,1.1428571428571428,Clustered,2040,STOM,down_common_genes_SUB1
3,1.1428571428571428,Clustered,25840,TMT1A,down_common_genes_SUB1
3,1.1428571428571428,Clustered,5867,RAB4A,down_common_genes_SUB1
3,1.1428571428571428,Clustered,5578,PRKCA,down_common_genes_SUB1
3,1.1428571428571428,Clustered,51170,HSD17B11,down_common_genes_SUB1
3,1.1428571428571428,Clustered,9342,SNAP29,down_common_genes_SUB1
7,1.0,Clustered,3691,ITGB4,down_common_genes_SUB1
7,1.0,Clustered,3655,ITGA6,down_common_genes_SUB1
7,1.0,Seed,7148,TNXB,down_common_genes_SUB1
1,1.7999999999999998,Clustered,338,APOB,down_epi_only_SUB1
1,1.7999999999999998,Clustered,4922,NTS,down_epi_only_SUB1
1,1.7999999999999998,Clustered,3172,HNF4A,down_epi_only_SUB1
1,1.7999999999999998,Clustered,2147,F2,down_epi_only_SUB1
1,1.7999999999999998,Clustered,4481,MSR1,down_epi_only_SUB1
1,1.7999999999999998,Clustered,949,SCARB1,down_epi_only_SUB1
1,1.7999999999999998,Clustered,350,APOH,down_epi_only_SUB1
