GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
PGB:00049,Cell-specific: Adipocyte,-4.429155418420992,0.0,-3.3612104060800228,0.0,0.0,0.0,-3.1929503618388324,0.0
PGB:00031,Cell-specific: HUVEC,0.0,0.0,-2.078098698216929,-3.1308738758668335,0.0,0.0,0.0,-2.20067403905435
PGB:00008,Tissue-specific: small intestine,0.0,-9.607477699414272,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00071,Cell-specific: Vaginal Epithelial,0.0,-4.837341677483519,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00025,Tissue-specific: pancreas,0.0,-3.2740141288725524,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00080,Cell-specific: huh-7,0.0,-3.913658250276227,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00004,Tissue-specific: kidney,0.0,-10.869304685058092,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00078,Cell-specific: liver cell,-2.1076305866205933,-19.638296552740773,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00050,Tissue-specific: trachea,0.0,-3.215752423808136,0.0,0.0,0.0,-5.118937921274664,0.0,0.0
PGB:00018,Tissue-specific: lung,0.0,-2.3099851007709953,0.0,0.0,0.0,-3.7770961795209277,0.0,0.0
PGB:00007,Tissue-specific: colon,0.0,-13.644320725637419,0.0,0.0,0.0,-2.2704119353165573,0.0,0.0
PGB:00119,Cell-specific: Renal Epithelial,0.0,-8.493038184475955,0.0,0.0,0.0,-2.1999454288249907,0.0,0.0
PGB:00001,Tissue-specific: liver,-5.03152487327827,-46.8508798838687,0.0,0.0,0.0,-2.0593494055835957,0.0,0.0
PGB:00002,Cell-specific: HEPG2,-2.41820220453424,-32.54312018820378,0.0,0.0,0.0,-2.69407833047101,0.0,-2.3634770853622262
PGB:00014,Cell-specific: DRG,0.0,-2.1984975109086973,-4.549995648017987,0.0,0.0,-2.9983485068358138,0.0,0.0
PGB:00041,Tissue-specific: Blood,0.0,0.0,0.0,0.0,-2.0125148244861824,-3.205592445610461,0.0,0.0
PGB:00011,Tissue-specific: spleen,0.0,0.0,0.0,0.0,-8.785554787630877,-4.970675523741359,0.0,0.0
PGB:00081,Cell-specific: Bronchial Epithelial Cells,0.0,0.0,0.0,0.0,0.0,-3.9721263724808944,0.0,0.0
PGB:00015,Tissue-specific: Smooth Muscle,0.0,0.0,0.0,0.0,-7.0460544327071455,0.0,0.0,0.0
PGB:00087,Cell-specific: Lymphoma burkitts Raji,0.0,0.0,0.0,0.0,-6.902643661128001,0.0,0.0,0.0
