Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M41708,FAN OVARY CL6 PUTATIVE EARLY ATRETIC FOLLICLE THECAL CELL 2,,-13,8.2,12,30293,300,259,21,8.1,1.7,223|1675|2217|2752|3075|3488|3615|3646|5156|5176|5660|6342|6414|6767|10628|23770|27250|30061|55268|57447|112483,ALDH9A1|CFD|FCGRT|GLUL|CFH|IGFBP5|IMPDH2|EIF3E|PDGFRA|SERPINF1|PSAP|SCP2|SELENOP|ST13|TXNIP|FKBP8|PDCD4|SLC40A1|ECHDC2|NDRG2|SAT2,-9.9,down_common_genes
Cell Type Signatures,7,M39056,MANNO MIDBRAIN NEUROTYPES HRGL3,,-12,5.5,10,30293,574,259,27,10,1.9,214|223|678|1075|1191|1612|2261|3488|3655|3988|4128|5139|5660|7802|8100|8829|23363|23446|55240|55268|55788|56204|81618|84263|129787|133686|200942,ALCAM|ALDH9A1|ZFP36L2|CTSC|CLU|DAPK1|FGFR3|IGFBP5|ITGA6|LIPA|MAOA|PDE3A|PSAP|DNALI1|IFT88|NRP1|OBSL1|SLC44A1|STEAP3|ECHDC2|LMBRD1|ATOSA|ITM2C|HSDL2|TMEM18|NADK2|KLHDC8B,-9.3,down_common_genes
Cell Type Signatures,7,M41652,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-11,5,9.5,30293,629,259,27,10,1.9,224|678|1075|1938|1975|2217|2261|2517|2593|2631|2752|3030|3476|3615|3646|3691|4059|5176|5501|5867|10628|26060|26751|27250|51386|57447|93100,ALDH3A2|ZFP36L2|CTSC|EEF2|EIF4B|FCGRT|FGFR3|FUCA1|GAMT|NIPSNAP2|GLUL|HADHA|IGBP1|IMPDH2|EIF3E|ITGB4|BCAM|SERPINF1|PPP1CC|RAB4A|TXNIP|APPL1|SH3YL1|PDCD4|EIF3L|NDRG2|NAPRT,-8.5,down_common_genes
Cell Type Signatures,7,M39077,ZHONG PFC MAJOR TYPES MICROGLIA,,-9.6,5.6,9,30293,438,259,21,8.1,1.7,2|274|678|1050|1075|2040|2217|2548|2752|3988|4094|5176|5660|8635|10365|25840|29116|51162|55824|81618|94134,A2M|BIN1|ZFP36L2|CEBPA|CTSC|STOM|FCGRT|GAA|GLUL|LIPA|MAF|SERPINF1|PSAP|RNASET2|KLF2|TMT1A|MYLIP|EGFL7|PAG1|ITM2C|ARHGAP12,-7.2,down_common_genes
Cell Type Signatures,7,M39055,MANNO MIDBRAIN NEUROTYPES HRGL2A,,-8.6,4.5,8,30293,600,259,23,8.9,1.8,223|678|1191|2040|2185|2261|3988|4048|5578|5660|6414|7802|8850|23363|25840|51280|55824|57447|81618|84263|113026|129787|133686,ALDH9A1|ZFP36L2|CLU|STOM|PTK2B|FGFR3|LIPA|LTA4H|PRKCA|PSAP|SELENOP|DNALI1|KAT2B|OBSL1|TMT1A|GOLM1|PAG1|NDRG2|ITM2C|HSDL2|PLCD3|TMEM18|NADK2,-6.3,down_common_genes
Cell Type Signatures,7,M40028,BUSSLINGER DUODENAL LATE IMMATURE ENTEROCYTES,,-8.3,8.6,9.4,30293,177,259,13,5,1.4,30|38|2053|3030|3294|3988|4094|4128|51084|51170|112483|130589|134147,ACAA1|ACAT1|EPHX2|HADHA|HSD17B2|LIPA|MAF|MAOA|CRYL1|HSD17B11|SAT2|GALM|CMBL,-6,down_common_genes
DisGeNET,35,C1858430,Death in infancy,,-8.3,9.6,9.7,30293,146,259,12,4.6,1.3,2261|3655|3691|3988|4920|5190|5660|5830|6821|7048|118429|133686,FGFR3|ITGA6|ITGB4|LIPA|ROR2|PEX6|PSAP|PEX5|SUOX|TGFBR2|ANTXR2|NADK2,-6,down_common_genes
DisGeNET,35,C1836542,Depressed nasal bridge,,-8.2,5.2,8.1,30293,426,259,19,7.3,1.6,415|2110|2261|2517|2752|4054|4094|4920|5190|5830|8450|9342|9702|9772|10735|10801|23363|54681|118429,ARSL|ETFDH|FGFR3|FUCA1|GLUL|LTBP3|MAF|ROR2|PEX6|PEX5|CUL4B|SNAP29|CEP57|TMEM94|STAG2|SEPTIN9|OBSL1|P4HTM|ANTXR2,-6,down_common_genes
Cell Type Signatures,7,M39051,MANNO MIDBRAIN NEUROTYPES HMGL,,-8.2,4.5,7.8,30293,577,259,22,8.5,1.7,2|274|678|1050|1075|2040|2185|2217|3988|4094|5176|5578|7048|8635|10365|10628|25840|29116|55824|64798|80221|112574,A2M|BIN1|ZFP36L2|CEBPA|CTSC|STOM|PTK2B|FCGRT|LIPA|MAF|SERPINF1|PRKCA|TGFBR2|RNASET2|KLF2|TXNIP|TMT1A|MYLIP|PAG1|DEPTOR|ACSF2|SNX18,-5.9,down_common_genes
Cell Type Signatures,7,M39108,AIZARANI LIVER C4 EPCAM POS BILE DUCT CELLS 1,,-7.9,8,9,30293,191,259,13,5,1.4,214|224|1191|2261|2752|3294|4128|6649|10217|26751|51170|51280|388610,ALCAM|ALDH3A2|CLU|FGFR3|GLUL|HSD17B2|MAOA|SOD3|CTDSPL|SH3YL1|HSD17B11|GOLM1|TRNP1,-5.7,down_common_genes
