GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0022414,reproductive process,-2.1196566745285312,0.0,-2.569336846722294,0.0,0.0,-2.5205016865025107,0.0,0.0
GO:0043473,pigmentation,0.0,0.0,0.0,0.0,0.0,-2.3341211849107215,0.0,0.0
GO:0098754,detoxification,0.0,-3.935890666612456,0.0,0.0,0.0,0.0,0.0,0.0
GO:0040007,growth,-4.013709343514213,0.0,-2.6654505324661577,-2.622212816862799,-2.711456368974007,-2.201378209014725,0.0,0.0
GO:0048511,rhythmic process,-2.6544485654312724,0.0,-2.4294618694484265,0.0,-3.243878870973973,0.0,0.0,0.0
GO:0040011,locomotion,-2.808975925264165,0.0,0.0,-4.073509554755309,-7.007021931165684,-6.518131173707562,0.0,0.0
GO:0044419,biological process involved in interspecies interaction between organisms,-3.5841861383029916,0.0,0.0,-3.7014083005843106,-12.63377784635375,-7.931548136136475,0.0,-2.7066515553897905
GO:0016032,viral process,0.0,0.0,0.0,-3.3488817519581118,-2.7504477702682992,-3.6098027261142995,0.0,-2.7834867162333468
GO:0008152,metabolic process,-14.199562846429872,-13.225475408325162,-4.711011697752706,-5.2979707692133235,-9.864041940820652,-5.705315207943674,-13.550204074393362,-6.838601888513229
GO:0050896,response to stimulus,-10.231262002016509,-6.694133071839155,-3.482227299852165,-5.965669718904296,-19.871360680481065,-7.021978435902882,-7.10807395776091,-4.08961705172769
GO:0051179,localization,-3.2134709064060965,-6.90593484980608,-2.31573760976972,-3.7841221444966555,-4.88063050825686,-4.935732744384916,-7.346495416693999,-12.292255658846265
GO:0050789,regulation of biological process,-4.247119087566861,-5.327132969667292,-6.029001050710414,-4.8999778221670445,-9.67893353158812,-4.406182089062873,-3.52600658844568,-3.094917662592577
GO:0032502,developmental process,-6.448827684115476,-5.958297382765932,-5.397367071317602,-4.981427791891274,-5.951365552183543,-4.129079934308251,-4.924259638537629,-3.2619254986522996
GO:0009987,cellular process,-3.7345764094294625,-6.25433083872884,-5.158426416269594,-3.289470359248635,-4.942192520352268,-7.198888033572736,-4.2792451331078825,-4.308966351724911
GO:0048519,negative regulation of biological process,-3.2466760586532555,-4.720722778990433,-3.2921251910328158,-3.8341370732922826,-7.62915423354555,-4.849997885522519,-2.515037572342827,-3.3751985188302314
GO:0002376,immune system process,-2.840066865548331,-3.5287524061003497,-4.323313542709767,-2.270297772223376,-10.63396815131525,-6.836112048613831,-2.9601732742812565,-2.848341457821908
GO:0032501,multicellular organismal process,-3.0815542621718075,-5.698477191483916,-3.8199652027446196,-2.2821000065027777,-10.936013165422793,-6.530093738427989,-5.305601310167133,-2.975254666334915
GO:0048518,positive regulation of biological process,-3.1384117939600107,-4.9510002649558205,-5.186982574048169,-3.3942373315333234,-10.693926207287456,-6.319331813821493,-4.350102580491782,-3.6311179228687487
GO:0065007,biological regulation,-4.345643085585992,-11.978282025915314,-3.9039986129720434,-2.9273659677886528,-7.059097705579114,-2.434821151826753,-5.186049655866897,-2.9977505986436666
GO:0042592,homeostatic process,-3.079764481880821,-3.992740110026041,0.0,0.0,-3.1119730437396176,-4.416104268641712,-4.450809906072042,-2.730963413311177
