GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
hsa05200,Pathways in cancer,-4.222945696952611,0.0,-2.35680638569922,0.0,-15.103620379831645,-2.483509127712606,0.0,0.0
GO:0071407,cellular response to organic cyclic compound,-3.6617236138909792,0.0,-3.3084789417692715,0.0,-3.0438945222562492,-2.9081644790555856,0.0,0.0
GO:0008283,cell population proliferation,-2.9799309382551837,0.0,0.0,0.0,-3.5538971990223813,-3.375588321960585,0.0,-4.2128511383588165
R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,-3.412593072268726,0.0,0.0,0.0,-9.86922462793824,-2.635559088416708,0.0,-2.8438930075087328
GO:0006935,chemotaxis,0.0,0.0,0.0,-3.3650748270549924,-4.884158212870469,-4.032069489861545,0.0,0.0
GO:0019221,cytokine-mediated signaling pathway,0.0,0.0,0.0,-2.439816670945452,-19.871360680481065,-5.645702605377997,0.0,0.0
GO:0030036,actin cytoskeleton organization,0.0,-2.016801413353859,0.0,-2.5326226449622236,-4.15731913645076,-4.563658829021001,0.0,0.0
GO:0030162,regulation of proteolysis,0.0,-2.0224862260824947,0.0,-2.703065519440959,-7.4373219586396635,-4.050518721038414,0.0,0.0
GO:0045596,negative regulation of cell differentiation,0.0,0.0,-2.4044792580200585,-2.5053202229954166,-3.8117797532806916,-4.129079934308251,0.0,0.0
GO:0007264,small GTPase mediated signal transduction,-2.1196320961219004,0.0,0.0,-2.1325463449151476,-3.055902034472208,-2.324060330373135,0.0,0.0
GO:2001233,regulation of apoptotic signaling pathway,-2.132090209660542,0.0,0.0,-4.227151402722617,-9.676686826532242,-2.9197590113669403,0.0,0.0
GO:0040017,positive regulation of locomotion,-2.1256745922582687,0.0,0.0,-2.6044865712544687,-6.55173847044447,-4.465507904772606,0.0,0.0
GO:0043408,regulation of MAPK cascade,-3.15207709379564,0.0,0.0,-2.35606489494984,-6.056115069491401,-4.626835031557809,0.0,0.0
hsa05205,Proteoglycans in cancer,-2.6988580202782684,0.0,0.0,0.0,-3.763404656458959,-4.4331450193859885,0.0,0.0
R-HSA-1280215,Cytokine Signaling in Immune system,0.0,0.0,0.0,-2.711492547470915,-37.441437447068516,-16.006239533786747,0.0,-3.6043041730832948
GO:0045785,positive regulation of cell adhesion,0.0,0.0,0.0,-2.8962526967872786,-10.693926207287456,-3.907314126218962,0.0,-2.0151542292469835
GO:0008285,negative regulation of cell population proliferation,0.0,-2.3899890512186173,0.0,-2.275743625523197,-6.220213425020588,-2.031768282461517,0.0,-2.6824074244072835
