Gene,TotalEvidenceCounts,EvidenceHit:down_common_genes,EvidenceHit:down_epi_only,EvidenceHit:down_mes_only,EvidenceHit:down_mes_up_epi,EvidenceHit:up_common_genes,EvidenceHit:up_epi_only,EvidenceHit:up_mes_down_epi,EvidenceHit:up_mes_only,EvidenceGO:down_common_genes,EvidenceGO:down_epi_only,EvidenceGO:down_mes_only,EvidenceGO:down_mes_up_epi,EvidenceGO:up_common_genes,EvidenceGO:up_epi_only,EvidenceGO:up_mes_down_epi,EvidenceGO:up_mes_only,EvidencePPI:down_common_genes,EvidencePPI:down_epi_only,EvidencePPI:down_mes_only,EvidencePPI:down_mes_up_epi,EvidencePPI:up_common_genes,EvidencePPI:up_epi_only,EvidencePPI:up_mes_down_epi,EvidencePPI:up_mes_only
3030,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8826,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51586,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
55824,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5286,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1181,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6610,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
604,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55319,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1387,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2631,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
