_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,CHILD_GO_down_common_genes,CHILD_GO_down_epi_only,CHILD_GO_down_mes_only,CHILD_GO_down_mes_up_epi,CHILD_GO_up_common_genes,CHILD_GO_up_epi_only,CHILD_GO_up_mes_down_epi,CHILD_GO_up_mes_only
1,1,1,1,1,1,1,1,-9.53740988788697,-4.935473421825262,-5.912726301718596,-5.532635340009945,-12.017965757152401,-8.226491032370166,-11.030706725196112,-4.656804965180484,GO:0050896,response to stimulus,M11111111,8,GO:0009725 response to hormone,GO:0009410 response to xenobiotic stimulus,GO:0007167 enzyme-linked receptor protein signaling pathway,GO:0030111 regulation of Wnt signaling pathway,GO:0019221 cytokine-mediated signaling pathway,GO:0046328 regulation of JNK cascade,GO:0006984 ER-nucleus signaling pathway,GO:0071345 cellular response to cytokine stimulus
1,1,1,1,1,1,1,1,-8.87995254755449,-13.058338043647751,-4.877566253249187,-5.855477237297368,-23.40908113261095,-3.702988366854741,-25.28332441493197,-4.926636997792044,GO:0008152,metabolic process,M11111111,8,GO:0019752 carboxylic acid metabolic process,GO:1901615 organic hydroxy compound metabolic process,GO:0016310 phosphorylation,GO:0016310 phosphorylation,GO:0010498 proteasomal protein catabolic process,GO:0018105 peptidyl-serine phosphorylation,GO:0016126 sterol biosynthetic process,GO:0051604 protein maturation
1,1,0,1,1,1,1,1,-8.650882951800904,-4.684932415369712,0.0,-5.931604013550789,-4.1356305533854,-3.1119360457880125,-3.3715731927819967,-3.6832871371841924,GO:0048519,negative regulation of biological process,M11011111,7,GO:1902532 negative regulation of intracellular signal transduction,GO:0050819 negative regulation of coagulation,,GO:0051494 negative regulation of cytoskeleton organization,GO:0001818 negative regulation of cytokine production,GO:2000178 negative regulation of neural precursor cell proliferation,GO:0032926 negative regulation of activin receptor signaling pathway,GO:0002832 negative regulation of response to biotic stimulus
1,1,1,1,1,1,1,1,-5.202093936696125,-3.8135140307868296,-5.912500402801077,-8.443122085637993,-8.131252442778559,-7.577110444877149,-4.98807005573988,-3.265749321557768,GO:0032502,developmental process,M11111111,8,GO:0060938 epicardium-derived cardiac fibroblast cell differentiation,GO:0030855 epithelial cell differentiation,GO:0051963 regulation of synapse assembly,GO:0032989 cellular anatomical entity morphogenesis,GO:0035239 tube morphogenesis,GO:0048858 cell projection morphogenesis,GO:0060348 bone development,GO:0001701 in utero embryonic development
1,1,1,1,1,1,1,1,-5.013525557489498,-8.31098942685573,-5.106259008868405,-5.497483862584205,-5.977066149706325,-4.262127865356442,-5.8924539259454125,-4.285508587185602,GO:0051179,localization,M11111111,8,GO:1905475 regulation of protein localization to membrane,GO:0010876 lipid localization,GO:0006897 endocytosis,GO:0051640 organelle localization,GO:1903513 endoplasmic reticulum to cytosol transport,GO:1905475 regulation of protein localization to membrane,GO:0090150 establishment of protein localization to membrane,GO:0006886 intracellular protein transport
1,1,1,1,1,1,1,1,-4.6114095184834545,-9.655538278211168,-4.671439239388255,-6.306234002750779,-4.815350660618773,-2.1981096690572453,-5.110400675174235,-2.4216763506950545,GO:0065007,biological regulation,M11111111,8,GO:0051338 regulation of transferase activity,GO:0010817 regulation of hormone levels,GO:0050803 regulation of synapse structure or activity,GO:0008361 regulation of cell size,GO:0051347 positive regulation of transferase activity,GO:0043087 regulation of GTPase activity,GO:0031647 regulation of protein stability,GO:0050878 regulation of body fluid levels
1,0,0,0,1,0,1,1,-4.3068788087179675,0.0,0.0,0.0,-4.121432121820028,0.0,-2.029057491238413,-2.2970596811467083,GO:0016032,viral process,M10001011,4,GO:0019081 viral translation,,,,GO:0016032 viral process,,GO:0046596 regulation of viral entry into host cell,GO:0046596 regulation of viral entry into host cell
1,1,1,1,1,1,0,1,-3.6887027126759375,-7.611380793019441,-6.0931669515611535,-7.911406067305348,-4.516944233364897,-7.0557030346421525,0.0,-2.947740006505552,GO:0050789,regulation of biological process,M11111101,7,GO:1902806 regulation of cell cycle G1/S phase transition,GO:0097006 regulation of plasma lipoprotein particle levels,GO:1901888 regulation of cell junction assembly,GO:0051493 regulation of cytoskeleton organization,GO:0022407 regulation of cell-cell adhesion,GO:0120035 regulation of plasma membrane bounded cell projection organization,,GO:0031341 regulation of cell killing
1,1,1,1,1,1,1,1,-3.45718449359656,-7.278392210525601,-3.8004919447874297,-3.659330299919925,-6.263686980465417,-6.411024267169581,-4.949687604336076,-2.6811205245175884,GO:0009987,cellular process,M11111111,8,GO:0031589 cell-substrate adhesion,GO:0034368 protein-lipid complex remodeling,GO:0097152 mesenchymal cell apoptotic process,GO:0034330 cell junction organization,GO:0030036 actin cytoskeleton organization,GO:0097435 supramolecular fiber organization,GO:0010256 endomembrane system organization,GO:0000280 nuclear division
1,1,1,1,1,1,1,1,-3.1354358802091293,-5.764274253373649,-5.271701118725974,-5.248096574546362,-10.168687826771983,-5.2051596542680985,-5.120365987805536,-6.929958357851661,GO:0048518,positive regulation of biological process,M11111111,8,GO:0045732 positive regulation of protein catabolic process,GO:0045834 positive regulation of lipid metabolic process,GO:0044089 positive regulation of cellular component biogenesis,GO:0030177 positive regulation of Wnt signaling pathway,GO:0031401 positive regulation of protein modification process,GO:0046330 positive regulation of JNK cascade,GO:0090205 positive regulation of cholesterol metabolic process,GO:0001819 positive regulation of cytokine production
