_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,0,1,1,1,1,0,0,0,0,-53,-7,-6.8,-8.6,M41700,M00001111,4,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-53,9.9,25,30286,726,325,77,24,2.4,87|272|329|965|1263|1326|1889|1890|2107|2120|2633|2710|2768|2782|2907|2919|2920|3383|3576|3656|3665|3678|3685|4478|4792|5045|5216|5271|5329|5687|5879|5971|6868|7127|7128|7185|7262|7323|7324|7453|7532|8460|8509|8870|9050|9261|9308|9589|9636|10019|10096|10318|10409|10952|11177|11182|22904|23258|25816|25932|29015|51088|51312|51363|51371|51582|51762|57655|59269|59274|64778|80149|83937|91351|94240|127544|170954,ACTN1|AMPD3|BIRC2|CD58|PLK3|MAP3K8|ECE1|TYMP|ETF1|ETV6|GBP1|GK|GNA12|GNB1|GRINA|CXCL1|CXCL2|ICAM1|CXCL8|IRAK2|IRF7|ITGA5|ITGAV|MSN|NFKBIA|FURIN|PFN1|SERPINB8|PLAUR|PSMA6|RAC1|RELB|ADAM17|TNFAIP2|TNFAIP3|TRAF1|PHLDA2|UBE2D3|UBE2E1|WARS1|YWHAG|TPST1|NDST2|IER3|PSTPIP2|MAPKAPK2|CD83|WTAP|ISG15|SH2B3|ACTR3|TNIP1|BASP1|SEC61B|BAZ1A|SLC2A6|SBNO2|DENND5A|TNFAIP8|CLIC4|SLC43A3|KLHL5|SLC25A37|CHST15|POMP|AZIN1|RAB8B|GRAMD1A|HIVEP3|TLNRD1|FNDC3B|ZC3H12A|RASSF4|DDX60L|EPSTI1|RNF19B|PPP1R18,-49,0
0,1,0,0,0,0,0,0,0,-53,0,0,0,0,0,0,M40234,M01000000,1,0,Cell Type Signatures,7,DESCARTES FETAL LIVER HEPATOBLASTS,,-53,12,27,30286,500,349,69,20,2.1,13|174|183|216|259|283|335|336|338|341|350|433|729|1244|1644|1852|2065|2147|2168|2203|2330|2620|2705|2939|3026|3158|3170|3174|3249|3698|4547|5174|5314|5345|5624|5950|6819|6927|7018|7104|7274|7276|8431|9104|10110|10840|27134|29881|29974|51085|51473|55195|79589|81693|92292|113220|134548|149466|151258|164656|197257|257407|283375|284111|319089|342979|388323|388595|389434,AADAC|AFP|AGT|ALDH1A1|AMBP|ANG|APOA1|APOA2|APOB|APOC1|APOH|ASGR2|C6|ABCC2|DDC|DUSP9|ERBB3|F2|FABP1|FBP1|FMO5|GAS2|GJB1|GSTA2|HABP2|HMGCS2|FOXA2|HNF4G|HPN|ITIH2|MTTP|PDZK1|PKHD1|SERPINF2|PROC|RBP4|SULT1C2|HNF1A|TF|TM4SF4|TTPA|TTR|NR0B2|RGN|SGK2|ALDH1L1|TJP3|NPC1L1|A1CF|MLXIPL|DCDC2|CCDC198|RNF128|AMN|GLYATL1|KIF12|SOWAHA|C1orf210|SLC38A11|TMPRSS6|LDHD|C2orf72|SLC39A5|SLC13A5|TTC6|PALM3|GLTPD2|TMEM82|IYD,-49,0
1,1,0,0,0,0,1,0,-3.4,-35,0,0,0,0,-4.3,0,M40287,M11000010,3,0,Cell Type Signatures,7,DESCARTES FETAL SPLEEN AFP ALB POSITIVE CELLS,,-35,18,25,30286,188,349,38,11,1.7,174|183|259|335|336|338|341|350|433|1468|1852|2147|2168|2330|2628|2705|2938|3026|3158|3249|3698|4547|5314|5345|5618|5833|5950|6819|7018|7104|7276|10555|11001|29974|64080|81693|283375|284111,AFP|AGT|AMBP|APOA1|APOA2|APOB|APOC1|APOH|ASGR2|SLC25A10|DUSP9|F2|FABP1|FMO5|GATM|GJB1|GSTA1|HABP2|HMGCS2|HPN|ITIH2|MTTP|PKHD1|SERPINF2|PRLR|PCYT2|RBP4|SULT1C2|TF|TM4SF4|TTR|AGPAT2|SLC27A2|A1CF|RBKS|AMN|SLC39A5|SLC13A5,-31,0
0,1,0,0,0,0,0,0,0,-35,0,0,0,0,0,0,M40212,M01000000,1,0,Cell Type Signatures,7,DESCARTES FETAL INTESTINE INTESTINAL EPITHELIAL CELLS,,-35,14,23,30286,276,349,43,12,1.8,13|174|183|335|336|338|729|1244|2168|2705|2938|2939|4547|5625|5648|5950|6505|6819|7103|7433|8694|9075|10840|27134|27283|27284|54810|55195|55808|64080|79774|79838|80004|81693|123099|140893|155465|196410|222171|257407|284422|388323|389434,AADAC|AFP|AGT|APOA1|APOA2|APOB|C6|ABCC2|FABP1|GJB1|GSTA1|GSTA2|MTTP|PRODH|MASP1|RBP4|SLC1A1|SULT1C2|TSPAN8|VIPR1|DGAT1|CLDN2|ALDH1L1|TJP3|TINAG|SULT1B1|GIPC2|CCDC198|ST6GALNAC1|RBKS|GRTP1|TMC5|ESRP2|AMN|DEGS2|RBBP8NL|AGR3|TMT1B|PRR15|C2orf72|SMIM24|GLTPD2|IYD,-31,0
1,1,0,0,0,0,1,0,-4.3,-29,0,0,0,0,-2.8,0,M39115,M11000010,3,0,Cell Type Signatures,7,AIZARANI LIVER C11 HEPATOCYTES 1,,-29,11,19,30286,298,349,39,11,1.7,13|183|216|259|283|335|336|338|341|350|433|729|2147|2168|2203|2330|2628|2938|2939|3158|3249|3698|4547|5345|5624|5950|6470|6652|7018|7276|9104|10840|11001|22837|29974|51085|55268|92292|284111,AADAC|AGT|ALDH1A1|AMBP|ANG|APOA1|APOA2|APOB|APOC1|APOH|ASGR2|C6|F2|FABP1|FBP1|FMO5|GATM|GSTA1|GSTA2|HMGCS2|HPN|ITIH2|MTTP|SERPINF2|PROC|RBP4|SHMT1|SORD|TF|TTR|RGN|ALDH1L1|SLC27A2|COBLL1|A1CF|MLXIPL|ECHDC2|GLYATL1|SLC13A5,-25,0
1,0,1,1,1,1,1,1,-2.9,0,-3.7,-6.9,-27,-7.5,-4.4,-7.7,M39175,M10111111,7,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-27,7,16,30286,680,325,51,16,2,87|390|649|669|1282|1284|1307|2113|3371|3490|3589|3624|3678|3685|3732|3976|4478|5054|5216|5329|5688|7168|7453|7980|8460|8828|8870|9261|9645|10019|10096|10409|10981|11177|23585|25932|51026|51330|51363|51371|54838|55379|60312|64778|84627|85456|91010|91283|115908|168455|170954,ACTN1|RND3|BMP1|BPGM|COL4A1|COL4A2|COL16A1|ETS1|TNC|IGFBP7|IL11|INHBA|ITGA5|ITGAV|CD82|LIF|MSN|SERPINE1|PFN1|PLAUR|PSMA7|TPM1|WARS1|TFPI2|TPST1|NRP2|IER3|MAPKAPK2|MICAL2|SH2B3|ACTR3|BASP1|RAB32|BAZ1A|TMEM50A|CLIC4|GOLT1B|TNFRSF12A|CHST15|POMP|WBP1L|LRRC59|AFAP1|FNDC3B|ZNF469|TNKS1BP1|FMNL3|MSANTD3|CTHRC1|CCDC71L|PPP1R18,-24,0
1,1,0,0,0,0,1,0,-2.4,-25,0,0,0,0,-2.4,0,M40276,M11000010,3,0,Cell Type Signatures,7,DESCARTES FETAL PLACENTA AFP ALB POSITIVE CELLS,,-25,15,19,30286,171,349,29,8.3,1.5,174|183|259|335|336|338|350|433|1244|1644|2147|2168|2330|2938|3158|3698|5345|5950|7018|7104|7276|29974|51085|81693|83715|127845|164656|283375|284111,AFP|AGT|AMBP|APOA1|APOA2|APOB|APOH|ASGR2|ABCC2|DDC|F2|FABP1|FMO5|GSTA1|HMGCS2|ITIH2|SERPINF2|RBP4|TF|TM4SF4|TTR|A1CF|MLXIPL|AMN|ESPN|GOLT1A|TMPRSS6|SLC39A5|SLC13A5,-21,0
1,1,0,0,0,0,1,0,-24,-3.4,0,0,0,0,-6.6,0,M41652,M11000010,3,0,Cell Type Signatures,7,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-24,6.5,15,30286,629,354,48,14,1.8,224|678|689|1915|1937|1938|1974|1975|2217|2261|2593|2752|3030|3338|3476|3615|3646|4059|4666|4774|4869|5589|5867|7178|7205|7381|7388|8664|8665|8667|8761|9380|10252|10399|10628|10904|25828|26751|27250|29068|51082|51386|57447|80139|84650|84836|93100|142678,ALDH3A2|ZFP36L2|BTF3|EEF1A1|EEF1G|EEF2|EIF4A2|EIF4B|FCGRT|FGFR3|GAMT|GLUL|HADHA|DNAJC4|IGBP1|IMPDH2|EIF3E|BCAM|NACA|NFIA|NPM1|PRKCSH|RAB4A|TPT1|TRIP6|UQCRB|UQCRH|EIF3D|EIF3F|EIF3H|PABPC4|GRHPR|SPRY1|RACK1|TXNIP|BLCAP|TXN2|SH3YL1|PDCD4|ZBTB44|POLR1D|EIF3L|NDRG2|ZNF703|EBPL|ABHD14B|NAPRT|MIB2,-21,0
0,0,0,0,1,1,1,1,0,0,0,0,-22,-5.9,-4.7,-6,M41697,M00001111,4,0,Cell Type Signatures,7,TRAVAGLINI LUNG EREG DENDRITIC CELL,,-22,6.8,15,30286,579,325,42,13,1.9,87|329|965|1318|1326|1890|2107|2120|2710|2768|2782|2907|2920|3383|3576|3678|3685|5045|5271|5329|5879|7128|7262|8870|9050|9308|9589|10019|10409|11010|11177|23406|29015|51312|51330|51371|51719|51762|54838|59274|80149|127544,ACTN1|BIRC2|CD58|SLC31A2|MAP3K8|TYMP|ETF1|ETV6|GK|GNA12|GNB1|GRINA|CXCL2|ICAM1|CXCL8|ITGA5|ITGAV|FURIN|SERPINB8|PLAUR|RAC1|TNFAIP3|PHLDA2|IER3|PSTPIP2|CD83|WTAP|SH2B3|BASP1|GLIPR1|BAZ1A|COTL1|SLC43A3|SLC25A37|TNFRSF12A|POMP|CAB39|RAB8B|WBP1L|TLNRD1|ZC3H12A|RNF19B,-18,0
1,1,0,0,0,0,0,0,-4.8,-21,0,0,0,0,0,0,M39118,M11000000,2,0,Cell Type Signatures,7,AIZARANI LIVER C14 HEPATOCYTES 2,,-21,11,17,30286,226,349,29,8.3,1.5,216|259|283|335|336|338|341|350|433|2147|2168|2203|2628|2705|2938|2939|3158|3249|5345|5950|6470|6652|7018|7276|9104|10840|29974|51085|92292,ALDH1A1|AMBP|ANG|APOA1|APOA2|APOB|APOC1|APOH|ASGR2|F2|FABP1|FBP1|GATM|GJB1|GSTA1|GSTA2|HMGCS2|HPN|SERPINF2|RBP4|SHMT1|SORD|TF|TTR|RGN|ALDH1L1|A1CF|MLXIPL|GLYATL1,-18,0
0,0,0,0,1,0,1,1,0,0,0,0,-21,0,-4.2,-6,M41715,M00001011,3,0,Cell Type Signatures,7,FAN OVARY CL13 MONOCYTE MACROPHAGE,,-21,7.5,15,30286,458,325,37,11,1.8,829|965|1326|1890|2907|2920|3106|3576|3669|4478|4792|5216|5329|5698|6892|7453|8073|8870|9308|9473|9589|9636|10010|10096|10318|10409|10952|11010|11047|11177|23406|25816|51371|51762|56882|80774|170954,CAPZA1|CD58|MAP3K8|TYMP|GRINA|CXCL2|HLA-B|CXCL8|ISG20|MSN|NFKBIA|PFN1|PLAUR|PSMB9|TAPBP|WARS1|PTP4A2|IER3|CD83|THEMIS2|WTAP|ISG15|TANK|ACTR3|TNIP1|BASP1|SEC61B|GLIPR1|ADRM1|BAZ1A|COTL1|TNFAIP8|POMP|RAB8B|CDC42SE1|LIMD2|PPP1R18,-17,0
