_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,0,1,0,0,0,0,0,0,0,-11,0,0,0,C0011644,M00001000,1,0,DisGeNET,35,Scleroderma,,-11,6.5,10,30286,316,325,22,6.8,1.4,1435|1959|2113|3106|3135|3371|3383|3678|3685|3855|5054|5293|5329|5694|7128|8795|9373|10148|10318|10950|57154|64319,CSF1|EGR2|ETS1|HLA-B|HLA-G|TNC|ICAM1|ITGA5|ITGAV|KRT7|SERPINE1|PIK3CD|PLAUR|PSMB6|TNFAIP3|TNFRSF10B|PLAA|EBI3|TNIP1|BTG3|SMURF1|FBRS,-8.5,0
0,0,0,0,1,0,0,0,0,0,0,0,-11,0,0,0,C3714514,M00001000,1,0,DisGeNET,35,Infection,,-11,4.9,9.2,30286,491,325,26,8,1.5,836|1540|1616|3106|3135|3383|3455|3576|3600|3665|3678|4478|4792|4836|5329|5366|6890|8772|8795|8870|9076|9308|10010|10333|23586|51009,CASP3|CYLD|DAXX|HLA-B|HLA-G|ICAM1|IFNAR2|CXCL8|IL15|IRF7|ITGA5|MSN|NFKBIA|NMT1|PLAUR|PMAIP1|TAP1|FADD|TNFRSF10B|IER3|CLDN1|CD83|TANK|TLR6|RIGI|DERL2,-7.8,0
0,0,0,0,1,0,0,0,0,0,0,0,-10,0,0,0,C0151449,M00001000,1,0,DisGeNET,35,Primary Sjögren's syndrome,,-10,6.3,9.7,30286,312,325,21,6.5,1.4,2113|2919|3106|3383|3576|3589|3600|3669|4792|5045|5293|5698|6776|6868|7128|10148|10318|10950|23586|83648|146433,ETS1|CXCL1|HLA-B|ICAM1|CXCL8|IL11|IL15|ISG20|NFKBIA|FURIN|PIK3CD|PSMB9|STAT5A|ADAM17|TNFAIP3|EBI3|TNIP1|BTG3|RIGI|FAM167A|IL34,-7.8,0
0,0,0,0,1,0,0,1,0,0,0,0,-10,0,0,-2.5,C0011603,M00001001,2,0,DisGeNET,35,Dermatitis,,-10,4.9,9.1,30286,496,325,26,8,1.5,43|329|2113|2919|3106|3383|3455|3576|3600|3660|3669|3726|5293|5329|5713|6776|6868|6890|7128|7186|9235|10318|23586|51312|51330|80149,ACHE|BIRC2|ETS1|CXCL1|HLA-B|ICAM1|IFNAR2|CXCL8|IL15|IRF2|ISG20|JUNB|PIK3CD|PLAUR|PSMD7|STAT5A|ADAM17|TAP1|TNFAIP3|TRAF2|IL32|TNIP1|RIGI|SLC25A37|TNFRSF12A|ZC3H12A,-7.7,0
0,0,0,0,1,0,0,1,0,0,0,0,-10,0,0,-3.5,C0011615,M00001001,2,0,DisGeNET,35,"Dermatitis, Atopic",,-10,4,8.6,30286,750,325,32,9.8,1.7,836|1435|1593|1959|2113|2919|2920|3106|3371|3383|3576|3600|3660|3669|3726|4792|5238|5329|5713|5971|6776|6868|6890|7128|9076|9235|10148|10318|10333|51330|55012|283635,CASP3|CSF1|CYP27A1|EGR2|ETS1|CXCL1|CXCL2|HLA-B|TNC|ICAM1|CXCL8|IL15|IRF2|ISG20|JUNB|NFKBIA|PGM3|PLAUR|PSMD7|RELB|STAT5A|ADAM17|TAP1|TNFAIP3|CLDN1|IL32|EBI3|TNIP1|TLR6|TNFRSF12A|PPP2R3C|FAM177A1,-7.7,0
0,0,0,0,1,1,1,0,0,0,0,0,-10,-3.1,-2.3,0,C0038013,M00001110,3,0,DisGeNET,35,Ankylosing spondylitis,,-10,4.1,8.6,30286,710,325,31,9.5,1.6,1435|2113|2768|3106|3371|3576|3669|3855|3976|4792|5293|5698|5708|5713|5718|5734|6776|6890|6892|7128|7415|8795|9235|9618|10019|10090|10148|10318|22904|55012|283635,CSF1|ETS1|GNA12|HLA-B|TNC|CXCL8|ISG20|KRT7|LIF|NFKBIA|PIK3CD|PSMB9|PSMD2|PSMD7|PSMD12|PTGER4|STAT5A|TAP1|TAPBP|TNFAIP3|VCP|TNFRSF10B|IL32|TRAF4|SH2B3|UST|EBI3|TNIP1|SBNO2|PPP2R3C|FAM177A1,-7.6,0
0,0,0,0,1,0,0,0,0,0,0,0,-9.9,0,0,0,C0026896,M00001000,1,0,DisGeNET,35,Myasthenia Gravis,,-9.9,5.8,9.3,30286,336,325,21,6.5,1.4,23|43|836|1435|1890|2919|3106|3135|3600|3669|3726|3976|5971|6890|7128|9308|9423|10148|10318|23586|51312,ABCF1|ACHE|CASP3|CSF1|TYMP|CXCL1|HLA-B|HLA-G|IL15|ISG20|JUNB|LIF|RELB|TAP1|TNFAIP3|CD83|NTN1|EBI3|TNIP1|RIGI|SLC25A37,-7.3,0
0,0,0,0,1,1,1,0,0,0,0,0,-9.8,-2.2,-3.1,0,C3495559,M00001110,3,0,DisGeNET,35,Juvenile arthritis,,-9.8,5,8.8,30286,450,325,24,7.4,1.5,2120|2919|3106|3135|3383|3576|3669|3981|4478|4792|5329|5687|5698|6372|6890|7128|7185|7324|9235|9308|10019|10950|25816|283635,ETV6|CXCL1|HLA-B|HLA-G|ICAM1|CXCL8|ISG20|LIG4|MSN|NFKBIA|PLAUR|PSMA6|PSMB9|CXCL6|TAP1|TNFAIP3|TRAF1|UBE2E1|IL32|CD83|SH2B3|BTG3|TNFAIP8|FAM177A1,-7.2,0
0,0,0,0,1,0,1,1,0,0,0,0,-9.8,0,-2.9,-2.8,C0037274,M00001011,3,0,DisGeNET,35,Dermatologic disorders,,-9.8,4.2,8.5,30286,615,325,28,8.6,1.6,1540|2919|2920|3106|3135|3371|3576|3660|3669|3726|3914|3918|3976|4792|5293|5879|7324|8870|9235|9308|9423|10318|23586|51330|51371|55379|79650|79651,CYLD|CXCL1|CXCL2|HLA-B|HLA-G|TNC|CXCL8|IRF2|ISG20|JUNB|LAMB3|LAMC2|LIF|NFKBIA|PIK3CD|RAC1|UBE2E1|IER3|IL32|CD83|NTN1|TNIP1|RIGI|TNFRSF12A|POMP|LRRC59|USB1|RHBDF2,-7.1,0
0,1,0,0,1,0,1,1,0,-2.2,0,0,-9.7,0,-3.4,-2.3,C0004623,M01001011,4,0,DisGeNET,35,Bacterial Infections,,-9.7,4.2,8.5,30286,616,325,28,8.6,1.6,965|1282|1465|1540|2919|2920|3106|3383|3576|3656|3665|3918|4478|4792|5054|5293|5879|7187|7453|7980|8772|9235|9636|9780|10019|10148|10333|80149,CD58|COL4A1|CSRP1|CYLD|CXCL1|CXCL2|HLA-B|ICAM1|CXCL8|IRAK2|IRF7|LAMC2|MSN|NFKBIA|SERPINE1|PIK3CD|RAC1|TRAF3|WARS1|TFPI2|FADD|IL32|ISG15|PIEZO1|SH2B3|EBI3|TLR6|ZC3H12A,-7.1,0
