GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
M40234,DESCARTES FETAL LIVER HEPATOBLASTS,0.0,-52.71983039695976,0.0,0.0,0.0,0.0,0.0,0.0
M40012,BUSSLINGER GASTRIC IMMATURE PIT CELLS,0.0,-20.05381897382131,0.0,0.0,0.0,0.0,0.0,0.0
M40212,DESCARTES FETAL INTESTINE INTESTINAL EPITHELIAL CELLS,0.0,-34.84207021190019,0.0,0.0,0.0,0.0,0.0,0.0
M40013,BUSSLINGER GASTRIC MATURE PIT CELLS,0.0,-18.95387111743182,0.0,0.0,0.0,0.0,0.0,0.0
M40220,DESCARTES FETAL KIDNEY URETERIC BUD CELLS,0.0,-18.67089802591558,0.0,0.0,0.0,0.0,0.0,0.0
M39148,GAO SMALL INTESTINE 24W C4 ENTEROCYTE PROGENITOR SUBTYPE 2,0.0,-17.552840564119165,0.0,0.0,0.0,0.0,0.0,0.0
M40011,BUSSLINGER GASTRIC METALLOTHIONEIN CELLS,0.0,-17.288751263627745,0.0,0.0,0.0,0.0,-4.505851905211677,0.0
M39115,AIZARANI LIVER C11 HEPATOCYTES 1,-4.255221529018677,-28.62387176079791,0.0,0.0,0.0,0.0,-2.842943578859203,0.0
M40276,DESCARTES FETAL PLACENTA AFP ALB POSITIVE CELLS,-2.385815954458719,-24.645832928385698,0.0,0.0,0.0,0.0,-2.3680381239960733,0.0
M40287,DESCARTES FETAL SPLEEN AFP ALB POSITIVE CELLS,-3.4061289568602047,-35.25958221581796,0.0,0.0,0.0,0.0,-4.311080776111366,0.0
M39118,AIZARANI LIVER C14 HEPATOCYTES 2,-4.7980197410369225,-21.101359997458722,0.0,0.0,0.0,0.0,0.0,0.0
M40028,BUSSLINGER DUODENAL LATE IMMATURE ENTEROCYTES,-4.318886397895032,-20.484313820610126,0.0,0.0,0.0,0.0,0.0,0.0
M40024,BUSSLINGER DUODENAL STEM CELLS,-18.053476987584858,-8.331260646387507,0.0,0.0,0.0,0.0,0.0,-4.095973089841638
M41652,TRAVAGLINI LUNG PROXIMAL BASAL CELL,-24.27386598737614,-3.378880514640468,0.0,0.0,0.0,0.0,-6.617891856549321,0.0
M40010,BUSSLINGER GASTRIC ISTHMUS CELLS,-2.0892921323453635,-12.02950238280167,0.0,0.0,-2.8299046758262425,0.0,-19.68486152316286,-3.3476451770239835
M39135,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,0.0,-2.2472911497393477,0.0,0.0,-19.61530366821719,0.0,0.0,0.0
M41700,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,0.0,0.0,0.0,0.0,-52.85980581956567,-7.034769165242207,-6.794804782123898,-8.62690135912101
M41697,TRAVAGLINI LUNG EREG DENDRITIC CELL,0.0,0.0,0.0,0.0,-21.837554084336684,-5.876586404730817,-4.734690676699858,-6.042903533054961
M41715,FAN OVARY CL13 MONOCYTE MACROPHAGE,0.0,0.0,0.0,0.0,-20.82973594667661,0.0,-4.1802131581599085,-5.9735321817507625
M39175,MURARO PANCREAS MESENCHYMAL STROMAL CELL,-2.920983880441682,0.0,-3.6874544897287183,-6.89509595129403,-27.247778205247155,-7.513302352193935,-4.389048033855602,-7.7234034950148525
