GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
TRR01268,Regulated by: SREBF1,0.0,0.0,0.0,0.0,0.0,0.0,-3.596952467146812,0.0
TRR00027,Regulated by: ATF6,0.0,0.0,0.0,0.0,0.0,0.0,-6.389776226843801,0.0
TRR01269,Regulated by: SREBF2,0.0,-2.5907878919554888,0.0,0.0,0.0,0.0,-4.256374360812096,0.0
TRR01256,Regulated by: SP1,0.0,-2.4654855930735353,0.0,0.0,-7.132561798149632,0.0,-4.673036486161189,0.0
TRR01400,Regulated by: TFAP2A,-3.449825380198369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR00119,Regulated by: CLOCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.657833207044179
TRR01512,Regulated by: USF1,0.0,-3.5730226495204938,0.0,0.0,0.0,0.0,0.0,0.0
TRR00905,Regulated by: NR2F1,0.0,-3.631307224532814,0.0,0.0,0.0,0.0,0.0,0.0
TRR00500,Regulated by: HNF4A,0.0,-6.790631441181488,0.0,0.0,0.0,0.0,0.0,0.0
TRR00011,Regulated by: AR,0.0,-3.607035140000043,0.0,0.0,0.0,-2.1074697116326147,0.0,0.0
TRR01157,Regulated by: REL,0.0,0.0,0.0,0.0,-3.725872887526836,0.0,0.0,0.0
TRR00117,Regulated by: CIITA,0.0,0.0,0.0,0.0,-3.23298042078848,0.0,0.0,0.0
TRR01236,Regulated by: SMAD4,0.0,0.0,0.0,0.0,-3.3802144017226032,0.0,0.0,0.0
TRR00877,Regulated by: NFKBIA,0.0,0.0,0.0,0.0,-5.612889995231857,0.0,0.0,0.0
TRR00602,Regulated by: IRF1,0.0,0.0,0.0,0.0,-4.56611150151734,0.0,0.0,0.0
TRR01259,Regulated by: SP3,0.0,0.0,0.0,0.0,-4.145431626099357,0.0,0.0,0.0
TRR00875,Regulated by: NFKB1,0.0,0.0,0.0,0.0,-18.006591122904283,0.0,0.0,0.0
TRR00780,Regulated by: MYC,0.0,0.0,0.0,0.0,-4.535269832870294,0.0,0.0,-2.080235382719897
TRR01158,Regulated by: RELA,0.0,0.0,0.0,0.0,-17.228775649315754,0.0,0.0,-2.0032174199752975
TRR00645,Regulated by: JUN,0.0,0.0,0.0,0.0,-3.245764858645769,-2.0656990925270793,0.0,-3.6333611529733463
