Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M41652,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-24,6.5,15,30286,629,354,48,14,1.8,224|678|689|1915|1937|1938|1974|1975|2217|2261|2593|2752|3030|3338|3476|3615|3646|4059|4666|4774|4869|5589|5867|7178|7205|7381|7388|8664|8665|8667|8761|9380|10252|10399|10628|10904|25828|26751|27250|29068|51082|51386|57447|80139|84650|84836|93100|142678,ALDH3A2|ZFP36L2|BTF3|EEF1A1|EEF1G|EEF2|EIF4A2|EIF4B|FCGRT|FGFR3|GAMT|GLUL|HADHA|DNAJC4|IGBP1|IMPDH2|EIF3E|BCAM|NACA|NFIA|NPM1|PRKCSH|RAB4A|TPT1|TRIP6|UQCRB|UQCRH|EIF3D|EIF3F|EIF3H|PABPC4|GRHPR|SPRY1|RACK1|TXNIP|BLCAP|TXN2|SH3YL1|PDCD4|ZBTB44|POLR1D|EIF3L|NDRG2|ZNF703|EBPL|ABHD14B|NAPRT|MIB2,-21,down_common_genes
Cell Type Signatures,7,M40024,BUSSLINGER DUODENAL STEM CELLS,,-18,8.3,14,30286,311,354,30,8.5,1.5,652|678|689|894|1027|1191|1915|1937|1938|1974|1975|2122|2217|3615|3646|3912|4774|4869|5295|7086|7178|8667|10399|10412|10628|27131|27436|51386|51614|91461,BMP4|ZFP36L2|BTF3|CCND2|CDKN1B|CLU|EEF1A1|EEF1G|EEF2|EIF4A2|EIF4B|MECOM|FCGRT|IMPDH2|EIF3E|LAMB1|NFIA|NPM1|PIK3R1|TKT|TPT1|EIF3H|RACK1|NSA2|TXNIP|SNX5|EML4|EIF3L|ERGIC3|PKDCC,-15,down_common_genes
Cell Type Signatures,7,M41748,RUBENSTEIN SKELETAL MUSCLE SATELLITE CELLS,,-14,7.2,12,30286,310,354,26,7.3,1.4,689|1191|1915|1938|1974|2752|3030|3488|3615|3646|4666|4774|4869|5037|6391|6767|7178|7381|7388|8664|8665|8667|10252|10399|51386|57447,BTF3|CLU|EEF1A1|EEF2|EIF4A2|GLUL|HADHA|IGFBP5|IMPDH2|EIF3E|NACA|NFIA|NPM1|PEBP1|SDHC|ST13|TPT1|UQCRB|UQCRH|EIF3D|EIF3F|EIF3H|SPRY1|RACK1|EIF3L|NDRG2,-11,down_common_genes
Cell Type Signatures,7,M41708,FAN OVARY CL6 PUTATIVE EARLY ATRETIC FOLLICLE THECAL CELL 2,,-13,6.8,11,30286,300,354,24,6.8,1.3,1915|1974|2217|2752|3488|3615|3646|4774|5037|5156|5166|6342|6414|6595|6767|8574|10577|10628|23770|27250|29937|56944|57447|112483,EEF1A1|EIF4A2|FCGRT|GLUL|IGFBP5|IMPDH2|EIF3E|NFIA|PEBP1|PDGFRA|PDK4|SCP2|SELENOP|SMARCA2|ST13|AKR7A2|NPC2|TXNIP|FKBP8|PDCD4|NENF|OLFML3|NDRG2|SAT2,-9.8,down_common_genes
Cell Type Signatures,7,M39174,MURARO PANCREAS ACINAR CELL,,-12,4.1,9.2,30286,731,354,35,9.9,1.6,210|224|645|689|727|894|1915|1937|1938|2122|2512|2752|3476|3615|3646|4666|4869|5507|5525|6920|7086|7178|8664|8665|8761|10399|25840|27250|27436|51082|51170|51386|57509|84650|201895,ALAD|ALDH3A2|BLVRB|BTF3|C5|CCND2|EEF1A1|EEF1G|EEF2|MECOM|FTL|GLUL|IGBP1|IMPDH2|EIF3E|NACA|NPM1|PPP1R3C|PPP2R5A|TCEA3|TKT|TPT1|EIF3D|EIF3F|PABPC4|RACK1|TMT1A|PDCD4|EML4|POLR1D|HSD17B11|EIF3L|MTUS1|EBPL|SMIM14,-8.8,down_common_genes
Cell Type Signatures,7,M40001,BUSSLINGER ESOPHAGEAL QUIESCENT BASAL CELLS,,-10,13,12,30286,77,354,12,3.4,0.96,224|678|1191|1915|1937|1938|1974|1975|2752|3488|10399|10628,ALDH3A2|ZFP36L2|CLU|EEF1A1|EEF1G|EEF2|EIF4A2|EIF4B|GLUL|IGFBP5|RACK1|TXNIP,-7.3,down_common_genes
Cell Type Signatures,7,M39231,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-9,4.9,8.4,30286,381,354,22,6.2,1.3,38|1915|1938|2261|3030|3693|4666|5037|5204|5295|6342|7178|7381|7388|10399|10577|23051|23321|23363|25840|55074|81618,ACAT1|EEF1A1|EEF2|FGFR3|HADHA|ITGB5|NACA|PEBP1|PFDN5|PIK3R1|SCP2|TPT1|UQCRB|UQCRH|RACK1|NPC2|ZHX3|TRIM2|OBSL1|TMT1A|OXR1|ITM2C,-6.4,down_common_genes
Cell Type Signatures,7,M41752,RUBENSTEIN SKELETAL MUSCLE T CELLS,,-8.4,7.1,8.9,30286,181,354,15,4.2,1.1,678|689|1915|3646|4869|5204|7178|7381|8664|8665|8667|10399|10961|51386|54964,ZFP36L2|BTF3|EEF1A1|EIF3E|NPM1|PFDN5|TPT1|UQCRB|EIF3D|EIF3F|EIF3H|RACK1|ERP29|EIF3L|C1orf56,-5.9,down_common_genes
Cell Type Signatures,7,M39237,LAKE ADULT KIDNEY C18 COLLECTING DUCT PRINCIPAL CELLS MEDULLA,,-8,5,7.9,30286,322,354,19,5.4,1.2,38|689|1191|1915|1938|1974|2122|2512|3030|4666|4869|5037|5166|5204|7178|10399|10628|57509|81618,ACAT1|BTF3|CLU|EEF1A1|EEF2|EIF4A2|MECOM|FTL|HADHA|NACA|NPM1|PEBP1|PDK4|PFDN5|TPT1|RACK1|TXNIP|MTUS1|ITM2C,-5.6,down_common_genes
Cell Type Signatures,7,M39168,MURARO PANCREAS ALPHA CELL,,-7.7,3.8,7.2,30286,568,354,25,7.1,1.4,594|1191|2878|4833|5166|6595|7586|8895|9905|10370|23062|23329|23621|26249|29937|51171|51196|51390|55089|57562|79600|80055|128240|143686|154043,BCKDHB|CLU|GPX3|NME4|PDK4|SMARCA2|ZKSCAN1|CPNE3|SGSM2|CITED2|GGA2|TBC1D30|BACE1|KLHL3|NENF|HSD17B14|PLCE1|AIG1|SLC38A4|CEP126|TCTN1|PGAP1|NAXE|SESN3|CNKSR3,-5.4,down_common_genes
Cell Type Signatures,7,M39056,MANNO MIDBRAIN NEUROTYPES HRGL3,,-7.6,3.7,7.2,30286,574,354,25,7.1,1.4,214|678|1191|1200|1612|2261|3488|3693|4035|5139|5372|5507|5836|7802|10577|23363|27345|55103|55893|56204|57562|79582|81618|152189|221477,ALCAM|ZFP36L2|CLU|TPP1|DAPK1|FGFR3|IGFBP5|ITGB5|LRP1|PDE3A|PMM1|PPP1R3C|PYGL|DNALI1|NPC2|OBSL1|KCNMB4|RALGPS2|ZNF395|ATOSA|CEP126|SPAG16|ITM2C|CMTM8|C6orf89,-5.3,down_common_genes
Cell Type Signatures,7,M39202,HAY BONE MARROW NAIVE T CELL,,-7.1,4.2,7.1,30286,403,354,20,5.6,1.2,274|288|678|1027|1915|1974|1975|3646|5295|5578|5934|6920|7178|8667|10801|26751|27436|57185|130589|256987,BIN1|ANK3|ZFP36L2|CDKN1B|EEF1A1|EIF4A2|EIF4B|EIF3E|PIK3R1|PRKCA|RBL2|TCEA3|TPT1|EIF3H|SEPTIN9|SH3YL1|EML4|NIPAL3|GALM|SERINC5,-4.9,down_common_genes
Cell Type Signatures,7,M39122,AIZARANI LIVER C21 STELLATE CELLS 1,,-7.1,6.2,7.9,30286,194,354,14,4,1,288|2752|2878|3488|3693|3912|4035|4774|5156|5627|10217|10370|56944|81618,ANK3|GLUL|GPX3|IGFBP5|ITGB5|LAMB1|LRP1|NFIA|PDGFRA|PROS1|CTDSPL|CITED2|OLFML3|ITM2C,-4.9,down_common_genes
Cell Type Signatures,7,M39077,ZHONG PFC MAJOR TYPES MICROGLIA,,-6.5,3.9,6.7,30286,438,354,20,5.6,1.2,2|274|645|678|1200|2217|2512|2548|2752|5166|7178|8635|10577|23062|25840|29116|56944|81618|94134|143686,A2M|BIN1|BLVRB|ZFP36L2|TPP1|FCGRT|FTL|GAA|GLUL|PDK4|TPT1|RNASET2|NPC2|GGA2|TMT1A|MYLIP|OLFML3|ITM2C|ARHGAP12|SESN3,-4.4,down_common_genes
Cell Type Signatures,7,M41750,RUBENSTEIN SKELETAL MUSCLE FBN1 FAP CELLS,,-6.4,4.7,6.9,30286,289,354,16,4.5,1.1,38|274|678|1191|2512|2752|2878|3488|3693|4035|5156|7049|7148|7178|56944|201895,ACAT1|BIN1|ZFP36L2|CLU|FTL|GLUL|GPX3|IGFBP5|ITGB5|LRP1|PDGFRA|TGFBR3|TNXB|TPT1|OLFML3|SMIM14,-4.3,down_common_genes
DisGeNET,35,C0221355,Macrocephaly,,-6.4,4.2,6.7,30286,366,354,18,5.1,1.2,288|894|2261|2990|3476|3912|4774|4983|5190|5296|6391|7067|8450|8635|9791|9968|57545|728294,ANK3|CCND2|FGFR3|GUSB|IGBP1|LAMB1|NFIA|OPHN1|PEX6|PIK3R2|SDHC|THRA|CUL4B|RNASET2|PTDSS1|MED12|CC2D2A|D2HGDH,-4.3,down_common_genes
Cell Type Signatures,7,M39051,MANNO MIDBRAIN NEUROTYPES HMGL,,-6.4,3.4,6.4,30286,577,354,23,6.5,1.3,2|274|645|678|1200|2217|2512|5166|5578|5836|7048|7178|8635|10577|10628|25840|29116|51171|56944|58190|64798|80221|114625,A2M|BIN1|BLVRB|ZFP36L2|TPP1|FCGRT|FTL|PDK4|PRKCA|PYGL|TGFBR2|TPT1|RNASET2|NPC2|TXNIP|TMT1A|MYLIP|HSD17B14|OLFML3|CTDSP1|DEPTOR|ACSF2|ERMAP,-4.3,down_common_genes
Transcription Factor Targets,16,M40810,ZNF579 TARGET GENES,,-6,3.1,6,30286,652,354,24,6.8,1.3,20|738|1355|1628|1974|2122|5295|6603|7086|7586|8131|9610|10994|23171|23552|23621|49855|50619|51545|55139|58190|80055|84311|90673,ABCA2|VPS51|COX15|DBP|EIF4A2|MECOM|PIK3R1|SMARCD2|TKT|ZKSCAN1|NPRL3|RIN1|ILVBL|GPD1L|CDK20|BACE1|SCAPER|DEF6|ZNF581|ANKZF1|CTDSP1|PGAP1|MRPL45|PPP1R3E,-4,down_common_genes
Cell Type Signatures,7,M39257,MENON FETAL KIDNEY 7 LOOPOF HENLE CELLS DISTAL,,-6,4.6,6.6,30286,276,354,15,4.2,1.1,288|2122|2512|3912|5037|5295|7381|7388|8895|10217|10577|23321|51084|66035|81618,ANK3|MECOM|FTL|LAMB1|PEBP1|PIK3R1|UQCRB|UQCRH|CPNE3|CTDSPL|NPC2|TRIM2|CRYL1|SLC2A11|ITM2C,-4,down_common_genes
