GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:1901137,carbohydrate derivative biosynthetic process,-2.695204324289955,-5.121038258898439,0.0,0.0,0.0,0.0,-16.18448847314896,-3.9925771296401367
R-HSA-556833,Metabolism of lipids,-9.941251406112048,-4.103785950740498,0.0,0.0,0.0,0.0,-16.444142930585286,0.0
GO:1901615,organic hydroxy compound metabolic process,0.0,-13.058338043647751,0.0,0.0,0.0,0.0,-19.98724292745959,0.0
WP5390,Pancreatic cancer subtypes,0.0,-17.31752286140704,0.0,0.0,0.0,0.0,0.0,0.0
R-HSA-6798695,Neutrophil degranulation,-3.227943925863167,-3.291508825453971,0.0,0.0,-7.8326919410602125,0.0,-3.4131916620267084,-4.383087035506229
R-HSA-382551,Transport of small molecules,-2.5432105687881004,-7.9404804556282125,0.0,0.0,-10.567000292848942,0.0,-4.448118250662356,0.0
GO:0035239,tube morphogenesis,-3.3173192652121677,-3.3928501183916118,-2.761796686748887,-4.329373122226795,-8.131252442778559,0.0,-2.087823973609498,0.0
WP3888,VEGFA VEGFR2 signaling,-6.6418602967207,0.0,0.0,0.0,-6.565948182272489,-4.076376644326453,-5.082677455326511,-2.420663966170208
R-HSA-1474244,Extracellular matrix organization,-2.5258508294262088,0.0,-2.714652615874773,0.0,-5.987624451380159,-2.7805214265027556,-4.773615057291089,0.0
GO:0007167,enzyme-linked receptor protein signaling pathway,-8.935267191211327,-2.2625612444618963,-5.912726301718596,0.0,-3.880683327018425,-5.534298900202771,0.0,0.0
GO:0009725,response to hormone,-9.53740988788697,-2.3247395559101505,0.0,0.0,0.0,-4.172784008689412,-3.1625223848317985,0.0
R-HSA-5653656,Vesicle-mediated transport,0.0,-3.0408619782737167,-3.7399747282035074,0.0,0.0,-6.909182753212871,-3.439130763472673,0.0
M5890,HALLMARK TNFA SIGNALING VIA NFKB,0.0,0.0,0.0,0.0,-36.76809061567615,-2.4531221484531143,0.0,-4.866052742971784
R-HSA-1280215,Cytokine Signaling in Immune system,0.0,0.0,0.0,0.0,-40.619667210363914,-4.166057375282659,0.0,-10.855585981577269
hsa04668,TNF signaling pathway,0.0,0.0,0.0,0.0,-18.054494112695828,0.0,0.0,0.0
M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,0.0,0.0,0.0,-4.261669862953106,-18.714750566569624,-2.4531221484531143,-3.363410747754256,0.0
R-HSA-191273,Cholesterol biosynthesis,0.0,0.0,0.0,0.0,0.0,0.0,-25.968686297898767,0.0
M5924,HALLMARK MTORC1 SIGNALING,0.0,0.0,0.0,0.0,-6.539332426698206,0.0,-37.16062338711285,0.0
GO:0051604,protein maturation,0.0,0.0,-3.1722654048369243,0.0,-3.024923890525274,0.0,-19.73417933906721,-4.926636997792044
M5913,HALLMARK INTERFERON GAMMA RESPONSE,0.0,0.0,0.0,0.0,-18.714750566569624,0.0,-3.363410747754256,-15.452893726963783
