Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0019752,carboxylic acid metabolic process,19_GO:0008152 metabolic process,-10,4.5,8.7,30286,789,230,27,12,2.1,30|36|38|224|427|2110|2593|2752|3988|5095|5213|6470|7915|8309|8801|8824|10491|51084|55556|57380|64087|79071|80017|84532|114876|153364|728294,ACAA1|ACADSB|ACAT1|ALDH3A2|ASAH1|ETFDH|GAMT|GLUL|LIPA|PCCA|PFKM|SHMT1|ALDH5A1|ACOX2|SUCLG2|CES2|CRTAP|CRYL1|ENOSF1|MRS2|MCCC2|ELOVL6|DGLUCY|ACSS1|OSBPL1A|MBLAC2|D2HGDH,-7.4,down_common_genes
Hallmark Gene Sets,23,M5935,HALLMARK FATTY ACID METABOLISM,,-9.6,11,11,30286,158,230,13,5.7,1.5,30|210|223|224|2110|2752|2820|4128|8801|10961|84263|84532|728294,ACAA1|ALAD|ALDH9A1|ALDH3A2|ETFDH|GLUL|GPD2|MAOA|SUCLG2|ERP29|HSDL2|ACSS1|D2HGDH,-6.9,down_common_genes
GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-7.9,4.5,7.7,30286,614,230,21,9.1,1.9,1287|1288|2264|2888|4920|5164|5295|5296|7048|7049|8829|9372|9702|9847|10220|10370|23767|26058|27250|51196|130399,COL4A5|COL4A6|FGFR4|GRB14|ROR2|PDK2|PIK3R1|PIK3R2|TGFBR2|TGFBR3|NRP1|ZFYVE9|CEP57|C2CD5|GDF11|CITED2|FLRT3|GIGYF2|PDCD4|PLCE1|ACVR1C,-5.5,down_common_genes
GO Biological Processes,19,GO:0044282,small molecule catabolic process,19_GO:0008152 metabolic process,-7.8,6,8.2,30286,352,230,16,7,1.7,30|36|38|221|2110|2752|2820|5095|5213|6470|7915|8309|51084|55556|64087|130589,ACAA1|ACADSB|ACAT1|ALDH3B1|ETFDH|GLUL|GPD2|PCCA|PFKM|SHMT1|ALDH5A1|ACOX2|CRYL1|ENOSF1|MCCC2|GALM,-5.4,down_common_genes
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-7.7,4.8,7.7,30286,520,230,19,8.3,1.8,30|36|38|224|427|2110|2593|3988|5095|5213|7915|8309|8824|51084|57380|79071|84532|114876|153364,ACAA1|ACADSB|ACAT1|ALDH3A2|ASAH1|ETFDH|GAMT|LIPA|PCCA|PFKM|ALDH5A1|ACOX2|CES2|CRYL1|MRS2|ELOVL6|ACSS1|OSBPL1A|MBLAC2,-5.3,down_common_genes
GO Biological Processes,19,GO:1901615,organic hydroxy compound metabolic process,19_GO:0008152 metabolic process,-7.4,4.9,7.6,30286,482,230,18,7.8,1.8,30|221|224|427|847|2820|3613|3988|4128|5360|8309|10404|10613|55304|57380|84532|114876|222236,ACAA1|ALDH3B1|ALDH3A2|ASAH1|CAT|GPD2|IMPA2|LIPA|MAOA|PLTP|ACOX2|CPQ|ERLIN1|SPTLC3|MRS2|ACSS1|OSBPL1A|NAPEPLD,-5.1,down_common_genes
KEGG Pathway,24,hsa00280,"Valine, leucine and isoleucine degradation",,-7.1,19,11,30286,48,230,7,3,1.1,30|36|38|223|224|5095|64087,ACAA1|ACADSB|ACAT1|ALDH9A1|ALDH3A2|PCCA|MCCC2,-4.9,down_common_genes
Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,,-7,3.8,6.9,30286,757,230,22,9.6,1.9,30|38|196|221|224|427|622|2053|2820|3294|5095|5295|5296|8309|10087|23446|30815|55304|55326|58488|79071|114876,ACAA1|ACAT1|AHR|ALDH3B1|ALDH3A2|ASAH1|BDH1|EPHX2|GPD2|HSD17B2|PCCA|PIK3R1|PIK3R2|ACOX2|CERT1|SLC44A1|ST6GALNAC6|SPTLC3|AGPAT5|PCTP|ELOVL6|OSBPL1A,-4.8,down_common_genes
KEGG Pathway,24,hsa00630,Glyoxylate and dicarboxylate metabolism,,-7,26,12,30286,30,230,6,2.6,1.1,38|847|2752|5095|6470|84532,ACAT1|CAT|GLUL|PCCA|SHMT1|ACSS1,-4.8,down_common_genes
GO Biological Processes,19,GO:0006631,fatty acid metabolic process,19_GO:0008152 metabolic process,-6.7,5.7,7.4,30286,324,230,14,6.1,1.6,30|36|38|224|427|2110|3988|5095|8309|8824|51084|79071|84532|153364,ACAA1|ACADSB|ACAT1|ALDH3A2|ASAH1|ETFDH|LIPA|PCCA|ACOX2|CES2|CRYL1|ELOVL6|ACSS1|MBLAC2,-4.6,down_common_genes
