_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,CHILD_GO_down_common_genes,CHILD_GO_down_epi_only,CHILD_GO_down_mes_only,CHILD_GO_down_mes_up_epi,CHILD_GO_up_common_genes,CHILD_GO_up_epi_only,CHILD_GO_up_mes_down_epi,CHILD_GO_up_mes_only
1,1,1,1,1,1,1,1,-10.08932555637204,-7.280623280552931,-2.6832900930747896,-4.049833050533703,-5.0672966668535215,-4.758374368841619,-7.871295907905728,-8.10862218568711,GO:0008152,metabolic process,M11111111,8,GO:0019752 carboxylic acid metabolic process,GO:0042445 hormone metabolic process,GO:0006468 protein phosphorylation,GO:0008610 lipid biosynthetic process,GO:0080164 regulation of nitric oxide metabolic process,GO:0030574 collagen catabolic process,GO:0051604 protein maturation,GO:0070085 glycosylation
1,1,1,1,1,1,1,1,-7.934047179724909,-6.918042339269744,-5.696339245281387,-8.507374138200877,-11.047239493337699,-10.590081922737504,-6.682803012371456,-6.349126105747081,GO:0050896,response to stimulus,M11111111,8,GO:0007167 enzyme-linked receptor protein signaling pathway,GO:0006805 xenobiotic metabolic process,GO:0009725 response to hormone,GO:0071345 cellular response to cytokine stimulus,GO:0009611 response to wounding,GO:0006954 inflammatory response,GO:0034976 response to endoplasmic reticulum stress,GO:0034976 response to endoplasmic reticulum stress
1,1,1,1,1,1,1,1,-4.127019783750808,-7.13586689315813,-4.597275686652793,-5.11703464469484,-5.019758543747365,-4.471009409993653,-9.595652427497104,-12.124314981814177,GO:0051179,localization,M11111111,8,GO:1905475 regulation of protein localization to membrane,GO:0015711 organic anion transport,GO:0090522 vesicle tethering involved in exocytosis,GO:1990778 protein localization to cell periphery,GO:0051051 negative regulation of transport,GO:1903829 positive regulation of protein localization,GO:0090150 establishment of protein localization to membrane,GO:0048193 Golgi vesicle transport
1,1,1,1,1,1,1,1,-3.886685787144125,-7.598843154951945,-3.854040943175777,-6.7664990281224835,-11.493555406312721,-6.0405675126379235,-4.000931120121673,-8.831435210241349,GO:0032502,developmental process,M11111111,8,GO:0007507 heart development,GO:0030855 epithelial cell differentiation,GO:0051963 regulation of synapse assembly,GO:0030097 hemopoiesis,GO:0001944 vasculature development,GO:0010975 regulation of neuron projection development,GO:0035239 tube morphogenesis,GO:0001501 skeletal system development
1,1,1,1,1,1,1,1,-3.005306184486497,-5.715354086652928,-4.609334418752297,-8.62798350684085,-9.349016603555675,-5.821239520146175,-2.5054678373872243,-3.145929052165586,GO:0032501,multicellular organismal process,M11111111,8,GO:0002026 regulation of the force of heart contraction,GO:0022600 digestive system process,GO:0007610 behavior,GO:0001775 cell activation,GO:0001503 ossification,GO:0001775 cell activation,GO:0070527 platelet aggregation,GO:0001503 ossification
1,1,1,1,1,1,1,1,-3.005175461556524,-4.385866427840512,-6.664159516009306,-5.138213372140826,-8.221919645802158,-7.51350298430795,-3.0453345254188533,-2.817773427511567,GO:0050789,regulation of biological process,M11111111,8,GO:0120032 regulation of plasma membrane bounded cell projection assembly,GO:0032532 regulation of microvillus length,GO:0031344 regulation of cell projection organization,GO:1903037 regulation of leukocyte cell-cell adhesion,GO:0110020 regulation of actomyosin structure organization,GO:0050678 regulation of epithelial cell proliferation,GO:0120035 regulation of plasma membrane bounded cell projection organization,GO:0043244 regulation of protein-containing complex disassembly
1,1,1,1,1,1,1,1,-2.887936219390461,-6.972437630396337,-4.234262037695374,-3.312918211605682,-6.9169064358812165,-4.521823939296414,-2.4501579621446745,-2.77404742848435,GO:0065007,biological regulation,M11111111,8,GO:0051338 regulation of transferase activity,GO:0010817 regulation of hormone levels,GO:0090066 regulation of anatomical structure size,GO:0090066 regulation of anatomical structure size,GO:0032535 regulation of cellular component size,GO:0051336 regulation of hydrolase activity,GO:0090630 activation of GTPase activity,GO:0031647 regulation of protein stability
1,1,1,1,1,1,1,1,-2.7813994702478473,-3.7541365285907102,-6.134511746307774,-6.5650310517324595,-5.0286450324605525,-4.717474099183883,-3.605093782684959,-2.710164307665558,GO:0048519,negative regulation of biological process,M11111111,8,GO:0031400 negative regulation of protein modification process,GO:0050819 negative regulation of coagulation,GO:0051129 negative regulation of cellular component organization,GO:0008285 negative regulation of cell population proliferation,GO:0051129 negative regulation of cellular component organization,GO:0008285 negative regulation of cell population proliferation,GO:1902236 negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,GO:0033144 negative regulation of intracellular steroid hormone receptor signaling pathway
1,0,1,1,1,1,0,0,-2.6973976568286093,0.0,-5.5867037748708,-5.501740902162587,-11.961892901540878,-6.67371465531268,0.0,0.0,GO:0040011,locomotion,M10111100,5,GO:0050922 negative regulation of chemotaxis,,GO:0030335 positive regulation of cell migration,GO:0030335 positive regulation of cell migration,GO:0040017 positive regulation of locomotion,GO:0030335 positive regulation of cell migration,,
1,1,1,1,1,0,1,0,-2.63216040792685,-3.7546129632759624,-3.2181189976739057,-3.8760366770719648,-3.239978053261095,0.0,-2.9130141745672247,0.0,GO:0042592,homeostatic process,M11111010,6,GO:0055088 lipid homeostasis,GO:0055082 intracellular chemical homeostasis,GO:0120161 regulation of cold-induced thermogenesis,GO:0048872 homeostasis of number of cells,GO:0048871 multicellular organismal-level homeostasis,,GO:0019725 cellular homeostasis,
1,1,1,1,1,1,1,1,-2.5247082445920594,-5.916079329305824,-3.895913826133025,-5.84284528152552,-14.17267283290219,-5.787430258913894,-4.952992418653356,-7.328146221002382,GO:0009987,cellular process,M11111111,8,GO:0031589 cell-substrate adhesion,GO:1902896 terminal web assembly,GO:0000910 cytokinesis,GO:0098609 cell-cell adhesion,GO:0030036 actin cytoskeleton organization,GO:0022617 extracellular matrix disassembly,GO:0010256 endomembrane system organization,GO:0010256 endomembrane system organization
1,1,1,1,1,1,0,0,-2.379141447918789,-4.253175204877163,-4.6313306307556,-8.829781787285054,-7.794736928533014,-6.949758077334398,0.0,0.0,GO:0048518,positive regulation of biological process,M11111100,6,GO:0045785 positive regulation of cell adhesion,GO:0045834 positive regulation of lipid metabolic process,GO:0010811 positive regulation of cell-substrate adhesion,GO:0032103 positive regulation of response to external stimulus,GO:0032233 positive regulation of actin filament bundle assembly,GO:0001819 positive regulation of cytokine production,,
1,1,1,1,1,0,0,0,-2.270465119974177,-3.7262772190365325,-3.3377161761280196,-2.206054405163002,-4.15552221273871,0.0,0.0,0.0,GO:0040007,growth,M11111000,5,GO:0048589 developmental growth,GO:0060736 prostate gland growth,GO:0048638 regulation of developmental growth,GO:0040008 regulation of growth,GO:0001558 regulation of cell growth,,,
1,0,1,1,1,1,0,1,-2.04994459150542,0.0,-3.043434041663893,-6.837217517304656,-2.465924169929885,-5.968983275406866,0.0,-2.3749238302761984,GO:0044419,biological process involved in interspecies interaction between organisms,M10111101,6,GO:0052372 modulation by symbiont of entry into host,,GO:0050688 regulation of defense response to virus,GO:0009615 response to virus,GO:0032496 response to lipopolysaccharide,GO:0009617 response to bacterium,,GO:0009615 response to virus
0,1,0,0,0,0,0,0,0.0,-4.012572102266408,0.0,0.0,0.0,0.0,0.0,0.0,GO:0098754,detoxification,M01000000,1,,GO:0110095 cellular detoxification of aldehyde,,,,,,
0,1,0,0,1,1,1,0,0.0,-3.494297735558976,0.0,0.0,-3.0949176369788476,-5.316829882363694,-2.5054678373872243,0.0,GO:0022414,reproductive process,M01001110,4,,GO:0030728 ovulation,,,GO:0046697 decidualization,GO:0007567 parturition,GO:0048806 genitalia development,
