_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,0,0,1,1,1,0,0,0.0,0.0,0.0,-21.915565804624265,-15.120453914799489,-15.742721838635635,0.0,0.0,M5890,M00011100,3,0,Hallmark Gene Sets,23,HALLMARK TNFA SIGNALING VIA NFKB,,-30.383348477182906,5.545323943661972,16.09178997165436,30286,200,1775,65,3.6619718309859155,0.4458175875360085,330|467|595|960|1326|1435|1827|1843|1847|1906|2354|2919|2920|2921|3371|3383|3398|3491|3552|3604|3606|3624|3659|3726|3976|4088|4616|4791|4792|4814|5054|5271|5329|5734|5743|5791|5971|6372|6385|6648|6776|7050|7124|7185|7538|8553|8613|8837|8870|9021|9242|9516|10221|10318|10938|22822|23586|23764|24147|51278|51561|56937|57007|80149|80176,BIRC3|ATF3|CCND1|CD44|MAP3K8|CSF1|RCAN1|DUSP1|DUSP5|EDN1|FOSB|CXCL1|CXCL2|CXCL3|TNC|ICAM1|ID2|CCN1|IL1A|TNFRSF9|IL18|INHBA|IRF1|JUNB|LIF|SMAD3|GADD45B|NFKB2|NFKBIA|NINJ1|SERPINE1|SERPINB8|PLAUR|PTGER4|PTGS2|PTPRE|RELB|CXCL6|SDC4|SOD2|STAT5A|TGIF1|TNF|TRAF1|ZFP36|BHLHE40|PLPP3|CFLAR|IER3|SOCS3|MSC|LITAF|TRIB1|TNIP1|EHD1|PHLDA1|RIGI|MAFF|FJX1|IER5|IL23A|PMEPA1|ACKR3|ZC3H12A|SPSB1,-26.09384871130905,0,1.0,1.0,1.0,-30.383348477182906,5.545323943661972,
0,0,0,1,1,0,0,1,0.0,0.0,0.0,-4.8852661583170205,-25.475819218110843,0.0,0.0,-5.9620033940791455,M5930,M00011001,3,0,Hallmark Gene Sets,23,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,,-25.475819218110843,18.33457399103139,21.183416605384767,30286,200,223,27,12.10762331838565,2.1845028879239785,633|649|1000|1277|1311|1490|1809|3371|3486|3491|3624|3685|3918|4017|4616|5054|5270|5329|6876|7045|7168|8572|9244|10272|11010|30008|56937,BGN|BMP1|CDH2|COL1A1|COMP|CCN2|DPYSL3|TNC|IGFBP3|CCN1|INHBA|ITGAV|LAMC2|LOXL2|GADD45B|SERPINE1|SERPINE2|PLAUR|TAGLN|TGFBI|TPM1|PDLIM4|CRLF1|FSTL3|GLIPR1|EFEMP2|PMEPA1,-21.186319452236987,0,2.0,1.0,1.0,-25.475819218110843,18.33457399103139,
0,1,0,1,1,1,1,0,0.0,-2.5213940957850234,0.0,-4.083554997669183,-11.05189893636765,-4.474516465491031,-4.000931120121673,0.0,GO:0035239,M01011110,5,0,GO Biological Processes,19,tube morphogenesis,19_GO:0032502 developmental process,-23.630076918220706,2.8520953285696584,12.206385131743255,30286,682,1775,114,6.422535211267606,0.5818884083457968,71|93|101|338|387|677|857|1000|1295|1296|1311|1435|1490|1499|1893|1901|1906|2004|2045|2263|2625|2626|2627|2752|2909|3162|3248|3371|3398|3491|3576|3606|3685|3696|3726|4017|4041|4070|4088|4162|4522|4814|5054|5140|5216|5310|5345|5420|5534|5743|6091|6385|6469|6495|6659|6692|7045|7046|7048|7049|7291|7342|7408|7410|7476|7494|7852|8463|8543|8626|8751|8829|9037|9255|9723|10203|10266|10267|10370|10395|10451|10551|23242|23509|23552|25865|25960|30008|51339|51676|54567|55366|56005|56999|57007|57545|58495|60681|64344|64412|79600|79733|80004|80149|83478|84830|90627|91010|113026|153090|154796|219699|284217|375056,ACTG1|ACVR2B|ADAM8|APOB|RHOA|ZFP36L1|CAV1|CDH2|COL8A1|COL8A2|COMP|CSF1|CCN2|CTNNB1|ECM1|S1PR1|EDN1|ELK3|EPHA7|FGFR2|GATA3|GATA4|GATA6|GLUL|ARHGAP35|HMOX1|HPGD|TNC|ID2|CCN1|CXCL8|IL18|ITGAV|ITGB8|JUNB|LOXL2|LRP5|TACSTD2|SMAD3|MCAM|MTHFD1|NINJ1|SERPINE1|PDE3B|PFN1|PKD1|SERPINF2|PODXL|PPP3R1|PTGS2|ROBO1|SDC4|SHH|SIX1|SOX4|SPINT1|TGFBI|TGFBR1|TGFBR2|TGFBR3|TWIST1|UBP1|VASP|VAV2|WNT7A|XBP1|CXCR4|TEAD2|LMO4|TP63|ADAM15|NRP1|SEMA5A|AIMP1|SEMA3E|CALCRL|RAMP2|RAMP1|CITED2|DLC1|VAV3|AGR2|COBL|POFUT1|CDK20|PRKD2|ADGRA2|EFEMP2|DACT1|ASB2|DLL4|LGR4|MYDGF|ADAMTS9|ACKR3|CC2D2A|OVOL2|FKBP10|HIF3A|GZF1|TCTN1|E2F8|ESRP2|ZC3H12A|ARHGAP24|ADTRP|STARD13|FMNL3|PLCD3|DAB2IP|AMOT|UNC5B|LAMA1|MIA3,-19.817698407066512,0,3.0,1.0,1.0,-23.630076918220706,3.1274716512532277,
1,0,0,1,1,1,1,0,-2.0265800059425016,0.0,0.0,-4.383321371906602,-11.493555406312721,-3.3510850679978397,-2.634022495538487,0.0,GO:0001944,M10011110,5,0,GO Biological Processes,19,vasculature development,19_GO:0032502 developmental process,-23.192284342003912,3.0881005226974274,12.296701406598169,30286,547,1775,99,5.577464788732394,0.5446996150631706,59|71|93|101|196|338|677|857|1000|1277|1278|1295|1296|1311|1490|1499|1893|1901|1906|2004|2263|2548|2627|2752|3162|3248|3340|3491|3576|3606|3685|3696|3726|3964|3976|3988|4017|4041|4091|4162|4814|5054|5140|5175|5310|5345|5534|5743|6091|6469|6495|6659|6692|7045|7046|7048|7049|7342|7410|7476|7494|7763|8463|8613|8751|8829|9021|9037|9255|9723|10203|10266|10267|10370|10451|11174|23509|25865|25960|30008|54567|56005|56999|57007|58495|60626|60681|64344|79733|80149|83478|84830|91010|113026|153090|154796|219699|284217|375056,ACTA2|ACTG1|ACVR2B|ADAM8|AHR|APOB|ZFP36L1|CAV1|CDH2|COL1A1|COL1A2|COL8A1|COL8A2|COMP|CCN2|CTNNB1|ECM1|S1PR1|EDN1|ELK3|FGFR2|GAA|GATA6|GLUL|HMOX1|HPGD|NDST1|CCN1|CXCL8|IL18|ITGAV|ITGB8|JUNB|LGALS8|LIF|LIPA|LOXL2|LRP5|SMAD6|MCAM|NINJ1|SERPINE1|PDE3B|PECAM1|PKD1|SERPINF2|PPP3R1|PTGS2|ROBO1|SHH|SIX1|SOX4|SPINT1|TGFBI|TGFBR1|TGFBR2|TGFBR3|UBP1|VAV2|WNT7A|XBP1|ZFAND5|TEAD2|PLPP3|ADAM15|NRP1|SOCS3|SEMA5A|AIMP1|SEMA3E|CALCRL|RAMP2|RAMP1|CITED2|VAV3|ADAMTS6|POFUT1|PRKD2|ADGRA2|EFEMP2|DLL4|MYDGF|ADAMTS9|ACKR3|OVOL2|RIC8A|FKBP10|HIF3A|E2F8|ZC3H12A|ARHGAP24|ADTRP|FMNL3|PLCD3|DAB2IP|AMOT|UNC5B|LAMA1|MIA3,-19.50484456745802,0,3.0,0.0,0.0,-23.630076918220706,3.1274716512532277,
0,0,1,1,1,1,0,0,0.0,0.0,-5.5867037748708,-5.501740902162587,-11.789217294759903,-6.67371465531268,0.0,0.0,GO:0030335,M00111100,4,0,GO Biological Processes,19,positive regulation of cell migration,19_GO:0040011 locomotion,-22.8914163520132,3.00065274405051,12.138649324015379,30286,580,1775,102,5.746478873239437,0.5523959938475227,59|71|101|382|387|389|430|857|949|1277|1364|1435|1901|1906|2625|2651|3162|3315|3383|3491|3552|3554|3576|3675|3685|3918|3958|4088|4162|4249|4316|4318|4920|5025|5031|5054|5175|5216|5286|5295|5420|5581|5595|5724|5743|5764|5879|5880|6237|6282|6405|6648|6776|7015|7046|7048|7049|7124|7205|7264|7291|7429|7448|7476|7494|7852|7869|8482|8613|8829|8874|9037|9076|9564|9590|9723|10000|10399|10457|10505|10509|10631|25865|25960|26012|27086|51561|57007|57214|57580|57715|65125|79647|80005|80149|81029|91663|146433|152007|153090|375056|100287171,ACTA2|ACTG1|ADAM8|ARF6|RHOA|RHOC|ASCL2|CAV1|SCARB1|COL1A1|CLDN4|CSF1|S1PR1|EDN1|GATA3|GCNT2|HMOX1|HSPB1|ICAM1|CCN1|IL1A|IL1R1|CXCL8|ITGA3|ITGAV|LAMC2|LGALS3|SMAD3|MCAM|MGAT5|MMP7|MMP9|ROR2|P2RX4|P2RY6|SERPINE1|PECAM1|PFN1|PIK3C2A|PIK3R1|PODXL|PRKCE|MAPK3|PTAFR|PTGS2|PTN|RAC1|RAC2|RRAS|S100A11|SEMA3F|SOD2|STAT5A|TERT|TGFBR1|TGFBR2|TGFBR3|TNF|TRIP6|GFUS|TWIST1|VIL1|VTN|WNT7A|XBP1|CXCR4|SEMA3B|SEMA7A|PLPP3|NRP1|ARHGEF7|SEMA5A|CLDN1|BCAR1|AKAP12|SEMA3E|AKT3|RACK1|GPNMB|SEMA4F|SEMA4B|POSTN|PRKD2|ADGRA2|NSMF|FOXP1|IL23A|ACKR3|CEMIP|PREX1|SEMA4G|WNK1|AKIRIN1|DOCK5|ZC3H12A|WNT5B|MYADM|IL34|GLIPR2|DAB2IP|MIA3|WASHC1,-19.30088659047536,0,4.0,1.0,1.0,-22.8914163520132,3.084752128590754,
1,0,0,1,1,1,1,1,-2.133503522089894,0.0,0.0,-3.8711230242690577,-10.154538582269167,-2.9742952966684486,-2.751274830294946,-2.0221037704810807,GO:0001568,M10011111,6,0,GO Biological Processes,19,blood vessel development,19_GO:0032502 developmental process,-22.142078360392574,3.075789079830024,11.994609305275644,30286,527,1775,95,5.352112676056338,0.5342184801294243,59|71|93|101|196|338|677|857|1000|1277|1278|1295|1296|1311|1490|1499|1893|1901|1906|2004|2263|2548|2627|2752|3162|3248|3340|3491|3576|3606|3685|3696|3726|3988|4017|4041|4091|4162|4814|5054|5140|5175|5310|5345|5534|5743|6091|6469|6495|6659|6692|7045|7046|7048|7049|7342|7410|7476|7494|8463|8613|8751|8829|9021|9037|9255|9723|10203|10266|10267|10370|10451|11174|23509|25865|25960|30008|54567|56005|56999|57007|58495|60681|64344|79733|80149|83478|84830|91010|113026|153090|154796|219699|284217|375056,ACTA2|ACTG1|ACVR2B|ADAM8|AHR|APOB|ZFP36L1|CAV1|CDH2|COL1A1|COL1A2|COL8A1|COL8A2|COMP|CCN2|CTNNB1|ECM1|S1PR1|EDN1|ELK3|FGFR2|GAA|GATA6|GLUL|HMOX1|HPGD|NDST1|CCN1|CXCL8|IL18|ITGAV|ITGB8|JUNB|LIPA|LOXL2|LRP5|SMAD6|MCAM|NINJ1|SERPINE1|PDE3B|PECAM1|PKD1|SERPINF2|PPP3R1|PTGS2|ROBO1|SHH|SIX1|SOX4|SPINT1|TGFBI|TGFBR1|TGFBR2|TGFBR3|UBP1|VAV2|WNT7A|XBP1|TEAD2|PLPP3|ADAM15|NRP1|SOCS3|SEMA5A|AIMP1|SEMA3E|CALCRL|RAMP2|RAMP1|CITED2|VAV3|ADAMTS6|POFUT1|PRKD2|ADGRA2|EFEMP2|DLL4|MYDGF|ADAMTS9|ACKR3|OVOL2|FKBP10|HIF3A|E2F8|ZC3H12A|ARHGAP24|ADTRP|FMNL3|PLCD3|DAB2IP|AMOT|UNC5B|LAMA1|MIA3,-18.630729844902362,0,3.0,0.0,0.0,-23.630076918220706,3.1274716512532277,
0,0,1,1,1,1,0,0,0.0,0.0,-5.336170960762774,-5.275841167314812,-11.359820349503572,-6.374159206300569,0.0,0.0,GO:2000147,M00111100,4,0,GO Biological Processes,19,positive regulation of cell motility,19_GO:0040011 locomotion,-21.88771708242299,2.8952901594078475,11.769341484642412,30286,607,1775,103,5.802816901408451,0.5549312893132939,59|71|101|382|387|389|430|857|949|1277|1364|1435|1901|1906|2625|2651|3162|3315|3383|3491|3552|3554|3576|3675|3685|3918|3958|4088|4162|4249|4316|4318|4920|5025|5031|5054|5175|5216|5286|5295|5420|5581|5595|5724|5743|5764|5879|5880|6237|6282|6405|6648|6776|7015|7046|7048|7049|7124|7205|7264|7291|7429|7448|7476|7494|7852|7869|8482|8613|8829|8874|9037|9076|9564|9590|9723|10000|10399|10457|10505|10509|10631|25865|25960|26012|27086|51561|55246|57007|57214|57580|57715|65125|79647|80005|80149|81029|91663|146433|152007|153090|375056|100287171,ACTA2|ACTG1|ADAM8|ARF6|RHOA|RHOC|ASCL2|CAV1|SCARB1|COL1A1|CLDN4|CSF1|S1PR1|EDN1|GATA3|GCNT2|HMOX1|HSPB1|ICAM1|CCN1|IL1A|IL1R1|CXCL8|ITGA3|ITGAV|LAMC2|LGALS3|SMAD3|MCAM|MGAT5|MMP7|MMP9|ROR2|P2RX4|P2RY6|SERPINE1|PECAM1|PFN1|PIK3C2A|PIK3R1|PODXL|PRKCE|MAPK3|PTAFR|PTGS2|PTN|RAC1|RAC2|RRAS|S100A11|SEMA3F|SOD2|STAT5A|TERT|TGFBR1|TGFBR2|TGFBR3|TNF|TRIP6|GFUS|TWIST1|VIL1|VTN|WNT7A|XBP1|CXCR4|SEMA3B|SEMA7A|PLPP3|NRP1|ARHGEF7|SEMA5A|CLDN1|BCAR1|AKAP12|SEMA3E|AKT3|RACK1|GPNMB|SEMA4F|SEMA4B|POSTN|PRKD2|ADGRA2|NSMF|FOXP1|IL23A|CCDC25|ACKR3|CEMIP|PREX1|SEMA4G|WNK1|AKIRIN1|DOCK5|ZC3H12A|WNT5B|MYADM|IL34|GLIPR2|DAB2IP|MIA3|WASHC1,-18.443315356563392,0,4.0,0.0,0.0,-22.8914163520132,3.084752128590754,
0,0,1,1,1,1,0,0,0.0,0.0,-5.211899199471467,-5.163622178453175,-11.961892901540878,-6.225563519806048,0.0,0.0,GO:0040017,M00111100,4,0,GO Biological Processes,19,positive regulation of locomotion,19_GO:0040011 locomotion,-21.648571173002722,2.857493819600372,11.669647664316315,30286,621,1775,104,5.859154929577465,0.5574518467015427,59|71|101|382|387|389|430|857|949|1277|1364|1435|1901|1906|2625|2651|3162|3315|3383|3491|3552|3554|3576|3675|3685|3918|3958|4088|4162|4249|4316|4318|4920|5025|5031|5054|5175|5216|5286|5295|5420|5581|5595|5724|5743|5764|5879|5880|6237|6282|6405|6648|6776|7015|7046|7048|7049|7124|7205|7264|7291|7429|7448|7476|7494|7852|7869|8482|8613|8829|8874|9037|9076|9564|9590|9723|10000|10399|10457|10505|10509|10631|11149|25865|25960|26012|27086|51561|55246|57007|57214|57580|57715|65125|79647|80005|80149|81029|91663|146433|152007|153090|375056|100287171,ACTA2|ACTG1|ADAM8|ARF6|RHOA|RHOC|ASCL2|CAV1|SCARB1|COL1A1|CLDN4|CSF1|S1PR1|EDN1|GATA3|GCNT2|HMOX1|HSPB1|ICAM1|CCN1|IL1A|IL1R1|CXCL8|ITGA3|ITGAV|LAMC2|LGALS3|SMAD3|MCAM|MGAT5|MMP7|MMP9|ROR2|P2RX4|P2RY6|SERPINE1|PECAM1|PFN1|PIK3C2A|PIK3R1|PODXL|PRKCE|MAPK3|PTAFR|PTGS2|PTN|RAC1|RAC2|RRAS|S100A11|SEMA3F|SOD2|STAT5A|TERT|TGFBR1|TGFBR2|TGFBR3|TNF|TRIP6|GFUS|TWIST1|VIL1|VTN|WNT7A|XBP1|CXCR4|SEMA3B|SEMA7A|PLPP3|NRP1|ARHGEF7|SEMA5A|CLDN1|BCAR1|AKAP12|SEMA3E|AKT3|RACK1|GPNMB|SEMA4F|SEMA4B|POSTN|BVES|PRKD2|ADGRA2|NSMF|FOXP1|IL23A|CCDC25|ACKR3|CEMIP|PREX1|SEMA4G|WNK1|AKIRIN1|DOCK5|ZC3H12A|WNT5B|MYADM|IL34|GLIPR2|DAB2IP|MIA3|WASHC1,-18.26216139412081,0,4.0,0.0,0.0,-22.8914163520132,3.084752128590754,
1,1,1,1,1,1,1,1,-3.886685787144125,-2.048958066153236,-2.2286919815033217,-2.9833414170181034,-3.4690944329636566,-2.6893553293636248,-2.506409801062913,-5.103258925492309,GO:0007507,M11111111,8,0,GO Biological Processes,19,heart development,19_GO:0032502 developmental process,-20.72763633789019,2.90362441314554,11.448016888580485,30286,570,1775,97,5.464788732394366,0.5394911307862551,93|387|677|1009|1027|1301|1499|1889|1901|1906|2065|2200|2263|2280|2302|2548|2625|2626|2627|2767|3340|3398|3491|3552|3624|3675|3776|4088|4091|4152|4205|4522|4879|5021|5308|5310|5465|5534|5573|5595|5728|6091|6469|6495|6648|6659|7046|7048|7049|7132|7134|7168|7273|7291|8463|8543|8572|8701|8751|8829|9242|9260|9321|9742|10087|10203|10266|10269|10370|10395|10848|11096|11149|11174|22943|23118|23322|23345|23363|23509|23767|27250|27295|51676|54567|56999|57545|58495|64236|65125|80173|83881|128344|140628|157378|203286|341640,ACVR2B|RHOA|ZFP36L1|CDH11|CDKN1B|COL11A1|CTNNB1|ECE1|S1PR1|EDN1|ERBB3|FBN1|FGFR2|FKBP1A|FOXJ1|GAA|GATA3|GATA4|GATA6|GNA11|NDST1|ID2|CCN1|IL1A|INHBA|ITGA3|KCNK2|SMAD3|SMAD6|MBD1|MEF2A|MTHFD1|NPPB|OXTR|PITX2|PKD1|PPARA|PPP3R1|PRKAR1A|MAPK3|PTEN|ROBO1|SHH|SIX1|SOD2|SOX4|TGFBR1|TGFBR2|TGFBR3|TNFRSF1A|TNNC1|TPM1|TTN|TWIST1|TEAD2|LMO4|PDLIM4|DNAH11|ADAM15|NRP1|MSC|PDLIM7|TRIP11|IFT140|CERT1|CALCRL|RAMP2|ZMPSTE24|CITED2|DLC1|PPP1R13L|ADAMTS5|BVES|ADAMTS6|DKK1|TAB2|RPGRIP1L|SYNE1|OBSL1|POFUT1|FLRT3|PDCD4|PDLIM3|ASB2|DLL4|ADAMTS9|CC2D2A|OVOL2|PDLIM2|WNK1|IFT74|MIXL1|CIMAP3|GATA5|TMEM65|ANKS6|FREM2,-17.39237908145566,0,5.0,1.0,1.0,-20.72763633789019,4.939154929577465,
0,1,0,1,1,1,0,0,0.0,-3.0686895700243273,0.0,-5.097879107510515,-14.17267283290219,-2.3769179074472797,0.0,0.0,GO:0030036,M01011100,4,0,GO Biological Processes,19,actin cytoskeleton organization,19_GO:0009987 cellular process,-20.575068462880573,2.9483057166528583,11.441374802264406,30286,544,1775,94,5.295774647887324,0.5315574966144839,60|71|118|357|382|387|389|390|391|832|1072|1264|1265|1266|1465|1809|1901|2059|2275|2302|2620|2909|2919|2934|3551|3706|3936|3996|4205|4604|4640|5216|5217|5357|5358|5573|5756|5879|5880|6525|6712|7124|7126|7168|7184|7273|7408|7429|7430|7456|8407|8572|8837|9260|9294|9564|10391|10395|23022|23189|23242|23363|23647|27289|27295|29766|29993|50488|50848|51676|54509|54961|55761|57580|57591|57619|64236|79983|80115|83872|84501|85462|89846|90627|91010|94134|115677|121512|154796|171177|201191|359845|399687|100287171,ACTB|ACTG1|ADD1|SHROOM2|ARF6|RHOA|RHOC|RND3|RHOG|CAPZB|CFL1|CNN1|CNN2|CNN3|CSRP1|DPYSL3|S1PR1|EPS8|FHL3|FOXJ1|GAS2|ARHGAP35|CXCL1|GSN|IKBKB|ITPKA|LCP1|LLGL1|MEF2A|MYBPC1|MYO1A|PFN1|PFN2|PLS1|PLS3|PRKAR1A|TWF1|RAC1|RAC2|SMTN|SPTBN2|TNF|TNFAIP1|TPM1|HSP90B1|TTN|VASP|VIL1|EZR|WIPF1|TAGLN2|PDLIM4|CFLAR|PDLIM7|S1PR2|BCAR1|CORO2B|DLC1|PALLD|KANK1|COBL|OBSL1|ARFIP2|RND1|PDLIM3|TMOD3|PACSIN1|MINK1|F11R|ASB2|RHOF|SSH3|TTC17|PREX1|MRTFA|SHROOM3|PDLIM2|POF1B|BAIAP2L2|HMCN1|SPIRE2|FHDC1|FGD3|STARD13|FMNL3|ARHGAP12|NOSTRIN|FGD4|AMOT|RHOV|SAMD14|RFLNB|MYO18A|WASHC1,-17.285568697006717,0,6.0,1.0,1.0,-20.575068462880573,3.0578020091877427,
