_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,1,1,1,1,0,1,0,0,-2.6,-3.5,-46,-2.1,0,-15,M39175,M00111101,5,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-46,12,25,30286,680,223,60,27,3,60|71|378|633|649|832|1072|1265|1266|1277|1490|1499|3212|3371|3486|3491|3589|3624|3685|3976|4017|4053|4478|5054|5216|5329|5743|5791|6282|6498|7041|7045|7046|7168|8553|8560|8682|8728|8870|9244|9253|9902|11031|25960|29940|29995|51026|51148|51339|54587|56937|60626|80176|91010|91283|91663|92689|122786|123920|170954,ACTB|ACTG1|ARF4|BGN|BMP1|CAPZB|CFL1|CNN2|CNN3|COL1A1|CCN2|CTNNB1|HOXB2|TNC|IGFBP3|CCN1|IL11|INHBA|ITGAV|LIF|LOXL2|LTBP2|MSN|SERPINE1|PFN1|PLAUR|PTGS2|PTPRE|S100A11|SKIL|TGFB1I1|TGFBI|TGFBR1|TPM1|BHLHE40|DEGS1|PEA15|ADAM19|IER3|CRLF1|NUMBL|MRC2|RAB31|ADGRA2|DSE|LMCD1|GOLT1B|CERCAM|DACT1|MXRA8|PMEPA1|RIC8A|SPSB1|FMNL3|MSANTD3|MYADM|FAM114A1|FRMD6|CMTM3|PPP1R18,-42,0
1,1,0,0,0,0,0,0,-2.8,-42,0,0,0,0,0,0,M40234,M11000000,2,0,Cell Type Signatures,7,DESCARTES FETAL LIVER HEPATOBLASTS,,-42,11,23,30286,500,324,58,18,2.1,13|173|174|216|259|336|338|350|433|1244|1644|1733|1852|1962|2065|2147|2168|2330|2620|2939|3026|3158|3174|3698|4224|4547|5174|5345|6819|7274|7276|7366|7429|8431|10110|10247|10840|10861|27134|27165|28999|29974|51085|55195|79762|79814|84699|92840|134548|151258|221458|256394|256764|257407|257629|283375|319089|100996492,AADAC|AFM|AFP|ALDH1A1|AMBP|APOA2|APOB|APOH|ASGR2|ABCC2|DDC|DIO1|DUSP9|EHHADH|ERBB3|F2|FABP1|FMO5|GAS2|GSTA2|HABP2|HMGCS2|HNF4G|ITIH2|MEP1A|MTTP|PDZK1|SERPINF2|SULT1C2|TTPA|TTR|UGT2B15|VIL1|NR0B2|SGK2|RIDA|ALDH1L1|SLC26A1|TJP3|GLS2|KLF15|A1CF|MLXIPL|CCDC198|C1orf115|AGMAT|CREB3L3|REEP6|SOWAHA|SLC38A11|KIF6|SERPINA11|WDR72|C2orf72|ANKS4B|SLC39A5|TTC6|CTXND1,-37,0
0,1,0,0,0,0,0,0,0,-29,0,0,0,0,0,0,M40212,M01000000,1,0,Cell Type Signatures,7,DESCARTES FETAL INTESTINE INTESTINAL EPITHELIAL CELLS,,-29,13,20,30286,276,324,37,11,1.8,13|126|173|174|336|338|1244|2168|2938|2939|4224|4547|5625|5648|6819|7015|7103|9153|10840|27134|54102|54810|55195|55808|79814|80004|84699|92840|93432|132158|140893|155465|196410|222643|257407|284422|340024,AADAC|ADH1C|AFM|AFP|APOA2|APOB|ABCC2|FABP1|GSTA1|GSTA2|MEP1A|MTTP|PRODH|MASP1|SULT1C2|TERT|TSPAN8|SLC28A2|ALDH1L1|TJP3|CLIC6|GIPC2|CCDC198|ST6GALNAC1|AGMAT|ESRP2|CREB3L3|REEP6|MGAM2|GLYCTK|RBBP8NL|AGR3|TMT1B|UNC5CL|C2orf72|SMIM24|SLC6A19,-25,0
0,0,0,1,1,1,0,0,0,0,0,-23,-24,-11,0,0,M41700,M00011100,3,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-24,7.7,16,30286,726,223,41,18,2.6,60|71|378|387|1263|1499|2004|2120|2354|3685|4478|4616|4688|5045|5216|5271|5329|5743|5879|6282|6483|6498|7045|7408|8682|8728|8870|9260|10226|10952|11031|26286|29940|51100|56937|57514|80149|81631|152007|170954|387521,ACTB|ACTG1|ARF4|RHOA|PLK3|CTNNB1|ELK3|ETV6|FOSB|ITGAV|MSN|GADD45B|NCF2|FURIN|PFN1|SERPINB8|PLAUR|PTGS2|RAC1|S100A11|ST3GAL2|SKIL|TGFBI|VASP|PEA15|ADAM19|IER3|PDLIM7|PLIN3|SEC61B|RAB31|ARFGAP3|DSE|SH3GLB1|PMEPA1|ARHGAP31|ZC3H12A|MAP1LC3B|GLIPR2|PPP1R18|PEDS1,-20,0
1,1,0,0,0,0,0,0,-4.7,-23,0,0,0,0,0,0,M39115,M11000000,2,0,Cell Type Signatures,7,AIZARANI LIVER C11 HEPATOCYTES 1,,-23,10,17,30286,298,324,33,10,1.7,13|173|216|259|336|338|350|433|1892|1962|2147|2168|2330|2628|2690|2938|2939|3158|3248|3698|4522|4547|5345|7276|7366|10247|10840|11001|22837|28999|29974|51085|256394,AADAC|AFM|ALDH1A1|AMBP|APOA2|APOB|APOH|ASGR2|ECHS1|EHHADH|F2|FABP1|FMO5|GATM|GHR|GSTA1|GSTA2|HMGCS2|HPGD|ITIH2|MTHFD1|MTTP|SERPINF2|TTR|UGT2B15|RIDA|ALDH1L1|SLC27A2|COBLL1|KLF15|A1CF|MLXIPL|SERPINA11,-19,0
1,1,0,0,0,0,0,0,-5.2,-19,0,0,0,0,0,0,M40276,M11000000,2,0,Cell Type Signatures,7,DESCARTES FETAL PLACENTA AFP ALB POSITIVE CELLS,,-19,13,17,30286,171,324,24,7.4,1.5,174|259|336|338|350|433|1244|1644|1733|2147|2168|2330|2938|3158|3698|4224|5345|7276|10247|27165|29974|51085|92840|283375,AFP|AMBP|APOA2|APOB|APOH|ASGR2|ABCC2|DDC|DIO1|F2|FABP1|FMO5|GSTA1|HMGCS2|ITIH2|MEP1A|SERPINF2|TTR|RIDA|GLS2|A1CF|MLXIPL|REEP6|SLC39A5,-16,0
1,0,1,1,1,0,0,1,-4.4,0,-8.8,-5.9,-19,0,0,-6.4,M39264,M10111001,5,0,Cell Type Signatures,7,HU FETAL RETINA FIBROBLAST,,-19,9.9,15,30286,385,223,28,13,2.2,389|633|649|1266|1277|1490|2004|2275|2354|3491|3726|4017|4162|4478|4616|5216|6282|6525|7041|7045|7168|9902|29940|30008|54587|92689|122786|123920,RHOC|BGN|BMP1|CNN3|COL1A1|CCN2|ELK3|FHL3|FOSB|CCN1|JUNB|LOXL2|MCAM|MSN|GADD45B|PFN1|S100A11|SMTN|TGFB1I1|TGFBI|TPM1|MRC2|DSE|EFEMP2|MXRA8|FAM114A1|FRMD6|CMTM3,-15,0
1,1,0,0,0,0,0,0,-7.9,-19,0,0,0,0,0,0,M40028,M11000000,2,0,Cell Type Signatures,7,BUSSLINGER DUODENAL LATE IMMATURE ENTEROCYTES,,-19,13,16,30286,177,324,24,7.4,1.5,13|216|338|760|2168|2628|3158|3174|4224|4547|4640|5357|6817|9032|9429|22977|57016|79154|79908|84699|92840|283375|284422|340024,AADAC|ALDH1A1|APOB|CA2|FABP1|GATM|HMGCS2|HNF4G|MEP1A|MTTP|MYO1A|PLS1|SULT1A1|TM4SF5|ABCG2|AKR7A3|AKR1B10|DHRS11|BTNL8|CREB3L3|REEP6|SLC39A5|SMIM24|SLC6A19,-15,0
0,0,0,1,1,1,0,0,0,0,0,-10,-18,-4.8,0,0,M41697,M00011100,3,0,Cell Type Signatures,7,TRAVAGLINI LUNG EREG DENDRITIC CELL,,-18,7.5,14,30286,579,223,32,14,2.3,60|71|1499|2004|2120|2354|3685|4616|4688|5045|5271|5329|5791|5879|6282|6498|7045|7408|8682|8728|8870|9260|10226|11010|11031|29940|54947|57514|80149|81631|123920|152007,ACTB|ACTG1|CTNNB1|ELK3|ETV6|FOSB|ITGAV|GADD45B|NCF2|FURIN|SERPINB8|PLAUR|PTPRE|RAC1|S100A11|SKIL|TGFBI|VASP|PEA15|ADAM19|IER3|PDLIM7|PLIN3|GLIPR1|RAB31|DSE|LPCAT2|ARHGAP31|ZC3H12A|MAP1LC3B|CMTM3|GLIPR2,-15,0
1,1,0,0,0,0,0,0,-3.2,-17,0,0,0,0,0,0,M40287,M11000000,2,0,Cell Type Signatures,7,DESCARTES FETAL SPLEEN AFP ALB POSITIVE CELLS,,-17,11,15,30286,188,324,23,7.1,1.4,174|259|336|338|350|433|1852|2147|2168|2330|2628|2938|3026|3158|3698|4547|5345|5618|6819|7276|11001|29974|283375,AFP|AMBP|APOA2|APOB|APOH|ASGR2|DUSP9|F2|FABP1|FMO5|GATM|GSTA1|HABP2|HMGCS2|ITIH2|MTTP|SERPINF2|PRLR|SULT1C2|TTR|SLC27A2|A1CF|SLC39A5,-14,0
