_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,0,0,0,1,0,0,-3.1,-30,0,0,0,-2,0,0,PGB:00001,M11000100,3,0,PaGenBase,36,Tissue-specific: liver,,-30,7.3,17,30286,691,324,54,17,2.1,13|126|173|259|336|338|350|433|949|1050|1244|1892|1962|2147|2168|2330|2620|2690|3026|3158|3171|3248|3698|4547|5345|5625|5648|6519|6819|7032|7274|7366|8431|8501|9032|9942|10247|10840|11001|11199|11309|22977|23464|27165|29974|51085|54658|79814|84699|92840|145226|196410|256394|257407,AADAC|ADH1C|AFM|AMBP|APOA2|APOB|APOH|ASGR2|SCARB1|CEBPA|ABCC2|ECHS1|EHHADH|F2|FABP1|FMO5|GAS2|GHR|HABP2|HMGCS2|FOXA3|HPGD|ITIH2|MTTP|SERPINF2|PRODH|MASP1|SLC3A1|SULT1C2|TFF2|TTPA|UGT2B15|NR0B2|SLC43A1|TM4SF5|XYLB|RIDA|ALDH1L1|SLC27A2|ANXA10|SLCO2B1|AKR7A3|GCAT|GLS2|A1CF|MLXIPL|UGT1A1|AGMAT|CREB3L3|REEP6|RDH12|TMT1B|SERPINA11|C2orf72,-26,0
1,1,0,0,0,0,0,0,-4.6,-22,0,0,0,0,0,0,PGB:00058,M11000000,2,0,PaGenBase,36,Cell-specific: HEPG2,,-22,8.1,15,30286,425,324,37,11,1.8,174|259|338|350|364|433|1244|1733|1800|1852|2147|2168|2330|2620|2651|2747|2813|2938|2939|3698|4072|4547|5140|5174|5345|5625|6817|7032|7276|7429|8416|8431|9032|9942|10551|29974|257407,AFP|AMBP|APOB|APOH|AQP7|ASGR2|ABCC2|DIO1|DPEP1|DUSP9|F2|FABP1|FMO5|GAS2|GCNT2|GLUD2|GP2|GSTA1|GSTA2|ITIH2|EPCAM|MTTP|PDE3B|PDZK1|SERPINF2|PRODH|SULT1A1|TFF2|TTR|VIL1|ANXA9|NR0B2|TM4SF5|XYLB|AGR2|A1CF|C2orf72,-18,0
0,0,0,0,1,0,0,1,0,0,0,0,-12,0,0,-2.1,PGB:00133,M00001001,2,0,PaGenBase,36,Cell-specific: Cardiac Myocytes,,-12,25,16,30286,60,223,11,4.9,1.5,633|1000|1397|1490|1809|1906|3486|5054|7168|27295|92689,BGN|CDH2|CRIP2|CCN2|DPYSL3|EDN1|IGFBP3|SERPINE1|TPM1|PDLIM3|FAM114A1,-9.1,0
0,1,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,PGB:00002,M01000000,1,0,PaGenBase,36,Tissue-specific: kidney,,-11,5.2,9.7,30286,483,324,27,8.3,1.5,760|1644|1733|1800|1852|1962|2001|2938|2939|5174|5465|5625|6519|6819|9942|10451|11001|55195|80115|127707|222643|256764|284422|340024|341640|353189|389015,CA2|DDC|DIO1|DPEP1|DUSP9|EHHADH|ELF5|GSTA1|GSTA2|PDZK1|PPARA|PRODH|SLC3A1|SULT1C2|XYLB|VAV3|SLC27A2|CCDC198|BAIAP2L2|KLHDC7A|UNC5CL|WDR72|SMIM24|SLC6A19|FREM2|SLCO4C1|SLC9A4,-8.5,0
0,1,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,PGB:00006,M01000000,1,0,PaGenBase,36,Tissue-specific: small intestine,,-11,11,12,30286,128,324,15,4.6,1.2,13|3174|4224|4547|4640|4922|7429|9032|9153|54810|57016|79154|79908|83998|151354,AADAC|HNF4G|MEP1A|MTTP|MYO1A|NTS|VIL1|TM4SF5|SLC28A2|GIPC2|AKR1B10|DHRS11|BTNL8|REG4|LRATD1,-8.2,0
0,1,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,PGB:00060,M01000000,1,0,PaGenBase,36,Cell-specific: liver cell,,-11,13,12,30286,91,324,13,4,1.1,174|259|336|338|350|2147|2168|2330|3698|4069|4547|7276|9032,AFP|AMBP|APOA2|APOB|APOH|F2|FABP1|FMO5|ITIH2|LYZ|MTTP|TTR|TM4SF5,-7.9,0
0,1,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,PGB:00005,M01000000,1,0,PaGenBase,36,Tissue-specific: colon,,-11,6.1,9.8,30286,338,324,22,6.8,1.4,430|760|3110|4224|4640|7015|7103|7429|8050|9153|9914|10551|27134|51085|54854|55808|56649|79170|79983|83998|140893|401546,ASCL2|CA2|MNX1|MEP1A|MYO1A|TERT|TSPAN8|VIL1|PDHX|SLC28A2|ATP2C2|AGR2|TJP3|MLXIPL|FAM83E|ST6GALNAC1|TMPRSS4|PRR15L|POF1B|REG4|RBBP8NL|C9orf152,-7.9,0
0,1,0,0,0,0,0,0,0,-6.9,0,0,0,0,0,0,PGB:00105,M01000000,1,0,PaGenBase,36,Cell-specific: huh-7,,-6.9,24,12,30286,23,324,6,1.9,0.75,259|1050|2168|4224|4547|7276,AMBP|CEBPA|FABP1|MEP1A|MTTP|TTR,-4.8,0
0,0,0,1,0,1,0,0,0,0,0,-2.2,0,-6.8,0,0,PGB:00094,M00010100,2,0,PaGenBase,36,Cell-specific: Bronchial Epithelial Cells,,-6.8,9.2,8.6,30286,137,239,10,4.2,1.3,1001|1212|2810|3552|3675|4070|6692|8626|23650|347735,CDH3|CLTB|SFN|IL1A|ITGA3|TACSTD2|SPINT1|TP63|TRIM29|SERINC2,-4.7,0
0,0,0,1,1,0,0,1,0,0,0,-2.6,-6,0,0,-5.2,PGB:00011,M00011001,3,0,PaGenBase,36,Tissue-specific: Smooth Muscle,,-6,11,8.4,30286,103,223,8,3.6,1.2,1000|5054|5743|7045|11010|64943|81688|92689,CDH2|SERPINE1|PTGS2|TGFBI|GLIPR1|NT5DC2|C6orf62|FAM114A1,-4.1,0
0,0,0,1,0,1,0,0,0,0,0,-3.4,0,-5.6,0,0,PGB:00008,M00010100,2,0,PaGenBase,36,Tissue-specific: spleen,,-5.6,4.1,6.2,30286,499,239,16,6.7,1.6,101|3604|4050|4318|4321|4814|5031|5998|7185|7476|7852|27071|27128|80008|118932|201799,ADAM8|TNFRSF9|LTB|MMP9|MMP12|NINJ1|P2RY6|RGS3|TRAF1|WNT7A|CXCR4|DAPP1|CYTH4|TMEM156|ANKRD22|TMEM154,-3.7,0
1,0,1,0,1,0,0,0,-2.1,0,-2.4,0,-5.4,0,0,0,PGB:00071,M10101000,3,0,PaGenBase,36,Cell-specific: HUVEC,,-5.4,4.8,6.3,30286,371,223,13,5.8,1.6,1774|2553|3855|5045|5054|5271|5329|5791|6498|7046|9260|79703|80256,DNASE1L1|GABPB1|KRT7|FURIN|SERPINE1|SERPINB8|PLAUR|PTPRE|SKIL|TGFBR1|PDLIM7|TOP6BL|ATOSB,-3.6,0
0,0,1,0,0,0,0,0,0,0,-5.1,0,0,0,0,0,PGB:00080,M00100000,1,0,PaGenBase,36,Cell-specific: Adipocyte,,-5.1,8.1,7.1,30286,145,206,8,3.9,1.3,2273|4311|5468|8613|10457|11096|57124|126393,FHL1|MME|PPARG|PLPP3|GPNMB|ADAMTS5|CD248|HSPB6,-3.4,0
0,0,0,0,1,0,0,1,0,0,0,0,-5,0,0,-4.1,PGB:00081,M00001001,2,0,PaGenBase,36,Cell-specific: Brain cell,,-5,12,7.9,30286,67,223,6,2.7,1.1,3371|3486|5054|5270|5743|11010,TNC|IGFBP3|SERPINE1|SERPINE2|PTGS2|GLIPR1,-3.3,0
0,0,1,0,0,0,0,0,0,0,-5,0,0,0,0,0,PGB:00132,M00100000,1,0,PaGenBase,36,Cell-specific: U138,,-5,63,14,30286,7,206,3,1.5,0.83,7123|8613|126393,CLEC3B|PLPP3|HSPB6,-3.3,0
0,0,0,1,0,1,0,0,0,0,0,-3.4,0,-4.9,0,0,PGB:00014,M00010100,2,0,PaGenBase,36,Tissue-specific: lung,,-4.9,3.8,5.7,30286,498,239,15,6.3,1.6,1843|2921|3684|3694|4319|5265|5922|5923|8676|10568|11254|55654|64411|81607|90527,DUSP1|CXCL3|ITGAM|ITGB6|MMP10|SERPINA1|RASA2|RASGRF1|STX11|SLC34A2|SLC6A14|TMEM127|ARAP3|NECTIN4|DUOXA1,-3.3,0
0,1,0,0,0,1,0,0,0,-4.9,0,0,0,-4.4,0,0,PGB:00139,M01000100,2,0,PaGenBase,36,Cell-specific: Renal Epithelial,,-4.9,12,7.7,30286,48,324,6,1.9,0.75,4072|23242|26996|54504|55195|353189,EPCAM|COBL|GPR160|CPVL|CCDC198|SLCO4C1,-3.2,0
0,0,1,0,0,0,0,0,0,0,-4.1,0,0,0,0,0,PGB:00065,M00100000,1,0,PaGenBase,36,Cell-specific: DRG,,-4.1,3.9,5.1,30286,455,206,12,5.8,1.6,4013|5468|5730|5764|6256|6495|6616|7869|10457|23066|26050|56144,VWA5A|PPARG|PTGDS|PTN|RXRA|SIX1|SNAP25|SEMA3B|GPNMB|CAND2|SLITRK5|PCDHA4,-2.7,0
0,0,0,0,1,0,0,0,0,0,0,0,-4,0,0,0,PGB:00029,M00001000,1,0,PaGenBase,36,Tissue-specific: placenta,,-4,4.5,5.2,30286,305,223,10,4.5,1.4,649|2117|3624|4162|5054|5270|7046|8482|9244|51148,BMP1|ETV3|INHBA|MCAM|SERPINE1|SERPINE2|TGFBR1|SEMA7A|CRLF1|CERCAM,-2.6,0
0,1,0,0,0,0,0,0,0,-3.8,0,0,0,0,0,0,PGB:00038,M01000000,1,0,PaGenBase,36,Tissue-specific: Stomach,,-3.8,9.7,6.3,30286,48,324,5,1.5,0.68,2650|6819|7032|9153|11199,GCNT1|SULT1C2|TFF2|SLC28A2|ANXA10,-2.4,0
0,1,0,0,0,1,0,0,0,-3.5,0,0,0,-2,0,0,PGB:00106,M01000100,2,0,PaGenBase,36,Cell-specific: Breast cell,,-3.5,8.5,5.8,30286,55,324,5,1.5,0.68,5618|10551|79632|114569|155465,PRLR|AGR2|FAM184A|MAL2|AGR3,-2.2,0
0,0,0,1,0,0,0,0,0,0,0,-3.5,0,0,0,0,PGB:00026,M00010000,1,0,PaGenBase,36,Tissue-specific: Blood,,-3.5,5.5,5.1,30286,239,162,7,4.3,1.6,3431|3659|3660|5698|6275|6737|7321,SP110|IRF1|IRF2|PSMB9|S100A4|TRIM21|UBE2D1,-2.2,0
0,1,0,0,0,0,0,0,0,-3.1,0,0,0,0,0,0,PGB:00023,M01000000,1,0,PaGenBase,36,Tissue-specific: heart,,-3.1,3.2,4.1,30286,320,324,11,3.4,1,2626|2740|3329|5625|7134|7273|7276|54658|151258|283375|285025,GATA4|GLP1R|HSPD1|PRODH|TNNC1|TTN|TTR|UGT1A1|SLC38A11|SLC39A5|CCDC141,-2,0
