GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
C0016057,Fibrosarcoma,0.0,0.0,0.0,-4.822218948722989,-8.686019560153012,-3.3191140105656487,0.0,0.0
C0008479,Chondrosarcoma,0.0,0.0,0.0,-2.316755792440443,-8.31586719734145,-2.4323366702221714,0.0,0.0
C0017658,Glomerulonephritis,0.0,0.0,0.0,-2.8979078353385104,-4.433135207345632,-9.419446562574802,0.0,0.0
C3875321,Inflammatory dermatosis,0.0,0.0,0.0,-10.528878150995595,-2.654556879590833,-7.1194734392425945,0.0,0.0
C3714514,Infection,0.0,0.0,0.0,-9.75038820112015,-2.953675867772447,-3.239764698036278,0.0,0.0
C3714636,Pneumonitis,0.0,0.0,0.0,-14.157213298757007,-6.5816467413073045,-7.377004811588525,0.0,0.0
C0011603,Dermatitis,0.0,0.0,0.0,-11.538349711796966,-4.056789520314021,-7.7327474183069524,0.0,0.0
C0162871,"Aortic Aneurysm, Abdominal",0.0,-2.758451248553229,0.0,-5.458927065412142,-3.9106411542734936,-9.478723789078892,0.0,-2.195846762412406
C0151449,Primary Sjögren's syndrome,0.0,0.0,0.0,-8.797398545501077,0.0,-4.377154041613215,0.0,0.0
C1840264,IMMUNE SUPPRESSION,0.0,0.0,0.0,-8.514723401470864,0.0,-4.136750852630096,0.0,0.0
C0021368,Inflammation,0.0,0.0,0.0,-6.610834527532582,0.0,-8.934862242941282,0.0,0.0
C0035126,Reperfusion Injury,-3.289781007474455,0.0,0.0,-11.104196360294909,0.0,-5.273586722081824,0.0,0.0
C0024115,Lung diseases,0.0,-2.8023174986811634,-2.966892242334231,-4.5857541319305115,-4.159478089531071,-9.397093060243211,0.0,0.0
C0030297,Pancreatic Neoplasm,0.0,-7.724888011855963,-2.19759699019851,-7.507333745012134,-9.253268303876037,-6.67870701305043,0.0,0.0
C0023267,Fibroid Tumor,-2.3434268590844156,-2.7477729525161254,-2.1198227325054337,-4.086310418786281,-10.404597031323464,-2.2366653111828083,0.0,0.0
C0011644,Scleroderma,0.0,0.0,0.0,-3.4995781893327265,-8.700041469689937,0.0,0.0,-2.2487479737070166
C0022548,Keloid,0.0,0.0,0.0,-2.702299025080018,-11.761850654183764,0.0,-2.424214547571857,0.0
C0151650,Renal fibrosis,0.0,0.0,0.0,0.0,-10.304238361567625,-2.2285515561930627,0.0,0.0
C0205698,Undifferentiated carcinoma,0.0,-2.9927982238577036,0.0,0.0,-8.457856030087298,-4.036719572058513,0.0,0.0
C0235946,Cerebral atrophy,0.0,0.0,0.0,0.0,0.0,0.0,-8.373326241318242,0.0
