GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
TRR01259,Regulated by: SP3,0.0,0.0,0.0,0.0,-5.317234175762917,0.0,0.0,0.0
TRR01236,Regulated by: SMAD4,0.0,0.0,0.0,0.0,-5.381814233095208,0.0,0.0,0.0
TRR00011,Regulated by: AR,0.0,0.0,0.0,0.0,-3.8386868253036326,0.0,0.0,0.0
TRR00905,Regulated by: NR2F1,0.0,-3.7262772190365325,0.0,0.0,0.0,0.0,0.0,0.0
TRR00678,Regulated by: KLF8,0.0,0.0,0.0,0.0,0.0,-4.404941248715172,0.0,0.0
TRR00877,Regulated by: NFKBIA,0.0,0.0,0.0,-3.73015169386084,0.0,-3.235789010056693,0.0,0.0
TRR00274,Regulated by: ERG,0.0,0.0,0.0,-4.712337019213638,0.0,0.0,0.0,0.0
TRR01060,Regulated by: PPARA,0.0,0.0,0.0,-4.122916111969004,0.0,0.0,0.0,0.0
TRR01278,Regulated by: STAT4,0.0,0.0,0.0,-4.383973086648224,0.0,0.0,0.0,0.0
TRR01275,Regulated by: STAT1,0.0,0.0,0.0,-6.055788450652283,0.0,0.0,0.0,0.0
TRR01538,Regulated by: XBP1,0.0,0.0,0.0,-3.73015169386084,0.0,0.0,0.0,0.0
TRR00869,Regulated by: NFE2L2,0.0,0.0,0.0,-3.73015169386084,0.0,0.0,0.0,0.0
TRR00601,Regulated by: ING4,0.0,0.0,0.0,-3.9371921950580577,0.0,0.0,0.0,0.0
TRR01062,Regulated by: PPARG,0.0,-2.0059191819177387,0.0,-5.3992045863368645,0.0,0.0,0.0,0.0
TRR01268,Regulated by: SREBF1,0.0,0.0,-4.034957680607086,0.0,0.0,0.0,0.0,0.0
TRR00875,Regulated by: NFKB1,0.0,0.0,0.0,-11.325352379615119,-5.030547486164319,-8.66822387934445,0.0,0.0
TRR01158,Regulated by: RELA,0.0,0.0,0.0,-11.44815378142036,-5.1081469116981415,-9.669645524489544,0.0,0.0
TRR01277,Regulated by: STAT3,0.0,0.0,0.0,-6.618114531134774,-6.4280261606420614,-2.7293934909335764,0.0,0.0
TRR00645,Regulated by: JUN,0.0,-3.9788377415462373,0.0,-4.386772880397534,-2.7494962505699316,-6.867619397710357,0.0,0.0
TRR01256,Regulated by: SP1,0.0,0.0,-2.4697973095344268,-3.2485270784548583,-4.39960984539951,-2.4860193843181606,-3.3204163982610813,0.0
