GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0009792,embryo development ending in birth or egg hatching,-3.680777548416321,-2.590272026854686,0.0,0.0,-7.509191104723284,-2.1311634095316485,-2.482093691382723,0.0
GO:0007167,enzyme-linked receptor protein signaling pathway,-7.934047179724909,-2.5589334379889523,-4.055973612137542,0.0,-4.839475076958465,0.0,0.0,0.0
M5942,HALLMARK UV RESPONSE DN,-3.917102846748386,0.0,-3.3269410606913605,-2.119593850583405,-2.3613492947680697,0.0,-2.6785790615990615,-5.21283797499713
GO:0007507,heart development,-3.886685787144125,-2.048958066153236,-2.2286919815033217,-2.9833414170181034,-3.4690944329636566,-2.6893553293636248,-2.506409801062913,-5.103258925492309
GO:0009725,response to hormone,-6.156299194229541,-2.2983894050946185,-5.696339245281387,-3.487862065201415,0.0,-3.2606872475264534,0.0,0.0
R-HSA-9012999,RHO GTPase cycle,-2.6157125375887267,0.0,0.0,-4.489677585906678,-5.159393224894227,-3.022042665112539,-2.6845157071624093,0.0
GO:0071363,cellular response to growth factor stimulus,-3.992115505970172,0.0,-2.702584686696748,-3.502235199354665,-3.533320019398916,-4.422596393669849,0.0,0.0
GO:0030335,positive regulation of cell migration,0.0,0.0,-5.5867037748708,-5.501740902162587,-11.789217294759903,-6.67371465531268,0.0,0.0
GO:0090066,regulation of anatomical structure size,0.0,0.0,-4.234262037695374,-3.312918211605682,-6.481799478718256,-2.082941364962421,0.0,0.0
GO:0031344,regulation of cell projection organization,0.0,0.0,-6.664159516009306,-2.966331565746267,-4.909843946139294,-6.298274180971812,-2.9509142269922948,0.0
GO:0009611,response to wounding,0.0,-2.6370583388939735,0.0,-3.9759206336992468,-11.047239493337699,-4.417480391847109,0.0,0.0
GO:0030036,actin cytoskeleton organization,0.0,-3.0686895700243273,0.0,-5.097879107510515,-14.17267283290219,-2.3769179074472797,0.0,0.0
GO:0048729,tissue morphogenesis,-2.3399706775025635,-2.4303660479305824,0.0,-2.9719425489546754,-8.711718182277524,-3.6976051411204667,0.0,0.0
GO:0035239,tube morphogenesis,0.0,-2.5213940957850234,0.0,-4.083554997669183,-11.05189893636765,-4.474516465491031,-4.000931120121673,0.0
M5890,HALLMARK TNFA SIGNALING VIA NFKB,0.0,0.0,0.0,-21.915565804624265,-15.120453914799489,-15.742721838635635,0.0,0.0
R-HSA-1280215,Cytokine Signaling in Immune system,0.0,0.0,0.0,-16.597803139768793,0.0,-9.744620049330763,0.0,0.0
GO:0001501,skeletal system development,0.0,0.0,0.0,0.0,-6.660950065233301,-4.299752116747545,0.0,-8.831435210241349
GO:0030198,extracellular matrix organization,0.0,0.0,-2.5500929508136396,0.0,-5.991869859387508,-4.152698176134283,0.0,-4.753430030945954
R-HSA-5653656,Vesicle-mediated transport,0.0,0.0,0.0,0.0,-4.934645920001936,0.0,-3.4977017330372053,-12.128033959388906
M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,0.0,0.0,0.0,-4.8852661583170205,-25.475819218110843,0.0,0.0,-5.9620033940791455
