_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,1,1,1,0,1,1,-2.4,0,-2.5,-5.1,-2,0,-2.4,-3,GO:0001944,vasculature development,M10111011,6,0
1,1,1,1,0,1,1,0,-4.9,-4.5,-2.1,-2.8,0,-4,-2,0,GO:0098657,import into cell,M11110110,6,0
1,1,1,1,0,1,1,0,-6.4,-3,-2,-3.4,0,-2.7,-2.1,0,GO:0006897,endocytosis,M11110110,6,0
1,1,1,1,1,0,1,0,-5.8,-3.3,-3.8,-2,-2.8,0,-3.5,0,GO:0031344,regulation of cell projection organization,M11111010,6,0
1,1,0,1,1,1,0,1,-2.5,-7.1,0,-2.7,-5.8,-2.2,0,-2.2,R-HSA-382551,Transport of small molecules,M11011101,6,0
1,0,1,1,1,0,1,1,-2.8,0,-4.2,-6,-4.4,0,-3,-4.3,GO:0035239,tube morphogenesis,M10111011,6,0
1,1,0,0,1,1,1,1,-7,-5.7,0,0,-6.2,-4.3,-5.2,-3,R-HSA-6798695,Neutrophil degranulation,M11001111,6,0
1,1,1,1,1,0,1,0,-6,-3.4,-3.6,-2.1,-2.9,0,-3.7,0,GO:0120035,regulation of plasma membrane bounded cell projection organization,M11111010,6,0
0,1,0,1,0,1,1,1,0,-3,0,-2.8,0,-4,-2.8,-2.2,GO:0030198,extracellular matrix organization,M01010111,5,0
1,1,0,1,1,1,0,0,-2.2,-2.2,0,-2.8,-3.1,-4,0,0,R-HSA-372790,Signaling by GPCR,M11011100,5,0
0,1,0,1,0,1,1,1,0,-3,0,-2.8,0,-4,-2.8,-2.2,GO:0045229,external encapsulating structure organization,M01010111,5,0
1,0,1,1,1,0,0,1,-3.8,0,-2.5,-2.4,-8,0,0,-2.7,GO:0008285,negative regulation of cell population proliferation,M10111001,5,0
1,0,0,1,1,0,1,1,-2.3,0,0,-4.8,-2.7,0,-2.2,-2.4,GO:0048514,blood vessel morphogenesis,M10011011,5,0
1,1,1,0,0,1,1,0,-3.5,-2.8,-3.4,0,0,-2.2,-2.8,0,GO:0008015,blood circulation,M11100110,5,0
1,1,1,0,0,1,1,0,-3.2,-2.9,-2.1,0,0,-2.4,-4.1,0,GO:0048545,response to steroid hormone,M11100110,5,0
1,1,0,1,1,1,0,0,-4.4,-2.4,0,-2.9,-5,-2.9,0,0,GO:0030162,regulation of proteolysis,M11011100,5,0
1,1,0,0,1,1,0,1,-4.2,-6.5,0,0,-3.7,-2.8,0,-2.5,R-HSA-109582,Hemostasis,M11001101,5,0
0,1,0,1,1,0,1,1,0,-3.3,0,-3.6,-2.4,0,-6.4,-7.9,R-HSA-5653656,Vesicle-mediated transport,M01011011,5,0
1,1,1,1,1,0,0,0,-5.1,-4.2,-2.2,-2.7,-4,0,0,0,GO:0051336,regulation of hydrolase activity,M11111000,5,0
1,0,1,1,1,1,0,0,-4.2,0,-2.4,-2.4,-3,-2.6,0,0,hsa04310,Wnt signaling pathway,M10111100,5,0
1,1,0,0,0,1,1,1,-7.4,-7.1,0,0,0,-2,-6.6,-4,GO:0019752,carboxylic acid metabolic process,M11000111,5,0
1,1,0,0,1,1,1,0,-4.7,-4.5,0,0,-3,-2.2,-3.1,0,WP2882,Nuclear receptors meta pathway,M11001110,5,0
1,0,1,1,1,0,0,1,-3.3,0,-2.7,-2.8,-6.7,0,0,-2.9,WP5087,Pleural mesothelioma,M10111001,5,0
0,1,0,1,1,0,1,1,0,-2.3,0,-3.3,-2.5,0,-6.2,-7.7,R-HSA-199991,Membrane Trafficking,M01011011,5,0
1,0,0,1,1,0,1,1,-2.6,0,0,-5.3,-2.1,0,-2.5,-3.1,GO:0001568,blood vessel development,M10011011,5,0
0,1,0,1,0,1,1,1,0,-3,0,-2.8,0,-4,-2.8,-2.2,GO:0043062,extracellular structure organization,M01010111,5,0
1,0,1,0,1,1,1,0,-5.2,0,-2,0,-4.1,-2.8,-2.1,0,M5902,HALLMARK APOPTOSIS,M10101110,5,0
1,1,0,1,0,1,1,0,-6.6,-6.9,0,-3.1,0,-3.2,-12,0,R-HSA-556833,Metabolism of lipids,M11010110,5,0
1,1,1,1,0,0,1,0,-8.7,-2.2,-3.3,-2,0,0,-7.2,0,GO:0009725,response to hormone,M11110010,5,0
1,0,1,1,1,1,0,0,-3.5,0,-2.3,-2,-6.6,-4.2,0,0,GO:0030335,positive regulation of cell migration,M10111100,5,0
1,1,0,0,0,1,1,1,-7.7,-4,0,0,0,-2.2,-5.5,-3.2,GO:0032787,monocarboxylic acid metabolic process,M11000111,5,0
1,1,1,0,0,1,1,0,-4.2,-3.6,-3.3,0,0,-3.4,-2.7,0,GO:0003013,circulatory system process,M11100110,5,0
1,1,0,1,1,1,0,0,-2.3,-2.7,0,-2.2,-3.1,-3.3,0,0,R-HSA-388396,GPCR downstream signalling,M11011100,5,0
1,0,0,1,1,0,0,1,-3,0,0,-2.8,-2.7,0,0,-2.1,GO:0045765,regulation of angiogenesis,M10011001,4,0
0,1,0,0,0,1,1,1,0,-2.3,0,0,0,-2.4,-5.5,-2.1,GO:1903532,positive regulation of secretion by cell,M01000111,4,0
1,0,1,1,1,0,0,0,-3.8,0,-2.2,-2.3,-2.2,0,0,0,WP428,Wnt signaling,M10111000,4,0
0,1,0,0,1,1,0,1,0,-3.4,0,0,-2.3,-2.4,0,-4.6,GO:0097435,supramolecular fiber organization,M01001101,4,0
1,0,0,1,1,0,1,0,-8.5,0,0,-2.6,-2.5,0,-4.1,0,GO:1901652,response to peptide,M10011010,4,0
1,1,0,0,0,1,1,0,-5,-2.5,0,0,0,-2.9,-12,0,GO:0008610,lipid biosynthetic process,M11000110,4,0
1,1,1,0,0,0,1,0,-4.3,-2.1,-4,0,0,0,-2.5,0,R-HSA-9012999,RHO GTPase cycle,M11100010,4,0
1,0,1,1,0,0,0,1,-2.3,0,-4,-2.1,0,0,0,-2.8,GO:0007507,heart development,M10110001,4,0
0,0,1,1,0,1,1,0,0,0,-2.1,-2.6,0,-2,-9.2,0,GO:0051668,localization within membrane,M00110110,4,0
0,0,0,1,1,1,0,1,0,0,0,-3.2,-18,-2.7,0,-3,GO:0071345,cellular response to cytokine stimulus,M00011101,4,0
1,0,1,0,1,1,0,0,-3.3,0,-2.1,0,-6.3,-4,0,0,GO:2000147,positive regulation of cell motility,M10101100,4,0
1,1,0,0,0,1,1,0,-5.7,-9.9,0,0,0,-4.3,-4.6,0,GO:1901615,organic hydroxy compound metabolic process,M11000110,4,0
1,0,1,1,0,0,0,1,-2.6,0,-4.1,-2.2,0,0,0,-2.6,GO:0031589,cell-substrate adhesion,M10110001,4,0
1,1,1,0,0,0,0,1,-5.7,-2.4,-2.3,0,0,0,0,-4.3,GO:0000902,cell morphogenesis,M11100001,4,0
0,0,0,1,1,0,1,1,0,0,0,-2.6,-2.4,0,-2.6,-4.3,GO:0033365,protein localization to organelle,M00011011,4,0
1,0,0,0,1,0,1,1,-3.9,0,0,0,-2.1,0,-2.5,-4.6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M10001011,4,0
1,1,1,0,0,0,1,0,-2.3,-2.1,-2.1,0,0,0,-3.2,0,GO:0009991,response to extracellular stimulus,M11100010,4,0
1,0,1,0,0,0,1,1,-3,0,-3.1,0,0,0,-2,-3.1,GO:0034330,cell junction organization,M10100011,4,0
1,0,0,1,1,0,1,0,-4.1,0,0,-3.3,-2.6,0,-3.3,0,GO:1901699,cellular response to nitrogen compound,M10011010,4,0
0,1,0,0,0,1,1,1,0,-2.7,0,0,0,-2.3,-3.2,-2,R-HSA-1474244,Extracellular matrix organization,M01000111,4,0
1,0,1,0,1,1,0,0,-2.4,0,-2.1,0,-4.2,-2,0,0,GO:0043065,positive regulation of apoptotic process,M10101100,4,0
0,1,0,1,1,1,0,0,0,-2.9,0,-2.1,-2.5,-4.4,0,0,R-HSA-500792,GPCR ligand binding,M01011100,4,0
0,1,0,0,1,0,1,1,0,-2.1,0,0,-2.2,0,-5.3,-2.5,GO:0051222,positive regulation of protein transport,M01001011,4,0
1,0,0,1,1,1,0,0,-2.5,0,0,-2.7,-5.6,-3.2,0,0,GO:0071396,cellular response to lipid,M10011100,4,0
1,0,0,1,1,0,0,1,-2.9,0,0,-3.4,-2.6,0,0,-2,GO:1901342,regulation of vasculature development,M10011001,4,0
1,0,1,0,1,0,0,1,-2.3,0,-3.2,0,-5.3,0,0,-4,WP3888,VEGFA VEGFR2 signaling,M10101001,4,0
0,1,1,1,1,0,0,0,0,-2.2,-4.7,-2.9,-3.3,0,0,0,GO:0044089,positive regulation of cellular component biogenesis,M01111000,4,0
1,1,1,0,0,1,0,0,-3.3,-3,-2.6,0,0,-2.5,0,0,GO:0003018,vascular process in circulatory system,M11100100,4,0
1,0,0,1,1,0,0,1,-3.6,0,0,-2.1,-3.4,0,0,-2.8,GO:0048729,tissue morphogenesis,M10011001,4,0
1,0,0,1,1,0,0,1,-2.5,0,0,-4,-2.5,0,0,-2,hsa04010,MAPK signaling pathway,M10011001,4,0
1,0,0,0,0,1,1,1,-2.9,0,0,0,0,-2.1,-4.7,-2.2,GO:0070201,regulation of establishment of protein localization,M10000111,4,0
1,1,0,0,1,1,0,0,-5.5,-2.8,0,0,-2.5,-2.1,0,0,GO:0030036,actin cytoskeleton organization,M11001100,4,0
0,0,1,0,1,0,1,1,0,0,-2.1,0,-4.8,0,-2.8,-4.1,GO:0030163,protein catabolic process,M00101011,4,0
1,0,0,1,1,1,0,0,-5.9,0,0,-2.1,-5.1,-4.9,0,0,GO:0043408,regulation of MAPK cascade,M10011100,4,0
1,0,0,1,1,0,1,0,-3.5,0,0,-2.4,-5.1,0,-2.2,0,GO:1902532,negative regulation of intracellular signal transduction,M10011010,4,0
0,0,0,1,1,0,1,1,0,0,0,-2.1,-2.4,0,-8.4,-7.4,GO:0006886,intracellular protein transport,M00011011,4,0
1,0,0,1,0,0,1,1,-4.5,0,0,-2.5,0,0,-2.8,-2.3,WP437,EGF EGFR signaling pathway,M10010011,4,0
1,1,0,0,0,1,1,0,-3.3,-7.2,0,0,0,-2.8,-5,0,GO:0006066,alcohol metabolic process,M11000110,4,0
0,1,1,0,0,0,1,1,0,-2.8,-3.1,0,0,0,-4.6,-4,GO:1903829,positive regulation of protein localization,M01100011,4,0
1,1,0,0,0,0,1,1,-7.7,-2.6,0,0,0,0,-3.8,-2.4,GO:0005975,carbohydrate metabolic process,M11000011,4,0
1,0,1,0,1,0,0,1,-3,0,-2.4,0,-2.2,0,0,-2.3,GO:0007346,regulation of mitotic cell cycle,M10101001,4,0
1,1,1,0,0,0,1,0,-2.5,-2.3,-2.3,0,0,0,-3.4,0,GO:0031667,response to nutrient levels,M11100010,4,0
1,0,1,0,0,1,0,1,-2.6,0,-2.6,0,0,-2.6,0,-2.4,GO:0060322,head development,M10100101,4,0
1,0,0,1,1,1,0,0,-2.1,0,0,-2.5,-5.6,-5.4,0,0,GO:0002685,regulation of leukocyte migration,M10011100,4,0
0,1,1,1,1,0,0,0,0,-2.4,-3.4,-3.4,-3.2,0,0,0,GO:0010810,regulation of cell-substrate adhesion,M01111000,4,0
1,0,0,1,1,1,0,0,-2.8,0,0,-2.5,-3.6,-3.5,0,0,R-HSA-418594,G alpha (i) signalling events,M10011100,4,0
1,1,0,0,0,0,1,1,-2.6,-2.9,0,0,0,0,-3.3,-2.1,GO:1905475,regulation of protein localization to membrane,M11000011,4,0
0,0,0,1,1,1,0,1,0,0,0,-2.4,-7.1,-2,0,-3.8,hsa05131,Shigellosis,M00011101,4,0
0,0,1,0,1,1,1,0,0,0,-3.3,0,-2.7,-2.2,-2.2,0,GO:0080135,regulation of cellular response to stress,M00101110,4,0
1,0,0,1,1,0,0,1,-4.7,0,0,-2.2,-4,0,0,-2.6,GO:0045596,negative regulation of cell differentiation,M10011001,4,0
1,0,1,0,0,1,0,1,-2.5,0,-2.6,0,0,-2.8,0,-2.6,GO:0007420,brain development,M10100101,4,0
0,0,0,1,1,0,1,1,0,0,0,-3.6,-8.1,0,-3.7,-3.8,M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,M00011011,4,0
1,1,0,0,0,1,1,0,-9,-3.7,0,0,0,-2.3,-4.1,0,hsa04142,Lysosome,M11000110,4,0
1,0,0,0,0,1,1,1,-2.1,0,0,0,0,-2.5,-8.3,-3.2,GO:0044283,small molecule biosynthetic process,M10000111,4,0
1,0,1,1,0,0,1,0,-3.6,0,-2.6,-4.2,0,0,-3.6,0,WP481,Insulin signaling,M10110010,4,0
0,1,0,0,0,1,1,1,0,-2.2,0,0,0,-3.7,-6.3,-2.4,GO:1903530,regulation of secretion by cell,M01000111,4,0
0,1,0,0,0,1,1,1,0,-3.7,0,0,0,-3.3,-7,-2.1,GO:0051046,regulation of secretion,M01000111,4,0
0,0,0,1,1,1,0,1,0,0,0,-3.5,-4.8,-4.8,0,-2.2,GO:0006935,chemotaxis,M00011101,4,0
1,0,0,1,1,1,0,0,-2.9,0,0,-2.5,-10,-4.3,0,0,GO:0045785,positive regulation of cell adhesion,M10011100,4,0
1,0,1,1,0,0,0,1,-10,0,-2.4,-2.3,0,0,0,-3.4,GO:0007167,enzyme-linked receptor protein signaling pathway,M10110001,4,0
1,0,0,1,1,0,0,1,-3.6,0,0,-2.7,-3.1,0,0,-2.3,GO:0002009,morphogenesis of an epithelium,M10011001,4,0
0,0,0,1,1,1,0,1,0,0,0,-3.5,-4.8,-4.8,0,-2.1,GO:0042330,taxis,M00011101,4,0
1,0,1,0,1,1,0,0,-3.2,0,-2,0,-6.2,-3.9,0,0,GO:0040017,positive regulation of locomotion,M10101100,4,0
1,1,0,0,1,0,1,0,-2.2,-2.4,0,0,-4.9,0,-3.5,0,GO:0051235,maintenance of location,M11001010,4,0
0,0,0,1,1,1,0,0,0,0,0,-2.2,-5.6,-2.4,0,0,WP3865,Novel intracellular components of RIG I like receptor pathway,M00011100,3,0
1,0,0,0,1,0,0,1,-3.9,0,0,0,-2.6,0,0,-3.6,GO:0008283,cell population proliferation,M10001001,3,0
0,0,1,0,1,0,0,1,0,0,-2.8,0,-2.2,0,0,-3,R-HSA-446728,Cell junction organization,M00101001,3,0
0,1,0,0,1,1,0,0,0,-3.6,0,0,-2,-2.4,0,0,GO:0007015,actin filament organization,M01001100,3,0
1,1,0,0,0,0,1,0,-2.7,-8.9,0,0,0,0,-2.4,0,GO:0019216,regulation of lipid metabolic process,M11000010,3,0
1,0,0,0,0,0,1,1,-3.3,0,0,0,0,0,-2.8,-3.4,GO:0072521,purine-containing compound metabolic process,M10000011,3,0
0,0,0,1,1,1,0,0,0,0,0,-4,-4.6,-4.6,0,0,GO:0040011,locomotion,M00011100,3,0
0,0,0,1,1,0,0,1,0,0,0,-3.6,-3.4,0,0,-2.2,GO:0001525,angiogenesis,M00011001,3,0
1,1,0,0,1,0,0,0,-3.1,-9.5,0,0,-3.2,0,0,0,R-HSA-8957275,Post-translational protein phosphorylation,M11001000,3,0
0,0,0,1,1,1,0,0,0,0,0,-2.8,-14,-2.7,0,0,GO:0002831,regulation of response to biotic stimulus,M00011100,3,0
1,1,0,0,1,0,0,0,-2.6,-4.8,0,0,-2.2,0,0,0,WP558,Complement and coagulation cascades,M11001000,3,0
1,0,1,0,1,0,0,0,-2.4,0,-3.5,0,-2.5,0,0,0,WP51,Regulation of actin cytoskeleton,M10101000,3,0
1,1,0,0,0,0,0,1,-3.2,-2.9,0,0,0,0,0,-2.1,GO:0006520,amino acid metabolic process,M11000001,3,0
0,0,1,1,0,1,0,0,0,0,-7.8,-3.3,0,-2.3,0,0,R-HSA-1852241,Organelle biogenesis and maintenance,M00110100,3,0
0,1,0,0,1,1,0,0,0,-3.4,0,0,-3,-2.2,0,0,WP176,Folate metabolism,M01001100,3,0
0,0,0,1,0,0,1,1,0,0,0,-2.3,0,0,-2.8,-5.8,GO:0016050,vesicle organization,M00010011,3,0
1,0,0,1,0,1,0,0,-5.2,0,0,-2.3,0,-2.3,0,0,GO:0051129,negative regulation of cellular component organization,M10010100,3,0
1,0,0,1,0,0,0,1,-3.3,0,0,-2.4,0,0,0,-3.5,GO:0032989,cellular anatomical entity morphogenesis,M10010001,3,0
1,0,1,1,0,0,0,0,-2.1,0,-2.1,-2.8,0,0,0,0,GO:0198738,cell-cell signaling by wnt,M10110000,3,0
0,0,1,1,0,0,1,0,0,0,-3.2,-3.8,0,0,-3.2,0,WP3915,Angiopoietin like protein 8 regulatory pathway,M00110010,3,0
1,0,1,0,0,0,0,1,-3.9,0,-2.3,0,0,0,0,-4,GO:0048812,neuron projection morphogenesis,M10100001,3,0
1,0,1,1,0,0,0,0,-4.4,0,-2.4,-2.6,0,0,0,0,GO:0032970,regulation of actin filament-based process,M10110000,3,0
1,0,0,0,0,0,1,1,-2.1,0,0,0,0,0,-2.9,-3.2,GO:0009259,ribonucleotide metabolic process,M10000011,3,0
1,1,1,0,0,0,0,0,-2.6,-2.1,-5.2,0,0,0,0,0,GO:0007160,cell-matrix adhesion,M11100000,3,0
1,1,0,0,0,0,1,0,-4.9,-6.1,0,0,0,0,-5.2,0,GO:0008202,steroid metabolic process,M11000010,3,0
0,0,0,0,1,1,0,1,0,0,0,0,-8.3,-2.1,0,-2.4,hsa04145,Phagosome,M00001101,3,0
1,0,0,0,1,1,0,0,-2.2,0,0,0,-3.1,-2.7,0,0,WP3929,Chemokine signaling pathway,M10001100,3,0
1,0,1,1,0,0,0,0,-4.3,0,-2.3,-2.3,0,0,0,0,GO:0032956,regulation of actin cytoskeleton organization,M10110000,3,0
1,0,1,1,0,0,0,0,-2.1,0,-2.1,-2.8,0,0,0,0,GO:0016055,Wnt signaling pathway,M10110000,3,0
1,0,0,0,0,1,1,0,-2.5,0,0,0,0,-2,-2.5,0,GO:0050807,regulation of synapse organization,M10000110,3,0
0,0,0,0,1,1,0,1,0,0,0,0,-12,-7.3,0,-2.9,GO:0006954,inflammatory response,M00001101,3,0
0,1,0,0,0,1,1,0,0,-2.6,0,0,0,-2.2,-6.7,0,GO:0051047,positive regulation of secretion,M01000110,3,0
1,0,0,0,1,1,0,0,-2.4,0,0,0,-2.8,-2.8,0,0,GO:0043254,regulation of protein-containing complex assembly,M10001100,3,0
1,0,1,0,0,0,0,1,-9.5,0,-2.1,0,0,0,0,-3,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,M10100001,3,0
1,0,0,1,1,0,0,0,-2.2,0,0,-2.2,-2.7,0,0,0,GO:0042063,gliogenesis,M10011000,3,0
0,1,1,0,0,0,1,0,0,-2.6,-2,0,0,0,-2.3,0,GO:0002791,regulation of peptide secretion,M01100010,3,0
0,0,0,1,1,1,0,0,0,0,0,-2,-19,-3,0,0,GO:0019221,cytokine-mediated signaling pathway,M00011100,3,0
0,0,0,1,1,1,0,0,0,0,0,-2.3,-2.3,-3.7,0,0,GO:0045071,negative regulation of viral genome replication,M00011100,3,0
1,0,0,0,1,0,0,1,-5.7,0,0,0,-9.5,0,0,-2.6,hsa05200,Pathways in cancer,M10001001,3,0
0,0,0,1,1,1,0,0,0,0,0,-2.1,-17,-6.6,0,0,R-HSA-449147,Signaling by Interleukins,M00011100,3,0
1,0,0,0,0,0,1,1,-4.1,0,0,0,0,0,-2.6,-4.8,GO:0070848,response to growth factor,M10000011,3,0
1,0,0,0,1,1,0,0,-3,0,0,0,-3.4,-2.4,0,0,hsa05205,Proteoglycans in cancer,M10001100,3,0
1,1,0,0,0,0,1,0,-4,-5.2,0,0,0,0,-2.8,0,R-HSA-428157,Sphingolipid metabolism,M11000010,3,0
0,0,0,0,0,1,1,1,0,0,0,0,0,-2.5,-2.8,-2.8,GO:0046394,carboxylic acid biosynthetic process,M00000111,3,0
1,0,0,1,0,0,1,0,-5.4,0,0,-2.8,0,0,-3.3,0,GO:0046486,glycerolipid metabolic process,M10010010,3,0
1,0,0,0,0,0,1,1,-2.6,0,0,0,0,0,-3,-2.6,hsa01212,Fatty acid metabolism,M10000011,3,0
1,0,0,1,1,0,0,0,-4.2,0,0,-2.5,-2.4,0,0,0,M124,PID CXCR4 PATHWAY,M10011000,3,0
1,0,1,0,0,0,0,1,-3.8,0,-2.6,0,0,0,0,-4,GO:0120039,plasma membrane bounded cell projection morphogenesis,M10100001,3,0
0,1,1,0,0,0,1,0,0,-3.3,-2,0,0,0,-2.3,0,GO:0090087,regulation of peptide transport,M01100010,3,0
1,1,0,0,1,0,0,0,-6.5,-2.8,0,0,-2.2,0,0,0,GO:0030029,actin filament-based process,M11001000,3,0
1,1,0,0,0,0,1,0,-2.6,-2.1,0,0,0,0,-4,0,GO:1904375,regulation of protein localization to cell periphery,M11000010,3,0
1,0,0,0,1,0,0,1,-5.9,0,0,0,-9.9,0,0,-2.8,WP5434,Pathways in cancer,M10001001,3,0
1,0,1,1,0,0,0,0,-9.7,0,-2.1,-2.1,0,0,0,0,GO:0006979,response to oxidative stress,M10110000,3,0
1,0,0,0,1,0,1,0,-4,0,0,0,-2.3,0,-2,0,WP5090,Complement system in neuronal development and plasticity,M10001010,3,0
1,1,0,0,0,1,0,0,-3,-5.6,0,0,0,-2.4,0,0,M5906,HALLMARK ESTROGEN RESPONSE EARLY,M11000100,3,0
1,0,0,0,0,0,1,1,-2.5,0,0,0,0,0,-3.4,-3.1,GO:0019693,ribose phosphate metabolic process,M10000011,3,0
1,0,0,0,0,0,1,1,-2.2,0,0,0,0,0,-2.3,-2.9,GO:1901293,nucleoside phosphate biosynthetic process,M10000011,3,0
1,0,0,0,1,0,1,0,-2.7,0,0,0,-2.1,0,-5.7,0,GO:0051223,regulation of protein transport,M10001010,3,0
1,0,1,0,0,0,0,1,-3.8,0,-2.6,0,0,0,0,-3.9,GO:0048858,cell projection morphogenesis,M10100001,3,0
0,0,0,1,1,1,0,0,0,0,0,-2.2,-11,-2.1,0,0,GO:0045088,regulation of innate immune response,M00011100,3,0
1,0,0,0,0,0,1,1,-2.2,0,0,0,0,0,-2.6,-2.2,WP5356,Affected pathways in Duchenne muscular dystrophy,M10000011,3,0
1,0,0,0,1,1,0,0,-3.6,0,0,0,-4.9,-2.4,0,0,hsa04071,Sphingolipid signaling pathway,M10001100,3,0
1,0,0,1,0,0,0,1,-3.2,0,0,-4.4,0,0,0,-2.5,WP185,Integrin mediated cell adhesion,M10010001,3,0
1,1,0,0,0,0,0,1,-4.2,-3.8,0,0,0,0,0,-3.6,GO:0060541,respiratory system development,M11000001,3,0
0,0,0,1,1,0,0,1,0,0,0,-2.3,-2.2,0,0,-3.1,hsa04144,Endocytosis,M00011001,3,0
1,0,0,0,0,0,1,1,-2.7,0,0,0,0,0,-2.6,-2.1,R-HSA-8978868,Fatty acid metabolism,M10000011,3,0
1,0,1,0,0,0,0,1,-4.1,0,-2.2,0,0,0,0,-3.8,GO:0031175,neuron projection development,M10100001,3,0
1,0,1,0,1,0,0,0,-3.3,0,-2.8,0,-2.2,0,0,0,GO:0040013,negative regulation of locomotion,M10101000,3,0
1,1,0,0,0,0,1,0,-9.1,-4,0,0,0,0,-3.6,0,M5935,HALLMARK FATTY ACID METABOLISM,M11000010,3,0
0,0,1,1,0,1,0,0,0,0,-5.1,-2.8,0,-3.2,0,0,R-HSA-5617833,Cilium Assembly,M00110100,3,0
0,0,1,0,1,1,0,0,0,0,-2.6,0,-8.1,-2.4,0,0,R-HSA-453274,Mitotic G2-G2/M phases,M00101100,3,0
1,0,0,0,1,0,0,1,-2.9,0,0,0,-2.6,0,0,-3,hsa04015,Rap1 signaling pathway,M10001001,3,0
1,0,0,0,1,0,1,0,-2.6,0,0,0,-2.2,0,-2,0,GO:0070542,response to fatty acid,M10001010,3,0
1,0,0,1,0,0,1,0,-6.4,0,0,-2,0,0,-4.3,0,GO:0043434,response to peptide hormone,M10010010,3,0
