_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,0,0,0,0,0,0,-4.3,-50,0,0,0,0,0,0,M40234,M11000000,2,0,Cell Type Signatures,7,DESCARTES FETAL LIVER HEPATOBLASTS,,-50,13,27,30286,500,275,61,22,2.5,13|173|174|216|335|336|338|350|433|622|1644|2065|2147|2330|2705|3026|3053|3158|3172|3249|3698|5174|5265|5345|5624|5950|6819|7018|7276|7364|7366|7429|8431|9104|10110|10840|10841|27134|29974|51085|51473|53841|55195|57462|79589|92840|113220|134548|149466|151258|164656|197257|256394|256764|257407|257629|283375|284111|388323|389434|100996492,AADAC|AFM|AFP|ALDH1A1|APOA1|APOA2|APOB|APOH|ASGR2|BDH1|DDC|ERBB3|F2|FMO5|GJB1|HABP2|SERPIND1|HMGCS2|HNF4A|HPN|ITIH2|PDZK1|SERPINA1|SERPINF2|PROC|RBP4|SULT1C2|TF|TTR|UGT2B7|UGT2B15|VIL1|NR0B2|RGN|SGK2|ALDH1L1|FTCD|TJP3|A1CF|MLXIPL|DCDC2|CDHR5|CCDC198|MYORG|RNF128|REEP6|KIF12|SOWAHA|C1orf210|SLC38A11|TMPRSS6|LDHD|SERPINA11|WDR72|C2orf72|ANKS4B|SLC39A5|SLC13A5|GLTPD2|IYD|CTXND1,-45,0
1,1,0,0,0,0,0,0,-5.6,-29,0,0,0,0,0,0,M39115,M11000000,2,0,Cell Type Signatures,7,AIZARANI LIVER C11 HEPATOCYTES 1,,-29,13,20,30286,298,275,36,13,2,13|173|216|335|336|338|350|433|2147|2153|2330|2938|3053|3158|3248|3249|3417|3698|5005|5265|5345|5624|5950|7018|7276|7364|7366|9104|10840|10841|11001|22837|29974|51085|256394|284111,AADAC|AFM|ALDH1A1|APOA1|APOA2|APOB|APOH|ASGR2|F2|F5|FMO5|GSTA1|SERPIND1|HMGCS2|HPGD|HPN|IDH1|ITIH2|ORM2|SERPINA1|SERPINF2|PROC|RBP4|TF|TTR|UGT2B7|UGT2B15|RGN|ALDH1L1|FTCD|SLC27A2|COBLL1|A1CF|MLXIPL|SERPINA11|SLC13A5,-25,0
1,1,0,0,0,0,1,0,-3.9,-25,0,0,0,0,-2.4,0,M40287,M11000010,3,0,Cell Type Signatures,7,DESCARTES FETAL SPLEEN AFP ALB POSITIVE CELLS,,-25,16,20,30286,188,275,28,10,1.8,174|335|336|338|350|433|2147|2153|2330|2705|2938|3026|3053|3158|3172|3249|3698|5265|5345|5950|6819|7018|7276|10841|11001|29974|283375|284111,AFP|APOA1|APOA2|APOB|APOH|ASGR2|F2|F5|FMO5|GJB1|GSTA1|HABP2|SERPIND1|HMGCS2|HNF4A|HPN|ITIH2|SERPINA1|SERPINF2|RBP4|SULT1C2|TF|TTR|FTCD|SLC27A2|A1CF|SLC39A5|SLC13A5,-21,0
0,0,0,0,1,1,1,1,0,0,0,0,-25,-3.9,-7.2,-6.1,M41700,M00001111,4,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-25,8.6,17,30286,726,195,40,21,2.9,60|387|637|1520|1890|2495|2633|2907|2919|2921|3383|3460|3576|3656|4327|4792|4794|5216|5329|5687|5743|5879|5971|7097|7127|7128|8676|8942|9050|9308|10019|10318|10970|11182|23636|80149|83937|84419|152007|259307,ACTB|RHOA|BID|CTSS|TYMP|FTH1|GBP1|GRINA|CXCL1|CXCL3|ICAM1|IFNGR2|CXCL8|IRAK2|MMP19|NFKBIA|NFKBIE|PFN1|PLAUR|PSMA6|PTGS2|RAC1|RELB|TLR2|TNFAIP2|TNFAIP3|STX11|KYNU|PSTPIP2|CD83|SH2B3|TNIP1|CKAP4|SLC2A6|NUP62|ZC3H12A|RASSF4|C15orf48|GLIPR2|IL4I1,-21,0
1,1,0,0,0,0,0,0,-3.5,-24,0,0,0,0,0,0,M40276,M11000000,2,0,Cell Type Signatures,7,DESCARTES FETAL PLACENTA AFP ALB POSITIVE CELLS,,-24,17,20,30286,171,275,26,9.5,1.8,174|335|336|338|350|433|622|1644|2147|2330|2938|3053|3158|3698|5265|5345|5950|7018|7276|10841|29974|51085|92840|164656|283375|284111,AFP|APOA1|APOA2|APOB|APOH|ASGR2|BDH1|DDC|F2|FMO5|GSTA1|SERPIND1|HMGCS2|ITIH2|SERPINA1|SERPINF2|RBP4|TF|TTR|FTCD|A1CF|MLXIPL|REEP6|TMPRSS6|SLC39A5|SLC13A5,-20,0
0,1,0,0,0,1,0,0,0,-22,0,0,0,-5.2,0,0,M40175,M01000100,2,0,Cell Type Signatures,7,DESCARTES FETAL EYE CORNEAL AND CONJUNCTIVAL EPITHELIAL CELLS,,-22,13,18,30286,243,275,28,10,1.8,175|2125|3866|4072|4585|4680|5265|6286|7033|7348|8537|8796|10232|10331|10551|23584|27134|51316|56649|64787|79660|80004|84958|114569|127733|147798|155465|161291,AGA|EVPL|KRT15|EPCAM|MUC4|CEACAM6|SERPINA1|S100P|TFF3|UPK1B|BCAS1|SCEL|MSLN|B3GNT3|AGR2|VSIG2|TJP3|PLAC8|TMPRSS4|EPS8L2|PPP1R3B|ESRP2|SYTL1|MAL2|UBXN10|TMC4|AGR3|TMEM30B,-18,0
0,0,1,1,1,0,1,1,0,0,-3.4,-4.7,-5.7,0,-2.6,-22,M39175,M00111011,5,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-22,6.5,14,30286,680,295,43,15,2.1,87|861|1289|1314|1490|2191|3688|3987|3992|4502|5223|5782|6396|6678|7130|7145|8507|8828|9588|9645|9859|9871|9902|10109|10484|10492|10797|11015|11335|22801|23213|51199|54732|54838|54867|58505|79709|80176|81671|84627|162073|168455|253461,ACTN1|RUNX1|COL5A1|COPA|CCN2|FAP|ITGB1|LIMS1|FADS1|MT2A|PGAM1|PTPN12|SEC13|SPARC|TNFAIP6|TNS1|ENC1|NRP2|PRDX6|MICAL2|CEP170|SEC24D|MRC2|ARPC2|SEC23A|SYNCRIP|MTHFD2|KDELR3|CBX3|ITGA11|SULF1|NIN|TMED9|WBP1L|TMEM214|OSTC|COLGALT1|SPSB1|VMP1|ZNF469|ITPRIPL2|CCDC71L|ZBTB38,-18,0
1,1,0,0,0,0,1,0,-5.5,-22,0,0,0,0,-4.2,0,M40013,M11000010,3,0,Cell Type Signatures,7,BUSSLINGER GASTRIC MATURE PIT CELLS,,-22,13,18,30286,224,275,27,9.8,1.8,489|760|1308|3171|3248|6286|6337|6819|7032|7103|8537|10424|11199|23584|51316|54502|54845|57016|79083|79589|84418|114569|165679|201501|340547|388743|768239,ATP2A3|CA2|COL17A1|FOXA3|HPGD|S100P|SCNN1A|SULT1C2|TFF2|TSPAN8|BCAS1|PGRMC2|ANXA10|VSIG2|PLAC8|RBM47|ESRP1|AKR1B10|MLPH|RNF128|CYSTM1|MAL2|SPTSSB|ZBTB7C|VSIG1|CAPN8|PSAPL1,-18,0
1,1,0,0,0,0,0,0,-4.7,-22,0,0,0,0,0,0,M39118,M11000000,2,0,Cell Type Signatures,7,AIZARANI LIVER C14 HEPATOCYTES 2,,-22,13,18,30286,226,275,27,9.8,1.8,173|216|335|336|338|350|433|2147|2705|2938|3053|3158|3249|5005|5265|5345|5950|7018|7276|7364|9104|10840|10841|29974|51085|92840|256394,AFM|ALDH1A1|APOA1|APOA2|APOB|APOH|ASGR2|F2|GJB1|GSTA1|SERPIND1|HMGCS2|HPN|ORM2|SERPINA1|SERPINF2|RBP4|TF|TTR|UGT2B7|RGN|ALDH1L1|FTCD|A1CF|MLXIPL|REEP6|SERPINA11,-18,0
0,1,0,0,0,0,0,0,0,-21,0,0,0,0,0,0,M40220,M01000000,1,0,Cell Type Signatures,7,DESCARTES FETAL KIDNEY URETERIC BUD CELLS,,-21,11,16,30286,300,275,29,11,1.9,216|1308|2001|2125|3158|3248|3866|6286|7348|8537|10331|22837|23584|54845|55040|79083|79589|80004|83851|85477|114569|123099|140893|147798|151258|161291|197257|100130933|100996492,ALDH1A1|COL17A1|ELF5|EVPL|HMGCS2|HPGD|KRT15|S100P|UPK1B|BCAS1|B3GNT3|COBLL1|VSIG2|ESRP1|EPN3|MLPH|RNF128|ESRP2|SYT16|SCIN|MAL2|DEGS2|RBBP8NL|TMC4|SLC38A11|TMEM30B|LDHD|SMIM6|CTXND1,-17,0
0,1,0,0,0,1,0,0,0,-20,0,0,0,-3.2,0,0,M40212,M01000100,2,0,Cell Type Signatures,7,DESCARTES FETAL INTESTINE INTESTINAL EPITHELIAL CELLS,,-20,11,16,30286,276,275,28,10,1.8,13|173|174|335|336|338|1040|2705|2938|5950|6819|7103|7433|9075|10840|27134|27284|54810|55195|80004|92840|123099|140893|155465|257407|284422|388323|389434,AADAC|AFM|AFP|APOA1|APOA2|APOB|CDS1|GJB1|GSTA1|RBP4|SULT1C2|TSPAN8|VIPR1|CLDN2|ALDH1L1|TJP3|SULT1B1|GIPC2|CCDC198|ESRP2|REEP6|DEGS2|RBBP8NL|AGR3|C2orf72|SMIM24|GLTPD2|IYD,-17,0
