_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,0,1,1,0,0,0,0,0,0,-22,-4.4,0,0,C0151449,M00001100,2,0,DisGeNET,35,Primary Sjögren's syndrome,,-22,13,18,30286,312,195,27,14,2.5,60|684|1072|1520|2919|3105|3106|3383|3576|4792|5698|5743|6646|6776|6891|7097|7128|7157|7292|9641|10148|10318|10908|10950|10970|23586|146433,ACTB|BST2|CFL1|CTSS|CXCL1|HLA-A|HLA-B|ICAM1|CXCL8|NFKBIA|PSMB9|PTGS2|SOAT1|STAT5A|TAP2|TLR2|TNFAIP3|TP53|TNFSF4|IKBKE|EBI3|TNIP1|PNPLA6|BTG3|CKAP4|RIGI|IL34,-18,0
1,0,0,0,1,1,0,0,-2.4,0,0,0,-19,-5.7,0,0,C3714514,M10001100,3,0,DisGeNET,35,Infection,,-19,9.2,15,30286,491,195,29,15,2.5,330|387|2495|3105|3106|3135|3383|3455|3459|3460|3576|3659|4599|4792|4836|5329|5371|5743|6374|6890|6891|7097|7157|8743|9308|9641|23586|23636|27113,BIRC3|RHOA|FTH1|HLA-A|HLA-B|HLA-G|ICAM1|IFNAR2|IFNGR1|IFNGR2|CXCL8|IRF1|MX1|NFKBIA|NMT1|PLAUR|PML|PTGS2|CXCL5|TAP1|TAP2|TLR2|TP53|TNFSF10|CD83|IKBKE|RIGI|NUP62|BBC3,-16,0
0,0,0,0,1,1,0,0,0,0,0,0,-18,-4.1,0,0,C0024143,M00001100,2,0,DisGeNET,35,Lupus Nephritis,,-18,8.6,14,30286,503,195,28,14,2.5,60|716|718|972|1435|1520|2495|2919|3135|3383|3576|4599|5420|5698|5743|5879|6376|6446|7097|7128|7186|7292|7345|9235|10318|23586|79651|146433,ACTB|C1S|C3|CD74|CSF1|CTSS|FTH1|CXCL1|HLA-G|ICAM1|CXCL8|MX1|PODXL|PSMB9|PTGS2|RAC1|CX3CL1|SGK1|TLR2|TNFAIP3|TRAF2|TNFSF4|UCHL1|IL32|TNIP1|RIGI|RHBDF2|IL34,-14,0
0,0,0,0,1,0,0,0,0,0,0,0,-15,0,0,0,C0220597,M00001000,1,0,DisGeNET,35,Adult Hodgkin Lymphoma,,-15,9,13,30286,399,195,23,12,2.3,60|330|1435|3105|3135|3383|3604|4791|4792|4794|5371|5452|5698|5743|5971|6646|6776|7128|7157|7187|7292|9308|9641,ACTB|BIRC3|CSF1|HLA-A|HLA-G|ICAM1|TNFRSF9|NFKB2|NFKBIA|NFKBIE|PML|POU2F2|PSMB9|PTGS2|RELB|SOAT1|STAT5A|TNFAIP3|TP53|TRAF3|TNFSF4|CD83|IKBKE,-12,0
0,0,0,0,1,0,0,0,0,0,0,0,-15,0,0,0,C0220644,M00001000,1,0,DisGeNET,35,Childhood Hodgkin Lymphoma,,-15,9,13,30286,399,195,23,12,2.3,60|330|1435|3105|3135|3383|3604|4791|4792|4794|5371|5452|5698|5743|5971|6646|6776|7128|7157|7187|7292|9308|9641,ACTB|BIRC3|CSF1|HLA-A|HLA-G|ICAM1|TNFRSF9|NFKB2|NFKBIA|NFKBIE|PML|POU2F2|PSMB9|PTGS2|RELB|SOAT1|STAT5A|TNFAIP3|TP53|TRAF3|TNFSF4|CD83|IKBKE,-12,0
0,1,0,0,1,0,0,0,0,-3.1,0,0,-15,0,0,0,C0004943,M01001000,2,0,DisGeNET,35,Behcet Syndrome,,-15,7.7,12,30286,502,195,25,13,2.4,60|1435|2919|3105|3106|3135|3383|3576|3659|3918|4792|6372|6374|6376|6646|6890|6891|7097|7128|7157|7292|9235|9308|10318|51752,ACTB|CSF1|CXCL1|HLA-A|HLA-B|HLA-G|ICAM1|CXCL8|IRF1|LAMC2|NFKBIA|CXCL6|CXCL5|CX3CL1|SOAT1|TAP1|TAP2|TLR2|TNFAIP3|TP53|TNFSF4|IL32|CD83|TNIP1|ERAP1,-12,0
0,0,0,0,1,0,0,0,0,0,0,0,-14,0,0,0,C0149678,M00001000,1,0,DisGeNET,35,Epstein-Barr Virus Infections,,-14,8.9,13,30286,384,195,22,11,2.3,60|972|2633|3105|3106|3383|3576|3604|5452|5698|5743|6646|6890|7128|7157|7345|9308|10148|10970|23568|23586|51586,ACTB|CD74|GBP1|HLA-A|HLA-B|ICAM1|CXCL8|TNFRSF9|POU2F2|PSMB9|PTGS2|SOAT1|TAP1|TNFAIP3|TP53|UCHL1|CD83|EBI3|CKAP4|ARL2BP|RIGI|MED15,-11,0
0,1,0,0,1,1,0,0,0,-2.3,0,0,-14,-3.6,0,0,C1527336,M01001100,3,0,DisGeNET,35,Sjogren's Syndrome,,-14,7.7,12,30286,481,195,24,12,2.4,718|1520|2919|3105|3106|3383|3576|3604|3659|4792|5698|6376|6646|6890|6891|7128|7157|9641|10148|10318|10475|10950|10970|23586,C3|CTSS|CXCL1|HLA-A|HLA-B|ICAM1|CXCL8|TNFRSF9|IRF1|NFKBIA|PSMB9|CX3CL1|SOAT1|TAP1|TAP2|TNFAIP3|TP53|IKBKE|EBI3|TNIP1|TRIM38|BTG3|CKAP4|RIGI,-11,0
1,0,0,0,1,0,0,0,-2.5,0,0,0,-13,0,0,0,C0524909,M10001000,2,0,DisGeNET,35,"Hepatitis B, Chronic",,-13,8.2,12,30286,415,195,22,11,2.3,1983|3105|3106|3135|3455|3459|3576|3604|3659|4792|5371|5743|6372|6890|7097|7157|8743|9235|10148|10318|23586|146433,EIF5|HLA-A|HLA-B|HLA-G|IFNAR2|IFNGR1|CXCL8|TNFRSF9|IRF1|NFKBIA|PML|PTGS2|CXCL6|TAP1|TLR2|TP53|TNFSF10|IL32|EBI3|TNIP1|RIGI|IL34,-11,0
0,0,0,0,1,1,0,0,0,0,0,0,-13,-5.1,0,0,C0375023,M00001100,2,0,DisGeNET,35,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,,-13,7.6,12,30286,467,195,23,12,2.3,60|684|2919|3105|3383|3576|3659|4327|4792|5371|5698|5743|6374|6376|6646|6776|6890|7157|7292|9641|10970|23586|130367,ACTB|BST2|CXCL1|HLA-A|ICAM1|CXCL8|IRF1|MMP19|NFKBIA|PML|PSMB9|PTGS2|CXCL5|CX3CL1|SOAT1|STAT5A|TAP1|TP53|TNFSF4|IKBKE|CKAP4|RIGI|SGPP2,-10,0
