GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
C0149678,Epstein-Barr Virus Infections,0.0,0.0,0.0,0.0,-14.064703493641264,0.0,0.0,0.0
C0220644,Childhood Hodgkin Lymphoma,0.0,0.0,0.0,0.0,-14.74693502678137,0.0,0.0,0.0
C0220597,Adult Hodgkin Lymphoma,0.0,0.0,0.0,0.0,-14.74693502678137,0.0,0.0,0.0
C0524909,"Hepatitis B, Chronic",-2.4706737618699344,0.0,0.0,0.0,-13.377069496003198,0.0,0.0,0.0
C0036220,Kaposi Sarcoma,-2.3866095197473554,0.0,0.0,0.0,-12.896645897358237,0.0,0.0,0.0
C0004943,Behcet Syndrome,0.0,-3.1274682376560032,0.0,0.0,-14.539120593567404,0.0,0.0,0.0
C0375023,Respiratory syncytial virus (RSV) infection in conditions classified elsewhere and of unspecified site,0.0,0.0,0.0,0.0,-13.296175853053514,-5.140265493442948,0.0,0.0
C0024143,Lupus Nephritis,0.0,0.0,0.0,0.0,-17.514460852939916,-4.121350098437456,0.0,0.0
C0011615,"Dermatitis, Atopic",0.0,0.0,0.0,0.0,-12.293890417301531,-4.97631654610554,0.0,0.0
C3495559,Juvenile arthritis,0.0,0.0,0.0,0.0,-12.66803626431462,-3.8492658373270467,0.0,0.0
C0003872,"Arthritis, Psoriatic",0.0,0.0,0.0,0.0,-11.72359193329632,-3.8492658373270467,0.0,0.0
C0151449,Primary Sjögren's syndrome,0.0,0.0,0.0,0.0,-21.841957625023817,-4.367519607770632,0.0,0.0
C0026896,Myasthenia Gravis,0.0,0.0,0.0,0.0,-13.129252582501616,-2.68617325094261,0.0,0.0
C0079773,"Lymphoma, T-Cell, Cutaneous",0.0,0.0,0.0,0.0,-11.425891147068429,-2.473756143988155,0.0,0.0
C1527336,Sjogren's Syndrome,0.0,-2.3191726543024287,0.0,0.0,-13.985719654457737,-3.617073578569118,0.0,0.0
C0011603,Dermatitis,0.0,0.0,0.0,0.0,-12.749641584021889,-4.1753737356896785,0.0,-2.4343130617685533
C0677607,Hashimoto Disease,-2.1497781977900514,0.0,0.0,0.0,-12.121333826655526,-2.0597789224129825,0.0,0.0
C3714514,Infection,-2.3657159317048038,0.0,0.0,0.0,-18.835756197538583,-5.668454957864854,0.0,0.0
C2363741,HIV-1 infection,0.0,0.0,0.0,0.0,-13.073049782787098,-2.936042467750963,-2.4899933174817312,0.0
C0019209,Hepatomegaly,-12.102835978489818,-7.0833227586603575,0.0,0.0,0.0,0.0,-3.6062249904089176,0.0
