GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
PGB:00069,Cell-specific: CD71+ EarlyErythroid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2266837367462835
PGB:00071,Cell-specific: HUVEC,0.0,0.0,-2.499345710033965,-3.9899201314387853,0.0,0.0,0.0,-2.9501276660078064
PGB:00073,Cell-specific: OVR278E,-3.431645968619188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00008,Tissue-specific: spleen,0.0,0.0,0.0,0.0,-6.7622036299761135,-4.152103602200281,0.0,0.0
PGB:00026,Tissue-specific: Blood,0.0,0.0,0.0,0.0,-3.7715961875354482,-3.5501227767786063,0.0,0.0
PGB:00014,Tissue-specific: lung,0.0,-2.6671260563687804,0.0,0.0,-3.993912600382192,-3.49769455233681,0.0,0.0
PGB:00110,Cell-specific: Lymphoma burkitts Raji,0.0,0.0,0.0,0.0,-4.424768854752529,0.0,0.0,0.0
PGB:00011,Tissue-specific: Smooth Muscle,0.0,0.0,0.0,0.0,-8.865370448393204,0.0,0.0,-4.160421677689703
PGB:00133,Cell-specific: Cardiac Myocytes,0.0,0.0,0.0,0.0,-3.2124819442814845,0.0,-2.9115674546808483,-3.524752788337143
PGB:00005,Tissue-specific: colon,0.0,-14.982190633244633,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00006,Tissue-specific: small intestine,0.0,-9.7457554688814,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00060,Cell-specific: liver cell,0.0,-20.063620640847816,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00093,Cell-specific: Vaginal Epithelial,0.0,-5.3071599476339655,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00038,Tissue-specific: Stomach,0.0,-3.0244389063305297,0.0,0.0,0.0,0.0,0.0,0.0
PGB:00139,Cell-specific: Renal Epithelial,0.0,-9.3438779894664,0.0,0.0,0.0,-5.272229555625911,0.0,0.0
PGB:00002,Tissue-specific: kidney,0.0,-9.890593687236272,0.0,0.0,0.0,-3.6027501656389136,0.0,0.0
PGB:00031,Tissue-specific: trachea,0.0,-3.7317741053320734,0.0,0.0,0.0,-5.056257543890084,0.0,0.0
PGB:00058,Cell-specific: HEPG2,-2.3934072839621185,-24.5346528811445,0.0,0.0,0.0,0.0,0.0,-2.033259221805162
PGB:00001,Tissue-specific: liver,-4.580668618869028,-34.69301138914199,0.0,0.0,0.0,-2.436222199185455,-2.090926603456273,0.0
PGB:00080,Cell-specific: Adipocyte,-4.772069587623296,0.0,-6.681226609343048,0.0,0.0,0.0,-2.253535496935741,0.0
