Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Cell Type Signatures,7,M41708,FAN OVARY CL6 PUTATIVE EARLY ATRETIC FOLLICLE THECAL CELL 2,,-16,8.6,13,30286,300,304,26,8.6,1.6,348|351|1675|2217|2353|2752|2934|3075|3488|3646|5166|5176|5660|6342|6414|6594|6595|6767|10404|10628|27250|30061|55603|57447|112483|115294,APOE|APP|CFD|FCGRT|FOS|GLUL|GSN|CFH|IGFBP5|EIF3E|PDK4|SERPINF1|PSAP|SCP2|SELENOP|SMARCA1|SMARCA2|ST13|CPQ|TXNIP|PDCD4|SLC40A1|TENT5A|NDRG2|SAT2|PCMTD1,-13,down_common_genes
Cell Type Signatures,7,M39056,MANNO MIDBRAIN NEUROTYPES HRGL3,,-15,5.7,12,30286,574,304,33,11,1.8,214|334|678|1075|1191|1200|1612|1949|2261|2353|3488|3655|3988|4128|4155|5139|5660|5836|7802|8829|10404|10788|23446|23767|55240|55788|56204|57537|81618|84263|90990|130271|221477,ALCAM|APLP2|ZFP36L2|CTSC|CLU|TPP1|DAPK1|EFNB3|FGFR3|FOS|IGFBP5|ITGA6|LIPA|MAOA|MBP|PDE3A|PSAP|PYGL|DNALI1|NRP1|CPQ|IQGAP2|SLC44A1|FLRT3|STEAP3|LMBRD1|ATOSA|SORCS2|ITM2C|HSDL2|KIFC2|PLEKHH2|C6orf89,-12,down_common_genes
Cell Type Signatures,7,M39051,MANNO MIDBRAIN NEUROTYPES HMGL,,-14,5.5,11,30286,577,304,32,11,1.8,274|348|678|1050|1075|1200|2040|2185|2217|2934|3988|4094|4155|5166|5176|5578|5641|5836|7048|8635|8801|10365|10628|25840|29116|55603|55824|59342|64798|85315|112574|114625,BIN1|APOE|ZFP36L2|CEBPA|CTSC|TPP1|STOM|PTK2B|FCGRT|GSN|LIPA|MAF|MBP|PDK4|SERPINF1|PRKCA|LGMN|PYGL|TGFBR2|RNASET2|SUCLG2|KLF2|TXNIP|TMT1A|MYLIP|TENT5A|PAG1|SCPEP1|DEPTOR|PAQR8|SNX18|ERMAP,-11,down_common_genes
Cell Type Signatures,7,M39077,ZHONG PFC MAJOR TYPES MICROGLIA,,-14,6.4,11,30286,438,304,28,9.2,1.7,274|334|348|678|1050|1075|1200|2040|2217|2353|2548|2752|2934|3073|3988|4094|5166|5176|5641|5660|8635|8763|10365|25840|29116|55824|81618|94134,BIN1|APLP2|APOE|ZFP36L2|CEBPA|CTSC|TPP1|STOM|FCGRT|FOS|GAA|GLUL|GSN|HEXA|LIPA|MAF|PDK4|SERPINF1|LGMN|PSAP|RNASET2|CD164|KLF2|TMT1A|MYLIP|PAG1|ITM2C|ARHGAP12,-11,down_common_genes
Cell Type Signatures,7,M39022,FAN EMBRYONIC CTX BIG GROUPS MICROGLIA,,-12,6.4,11,30286,371,304,24,7.9,1.5,274|334|348|678|1075|1200|2040|2217|2353|2548|2752|2934|3073|3988|4094|5166|5176|5641|5660|7048|8635|8763|10365|25840,BIN1|APLP2|APOE|ZFP36L2|CTSC|TPP1|STOM|FCGRT|FOS|GAA|GLUL|GSN|HEXA|LIPA|MAF|PDK4|SERPINF1|LGMN|PSAP|TGFBR2|RNASET2|CD164|KLF2|TMT1A,-9.4,down_common_genes
DisGeNET,35,C0019209,Hepatomegaly,,-12,5.3,10,30286,523,304,28,9.2,1.7,348|549|686|2110|2353|2517|2548|2859|2990|3030|3073|3155|3425|3481|3988|4000|4041|4054|4594|5190|5256|5660|5836|9742|51626|55240|55764|201294,APOE|AUH|BTD|ETFDH|FOS|FUCA1|GAA|GPR35|GUSB|HADHA|HEXA|HMGCL|IDUA|IGF2|LIPA|LMNA|LRP5|LTBP3|MMUT|PEX6|PHKA2|PSAP|PYGL|IFT140|DYNC2LI1|STEAP3|IFT122|UNC13D,-9.4,down_common_genes
Cell Type Signatures,7,M41652,TRAVAGLINI LUNG PROXIMAL BASAL CELL,,-12,4.8,9.6,30286,629,304,30,9.9,1.7,351|678|1075|1938|2034|2217|2261|2517|2593|2631|2752|3030|3476|3646|3691|4059|5176|5867|9368|10252|10628|10904|23635|26751|27250|50853|51386|57447|93100|254295,APP|ZFP36L2|CTSC|EEF2|EPAS1|FCGRT|FGFR3|FUCA1|GAMT|NIPSNAP2|GLUL|HADHA|IGBP1|EIF3E|ITGB4|BCAM|SERPINF1|RAB4A|NHERF1|SPRY1|TXNIP|BLCAP|SSBP2|SH3YL1|PDCD4|VILL|EIF3L|NDRG2|NAPRT|PHYHD1,-9,down_common_genes
Cell Type Signatures,7,M39055,MANNO MIDBRAIN NEUROTYPES HRGL2A,,-10,4.5,8.7,30286,600,304,27,8.9,1.6,678|1191|2040|2185|2261|2353|3988|4983|5578|5660|6414|7089|7802|8850|9368|10252|10788|23767|25840|51280|54566|55824|57447|57537|81618|84263|113026,ZFP36L2|CLU|STOM|PTK2B|FGFR3|FOS|LIPA|OPHN1|PRKCA|PSAP|SELENOP|TLE2|DNALI1|KAT2B|NHERF1|SPRY1|IQGAP2|FLRT3|TMT1A|GOLM1|EPB41L4B|PAG1|NDRG2|SORCS2|ITM2C|HSDL2|PLCD3,-7.4,down_common_genes
Cell Type Signatures,7,M39122,AIZARANI LIVER C21 STELLATE CELLS 1,,-9.8,8.2,10,30286,194,304,16,5.3,1.3,2034|2353|2752|2878|2934|3075|3488|4000|4286|5101|5176|5627|5999|6649|10217|81618,EPAS1|FOS|GLUL|GPX3|GSN|CFH|IGFBP5|LMNA|MITF|PCDH9|SERPINF1|PROS1|RGS4|SOD3|CTDSPL|ITM2C,-7.3,down_common_genes
Cell Type Signatures,7,M39050,MANNO MIDBRAIN NEUROTYPES HPERIC,,-9.8,3.9,8.3,30286,795,304,31,10,1.7,348|395|817|2034|2036|2040|2217|2353|2934|3075|4000|5139|7048|8490|8763|8801|9368|10252|10404|10559|10628|30846|51196|55603|55824|57228|57509|59342|81618|112574|130271,APOE|ARHGAP6|CAMK2D|EPAS1|EPB41L1|STOM|FCGRT|FOS|GSN|CFH|LMNA|PDE3A|TGFBR2|RGS5|CD164|SUCLG2|NHERF1|SPRY1|CPQ|SLC35A1|TXNIP|EHD2|PLCE1|TENT5A|PAG1|SMAGP|MTUS1|SCPEP1|ITM2C|SNX18|PLEKHH2,-7.3,down_common_genes
Cell Type Signatures,7,M40028,BUSSLINGER DUODENAL LATE IMMATURE ENTEROCYTES,,-9.4,8.4,10,30286,177,304,15,4.9,1.2,30|334|2053|3030|3294|3988|4094|4128|5166|10788|51084|51170|112483|130589|134147,ACAA1|APLP2|EPHX2|HADHA|HSD17B2|LIPA|MAF|MAOA|PDK4|IQGAP2|CRYL1|HSD17B11|SAT2|GALM|CMBL,-7,down_common_genes
DisGeNET,35,C0269102,Endometrioma,,-9.2,6.4,9.2,30286,279,304,18,5.9,1.4,1675|2064|2353|2878|3294|3481|3613|4128|5999|6414|7067|8801|8829|10628|25840|29116|30061|54414,CFD|ERBB2|FOS|GPX3|HSD17B2|IGF2|IMPA2|MAOA|RGS4|SELENOP|THRA|SUCLG2|NRP1|TXNIP|TMT1A|MYLIP|SLC40A1|SIAE,-6.8,down_common_genes
Cell Type Signatures,7,M39271,HU FETAL RETINA RPE,,-8.9,6.1,8.9,30286,292,304,18,5.9,1.4,334|348|351|678|1200|2261|3294|3488|3655|4054|4286|5176|5660|8727|9368|10788|51196|440498,APLP2|APOE|APP|ZFP36L2|TPP1|FGFR3|HSD17B2|IGFBP5|ITGA6|LTBP3|MITF|SERPINF1|PSAP|CTNNAL1|NHERF1|IQGAP2|PLCE1|HSBP1L1,-6.6,down_common_genes
Cell Type Signatures,7,M39233,LAKE ADULT KIDNEY C14 DISTAL CONVOLUTED TUBULE,,-8.4,7.2,9,30286,208,304,15,4.9,1.2,395|549|2122|2888|4286|4983|7068|9910|10217|54805|55074|121512|140733|254827|389432,ARHGAP6|AUH|MECOM|GRB14|MITF|OPHN1|THRB|RABGAP1L|CTDSPL|CNNM2|OXR1|FGD4|MACROD2|NAALADL2|SAMD5,-6.2,down_common_genes
Cell Type Signatures,7,M41698,TRAVAGLINI LUNG TREM2 DENDRITIC CELL,,-8.3,4.2,7.7,30286,572,304,24,7.9,1.5,214|334|348|1050|1075|1200|1675|2217|2517|2548|2752|2878|2934|2990|3073|3988|5166|5176|5641|5660|30061|55240|59342|81622,ALCAM|APLP2|APOE|CEBPA|CTSC|TPP1|CFD|FCGRT|FUCA1|GAA|GLUL|GPX3|GSN|GUSB|HEXA|LIPA|PDK4|SERPINF1|LGMN|PSAP|SLC40A1|STEAP3|SCPEP1|UNC93B1,-6,down_common_genes
DisGeNET,35,C0009421,Comatose,,-8.2,13,10,30286,78,304,10,3.3,1,348|351|549|594|686|3030|3075|3155|4594|56922,APOE|APP|AUH|BCKDHB|BTD|HADHA|CFH|HMGCL|MMUT|MCCC1,-6,down_common_genes
Cell Type Signatures,7,M39074,ZHONG PFC MAJOR TYPES ASTROCYTES,,-8.2,5.5,8.2,30286,325,304,18,5.9,1.4,214|348|678|1191|2752|2878|2888|3988|9368|10099|10252|25840|27131|51084|57447|81618|84572|85315,ALCAM|APOE|ZFP36L2|CLU|GLUL|GPX3|GRB14|LIPA|NHERF1|TSPAN3|SPRY1|TMT1A|SNX5|CRYL1|NDRG2|ITM2C|GNPTG|PAQR8,-5.9,down_common_genes
DisGeNET,35,C0020615,Hypoglycemia,,-7.9,4.7,7.8,30286,420,304,20,6.6,1.4,36|348|351|549|594|1050|2110|2353|3030|3155|3481|5256|5296|5836|10352|10628|51084|56922|56994|118429,ACADSB|APOE|APP|AUH|BCKDHB|CEBPA|ETFDH|FOS|HADHA|HMGCL|IGF2|PHKA2|PIK3R2|PYGL|WARS2|TXNIP|CRYL1|MCCC1|CHPT1|ANTXR2,-5.7,down_common_genes
Cell Type Signatures,7,M39231,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-7.9,5,7.8,30286,381,304,19,6.2,1.4,334|351|847|1938|2053|2261|2770|3030|3613|5101|5660|6342|6389|23236|25840|51280|55074|81618|130271,APLP2|APP|CAT|EEF2|EPHX2|FGFR3|GNAI1|HADHA|IMPA2|PCDH9|PSAP|SCP2|SDHA|PLCB1|TMT1A|GOLM1|OXR1|ITM2C|PLEKHH2,-5.7,down_common_genes
Cell Type Signatures,7,M39266,HU FETAL RETINA MICROGLIA,,-7.9,5,7.8,30286,382,304,19,6.2,1.4,274|678|1075|2217|2353|2752|2934|3988|4094|5641|5660|7048|8635|8763|10365|10628|25840|27131|29116,BIN1|ZFP36L2|CTSC|FCGRT|FOS|GLUL|GSN|LIPA|MAF|LGMN|PSAP|TGFBR2|RNASET2|CD164|KLF2|TXNIP|TMT1A|SNX5|MYLIP,-5.6,down_common_genes
Cell Type Signatures,7,M39037,FAN EMBRYONIC CTX OLIG,,-7.8,3.6,7.2,30286,754,304,27,8.9,1.6,210|274|351|2593|2770|2934|3988|4000|4077|4155|4286|5058|7301|8763|10966|23446|23621|29956|57185|57509|57732|64077|64798|79956|83594|118738|123283,ALAD|BIN1|APP|GAMT|GNAI1|GSN|LIPA|LMNA|NBR1|MBP|MITF|PAK1|TYRO3|CD164|RAB40B|SLC44A1|BACE1|CERS2|NIPAL3|MTUS1|ZFYVE28|LHPP|DEPTOR|ERMP1|NUDT12|ZNF488|TARS3,-5.6,down_common_genes
Cell Type Signatures,7,M39168,MURARO PANCREAS ALPHA CELL,,-7.7,4,7.4,30286,568,304,23,7.6,1.5,594|1191|2053|2770|2878|5166|5999|6594|6595|7068|7586|8763|9905|23329|23621|23635|51196|55603|79600|84795|84918|130399|388610,BCKDHB|CLU|EPHX2|GNAI1|GPX3|PDK4|RGS4|SMARCA1|SMARCA2|THRB|ZKSCAN1|CD164|SGSM2|TBC1D30|BACE1|SSBP2|PLCE1|TENT5A|TCTN1|PYROXD2|LRP11|ACVR1C|TRNP1,-5.5,down_common_genes
Cell Type Signatures,7,M39174,MURARO PANCREAS ACINAR CELL,,-7.5,3.5,7,30286,731,304,26,8.6,1.6,30|210|727|1938|2122|2752|3476|3613|3646|3655|4582|5176|5525|6920|8801|10788|25840|27250|51170|51280|51386|54566|56922|57509|64855|201895,ACAA1|ALAD|C5|EEF2|MECOM|GLUL|IGBP1|IMPA2|EIF3E|ITGA6|MUC1|SERPINF1|PPP2R5A|TCEA3|SUCLG2|IQGAP2|TMT1A|PDCD4|HSD17B11|GOLM1|EIF3L|EPB41L4B|MCCC1|MTUS1|NIBAN2|SMIM14,-5.4,down_common_genes
DisGeNET,35,C1858430,Death in infancy,,-7.5,8.2,8.8,30286,146,304,12,3.9,1.1,2261|3425|3655|3691|3988|4000|4920|5190|5660|7048|23171|118429,FGFR3|IDUA|ITGA6|ITGB4|LIPA|LMNA|ROR2|PEX6|PSAP|TGFBR2|GPD1L|ANTXR2,-5.4,down_common_genes
Cell Type Signatures,7,M41745,RUBENSTEIN SKELETAL MUSCLE FAP CELLS,,-7.4,7.2,8.4,30286,179,304,13,4.3,1.2,351|1675|2217|2878|2934|3075|4000|5176|5660|6414|7148|10252|10404,APP|CFD|FCGRT|GPX3|GSN|CFH|LMNA|SERPINF1|PSAP|SELENOP|TNXB|SPRY1|CPQ,-5.3,down_common_genes
