GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0009725,response to hormone,-8.688497758120853,-2.240035026494778,-3.27298467874857,-2.038349288563837,0.0,0.0,-7.229990176785665,0.0
GO:0120035,regulation of plasma membrane bounded cell projection organization,-5.9737628748968525,-3.415315866670739,-3.553350516684169,-2.1219196581097033,-2.9083347757418094,0.0,-3.66340711084185,0.0
GO:0098657,import into cell,-4.931360602800133,-4.521739691545033,-2.099305280848887,-2.8361003859220455,0.0,-3.9982173543364414,-2.008140080771035,0.0
GO:0003013,circulatory system process,-4.19602776575879,-3.5964584422933275,-3.3056242914385052,0.0,0.0,-3.4298967439722916,-2.657461611190407,0.0
GO:1901615,organic hydroxy compound metabolic process,-5.6552701813969115,-9.908278859583545,0.0,0.0,0.0,-4.2863588323979975,-4.561349458549064,0.0
R-HSA-556833,Metabolism of lipids,-6.630141518536027,-6.865521582404225,0.0,-3.0879977017579616,0.0,-3.1639777091704846,-11.766421041269778,0.0
GO:0019752,carboxylic acid metabolic process,-7.4337737131118224,-7.126842360291817,0.0,0.0,0.0,-2.0447469132598144,-6.5688924066529175,-3.9715944494664934
R-HSA-109582,Hemostasis,-4.17642641287975,-6.5113154398216535,0.0,0.0,-3.671180292702659,-2.7634794707793975,0.0,-2.4704549027894074
R-HSA-6798695,Neutrophil degranulation,-6.974316998995185,-5.650267541746017,0.0,0.0,-6.230980040247677,-4.302543882009422,-5.2238829464545695,-3.025491837561565
WP5390,Pancreatic cancer subtypes,0.0,-22.410722301709207,0.0,0.0,0.0,0.0,0.0,0.0
GO:0035239,tube morphogenesis,-2.7974545912191777,0.0,-4.171821353346262,-5.954740677269021,-4.405725386036953,0.0,-3.0173263393923655,-4.3337519186470175
GO:0008285,negative regulation of cell population proliferation,-3.7818996067898865,0.0,-2.536976607734064,-2.4481265155275582,-8.001779831211945,0.0,0.0,-2.6770361242636853
GO:0007167,enzyme-linked receptor protein signaling pathway,-10.457363918291,0.0,-2.402024576715913,-2.3301661167487118,0.0,0.0,0.0,-3.414720074334719
R-HSA-5653656,Vesicle-mediated transport,0.0,-3.3164703931211155,0.0,-3.565414282769637,-2.3527925594672183,0.0,-6.445356645690874,-7.859985573464323
R-HSA-1236975,Antigen processing-Cross presentation,0.0,0.0,0.0,0.0,-20.097188762650923,0.0,0.0,0.0
hsa05169,Epstein-Barr virus infection,0.0,0.0,0.0,0.0,-22.72946418381659,0.0,0.0,0.0
M5913,HALLMARK INTERFERON GAMMA RESPONSE,0.0,0.0,0.0,0.0,-24.231106092333114,-2.378698155484292,0.0,0.0
M5890,HALLMARK TNFA SIGNALING VIA NFKB,0.0,0.0,0.0,0.0,-30.03020326587647,-4.0254855116877115,0.0,-2.444620782630837
R-HSA-1280215,Cytokine Signaling in Immune system,0.0,0.0,0.0,-2.470039279166617,-32.20435720589138,-13.130535533029445,0.0,0.0
GO:0045785,positive regulation of cell adhesion,-2.867545256001768,0.0,0.0,-2.508609247757111,-10.222972234101245,-4.262238329826159,0.0,0.0
