GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0040011,locomotion,-3.5416474665497377,0.0,-2.8401137178050395,-4.038228036238125,-6.602282579197975,-5.890637649572464,0.0,-2.1594598335845028
GO:0016032,viral process,0.0,0.0,0.0,-2.3316517674590047,-3.643674331031794,-4.955857576074309,0.0,-2.91076454019996
GO:0044419,biological process involved in interspecies interaction between organisms,-3.380241254221907,-2.2388642136446597,0.0,-2.7508329854285587,-11.962010716757845,-10.682793265731439,0.0,0.0
GO:0051179,localization,-6.395743345793186,-8.549010951376472,-4.454959283096354,-3.4070269951930445,-4.887934248703589,-4.121365422202642,-10.573266934033914,-9.500984497730236
GO:0008152,metabolic process,-9.232471097883298,-9.908278859583545,-3.5530852231954073,-3.8238852657567826,-7.520075861953987,-4.2863588323979975,-11.8846066694035,-7.531676789572739
GO:0009987,cellular process,-6.484960855355353,-6.344445478129842,-5.647926652040401,-3.23005331577697,-5.285467442337298,-4.501690245160761,-7.058802712971148,-5.788037940980134
GO:0050896,response to stimulus,-10.457363918291,-7.036723759568025,-3.27298467874857,-5.2206484231832055,-19.421414119329803,-7.283374577074769,-8.254024902440829,-5.148461867946635
GO:0048519,negative regulation of biological process,-5.230704660031517,-4.26737569586459,-3.222035956722275,-5.637144809745075,-8.001779831211945,-2.8452655160275797,-3.387069249402791,-2.6770361242636853
GO:0065007,biological regulation,-6.19487420078293,-8.966779990227447,-5.0786593271439955,-3.0924231709107537,-5.70214864411673,-2.2155844839946592,-4.633040017574971,-2.8382214075192747
GO:0032502,developmental process,-5.741027560153799,-4.664147648744205,-5.069058893254005,-5.954740677269021,-5.061811517277175,-2.772080013655033,-5.489832780583996,-4.342240770823853
GO:0032501,multicellular organismal process,-5.91111444576307,-6.2480481777529135,-3.356901468404301,-2.341554327805474,-8.675659671089578,-6.622689664511212,-4.164988108224058,-2.401166423382891
GO:0050789,regulation of biological process,-5.9737628748968525,-7.141598827697364,-3.9644353342172356,-3.357714962552592,-9.198547706010286,-6.8929045507312825,-3.66340711084185,-2.267683795773869
GO:0048518,positive regulation of biological process,-5.005857337191134,-4.758065587415358,-4.721895782854786,-3.199385888990038,-10.222972234101245,-6.570998456488033,-4.185372124972148,-2.6477646755704995
GO:0002376,immune system process,-2.5870260257816096,-3.9088909680175177,-3.8123211997992343,-2.620508891184954,-14.201448146826284,-7.178883672015331,-2.0518417241692566,-2.6957991594333697
GO:0040007,growth,-4.734020455380588,0.0,0.0,0.0,0.0,0.0,-2.9141290392138637,-4.686035220254902
GO:0042592,homeostatic process,-4.1947802041479685,-5.859745934894478,-2.8899086616522913,0.0,-2.4734705522070533,0.0,-3.4989279007239023,-3.031334583678635
GO:0043473,pigmentation,0.0,0.0,0.0,0.0,0.0,-2.620037554358332,0.0,0.0
GO:0022414,reproductive process,-2.4370257098733337,-2.2619779597706158,0.0,0.0,0.0,-2.7129727781414616,0.0,0.0
GO:0098754,detoxification,0.0,-4.2237517056815195,0.0,0.0,0.0,0.0,0.0,0.0
GO:0048511,rhythmic process,0.0,0.0,0.0,0.0,-2.096557522017796,0.0,-2.370465256354871,0.0
