Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0006631,fatty acid metabolic process,19_GO:0008152 metabolic process,-9.8,7,9.7,30286,324,242,18,7.4,1.7,38|224|1384|2109|3030|4594|5468|6342|8309|10994|11000|51084|51390|55902|79777|80221|80724|376497,ACAT1|ALDH3A2|CRAT|ETFB|HADHA|MMUT|PPARG|SCP2|ACOX2|ILVBL|SLC27A3|CRYL1|AIG1|ACSS2|ACBD4|ACSF2|ACAD10|SLC27A1,-7.8,down_common_genes
GO Biological Processes,19,GO:0019752,carboxylic acid metabolic process,19_GO:0008152 metabolic process,-8.9,4.1,8,30286,789,242,26,11,2,38|224|275|594|1384|2109|3030|4048|4594|5213|5468|6342|8309|10491|10994|11000|51084|51390|55753|55902|79777|80221|80724|256987|376497|728294,ACAT1|ALDH3A2|AMT|BCKDHB|CRAT|ETFB|HADHA|LTA4H|MMUT|PFKM|PPARG|SCP2|ACOX2|CRTAP|ILVBL|SLC27A3|CRYL1|AIG1|OGDHL|ACSS2|ACBD4|ACSF2|ACAD10|SERINC5|SLC27A1|D2HGDH,-7,down_common_genes
GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-8.3,4,7.6,30286,785,242,25,10,2,20|38|210|594|678|847|1027|3030|4048|4303|5139|5164|5166|5468|7049|7067|7068|10370|10628|11331|25828|27250|55667|143686|376497,ABCA2|ACAT1|ALAD|BCKDHB|ZFP36L2|CAT|CDKN1B|HADHA|LTA4H|FOXO4|PDE3A|PDK2|PDK4|PPARG|TGFBR3|THRA|THRB|CITED2|TXNIP|PHB2|TXN2|PDCD4|DENND4C|SESN3|SLC27A1,-6.4,down_common_genes
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-8.1,4.8,7.9,30286,520,242,20,8.3,1.8,38|224|1384|2109|3030|4594|5213|5468|6342|8309|10994|11000|51084|51390|55753|55902|79777|80221|80724|376497,ACAT1|ALDH3A2|CRAT|ETFB|HADHA|MMUT|PFKM|PPARG|SCP2|ACOX2|ILVBL|SLC27A3|CRYL1|AIG1|OGDHL|ACSS2|ACBD4|ACSF2|ACAD10|SLC27A1,-6.2,down_common_genes
Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,,-7.9,4,7.4,30286,757,242,24,9.9,1.9,38|224|1384|3030|3294|4048|4594|5468|5867|6342|8309|8895|9791|11000|23171|30815|51170|55304|79603|79777|80221|80724|81579|376497,ACAT1|ALDH3A2|CRAT|HADHA|HSD17B2|LTA4H|MMUT|PPARG|RAB4A|SCP2|ACOX2|CPNE3|PTDSS1|SLC27A3|GPD1L|ST6GALNAC6|HSD17B11|SPTLC3|CERS4|ACBD4|ACSF2|ACAD10|PLA2G12A|SLC27A1,-6.1,down_common_genes
GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-7.5,4.3,7.4,30286,614,242,21,8.7,1.8,1288|2064|4035|4054|4303|5164|5166|5468|7048|7049|7301|7867|8895|9372|9702|10370|10628|23767|23770|27250|51196,COL4A6|ERBB2|LRP1|LTBP3|FOXO4|PDK2|PDK4|PPARG|TGFBR2|TGFBR3|TYRO3|MAPKAPK3|CPNE3|ZFYVE9|CEP57|CITED2|TXNIP|FLRT3|FKBP8|PDCD4|PLCE1,-5.7,down_common_genes
GO Biological Processes,19,GO:0072329,monocarboxylic acid catabolic process,19_GO:0008152 metabolic process,-7.5,11,9.5,30286,115,242,10,4.1,1.3,38|1384|2109|3030|6342|8309|10994|51084|51390|80724,ACAT1|CRAT|ETFB|HADHA|SCP2|ACOX2|ILVBL|CRYL1|AIG1|ACAD10,-5.7,down_common_genes
GO Biological Processes,19,GO:0009062,fatty acid catabolic process,19_GO:0008152 metabolic process,-7.3,13,9.8,30286,90,242,9,3.7,1.2,38|1384|2109|3030|6342|8309|10994|51390|80724,ACAT1|CRAT|ETFB|HADHA|SCP2|ACOX2|ILVBL|AIG1|ACAD10,-5.6,down_common_genes
WikiPathways,27,WP107,Translation factors,,-6.8,18,10,30286,50,242,7,2.9,1.1,1915|1937|1938|1974|1975|3646|8664,EEF1A1|EEF1G|EEF2|EIF4A2|EIF4B|EIF3E|EIF3D,-5.1,down_common_genes
GO Biological Processes,19,GO:0044282,small molecule catabolic process,19_GO:0008152 metabolic process,-6.7,5.3,7.3,30286,352,242,15,6.2,1.6,38|275|594|1384|2109|3030|4835|5213|6342|8309|10994|51084|51390|80724|130589,ACAT1|AMT|BCKDHB|CRAT|ETFB|HADHA|NQO2|PFKM|SCP2|ACOX2|ILVBL|CRYL1|AIG1|ACAD10|GALM,-5,down_common_genes
Reactome Gene Sets,6,R-HSA-8978868,Fatty acid metabolism,,-6.7,7.8,8.1,30286,176,242,11,4.5,1.3,224|1384|3030|4048|4594|6342|8309|11000|79777|80221|80724,ALDH3A2|CRAT|HADHA|LTA4H|MMUT|SCP2|ACOX2|SLC27A3|ACBD4|ACSF2|ACAD10,-5,down_common_genes
WikiPathways,27,WP2882,Nuclear receptors meta pathway,,-6.6,5.6,7.3,30286,314,242,14,5.8,1.5,645|1027|2512|2878|5166|6342|6594|7048|7049|10252|66035|114112|121512|376497,BLVRB|CDKN1B|FTL|GPX3|PDK4|SCP2|SMARCA1|TGFBR2|TGFBR3|SPRY1|SLC2A11|TXNRD3|FGD4|SLC27A1,-4.9,down_common_genes
GO Biological Processes,19,GO:0019395,fatty acid oxidation,19_GO:0008152 metabolic process,-6.5,12,9.2,30286,81,242,8,3.3,1.1,38|1384|2109|3030|6342|8309|10994|80724,ACAT1|CRAT|ETFB|HADHA|SCP2|ACOX2|ILVBL|ACAD10,-4.9,down_common_genes
GO Biological Processes,19,GO:1902532,negative regulation of intracellular signal transduction,19_GO:0048519 negative regulation of biological process,-6.5,4,6.7,30286,591,242,19,7.9,1.7,348|2122|2909|3476|4035|5139|5468|5859|7049|10252|10347|10399|23171|27250|57447|64798|94134|143686|154043,APOE|MECOM|ARHGAP35|IGBP1|LRP1|PDE3A|PPARG|QARS1|TGFBR3|SPRY1|ABCA7|RACK1|GPD1L|PDCD4|NDRG2|DEPTOR|ARHGAP12|SESN3|CNKSR3,-4.8,down_common_genes
GO Biological Processes,19,GO:0031400,negative regulation of protein modification process,19_GO:0048519 negative regulation of biological process,-6.4,4.7,6.9,30286,426,242,16,6.6,1.6,348|1027|5468|5859|6640|10217|10252|10362|10399|10491|23171|23770|27250|55074|64798|154043,APOE|CDKN1B|PPARG|QARS1|SNTA1|CTDSPL|SPRY1|HMG20B|RACK1|CRTAP|GPD1L|FKBP8|PDCD4|OXR1|DEPTOR|CNKSR3,-4.8,down_common_genes
GO Biological Processes,19,GO:0046395,carboxylic acid catabolic process,19_GO:0008152 metabolic process,-6.4,6.5,7.5,30286,232,242,12,5,1.4,38|275|594|1384|2109|3030|6342|8309|10994|51084|51390|80724,ACAT1|AMT|BCKDHB|CRAT|ETFB|HADHA|SCP2|ACOX2|ILVBL|CRYL1|AIG1|ACAD10,-4.7,down_common_genes
GO Biological Processes,19,GO:0016054,organic acid catabolic process,19_GO:0008152 metabolic process,-6.4,6.5,7.5,30286,232,242,12,5,1.4,38|275|594|1384|2109|3030|6342|8309|10994|51084|51390|80724,ACAT1|AMT|BCKDHB|CRAT|ETFB|HADHA|SCP2|ACOX2|ILVBL|CRYL1|AIG1|ACAD10,-4.7,down_common_genes
GO Biological Processes,19,GO:0043604,amide biosynthetic process,19_GO:0008152 metabolic process,-6.4,4.2,6.7,30286,542,242,18,7.4,1.7,38|1915|1937|1938|1939|1974|1975|3646|4594|5859|8664|10399|30815|55005|55304|55902|79603|84311,ACAT1|EEF1A1|EEF1G|EEF2|EIF2D|EIF4A2|EIF4B|EIF3E|MMUT|QARS1|EIF3D|RACK1|ST6GALNAC6|RMND1|SPTLC3|ACSS2|CERS4|MRPL45,-4.7,down_common_genes
GO Biological Processes,19,GO:0006635,fatty acid beta-oxidation,19_GO:0008152 metabolic process,-6.3,15,9.6,30286,59,242,7,2.9,1.1,38|1384|2109|3030|6342|8309|80724,ACAT1|CRAT|ETFB|HADHA|SCP2|ACOX2|ACAD10,-4.7,down_common_genes
GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-6.3,4.4,6.7,30286,488,242,17,7,1.6,678|847|1915|2064|4054|5139|5468|7048|7049|8895|9372|9702|10370|10399|23767|23770|27250,ZFP36L2|CAT|EEF1A1|ERBB2|LTBP3|PDE3A|PPARG|TGFBR2|TGFBR3|CPNE3|ZFYVE9|CEP57|CITED2|RACK1|FLRT3|FKBP8|PDCD4,-4.7,down_common_genes
GO Biological Processes,19,GO:0034440,lipid oxidation,19_GO:0008152 metabolic process,-6.3,12,8.8,30286,87,242,8,3.3,1.1,38|1384|2109|3030|6342|8309|10994|80724,ACAT1|CRAT|ETFB|HADHA|SCP2|ACOX2|ILVBL|ACAD10,-4.7,down_common_genes
Hallmark Gene Sets,23,M5905,HALLMARK ADIPOGENESIS,,-6.2,6.9,7.5,30286,200,242,11,4.5,1.3,348|847|1384|2109|2878|5468|6342|9936|27250|134147|376497,APOE|CAT|CRAT|ETFB|GPX3|PPARG|SCP2|CD302|PDCD4|CMBL|SLC27A1,-4.6,down_common_genes
GO Biological Processes,19,GO:0016042,lipid catabolic process,19_GO:0008152 metabolic process,-6.1,5.6,7.1,30286,291,242,13,5.4,1.4,38|1384|2109|3030|6342|8309|10994|51170|51196|51390|80724|81579|113026,ACAT1|CRAT|ETFB|HADHA|SCP2|ACOX2|ILVBL|HSD17B11|PLCE1|AIG1|ACAD10|PLA2G12A|PLCD3,-4.5,down_common_genes
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-5.9,4.1,6.4,30286,520,242,17,7,1.6,678|847|1915|2064|4054|5139|5468|7048|7049|8895|9372|9702|10370|10399|23767|23770|27250,ZFP36L2|CAT|EEF1A1|ERBB2|LTBP3|PDE3A|PPARG|TGFBR2|TGFBR3|CPNE3|ZFYVE9|CEP57|CITED2|RACK1|FLRT3|FKBP8|PDCD4,-4.4,down_common_genes
GO Biological Processes,19,GO:0043409,negative regulation of MAPK cascade,19_GO:0048519 negative regulation of biological process,-5.9,7.4,7.5,30286,170,242,10,4.1,1.3,348|2122|3476|5468|5859|10252|10347|27250|57447|154043,APOE|MECOM|IGBP1|PPARG|QARS1|SPRY1|ABCA7|PDCD4|NDRG2|CNKSR3,-4.3,down_common_genes
GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,19_GO:0008152 metabolic process,-5.9,4.6,6.5,30286,410,242,15,6.2,1.6,38|847|2109|2548|4705|4835|5213|5256|5836|7381|7388|8574|55753|55902|90673,ACAT1|CAT|ETFB|GAA|NDUFA10|NQO2|PFKM|PHKA2|PYGL|UQCRB|UQCRH|AKR7A2|OGDHL|ACSS2|PPP1R3E,-4.3,down_common_genes
GO Biological Processes,19,GO:0042326,negative regulation of phosphorylation,19_GO:0048519 negative regulation of biological process,-5.7,5.1,6.7,30286,316,242,13,5.4,1.4,348|1027|5468|5525|5859|10217|10252|10399|23171|23770|27250|64798|154043,APOE|CDKN1B|PPARG|PPP2R5A|QARS1|CTDSPL|SPRY1|RACK1|GPD1L|FKBP8|PDCD4|DEPTOR|CNKSR3,-4.2,down_common_genes
GO Biological Processes,19,GO:0060938,epicardium-derived cardiac fibroblast cell differentiation,19_GO:0032502 developmental process,-5.7,94,17,30286,4,242,3,1.2,0.71,7049|10252|27250,TGFBR3|SPRY1|PDCD4,-4.2,down_common_genes
GO Biological Processes,19,GO:0060939,epicardium-derived cardiac fibroblast cell development,19_GO:0032502 developmental process,-5.7,94,17,30286,4,242,3,1.2,0.71,7049|10252|27250,TGFBR3|SPRY1|PDCD4,-4.2,down_common_genes
GO Biological Processes,19,GO:0045936,negative regulation of phosphate metabolic process,19_GO:0048519 negative regulation of biological process,-5.6,4.6,6.4,30286,378,242,14,5.8,1.5,348|1027|5468|5525|5859|10217|10252|10399|23171|23770|27250|64798|154043|376497,APOE|CDKN1B|PPARG|PPP2R5A|QARS1|CTDSPL|SPRY1|RACK1|GPD1L|FKBP8|PDCD4|DEPTOR|CNKSR3|SLC27A1,-4.1,down_common_genes
GO Biological Processes,19,GO:0010563,negative regulation of phosphorus metabolic process,19_GO:0048519 negative regulation of biological process,-5.6,4.6,6.4,30286,379,242,14,5.8,1.5,348|1027|5468|5525|5859|10217|10252|10399|23171|23770|27250|64798|154043|376497,APOE|CDKN1B|PPARG|PPP2R5A|QARS1|CTDSPL|SPRY1|RACK1|GPD1L|FKBP8|PDCD4|DEPTOR|CNKSR3|SLC27A1,-4.1,down_common_genes
Reactome Gene Sets,6,R-HSA-390918,Peroxisomal lipid metabolism,,-5.5,22,9.9,30286,29,242,5,2.1,0.91,224|1384|6342|8309|79777,ALDH3A2|CRAT|SCP2|ACOX2|ACBD4,-4,down_common_genes
KEGG Pathway,24,hsa00630,Glyoxylate and dicarboxylate metabolism,,-5.4,21,9.8,30286,30,242,5,2.1,0.91,38|275|847|4594|55902,ACAT1|AMT|CAT|MMUT|ACSS2,-3.9,down_common_genes
GO Biological Processes,19,GO:0051338,regulation of transferase activity,19_GO:0065007 biological regulation,-5.3,3.5,5.8,30286,639,242,18,7.4,1.7,348|900|1027|1915|1974|2064|5468|5525|5859|5934|7048|7301|10252|10961|11331|27250|64798|256987,APOE|CCNG1|CDKN1B|EEF1A1|EIF4A2|ERBB2|PPARG|PPP2R5A|QARS1|RBL2|TGFBR2|TYRO3|SPRY1|ERP29|PHB2|PDCD4|DEPTOR|SERINC5,-3.9,down_common_genes
GO Biological Processes,19,GO:0060936,cardiac fibroblast cell development,19_GO:0032502 developmental process,-5.3,75,15,30286,5,242,3,1.2,0.71,7049|10252|27250,TGFBR3|SPRY1|PDCD4,-3.8,down_common_genes
GO Biological Processes,19,GO:0060935,cardiac fibroblast cell differentiation,19_GO:0032502 developmental process,-5.3,75,15,30286,5,242,3,1.2,0.71,7049|10252|27250,TGFBR3|SPRY1|PDCD4,-3.8,down_common_genes
GO Biological Processes,19,GO:0001933,negative regulation of protein phosphorylation,19_GO:0048519 negative regulation of biological process,-5.3,5.1,6.3,30286,296,242,12,5,1.4,348|1027|5468|5859|10217|10252|10399|23171|23770|27250|64798|154043,APOE|CDKN1B|PPARG|QARS1|CTDSPL|SPRY1|RACK1|GPD1L|FKBP8|PDCD4|DEPTOR|CNKSR3,-3.8,down_common_genes
GO Biological Processes,19,GO:0008610,lipid biosynthetic process,19_GO:0008152 metabolic process,-5.2,3.6,5.7,30286,593,242,17,7,1.6,20|38|3294|6342|8309|9791|30815|51170|51196|55304|55902|79603|80235|84302|93210|256987|376497,ABCA2|ACAT1|HSD17B2|SCP2|ACOX2|PTDSS1|ST6GALNAC6|HSD17B11|PLCE1|SPTLC3|ACSS2|CERS4|PIGZ|PGAP4|PGAP3|SERINC5|SLC27A1,-3.7,down_common_genes
GO Biological Processes,19,GO:0043549,regulation of kinase activity,19_GO:0008152 metabolic process,-5.2,3.8,5.8,30286,532,242,16,6.6,1.6,348|900|1027|1915|2064|5468|5525|5859|5934|7048|7301|10252|10961|11331|27250|64798,APOE|CCNG1|CDKN1B|EEF1A1|ERBB2|PPARG|PPP2R5A|QARS1|RBL2|TGFBR2|TYRO3|SPRY1|ERP29|PHB2|PDCD4|DEPTOR,-3.7,down_common_genes
WikiPathways,27,WP5323,Fatty acids and lipoproteins transport in hepatocytes,,-5.1,18,9,30286,35,242,5,2.1,0.91,348|4035|11000|29116|376497,APOE|LRP1|SLC27A3|MYLIP|SLC27A1,-3.7,down_common_genes
GO Biological Processes,19,GO:0032803,regulation of low-density lipoprotein particle receptor catabolic process,19_GO:0008152 metabolic process,-5,63,14,30286,6,242,3,1.2,0.71,20|348|29116,ABCA2|APOE|MYLIP,-3.6,down_common_genes
GO Biological Processes,19,GO:0015980,energy derivation by oxidation of organic compounds,19_GO:0008152 metabolic process,-5,5.2,6.2,30286,264,242,11,4.5,1.3,847|2109|2548|4705|5213|5256|5836|7381|7388|55753|90673,CAT|ETFB|GAA|NDUFA10|PFKM|PHKA2|PYGL|UQCRB|UQCRH|OGDHL|PPP1R3E,-3.6,down_common_genes
GO Biological Processes,19,GO:0006518,peptide metabolic process,19_GO:0008152 metabolic process,-5,3.6,5.6,30286,551,242,16,6.6,1.6,1200|1915|1937|1938|1939|1974|1975|3646|4048|5859|8664|10347|10399|23621|55005|84311,TPP1|EEF1A1|EEF1G|EEF2|EIF2D|EIF4A2|EIF4B|EIF3E|LTA4H|QARS1|EIF3D|ABCA7|RACK1|BACE1|RMND1|MRPL45,-3.6,down_common_genes
