_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,CHILD_GO_down_common_genes,CHILD_GO_down_epi_only,CHILD_GO_down_mes_only,CHILD_GO_down_mes_up_epi,CHILD_GO_up_common_genes,CHILD_GO_up_epi_only,CHILD_GO_up_mes_down_epi,CHILD_GO_up_mes_only
1,1,1,1,1,1,1,1,-9.794807347382253,-9.703376798944225,-3.759994883801128,-3.5886548026871,-17.903778493501175,-4.354487842090006,-17.693128288615902,-7.286643809343873,GO:0008152,metabolic process,M11111111,8,GO:0006631 fatty acid metabolic process,GO:1901615 organic hydroxy compound metabolic process,GO:0006110 regulation of glycolytic process,GO:0006511 ubiquitin-dependent protein catabolic process,GO:0010498 proteasomal protein catabolic process,GO:0006468 protein phosphorylation,GO:0051604 protein maturation,GO:0034660 ncRNA metabolic process
1,1,1,1,1,1,1,1,-8.276664717211156,-4.911802681322701,-6.184532597473398,-4.272887761986305,-14.912991018748455,-6.765904263771042,-16.484566239153324,-7.904243614173533,GO:0050896,response to stimulus,M11111111,8,GO:0009725 response to hormone,GO:0061041 regulation of wound healing,GO:0048013 ephrin receptor signaling pathway,GO:0030111 regulation of Wnt signaling pathway,GO:0043122 regulation of canonical NF-kappaB signal transduction,GO:0046328 regulation of JNK cascade,GO:0034976 response to endoplasmic reticulum stress,GO:0071345 cellular response to cytokine stimulus
1,1,1,1,1,1,1,1,-6.4660200500797504,-4.42764341403062,-2.131203971483717,-8.165888153624534,-5.930705371926902,-3.766106618335328,-3.4547255896022944,-4.718688893009257,GO:0048519,negative regulation of biological process,M11111111,8,GO:1902532 negative regulation of intracellular signal transduction,GO:0050819 negative regulation of coagulation,GO:0030835 negative regulation of actin filament depolymerization,GO:0051129 negative regulation of cellular component organization,GO:0060546 negative regulation of necroptotic process,GO:0010812 negative regulation of cell-substrate adhesion,GO:0032926 negative regulation of activin receptor signaling pathway,GO:0002832 negative regulation of response to biotic stimulus
1,1,1,1,1,1,1,1,-5.698157389834687,-5.583501225961924,-5.910838505876288,-7.530165722673949,-7.987870093893714,-7.367014651179613,-5.236843101298855,-2.8830844097554045,GO:0032502,developmental process,M11111111,8,GO:0060938 epicardium-derived cardiac fibroblast cell differentiation,GO:0030855 epithelial cell differentiation,GO:0001501 skeletal system development,GO:0007420 brain development,GO:0035239 tube morphogenesis,GO:0031175 neuron projection development,GO:0060348 bone development,GO:0003177 pulmonary valve development
1,1,1,1,1,1,1,1,-5.347622073067901,-6.213576121920707,-3.572216891406724,-5.818877432443903,-5.4453144368131925,-2.9041063815048807,-4.894543662841919,-5.473124267898627,GO:0065007,biological regulation,M11111111,8,GO:0051338 regulation of transferase activity,GO:0010817 regulation of hormone levels,GO:0050803 regulation of synapse structure or activity,GO:0008361 regulation of cell size,GO:0044092 negative regulation of molecular function,GO:0090630 activation of GTPase activity,GO:0010817 regulation of hormone levels,GO:0051098 regulation of binding
1,1,1,1,1,1,1,1,-4.8411719022546515,-8.603679721997429,-4.304953877392201,-4.238964119112947,-4.791630589134726,-4.241827647231834,-6.536043055266566,-3.6980423772604083,GO:0051179,localization,M11111111,8,GO:0032373 positive regulation of sterol transport,GO:0015711 organic anion transport,GO:0006898 receptor-mediated endocytosis,GO:0051640 organelle localization,"GO:0030970 retrograde protein transport, ER to cytosol",GO:0008298 intracellular mRNA localization,GO:0051046 regulation of secretion,GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport
1,1,1,1,1,1,1,1,-4.56233294731019,-4.510489375072167,-5.233347536402523,-3.423905854501541,-11.03995751567972,-6.018302447826119,-4.189396434727751,-9.202164223195041,GO:0048518,positive regulation of biological process,M11111111,8,GO:1900223 positive regulation of amyloid-beta clearance,GO:0045834 positive regulation of lipid metabolic process,GO:0044089 positive regulation of cellular component biogenesis,GO:0031346 positive regulation of cell projection organization,GO:0031401 positive regulation of protein modification process,GO:0046330 positive regulation of JNK cascade,GO:0106120 positive regulation of sterol biosynthetic process,GO:0001819 positive regulation of cytokine production
1,1,1,1,1,1,0,1,-4.481248270537079,-4.761774816451825,-6.405778982819063,-8.584775209004446,-6.245116180476997,-5.789490795388686,0.0,-4.071990030397159,GO:0050789,regulation of biological process,M11111101,7,GO:1901990 regulation of mitotic cell cycle phase transition,GO:0032530 regulation of microvillus organization,GO:0120035 regulation of plasma membrane bounded cell projection organization,GO:0051493 regulation of cytoskeleton organization,GO:0060544 regulation of necroptotic process,GO:0120035 regulation of plasma membrane bounded cell projection organization,,GO:1903037 regulation of leukocyte cell-cell adhesion
1,1,1,1,1,1,1,1,-4.177127370425735,-6.14929896984002,-3.750235768937878,-2.871256166308364,-4.580872372124096,-2.662023842877853,-3.7181436441709477,-6.655420443339465,GO:0032501,multicellular organismal process,M11111111,8,GO:0003013 circulatory system process,GO:0022600 digestive system process,GO:0003015 heart process,GO:0001503 ossification,GO:0001775 cell activation,GO:0001775 cell activation,GO:0032908 regulation of transforming growth factor beta1 production,GO:0032649 regulation of type II interferon production
1,1,1,0,1,0,1,0,-2.7707566490647713,-5.923882239075127,-3.2650895623547997,0.0,-4.671347716307779,0.0,-7.241968735931574,0.0,GO:0042592,homeostatic process,M11101010,5,GO:0042593 glucose homeostasis,GO:0048871 multicellular organismal-level homeostasis,GO:0048871 multicellular organismal-level homeostasis,,GO:0001776 leukocyte homeostasis,,GO:0050801 monoatomic ion homeostasis,
