_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,-34.367267012026275,-2.9376620928589303,0.0,-5.424054709169224,M5890,M00001101,3,0,Hallmark Gene Sets,23,HALLMARK TNFA SIGNALING VIA NFKB,,-34.367267012026275,19.925,25.276557394067062,30286,200,266,35,13.157894736842104,2.0726098470561847,329|330|1326|1435|1959|2919|3371|3383|3624|3726|3976|4792|5054|5329|5734|5791|6364|6372|6776|7127|7128|7185|8870|9308|10318|10950|11182|23258|23586|24145|25816|79693|80149|80176|127544,BIRC2|BIRC3|MAP3K8|CSF1|EGR2|CXCL1|TNC|ICAM1|INHBA|JUNB|LIF|NFKBIA|SERPINE1|PLAUR|PTGER4|PTPRE|CCL20|CXCL6|STAT5A|TNFAIP2|TNFAIP3|TRAF1|IER3|CD83|TNIP1|BTG3|SLC2A6|DENND5A|RIGI|PANX1|TNFAIP8|YRDC|ZC3H12A|SPSB1|RNF19B,-30.07776724615242,0,1.0,1.0,1.0,-34.367267012026275,19.925,
0,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,-32.59180208333233,-5.817965872087153,0.0,-13.387830473140578,R-HSA-1280215,M00001101,3,0,Reactome Gene Sets,6,Cytokine Signaling in Immune system,,-32.59180208333233,7.967102871683025,18.629523701161094,30286,786,266,55,20.67669172932331,2.4831337768271347,329|330|829|1326|1435|2633|2919|3106|3135|3383|3551|3589|3600|3656|3665|3726|3976|4478|4792|4793|4893|5293|5519|5685|5687|5688|5690|5691|5698|5701|5705|5707|5709|5713|5717|5718|5719|6364|6597|6776|6868|7186|7187|7323|9235|9246|9261|9636|10148|10213|23586|24138|81603|92610|146433,BIRC2|BIRC3|CAPZA1|MAP3K8|CSF1|GBP1|CXCL1|HLA-B|HLA-G|ICAM1|IKBKB|IL11|IL15|IRAK2|IRF7|JUNB|LIF|MSN|NFKBIA|NFKBIB|NRAS|PIK3CD|PPP2R1B|PSMA4|PSMA6|PSMA7|PSMB2|PSMB3|PSMB9|PSMC2|PSMC5|PSMD1|PSMD3|PSMD7|PSMD11|PSMD12|PSMD13|CCL20|SMARCA4|STAT5A|ADAM17|TRAF2|TRAF3|UBE2D3|IL32|UBE2L6|MAPKAPK2|ISG15|EBI3|PSMD14|RIGI|IFIT5|TRIM8|TIFA|IL34,-28.603332313122458,0,2.0,1.0,1.0,-32.59180208333233,39.60248447204969,
0,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,-26.623254722035774,-3.3505700390204627,0.0,-3.179487425145616,R-HSA-449147,M00001101,3,0,Reactome Gene Sets,6,Signaling by Interleukins,,-26.623254722035774,9.62851102385986,17.803805944982447,30286,473,266,40,15.037593984962406,2.1916023643574993,829|1326|1435|2919|3383|3551|3589|3600|3656|3726|3976|4478|4792|4793|5293|5519|5685|5687|5688|5690|5691|5698|5701|5705|5707|5709|5713|5717|5718|5719|6364|6597|6776|7186|9235|9261|10148|10213|92610|146433,CAPZA1|MAP3K8|CSF1|CXCL1|ICAM1|IKBKB|IL11|IL15|IRAK2|JUNB|LIF|MSN|NFKBIA|NFKBIB|PIK3CD|PPP2R1B|PSMA4|PSMA6|PSMA7|PSMB2|PSMB3|PSMB9|PSMC2|PSMC5|PSMD1|PSMD3|PSMD7|PSMD11|PSMD12|PSMD13|CCL20|SMARCA4|STAT5A|TRAF2|IL32|MAPKAPK2|EBI3|PSMD14|TIFA|IL34,-22.81087621088158,0,2.0,0.0,0.0,-32.59180208333233,39.60248447204969,
0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,-10.495330538145696,0.0,-6.9042467004631165,-26.329367053363075,M5913,M00001011,3,0,Hallmark Gene Sets,23,HALLMARK INTERFERON GAMMA RESPONSE,,-26.329367053363075,15.773958333333333,20.5396729724319,30286,200,288,30,10.416666666666666,1.8000383119208092,103|355|567|834|3433|3434|3437|3717|4502|5142|5359|5699|5720|6773|7130|10379|10410|10561|10964|11274|23070|29126|55008|55072|57674|79132|80830|81894|87178|219285,ADAR|FAS|B2M|CASP1|IFIT2|IFIT1|IFIT3|JAK2|MT2A|PDE4B|PLSCR1|PSMB10|PSME1|STAT2|TNFAIP6|IRF9|IFITM3|IFI44|IFI44L|USP18|CMTR1|CD274|HERC6|RNF31|RNF213|DHX58|APOL6|SLC25A28|PNPT1|SAMD9L,-22.64192727881718,0,3.0,1.0,1.0,-26.329367053363075,24.934779495990835,
0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,-5.629676072292206,0.0,-5.817104692767401,-25.110663854749134,M5911,M00001011,3,0,Hallmark Gene Sets,23,HALLMARK INTERFERON ALPHA RESPONSE,,-25.110663854749134,24.934779495990835,23.134217626257318,30286,97,288,23,7.986111111111111,1.597342780943926,103|567|834|961|3433|3437|5359|5720|6773|10379|10410|10561|10964|11274|23070|54809|55008|55072|79132|81894|83666|87178|219285,ADAR|B2M|CASP1|CD47|IFIT2|IFIT3|PLSCR1|PSME1|STAT2|IRF9|IFITM3|IFI44|IFI44L|USP18|CMTR1|SAMD9|HERC6|RNF31|DHX58|SLC25A28|PARP9|PNPT1|SAMD9L,-21.520134093211297,0,3.0,0.0,0.0,-26.329367053363075,24.934779495990835,
0,0,0,1,1,1,1,0,0.0,0.0,0.0,-3.8888942172684366,-19.595506196767918,-2.9376620928589303,-3.553038678496045,0.0,M5930,M00011110,4,0,Hallmark Gene Sets,23,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,,-24.184118920107625,4.3853031674208145,13.476361390844238,30286,200,2210,64,2.8959276018099547,0.3567109451909718,333|355|649|800|822|1000|1004|1277|1282|1284|1292|1809|1842|2201|2331|2669|2919|3371|3600|3624|3678|3685|3915|3918|4016|4017|4035|4616|4638|4907|5054|5118|5159|5329|5352|5479|5654|5768|6372|6387|6444|6641|6695|6876|7045|7049|7076|7128|7424|7431|7474|7980|8572|9235|10085|10409|22795|23705|25878|25890|50509|64175|79709|115908,APLP1|FAS|BMP1|CALD1|CAPG|CDH2|CDH6|COL1A1|COL4A1|COL4A2|COL6A2|DPYSL3|ECM2|FBN2|FMOD|GEM|CXCL1|TNC|IL15|INHBA|ITGA5|ITGAV|LAMC1|LAMC2|LOXL1|LOXL2|LRP1|GADD45B|MYLK|NT5E|SERPINE1|PCOLCE|PDGFRB|PLAUR|PLOD2|PPIB|HTRA1|QSOX1|CXCL6|CXCL12|SGCD|SNTB1|SPOCK1|TAGLN|TGFBI|TGFBR3|TIMP1|TNFAIP3|VEGFC|VIM|WNT5A|TFPI2|PDLIM4|IL32|EDIL3|BASP1|NID2|CADM1|MXRA5|ABI3BP|COL5A3|P3H1|COLGALT1|CTHRC1,-20.19564914989775,0,4.0,1.0,1.0,-24.184118920107625,4.3853031674208145,
0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,-4.128759092828482,0.0,-22.75919296535834,0.0,M5924,M00001010,2,0,Hallmark Gene Sets,23,HALLMARK MTORC1 SIGNALING,,-22.75919296535834,15.68597609561753,19.049010483606605,30286,200,251,26,10.358565737051793,1.9233899870117022,120|516|821|1717|2181|3157|3309|3638|4074|5033|5211|5230|5352|6184|6713|6781|7167|7184|7494|8615|9415|10437|10682|23753|27230|51109,ADD3|ATP5MC1|CANX|DHCR7|ACSL3|HMGCS1|HSPA5|INSIG1|M6PR|P4HA1|PFKL|PGK1|PLOD2|RPN1|SQLE|STC1|TPI1|HSP90B1|XBP1|USO1|FADS2|IFI30|EBP|SDF2L1|SERP1|RDH11,-19.24784444986813,0,5.0,1.0,1.0,-22.75919296535834,15.68597609561753,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-22.585155225196296,0.0,0.0,0.0,R-HSA-9020702,M00001000,1,0,Reactome Gene Sets,6,Interleukin-1 signaling,,-22.585155225196296,21.78136645962733,21.01732461001755,30286,115,266,22,8.270676691729323,1.6888216920817694,1326|3551|3656|4792|4793|5685|5687|5688|5690|5691|5698|5701|5705|5707|5709|5713|5717|5718|5719|7186|10213|92610,MAP3K8|IKBKB|IRAK2|NFKBIA|NFKBIB|PSMA4|PSMA6|PSMA7|PSMB2|PSMB3|PSMB9|PSMC2|PSMC5|PSMD1|PSMD3|PSMD7|PSMD11|PSMD12|PSMD13|TRAF2|PSMD14|TIFA,-19.140753499336697,0,2.0,0.0,0.0,-32.59180208333233,39.60248447204969,
0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,-21.992881754746065,0.0,0.0,-4.586893446739737,hsa05169,M00001001,2,0,KEGG Pathway,24,Epstein-Barr virus infection,,-21.992881754746065,14.654879773691654,18.329264518086624,30286,202,266,26,9.774436090225564,1.8208318434255613,578|965|3106|3135|3383|3551|3665|4792|4793|5293|5701|5705|5707|5709|5713|5717|5718|5719|7128|7186|7187|8772|9636|10213|11047|23586,BAK1|CD58|HLA-B|HLA-G|ICAM1|IKBKB|IRF7|NFKBIA|NFKBIB|PIK3CD|PSMC2|PSMC5|PSMD1|PSMD3|PSMD7|PSMD11|PSMD12|PSMD13|TNFAIP3|TRAF2|TRAF3|FADD|ISG15|PSMD14|ADRM1|RIGI,-18.606471975864153,0,6.0,1.0,1.0,-21.992881754746065,14.654879773691654,
0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-21.729529621749442,0.0,0.0,0.0,R-HSA-5358346,M00001000,1,0,Reactome Gene Sets,6,Hedgehog ligand biogenesis,,-21.729529621749442,31.529670329670324,23.19389255150539,30286,65,266,18,6.7669172932330826,1.5400670814286606,5685|5687|5688|5690|5691|5698|5701|5705|5707|5709|5713|5717|5718|5719|6868|7415|10213|51009,PSMA4|PSMA6|PSMA7|PSMB2|PSMB3|PSMB9|PSMC2|PSMC5|PSMD1|PSMD3|PSMD7|PSMD11|PSMD12|PSMD13|ADAM17|VCP|PSMD14|DERL2,-18.39427236531491,0,2.0,0.0,0.0,-32.59180208333233,39.60248447204969,
