Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
down_common_genes,GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-11,5.5,9.6,30286,785,168,24,14,2.7,20|38|210|594|678|847|1027|3030|4048|4303|5139|5164|5166|5468|7049|7067|7068|10628|11331|25828|27250|55667|143686|376497,ABCA2|ACAT1|ALAD|BCKDHB|ZFP36L2|CAT|CDKN1B|HADHA|LTA4H|FOXO4|PDE3A|PDK2|PDK4|PPARG|TGFBR3|THRA|THRB|TXNIP|PHB2|TXN2|PDCD4|DENND4C|SESN3|SLC27A1,-9.4
down_common_genes,GO Biological Processes,19,GO:0006631,fatty acid metabolic process,19_GO:0008152 metabolic process,-10,8.9,11,30286,324,168,16,9.5,2.3,38|224|1384|2109|3030|4594|5468|6342|8309|10994|51084|55902|79777|80221|80724|376497,ACAT1|ALDH3A2|CRAT|ETFB|HADHA|MMUT|PPARG|SCP2|ACOX2|ILVBL|CRYL1|ACSS2|ACBD4|ACSF2|ACAD10|SLC27A1,-8.9
down_common_genes,GO Biological Processes,19,GO:0019752,carboxylic acid metabolic process,19_GO:0008152 metabolic process,-10,5.3,9,30286,789,168,23,14,2.7,38|224|275|594|1384|2109|3030|4048|4594|5213|5468|6342|8309|10491|10994|51084|55753|55902|79777|80221|80724|376497|728294,ACAT1|ALDH3A2|AMT|BCKDHB|CRAT|ETFB|HADHA|LTA4H|MMUT|PFKM|PPARG|SCP2|ACOX2|CRTAP|ILVBL|CRYL1|OGDHL|ACSS2|ACBD4|ACSF2|ACAD10|SLC27A1|D2HGDH,-8.6
down_common_genes,GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-9.1,6.2,9,30286,520,168,18,11,2.4,38|224|1384|2109|3030|4594|5213|5468|6342|8309|10994|51084|55753|55902|79777|80221|80724|376497,ACAT1|ALDH3A2|CRAT|ETFB|HADHA|MMUT|PFKM|PPARG|SCP2|ACOX2|ILVBL|CRYL1|OGDHL|ACSS2|ACBD4|ACSF2|ACAD10|SLC27A1,-7.7
down_common_genes,WikiPathways,27,WP2882,Nuclear receptors meta pathway,,-8.6,8,9.4,30286,314,168,14,8.3,2.1,645|1027|2512|2878|5166|6342|6594|7048|7049|10252|66035|114112|121512|376497,BLVRB|CDKN1B|FTL|GPX3|PDK4|SCP2|SMARCA1|TGFBR2|TGFBR3|SPRY1|SLC2A11|TXNRD3|FGD4|SLC27A1,-7.3
down_common_genes,Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,,-8,4.8,7.8,30286,757,168,20,12,2.5,38|224|1384|3030|4048|4594|5468|5867|6342|8309|8895|9791|23171|51170|55304|79777|80221|80724|81579|376497,ACAT1|ALDH3A2|CRAT|HADHA|LTA4H|MMUT|PPARG|RAB4A|SCP2|ACOX2|CPNE3|PTDSS1|GPD1L|HSD17B11|SPTLC3|ACBD4|ACSF2|ACAD10|PLA2G12A|SLC27A1,-6.8
down_common_genes,GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-8,5.3,8,30286,614,168,18,11,2.4,1288|2064|4035|4303|5164|5166|5468|7048|7049|7301|7867|8895|9372|10628|23767|23770|27250|51196,COL4A6|ERBB2|LRP1|FOXO4|PDK2|PDK4|PPARG|TGFBR2|TGFBR3|TYRO3|MAPKAPK3|CPNE3|ZFYVE9|TXNIP|FLRT3|FKBP8|PDCD4|PLCE1,-6.7
down_common_genes,WikiPathways,27,WP107,Translation factors,,-7.9,25,13,30286,50,168,7,4.2,1.5,1915|1937|1938|1974|1975|3646|8664,EEF1A1|EEF1G|EEF2|EIF4A2|EIF4B|EIF3E|EIF3D,-6.7
down_common_genes,GO Biological Processes,19,GO:0072329,monocarboxylic acid catabolic process,19_GO:0008152 metabolic process,-7.8,14,11,30286,115,168,9,5.4,1.7,38|1384|2109|3030|6342|8309|10994|51084|80724,ACAT1|CRAT|ETFB|HADHA|SCP2|ACOX2|ILVBL|CRYL1|ACAD10,-6.5
down_common_genes,GO Biological Processes,19,GO:0019395,fatty acid oxidation,19_GO:0008152 metabolic process,-7.8,18,11,30286,81,168,8,4.8,1.6,38|1384|2109|3030|6342|8309|10994|80724,ACAT1|CRAT|ETFB|HADHA|SCP2|ACOX2|ILVBL|ACAD10,-6.5
