_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,1,0,0,0,0,1,0,0,-42,0,0,0,0,-4.7,0,PGB:00001,M01000010,2,0,PaGenBase,36,Tissue-specific: liver,,-42,8,21,30286,691,388,71,18,2,13|173|259|283|335|336|338|341|350|433|622|1244|1468|1892|2147|2153|2168|2203|2330|2620|2705|2720|3026|3077|3158|3170|3171|3248|3249|3698|4547|5265|5345|5624|5625|5648|5950|5959|6035|6519|6819|7018|7032|7104|7274|7358|7366|8431|9032|9075|9104|10840|11001|11199|23584|27165|29881|29974|51085|54346|63910|79814|92292|127845|145226|164656|196410|256394|257407|284111|388323,AADAC|AFM|AMBP|ANG|APOA1|APOA2|APOB|APOC1|APOH|ASGR2|BDH1|ABCC2|SLC25A10|ECHS1|F2|F5|FABP1|FBP1|FMO5|GAS2|GJB1|GLB1|HABP2|HFE|HMGCS2|FOXA2|FOXA3|HPGD|HPN|ITIH2|MTTP|SERPINA1|SERPINF2|PROC|PRODH|MASP1|RBP4|RDH5|RNASE1|SLC3A1|SULT1C2|TF|TFF2|TM4SF4|TTPA|UGDH|UGT2B15|NR0B2|TM4SF5|CLDN2|RGN|ALDH1L1|SLC27A2|ANXA10|VSIG2|GLS2|NPC1L1|A1CF|MLXIPL|UNC93A|SLC17A9|AGMAT|GLYATL1|GOLT1A|RDH12|TMPRSS6|TMT1B|SERPINA11|C2orf72|SLC13A5|GLTPD2,-38,0
0,1,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,PGB:00058,M01000000,1,0,PaGenBase,36,Cell-specific: HEPG2,,-30,8.8,18,30286,425,388,48,12,1.7,174|259|283|335|338|341|350|364|433|1244|1800|1852|2147|2153|2168|2330|2620|2705|2747|2813|2938|3170|3249|3698|4072|4547|5174|5265|5345|5624|5625|5950|6286|6817|7018|7032|7276|7358|7429|8416|8431|9032|10205|10551|29974|55556|149461|257407,AFP|AMBP|ANG|APOA1|APOB|APOC1|APOH|AQP7|ASGR2|ABCC2|DPEP1|DUSP9|F2|F5|FABP1|FMO5|GAS2|GJB1|GLUD2|GP2|GSTA1|FOXA2|HPN|ITIH2|EPCAM|MTTP|PDZK1|SERPINA1|SERPINF2|PROC|PRODH|RBP4|S100P|SULT1A1|TF|TFF2|TTR|UGDH|VIL1|ANXA9|NR0B2|TM4SF5|MPZL2|AGR2|A1CF|ENOSF1|CLDN19|C2orf72,-26,0
0,1,0,0,0,0,0,0,0,-16,0,0,0,0,0,0,PGB:00060,M01000000,1,0,PaGenBase,36,Cell-specific: liver cell,,-16,15,16,30286,91,388,18,4.6,1.1,174|259|335|336|338|350|2147|2153|2168|2330|3698|4069|4547|5265|5950|7018|7276|9032,AFP|AMBP|APOA1|APOA2|APOB|APOH|F2|F5|FABP1|FMO5|ITIH2|LYZ|MTTP|SERPINA1|RBP4|TF|TTR|TM4SF5,-13,0
0,1,0,0,0,0,0,0,0,-14,0,0,0,0,0,0,PGB:00005,M01000000,1,0,PaGenBase,36,Tissue-specific: colon,,-14,6.5,12,30286,338,388,28,7.2,1.3,760|1365|3110|3549|4585|4640|4923|7033|7103|7429|10331|10551|23584|23624|27134|51085|54854|55808|56649|79170|79983|80117|83998|91860|140893|192134|222171|401546,CA2|CLDN3|MNX1|IHH|MUC4|MYO1A|NTSR1|TFF3|TSPAN8|VIL1|B3GNT3|AGR2|VSIG2|CBLC|TJP3|MLXIPL|FAM83E|ST6GALNAC1|TMPRSS4|PRR15L|POF1B|ARL14|REG4|CALML4|RBBP8NL|B3GNT6|PRR15|C9orf152,-11,0
0,1,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,PGB:00139,M01000000,1,0,PaGenBase,36,Cell-specific: Renal Epithelial,,-11,18,13,30286,48,388,11,2.8,0.84,1365|4072|5265|23242|26996|27283|51473|54504|55195|85477|353189,CLDN3|EPCAM|SERPINA1|COBL|GPR160|TINAG|DCDC2|CPVL|CCDC198|SCIN|SLCO4C1,-8,0
1,0,1,0,0,0,0,0,-2.2,0,-9.5,0,0,0,0,0,PGB:00080,M10100000,2,0,PaGenBase,36,Cell-specific: Adipocyte,,-9.5,9.4,10,30286,145,310,14,4.5,1.2,2052|2273|4239|4811|5118|5159|5654|5793|9358|10457|11037|57124|84293|126393,EPHX1|FHL1|MFAP4|NID1|PCOLCE|PDGFRB|HTRA1|PTPRG|ITGBL1|GPNMB|STON1|CD248|PRXL2A|HSPB6,-6.9,0
0,1,0,0,0,0,0,0,0,-7.7,0,0,0,0,0,0,PGB:00002,M01000000,1,0,PaGenBase,36,Tissue-specific: kidney,,-7.7,3.9,7.3,30286,483,388,24,6.2,1.2,760|1644|1800|1852|2938|3814|5174|5314|5625|6519|6819|9075|11001|27283|51473|54885|55195|80115|113220|149461|222643|256764|284422|353189,CA2|DDC|DPEP1|DUSP9|GSTA1|KISS1|PDZK1|PKHD1|PRODH|SLC3A1|SULT1C2|CLDN2|SLC27A2|TINAG|DCDC2|TBC1D8B|CCDC198|BAIAP2L2|KIF12|CLDN19|UNC5CL|WDR72|SMIM24|SLCO4C1,-5.4,0
0,1,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,PGB:00006,M01000000,1,0,PaGenBase,36,Tissue-specific: small intestine,,-7,7.3,8.2,30286,128,388,12,3.1,0.88,13|3174|4547|4640|4922|7429|9032|10555|29881|54810|79908|83998,AADAC|HNF4G|MTTP|MYO1A|NTS|VIL1|TM4SF5|AGPAT2|NPC1L1|GIPC2|BTNL8|REG4,-4.8,0
0,0,0,1,0,0,0,0,0,0,0,-4.9,0,0,0,0,PGB:00153,M00010000,1,0,PaGenBase,36,Cell-specific: Liposarcoma cell,,-4.9,27,10,30286,20,224,4,1.8,0.88,10231|22836|25878|114907,RCAN2|RHOBTB3|MXRA5|FBXO32,-3.1,0
0,0,0,0,1,0,1,0,0,0,0,0,-4.8,0,-2.8,0,PGB:00133,M00001010,2,0,PaGenBase,36,Cell-specific: Cardiac Myocytes,,-4.8,11,7.6,30286,60,266,6,2.3,0.91,1000|1809|2919|5054|6372|7980,CDH2|DPYSL3|CXCL1|SERPINE1|CXCL6|TFPI2,-3.1,0
0,0,0,0,1,0,1,0,0,0,0,0,-4.6,0,-3.6,0,PGB:00081,M00001010,2,0,PaGenBase,36,Cell-specific: Brain cell,,-4.6,10,7.1,30286,67,266,6,2.3,0.91,390|857|3371|5054|7474|7980,RND3|CAV1|TNC|SERPINE1|WNT5A|TFPI2,-2.9,0
0,0,0,0,1,0,1,0,0,0,0,0,-4.4,0,-3.7,0,PGB:00011,M00001010,2,0,PaGenBase,36,Tissue-specific: Smooth Muscle,,-4.4,7.7,6.4,30286,103,266,7,2.6,0.98,390|1000|2919|5054|6372|25932|81688,RND3|CDH2|CXCL1|SERPINE1|CXCL6|CLIC4|C6orf62,-2.8,0
0,1,0,0,0,0,0,0,0,-4.1,0,0,0,0,0,0,PGB:00063,M01000000,1,0,PaGenBase,36,Cell-specific: H1-hesc,,-4.1,3,4.8,30286,447,388,17,4.4,1,622|926|3171|4585|5865|6819|7273|7276|7348|8733|11160|51473|92292|127845|340547|388335|389434,BDH1|CD8B|FOXA3|MUC4|RAB3B|SULT1C2|TTN|TTR|UPK1B|GPAA1|ERLIN2|DCDC2|GLYATL1|GOLT1A|VSIG1|TMEM220|IYD,-2.6,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.8,0,0,0,PGB:00008,M00001000,1,0,PaGenBase,36,Tissue-specific: spleen,,-3.8,3.2,4.7,30286,499,266,14,5.3,1.4,578|1890|2919|3665|5293|5452|6372|6494|7185|7186|10333|10981|80774|146433,BAK1|TYMP|CXCL1|IRF7|PIK3CD|POU2F2|CXCL6|SIPA1|TRAF1|TRAF2|TLR6|RAB32|LIMD2|IL34,-2.4,0
0,1,0,0,0,0,0,0,0,-3.7,0,0,0,0,0,0,PGB:00105,M01000000,1,0,PaGenBase,36,Cell-specific: huh-7,,-3.7,14,6.9,30286,23,388,4,1,0.51,259|2168|4547|7276,AMBP|FABP1|MTTP|TTR,-2.3,0
0,0,0,0,1,0,0,0,0,0,0,0,-3.5,0,0,0,PGB:00026,M00001000,1,0,PaGenBase,36,Tissue-specific: Blood,,-3.5,4.3,4.8,30286,239,266,9,3.4,1.1,965|5293|5698|5791|7127|8743|11177|51363|80774,CD58|PIK3CD|PSMB9|PTPRE|TNFAIP2|TNFSF10|BAZ1A|CHST15|LIMD2,-2.2,0
0,0,0,1,1,0,0,0,0,0,0,-2.1,-3.4,0,0,0,PGB:00029,M00011000,2,0,PaGenBase,36,Tissue-specific: placenta,,-3.4,3.7,4.5,30286,305,266,10,3.8,1.2,649|1282|1284|3624|4488|5054|6236|7980|9536|10148,BMP1|COL4A1|COL4A2|INHBA|MSX2|SERPINE1|RRAD|TFPI2|PTGES|EBI3,-2.1,0
0,1,0,0,0,0,0,0,0,-3.4,0,0,0,0,0,0,PGB:00093,M01000000,1,0,PaGenBase,36,Cell-specific: Vaginal Epithelial,,-3.4,11,6.1,30286,28,388,4,1,0.51,218|6286|7164|10551,ALDH3A1|S100P|TPD52L1|AGR2,-2.1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.3,0,0,PGB:00039,M00000100,1,0,PaGenBase,36,Tissue-specific: uterus,,-3.3,7.6,5.4,30286,83,241,5,2.1,0.92,2260|4316|4321|80045|170261,FGFR1|MMP7|MMP12|GPR157|ZCCHC12,-2,0
0,1,1,1,0,1,0,0,0,-2.6,-2.1,-3.2,0,-2.9,0,0,PGB:00065,M01110100,4,0,PaGenBase,36,Cell-specific: DRG,,-3.2,3.3,4.2,30286,455,224,11,4.9,1.4,358|610|1382|4741|8642|9479|10297|10391|23148|57060|221981,AQP1|HCN2|CRABP2|NEFM|DCHS1|MAPK8IP1|APC2|CORO2B|NACAD|PCBP4|THSD7A,-2,0
0,0,1,0,0,0,0,0,0,0,-3.2,0,0,0,0,0,PGB:00032,M00100000,1,0,PaGenBase,36,Tissue-specific: Cerebellum,,-3.2,4.9,4.7,30286,141,310,7,2.3,0.84,4665|8629|8646|9901|23126|27239|51147,NAB2|JRK|CHRD|SRGAP3|POGZ|GPR162|ING4,-1.9,0
0,1,0,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,PGB:00106,M01000000,1,0,PaGenBase,36,Cell-specific: Breast cell,,-3.2,7.1,5.2,30286,55,388,5,1.3,0.57,2203|4477|10551|114569|155465,FBP1|MSMB|AGR2|MAL2|AGR3,-1.9,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-3.1,0,0,PGB:00094,M00000100,1,0,PaGenBase,36,Cell-specific: Bronchial Epithelial Cells,,-3.1,5.5,4.7,30286,137,241,6,2.5,1,182|2810|9638|81706|84002|85377,JAG1|SFN|FEZ1|PPP1R14C|B3GNT5|MICALL1,-1.9,0
0,1,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,PGB:00023,M01000000,1,0,PaGenBase,36,Tissue-specific: heart,,-3,2.9,3.9,30286,320,388,12,3.1,0.88,2626|5625|7134|7273|7276|8470|29119|114904|151258|283375|285025|340542,GATA4|PRODH|TNNC1|TTN|TTR|SORBS2|CTNNA3|C1QTNF6|SLC38A11|SLC39A5|CCDC141|BEX5,-1.8,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.9,0,0,PGB:00051,M00000100,1,0,PaGenBase,36,Tissue-specific: Corpus,,-2.9,15,6.2,30286,26,241,3,1.2,0.71,4281|9444|9846,MID1|QKI|GAB2,-1.8,0
0,1,0,0,0,0,0,0,0,-2.9,0,0,0,0,0,0,PGB:00031,M01000000,1,0,PaGenBase,36,Tissue-specific: trachea,,-2.9,5.1,4.5,30286,91,388,6,1.5,0.63,218|2302|4585|4586|7348|10840,ALDH3A1|FOXJ1|MUC4|MUC5AC|UPK1B|ALDH1L1,-1.8,0
0,0,0,0,1,0,1,0,0,0,0,0,-2.8,0,-2.9,0,PGB:00110,M00001010,2,0,PaGenBase,36,Cell-specific: Lymphoma burkitts Raji,,-2.9,5.1,4.5,30286,141,251,6,2.4,0.96,1476|4047|4282|8495|11118|25953,CSTB|LSS|MIF|PPFIBP2|BTN3A2|PNKD,-1.8,0
