GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
M40011,BUSSLINGER GASTRIC METALLOTHIONEIN CELLS,0.0,-19.066440580150186,0.0,0.0,0.0,0.0,-5.716587934145905,0.0
M40287,DESCARTES FETAL SPLEEN AFP ALB POSITIVE CELLS,0.0,-29.557923099982695,0.0,0.0,0.0,0.0,-3.735186419749582,0.0
M39148,GAO SMALL INTESTINE 24W C4 ENTEROCYTE PROGENITOR SUBTYPE 2,0.0,-15.40952655009824,0.0,0.0,0.0,0.0,-2.0581876676022217,0.0
M40220,DESCARTES FETAL KIDNEY URETERIC BUD CELLS,0.0,-25.660180814525248,0.0,0.0,0.0,0.0,0.0,0.0
M40012,BUSSLINGER GASTRIC IMMATURE PIT CELLS,0.0,-20.12450798142113,0.0,0.0,0.0,0.0,0.0,0.0
M40234,DESCARTES FETAL LIVER HEPATOBLASTS,0.0,-55.419890019472255,0.0,0.0,0.0,0.0,0.0,0.0
M40013,BUSSLINGER GASTRIC MATURE PIT CELLS,0.0,-24.459965001419633,0.0,0.0,0.0,0.0,0.0,0.0
M40276,DESCARTES FETAL PLACENTA AFP ALB POSITIVE CELLS,0.0,-24.580214099781152,0.0,0.0,0.0,0.0,0.0,0.0
M40212,DESCARTES FETAL INTESTINE INTESTINAL EPITHELIAL CELLS,0.0,-28.15804817185698,0.0,0.0,0.0,0.0,0.0,0.0
M39118,AIZARANI LIVER C14 HEPATOCYTES 2,-3.3048655246395673,-20.923261172818602,0.0,0.0,0.0,0.0,0.0,0.0
M40028,BUSSLINGER DUODENAL LATE IMMATURE ENTEROCYTES,-5.753587634011427,-14.86351856292299,0.0,0.0,0.0,0.0,0.0,0.0
M39115,AIZARANI LIVER C11 HEPATOCYTES 1,-3.152609690196445,-27.992082982500026,0.0,0.0,0.0,0.0,-2.446258789644836,0.0
M40175,DESCARTES FETAL EYE CORNEAL AND CONJUNCTIVAL EPITHELIAL CELLS,0.0,-19.999778560638116,0.0,0.0,-2.2303156201110306,0.0,0.0,-2.0496680814426314
M40010,BUSSLINGER GASTRIC ISTHMUS CELLS,-2.909381067957146,-12.434374513676293,0.0,0.0,0.0,0.0,-15.64372092632576,-2.801057127242823
M39308,CUI DEVELOPING HEART TRABECULAR ATRIAL CARDIOMYOCYTE,0.0,0.0,-4.765493383932272,0.0,0.0,0.0,-16.278350112454685,0.0
M41700,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,0.0,0.0,0.0,0.0,-40.92451300896001,-3.590408316080635,-6.079041923637028,-10.712377333117374
M41697,TRAVAGLINI LUNG EREG DENDRITIC CELL,0.0,0.0,0.0,0.0,-14.967022757697789,-2.153508919511923,-4.517592213477789,-7.997222662019449
M41715,FAN OVARY CL13 MONOCYTE MACROPHAGE,0.0,0.0,0.0,0.0,-14.98845381161308,0.0,-5.785674221006244,-10.737645850691125
M41698,TRAVAGLINI LUNG TREM2 DENDRITIC CELL,-3.1207174413829666,-3.767168246035993,0.0,0.0,-6.695339599223068,-3.137334564463785,-15.82852532986221,-6.774610449188401
M39175,MURARO PANCREAS MESENCHYMAL STROMAL CELL,0.0,0.0,-6.171019764537718,-6.065946742791782,-26.48034637994104,-6.834049478328601,-2.7588164842827174,-6.142039281926267
