GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
C0239234,Low set ears,0.0,0.0,-8.767196739917377,0.0,-2.373398082418687,-3.2233441352342043,0.0,0.0
C1535926,Neurodevelopmental Disorders,0.0,0.0,-8.736008672888074,0.0,0.0,0.0,0.0,0.0
C0205682,Waist-Hip Ratio,-3.1697591931554103,0.0,-8.940854416079382,-3.4867579432208435,-4.912377538292348,0.0,0.0,0.0
C0740391,Middle Cerebral Artery Occlusion,-2.3201020145747173,0.0,0.0,0.0,-8.70763627180561,-2.33421710982235,-3.0966066215633705,-2.133219607428868
C0038013,Ankylosing spondylitis,0.0,0.0,0.0,0.0,-8.976224473865242,-2.7504297259849766,-2.5883597406397634,-4.241959101830191
C0011603,Dermatitis,0.0,0.0,0.0,0.0,-11.560590165410263,0.0,-3.0160200956153207,-2.5178334924414436
C0153381,Malignant neoplasm of mouth,-4.912538637096987,0.0,0.0,0.0,-10.441542289698344,0.0,-2.3479797415244095,-4.367775079642693
C0026896,Myasthenia Gravis,0.0,0.0,0.0,0.0,-8.878776330820397,0.0,0.0,-2.289954858077723
C0036920,Sezary Syndrome,0.0,0.0,0.0,0.0,-9.603172020960853,0.0,0.0,-3.215916979893191
C0151449,Primary Sjögren's syndrome,0.0,0.0,0.0,0.0,-10.285177346397003,0.0,0.0,-2.498544409212258
C3714514,Infection,0.0,0.0,0.0,0.0,-11.656522706585282,0.0,0.0,-5.875465381910581
C0153690,Secondary malignant neoplasm of bone,0.0,0.0,-2.1378123576498256,0.0,-12.860690719021827,0.0,0.0,-3.7587519256157824
C0011644,Scleroderma,0.0,0.0,0.0,0.0,-13.979323643166065,0.0,0.0,0.0
C0278488,Carcinoma breast stage IV,0.0,0.0,0.0,0.0,-10.984195499149573,0.0,0.0,0.0
C3887461,Head and Neck Carcinoma,-2.3403172445921947,0.0,0.0,0.0,-10.73659760363594,-2.356034087290727,-2.601402072305303,0.0
C0278996,Malignant Head and Neck Neoplasm,-2.0382011065900385,0.0,0.0,0.0,-10.293069533306785,-2.448792470528439,0.0,0.0
C0279628,Adenocarcinoma Of Esophagus,-2.842419795612326,-2.9463910500038173,0.0,0.0,-9.669644602737096,0.0,0.0,0.0
C0029925,Ovarian Carcinoma,-2.366228979090946,-2.35605488063897,0.0,0.0,-10.781142203593935,0.0,0.0,0.0
C0030297,Pancreatic Neoplasm,0.0,-6.614773517842151,0.0,0.0,-10.3332913342583,0.0,-2.3085696868041277,-2.9468831589794666
C0004943,Behcet Syndrome,0.0,-3.0708295953418965,0.0,0.0,-9.08215690029885,0.0,-2.0208305693282047,-4.537390120407849
