GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
TRR00875,Regulated by: NFKB1,0.0,0.0,0.0,0.0,-16.271144828286968,-2.2123467154974943,0.0,-3.3453314352052317
TRR01158,Regulated by: RELA,0.0,0.0,0.0,0.0,-15.441994691725247,-2.8202358371474054,0.0,-2.3065220987195936
TRR00645,Regulated by: JUN,0.0,0.0,0.0,0.0,-2.3714738939596924,-3.322631822525424,0.0,-2.8708536673367684
TRR00780,Regulated by: MYC,0.0,0.0,0.0,0.0,-5.161647541333561,0.0,0.0,-3.140877096660263
TRR00275,Regulated by: ESR1,0.0,0.0,0.0,0.0,-2.11795609554412,0.0,0.0,-3.7034237369459295
TRR00253,Regulated by: EGR1,-2.06687212844418,0.0,0.0,0.0,-3.586008317430395,0.0,0.0,0.0
TRR01062,Regulated by: PPARG,-3.3867492392530187,0.0,0.0,0.0,-4.182833922614902,0.0,0.0,0.0
TRR01259,Regulated by: SP3,0.0,0.0,0.0,0.0,-5.709423357273569,0.0,0.0,0.0
TRR01157,Regulated by: REL,0.0,0.0,0.0,0.0,-4.060092128605436,0.0,0.0,0.0
TRR00877,Regulated by: NFKBIA,0.0,0.0,0.0,0.0,-6.039557552690323,0.0,0.0,0.0
TRR01275,Regulated by: STAT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.452046063562805
TRR01513,Regulated by: USF2,0.0,-3.1240985004754007,0.0,0.0,0.0,0.0,0.0,0.0
TRR00905,Regulated by: NR2F1,0.0,-3.4962835242052237,0.0,0.0,0.0,0.0,0.0,0.0
TRR01512,Regulated by: USF1,0.0,-3.3289552454362283,0.0,0.0,0.0,0.0,0.0,0.0
TRR00011,Regulated by: AR,0.0,-3.3309558928317955,0.0,0.0,0.0,0.0,0.0,0.0
TRR00500,Regulated by: HNF4A,0.0,-5.302694037322002,0.0,0.0,0.0,0.0,0.0,0.0
TRR00027,Regulated by: ATF6,0.0,0.0,0.0,0.0,0.0,0.0,-3.3782053908130356,0.0
TRR01061,Regulated by: PPARD,-5.173196920778308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR00255,Regulated by: EGR3,-5.302794720706064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRR01256,Regulated by: SP1,-2.9349206833945414,-2.4528875072605523,0.0,0.0,-9.4542135821986,0.0,-4.423337258136565,0.0
