GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
hsa04141,Protein processing in endoplasmic reticulum,0.0,0.0,0.0,0.0,-5.544302816255345,0.0,-17.983637042083465,-4.409669990310117
GO:0034976,response to endoplasmic reticulum stress,0.0,0.0,0.0,0.0,-5.2086369097900835,0.0,-16.484566239153324,-4.8845844778201535
M5913,HALLMARK INTERFERON GAMMA RESPONSE,0.0,0.0,0.0,0.0,-10.495330538145696,0.0,-6.9042467004631165,-26.329367053363075
GO:0051604,protein maturation,0.0,0.0,-2.7453756671953413,0.0,-4.473982081900398,0.0,-17.693128288615902,-3.541843723830686
GO:0030163,protein catabolic process,0.0,0.0,0.0,-2.5846236855466223,-15.755711856667338,0.0,-4.512071027916917,-5.2720853559420915
M5924,HALLMARK MTORC1 SIGNALING,0.0,0.0,0.0,0.0,-4.128759092828482,0.0,-22.75919296535834,0.0
M5890,HALLMARK TNFA SIGNALING VIA NFKB,0.0,0.0,0.0,0.0,-34.367267012026275,-2.9376620928589303,0.0,-5.424054709169224
R-HSA-1280215,Cytokine Signaling in Immune system,0.0,0.0,0.0,0.0,-32.59180208333233,-5.817965872087153,0.0,-13.387830473140578
hsa05169,Epstein-Barr virus infection,0.0,0.0,0.0,0.0,-21.992881754746065,0.0,0.0,-4.586893446739737
hsa04668,TNF signaling pathway,0.0,0.0,0.0,0.0,-19.777059565118876,0.0,0.0,-4.8547466657476654
M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,0.0,0.0,0.0,-3.8888942172684366,-19.595506196767918,-2.9376620928589303,-3.553038678496045,0.0
GO:0035239,tube morphogenesis,-2.0377269312860116,-2.129639326474596,-2.711544831881792,-5.428561728665284,-7.987870093893714,-2.912742063261863,-2.7470918751706046,0.0
R-HSA-1474244,Extracellular matrix organization,0.0,0.0,-3.533634907357843,0.0,-7.926050557401406,-3.14480241591965,-5.0579963084912665,0.0
GO:0030029,actin filament-based process,0.0,-4.283298030895065,-3.1814046893788723,-2.6574635214706834,-3.413498520589624,-7.578632183630448,0.0,0.0
GO:0051336,regulation of hydrolase activity,-2.539471691092485,-5.314230402310208,-2.715458790314936,0.0,-4.944586977545344,0.0,-2.0076325407715103,-3.0587929567647163
R-HSA-6798695,Neutrophil degranulation,-2.7488593324301243,-3.277312035639653,0.0,0.0,-5.846988896335847,-2.2695862860488094,-6.195139872671149,-4.772763804878759
R-HSA-382551,Transport of small molecules,-2.586644458975537,-4.931775174813379,0.0,0.0,-9.998326918261089,0.0,-6.574889883104263,0.0
GO:1901137,carbohydrate derivative biosynthetic process,-2.0365989953162895,-4.929296562622091,0.0,0.0,0.0,0.0,-16.155202339740683,-3.1661138053735893
R-HSA-556833,Metabolism of lipids,-7.925379349345992,-4.737548117643966,0.0,0.0,0.0,0.0,-11.04845204294126,0.0
WP5390,Pancreatic cancer subtypes,0.0,-16.63142456485729,0.0,0.0,0.0,0.0,0.0,0.0
