GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0044419,biological process involved in interspecies interaction between organisms,0.0,0.0,0.0,0.0,-12.707450177977156,0.0,0.0,-20.20423692179002
GO:0016032,viral process,0.0,0.0,0.0,0.0,-4.914415723801246,0.0,-2.121428855407773,-4.766259290611947
GO:0002376,immune system process,0.0,-2.9937203283696388,0.0,-2.7094354490349697,-8.068789137586954,-3.0505616260840704,-2.3846318574942424,-7.66551150788304
GO:0048511,rhythmic process,0.0,0.0,-3.320698290625963,0.0,0.0,0.0,-2.138960595069095,-3.572037172188861
GO:0042592,homeostatic process,-2.7707566490647713,-5.923882239075127,-3.2650895623547997,0.0,-4.671347716307779,0.0,-7.241968735931574,0.0
GO:0022414,reproductive process,0.0,-4.761774816451825,0.0,0.0,-2.49278035676408,0.0,-3.6654869869661284,0.0
GO:0098754,detoxification,-2.290321809317521,-2.6837471150043353,0.0,0.0,0.0,0.0,0.0,0.0
GO:0040007,growth,0.0,0.0,-2.3837730009778686,-5.305879043179114,-2.9082158891303562,-2.6926658237335634,0.0,0.0
GO:0040011,locomotion,0.0,0.0,-3.2101437370872317,-6.424338786339336,-9.363280079760159,-3.2665474245790325,0.0,0.0
GO:0051179,localization,-4.8411719022546515,-8.603679721997429,-4.304953877392201,-4.238964119112947,-4.791630589134726,-4.241827647231834,-6.536043055266566,-3.6980423772604083
GO:0032502,developmental process,-5.698157389834687,-5.583501225961924,-5.910838505876288,-7.530165722673949,-7.987870093893714,-7.367014651179613,-5.236843101298855,-2.8830844097554045
GO:0009987,cellular process,-2.578758999485111,-5.621827314836736,-6.606932387533994,-4.154584636015316,-4.191549518090592,-7.578632183630448,-4.744908129459106,-4.674733643126406
GO:0050896,response to stimulus,-8.276664717211156,-4.911802681322701,-6.184532597473398,-4.272887761986305,-14.912991018748455,-6.765904263771042,-16.484566239153324,-7.904243614173533
GO:0008152,metabolic process,-9.794807347382253,-9.703376798944225,-3.759994883801128,-3.5886548026871,-17.903778493501175,-4.354487842090006,-17.693128288615902,-7.286643809343873
GO:0048518,positive regulation of biological process,-4.56233294731019,-4.510489375072167,-5.233347536402523,-3.423905854501541,-11.03995751567972,-6.018302447826119,-4.189396434727751,-9.202164223195041
GO:0048519,negative regulation of biological process,-6.4660200500797504,-4.42764341403062,-2.131203971483717,-8.165888153624534,-5.930705371926902,-3.766106618335328,-3.4547255896022944,-4.718688893009257
GO:0065007,biological regulation,-5.347622073067901,-6.213576121920707,-3.572216891406724,-5.818877432443903,-5.4453144368131925,-2.9041063815048807,-4.894543662841919,-5.473124267898627
GO:0032501,multicellular organismal process,-4.177127370425735,-6.14929896984002,-3.750235768937878,-2.871256166308364,-4.580872372124096,-2.662023842877853,-3.7181436441709477,-6.655420443339465
GO:0050789,regulation of biological process,-4.481248270537079,-4.761774816451825,-6.405778982819063,-8.584775209004446,-6.245116180476997,-5.789490795388686,0.0,-4.071990030397159
