GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0051493,regulation of cytoskeleton organization,0.0,0.0,-6.248871848519455,-8.584775209004446,0.0,-3.5005762595228913,0.0,0.0
GO:0072001,renal system development,0.0,0.0,-4.628308082776211,-2.6176653375186736,0.0,-2.42442182879724,0.0,0.0
GO:0016310,phosphorylation,0.0,0.0,-3.737587362993651,-2.5329801970318293,0.0,-3.623716259862069,0.0,-2.3902871192045887
GO:0031344,regulation of cell projection organization,0.0,0.0,-6.214956806601872,-7.420749452568097,-2.144071408449247,-5.628364947515205,0.0,0.0
GO:0031175,neuron projection development,0.0,0.0,-3.9733916269391325,-5.3502089742861765,-2.068849619876348,-7.367014651179613,0.0,0.0
GO:0009792,embryo development ending in birth or egg hatching,0.0,0.0,-2.0077628821493643,-4.925846504777755,-2.580267703100575,-2.1037725562177862,0.0,0.0
GO:0001501,skeletal system development,0.0,0.0,-5.910838505876288,-5.253614466920649,0.0,-3.6795707440608916,-4.071535292244093,0.0
GO:0051056,regulation of small GTPase mediated signal transduction,-4.430057079029167,0.0,0.0,-2.6958277987077217,0.0,-4.446428613819485,0.0,0.0
GO:0060322,head development,-2.378826203046555,0.0,-2.528518054626797,-7.037736747653804,0.0,-4.7656767700709395,0.0,0.0
GO:0035239,tube morphogenesis,-2.0377269312860116,-2.129639326474596,-2.711544831881792,-5.428561728665284,-7.987870093893714,-2.912742063261863,-2.7470918751706046,0.0
GO:0030029,actin filament-based process,0.0,-4.283298030895065,-3.1814046893788723,-2.6574635214706834,-3.413498520589624,-7.578632183630448,0.0,0.0
GO:0007507,heart development,-2.1892504496615293,0.0,-5.1029565417960425,0.0,0.0,0.0,0.0,0.0
GO:0003013,circulatory system process,-4.177127370425735,-2.593666128061061,-3.5742374787979365,0.0,0.0,0.0,0.0,0.0
GO:0098657,import into cell,-3.1976899514980754,0.0,-3.3774580615511383,0.0,0.0,-3.705052594122643,-2.181599474965028,0.0
GO:0070848,response to growth factor,-5.939346684970674,0.0,-2.530784530900576,0.0,-3.1206024238375685,-3.524364932957475,0.0,0.0
GO:0007167,enzyme-linked receptor protein signaling pathway,-7.547378882476006,-2.9687900178641544,-4.655250932218558,0.0,-3.920975641206889,-2.8598715059414097,0.0,0.0
R-HSA-1474244,Extracellular matrix organization,0.0,0.0,-3.533634907357843,0.0,-7.926050557401406,-3.14480241591965,-5.0579963084912665,0.0
GO:0010562,positive regulation of phosphorus metabolic process,0.0,0.0,-3.4281696478026036,0.0,-7.113176755831705,-4.820582599088996,0.0,0.0
M5884,NABA CORE MATRISOME,0.0,0.0,-5.959493088004258,0.0,-3.108504384536483,0.0,0.0,0.0
GO:0043068,positive regulation of programmed cell death,0.0,0.0,-3.028514972712669,0.0,-7.334368741770763,0.0,0.0,-2.8829257770706898
GO:0040008,regulation of growth,0.0,0.0,-2.3062356166673865,-2.6344332202099876,-2.9082158891303562,0.0,0.0,0.0
GO:0030335,positive regulation of cell migration,0.0,0.0,0.0,-6.424338786339336,-9.363280079760159,-2.597909291519005,0.0,0.0
GO:0051129,negative regulation of cellular component organization,0.0,0.0,0.0,-8.165888153624534,-4.017263698651559,-3.544339702731522,0.0,0.0
GO:0060485,mesenchyme development,0.0,0.0,0.0,-3.2718627858748808,-2.79223933199151,-2.4227693588660615,0.0,0.0
GO:0009612,response to mechanical stimulus,0.0,0.0,0.0,-2.9279026283396163,-3.1649206158920147,-2.746499935026116,0.0,0.0
WP5434,Pathways in cancer,-2.5526742074015996,0.0,0.0,-2.814168519583238,-12.13828093126378,-4.187350830552022,0.0,0.0
M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,0.0,0.0,0.0,-3.8888942172684366,-19.595506196767918,-2.9376620928589303,-3.553038678496045,0.0
WP382,MAPK signaling pathway,0.0,0.0,0.0,0.0,-2.78123507296379,-8.778164383811466,0.0,0.0
hsa05132,Salmonella infection,0.0,0.0,0.0,0.0,-7.33319185855464,-6.973134436074647,0.0,0.0
hsa04814,Motor proteins,0.0,0.0,0.0,0.0,0.0,-9.253184729459708,0.0,0.0
GO:0048729,tissue morphogenesis,-2.1783379928373265,-2.127043474523215,0.0,0.0,-5.436274334899582,-2.6470077417217373,0.0,0.0
GO:0009611,response to wounding,-2.1183097897109135,-2.8788497850454817,0.0,0.0,-4.554271757782812,-2.129519163901349,0.0,0.0
M5906,HALLMARK ESTROGEN RESPONSE EARLY,-2.253431686561238,-6.458294796745062,0.0,0.0,-2.693623523544124,0.0,0.0,0.0
WP2882,Nuclear receptors meta pathway,-6.558797797979415,-4.81760931341925,0.0,0.0,-2.7104389603028243,-3.0055563507931926,-2.8827919620697333,0.0
GO:0044092,negative regulation of molecular function,-3.4089615730311587,-2.7374555369881386,0.0,0.0,-5.4453144368131925,0.0,0.0,-3.0272782265844147
M5902,HALLMARK APOPTOSIS,-2.7157478463169746,0.0,0.0,0.0,-4.867537679408288,0.0,0.0,-2.3440612307405115
GO:0045732,positive regulation of protein catabolic process,-3.5873769148354024,0.0,0.0,0.0,-7.420009525850416,0.0,0.0,0.0
GO:0042176,regulation of protein catabolic process,-3.758190836755608,0.0,0.0,0.0,-10.043296384337461,0.0,0.0,0.0
GO:0010035,response to inorganic substance,-2.9279346557815114,0.0,0.0,0.0,-3.5824825984264135,0.0,0.0,0.0
M5947,HALLMARK IL2 STAT5 SIGNALING,0.0,0.0,0.0,0.0,-5.777318062755594,0.0,0.0,-3.8838784844723984
M5941,HALLMARK UV RESPONSE UP,0.0,0.0,0.0,0.0,-6.77458931981429,0.0,0.0,-3.0851279252493304
GO:0030097,hemopoiesis,0.0,0.0,0.0,0.0,-7.327334376933973,0.0,0.0,-2.2103568624094474
GO:2001233,regulation of apoptotic signaling pathway,0.0,0.0,0.0,0.0,-12.819402225045057,0.0,0.0,-2.309696314818528
hsa04668,TNF signaling pathway,0.0,0.0,0.0,0.0,-19.777059565118876,0.0,0.0,-4.8547466657476654
