_MEMBER_modules_epi_black_sorted_top300,_MEMBER_modules_epi_blue_sorted_top300,_MEMBER_modules_epi_pink_sorted_top300,_MEMBER_modules_epi_red_sorted_top300,_MEMBER_modules_epi_turquoise_sorted_top300,_MEMBER_modules_epi_yellow_sorted_top300,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,0,1,1,1,1,-20.768886519908246,0.0,-13.874897543757106,-2.405422744675795,-12.77611975174148,-8.762831268539964,M5890,M101111,5,0,Hallmark Gene Sets,23,HALLMARK TNFA SIGNALING VIA NFKB,,-52.18254767281863,7.328951612903226,22.557372834140146,30293,200,1798,87,4.838709677419355,0.5060577730187473,329|330|374|388|467|604|650|960|1026|1435|1827|1843|1847|1906|1958|2150|2353|2526|2643|2919|2920|2921|3371|3383|3460|3491|3572|3604|3606|3624|3627|3659|3726|3976|4616|4790|4791|4792|4794|4814|5209|5271|5328|5743|5966|5970|5971|6364|6373|6385|6446|6515|6648|6776|6890|7050|7097|7127|7128|7185|7262|7280|7832|8303|8767|8837|8848|8870|8878|8942|9308|9334|9516|9592|10010|10221|10318|10769|10938|11182|23308|23529|24145|55332|56937|64135|127544,BIRC2|BIRC3|AREG|RHOB|ATF3|BCL6|BMP2|CD44|CDKN1A|CSF1|RCAN1|DUSP1|DUSP5|EDN1|EGR1|F2RL1|FOS|FUT4|GCH1|CXCL1|CXCL2|CXCL3|TNC|ICAM1|IFNGR2|CCN1|IL6ST|TNFRSF9|IL18|INHBA|CXCL10|IRF1|JUNB|LIF|GADD45B|NFKB1|NFKB2|NFKBIA|NFKBIE|NINJ1|PFKFB3|SERPINB8|PLAU|PTGS2|REL|RELA|RELB|CCL20|CXCL11|SDC4|SGK1|SLC2A3|SOD2|STAT5A|TAP1|TGIF1|TLR2|TNFAIP2|TNFAIP3|TRAF1|PHLDA2|TUBB2A|BTG2|SNN|RIPK2|CFLAR|TSC22D1|IER3|SQSTM1|KYNU|CD83|B4GALT5|LITAF|IER2|TANK|TRIB1|TNIP1|PLK2|EHD1|SLC2A6|ICOSLG|CLCF1|PANX1|DRAM1|PMEPA1|IFIH1|RNF19B,-47.89347179392041,0,1.0,1.0,1.0,-52.18254767281863,7.328951612903226,
1,1,1,1,1,1,-4.557823512877962,-17.594913522614537,-5.166509706466565,-7.757650200176899,-2.0541391118564154,-5.14744671693601,R-HSA-6798695,M111111,6,0,Reactome Gene Sets,6,Neutrophil degranulation,,-38.23223655359465,4.036539441972562,16.845006867038528,30293,480,1798,115,6.395995550611791,0.5770407013951376,12|101|102|210|221|230|391|567|634|684|718|847|960|965|966|976|1075|1471|1520|1522|1535|1650|1675|1729|1832|1915|1938|2040|2519|2548|2720|2896|2919|2950|2990|3074|3107|3482|3615|3684|3728|3934|4048|4069|4125|4318|4680|4758|4790|4893|5236|5265|5284|5328|5337|5476|5645|5646|5663|5708|5724|5795|5836|5879|5912|6282|6286|6515|6793|6947|7077|7097|7133|7276|7414|8635|8694|8804|8876|10043|10487|10549|10555|10577|10970|11010|11031|22931|23191|23593|25840|28956|29108|29952|51316|51646|51719|53916|54918|55313|55754|56954|80301|84418|84514|93100|114790|121260|127829|138050|150372|158747|201294|326624|353189,SERPINA3|ADAM8|ADAM10|ALAD|ALDH3B1|ALDOC|RHOG|B2M|CEACAM1|BST2|C3|CAT|CD44|CD58|CD59|ADGRE5|CTSC|CST3|CTSS|CTSZ|CYBA|DDOST|CFD|DIAPH1|DSP|EEF1A1|EEF2|STOM|FUCA2|GAA|GLB1|GRN|CXCL1|GSTP1|GUSB|HEXB|HLA-C|IGF2R|IMPDH2|ITGAM|JUP|LCN2|LTA4H|LYZ|MAN2B1|MMP9|CEACAM6|NEU1|NFKB1|NRAS|PGM1|SERPINA1|PIGR|PLAU|PLD1|CTSA|PRSS2|PRSS3|PSEN1|PSMD2|PTAFR|PTPRJ|PYGL|RAC1|RAP2B|S100A11|S100P|SLC2A3|STK10|TCN1|TIMP2|TLR2|TNFRSF1B|TTR|VCL|RNASET2|DGAT1|CREG1|VNN1|TOM1|CAP1|PRDX4|AGPAT2|NPC2|CKAP4|GLIPR1|RAB31|RAB18|CYFIP1|HEBP2|TMT1A|LAMTOR2|PYCARD|DPP7|PLAC8|YPEL5|CAB39|RAB4B|CMTM6|CPPED1|TMEM30A|NIT2|PLEKHO2|CYSTM1|GHDC|NAPRT|STK11IP|SLC15A4|ARL8A|HGSNAT|NFAM1|MOSPD2|UNC13D|RAB37|SLCO4C1,-34.24419067036042,0,2.0,1.0,1.0,-38.23223655359465,4.036539441972562,
1,0,1,0,1,1,-17.402484710921158,0.0,-23.35929997040995,0.0,-6.994100273456834,-3.444525830210664,R-HSA-1280215,M101011,4,0,Reactome Gene Sets,6,Cytokine Signaling in Immune system,,-35.37149577606053,3.146988818580012,15.329799224918895,30293,787,1798,147,8.17575083426029,0.6461713121884044,103|329|330|351|567|598|604|684|829|960|998|1026|1072|1435|1436|1845|1849|1958|2308|2316|2317|2335|2353|2537|2625|2634|2887|2889|2919|2920|3105|3107|3162|3306|3383|3437|3454|3455|3459|3460|3566|3572|3576|3589|3597|3604|3606|3627|3635|3656|3659|3660|3663|3664|3684|3688|3716|3717|3726|3839|3840|3911|3934|3976|4050|4067|4092|4128|4312|4318|4478|4599|4615|4734|4790|4791|4792|4893|4938|4940|4982|5293|5371|5516|5692|5696|5698|5699|5708|5720|5721|5724|5743|5795|5970|5971|6364|6624|6648|6737|6774|6776|6778|6810|7040|7076|7133|7157|7184|7277|7280|7292|7297|7318|7321|7412|7846|8740|8741|8767|8771|8809|8835|8878|9180|9235|9261|9466|9846|10019|10148|10410|10475|11074|23529|27189|53832|55540|57162|64127|81603|84617|84790|84818|92610|132014|163702,ADAR|BIRC2|BIRC3|APP|B2M|BCL2L1|BCL6|BST2|CAPZA1|CD44|CDC42|CDKN1A|CFL1|CSF1|CSF1R|DUSP3|DUSP7|EGR1|FOXO1|FLNA|FLNB|FN1|FOS|IFI6|GATA3|GBP2|GRB10|RAPGEF1|CXCL1|CXCL2|HLA-A|HLA-C|HMOX1|HSPA2|ICAM1|IFIT3|IFNAR1|IFNAR2|IFNGR1|IFNGR2|IL4R|IL6ST|CXCL8|IL11|IL13RA1|TNFRSF9|IL18|CXCL10|INPP5D|IRAK2|IRF1|IRF2|IRF5|IRF6|ITGAM|ITGB1|JAK1|JAK2|JUNB|KPNA3|KPNA4|LAMA5|LCN2|LIF|LTB|LYN|SMAD7|MAOA|MMP1|MMP9|MSN|MX1|MYD88|NEDD4|NFKB1|NFKB2|NFKBIA|NRAS|OAS1|OAS3|TNFRSF11B|PIK3CD|PML|PPP2CB|PSMB4|PSMB8|PSMB9|PSMB10|PSMD2|PSME1|PSME2|PTAFR|PTGS2|PTPRJ|RELA|RELB|CCL20|FSCN1|SOD2|TRIM21|STAT3|STAT5A|STAT6|STX4|TGFB1|TIMP1|TNFRSF1B|TP53|HSP90B1|TUBA4A|TUBB2A|TNFSF4|TYK2|UBA7|UBE2D1|VCAM1|TUBA1A|TNFSF14|TNFSF13|RIPK2|TNFRSF6B|IL18R1|SOCS2|SQSTM1|OSMR|IL32|MAPKAPK2|IL27RA|GAB2|SH2B3|EBI3|IFITM3|TRIM38|TRIM31|CLCF1|IL17C|IL20RA|IL17RB|PELI1|NOD2|TRIM8|TUBB6|TUBA1C|IL17RC|TIFA|IL17RE|IFNLR1,-31.55954115188197,0,3.0,1.0,1.0,-35.37149577606053,5.460053351460471,
1,0,0,1,1,1,-4.341532683721467,0.0,0.0,-2.895914705482238,-21.36603638553575,-13.662143559349051,GO:0030029,M100111,4,0,GO Biological Processes,19,actin filament-based process,19_GO:0009987 cellular process,-32.13933291532315,3.3586210531672807,14.807069146960151,30293,612,1798,122,6.7853170189098995,0.5931061009342691,71|87|118|283|357|388|389|390|391|476|604|800|822|829|998|1072|1264|1627|1729|1809|2017|2036|2039|2314|2316|2317|2318|2919|3688|3717|3856|3880|3984|4627|4641|4643|4644|4645|4646|4647|4648|4650|4739|5048|5074|5154|5339|5584|5872|5879|5880|6242|6548|6624|6640|6722|6840|7016|7018|7094|7126|7171|7184|7429|7791|8407|8837|9050|9124|9260|9294|9368|9564|9578|9826|9948|10015|10083|10094|10096|10109|10163|10391|10435|10487|11344|23022|23043|23092|23433|23527|25777|26037|27289|27295|29984|30011|50853|51474|51804|54874|55740|55742|55785|57175|57591|57698|64423|64780|79729|79816|83715|85462|85464|91010|92521|122786|146206|171177|201191|253980|644150,ACTG1|ACTN1|ADD1|ANG|SHROOM2|RHOB|RHOC|RND3|RHOG|ATP1A1|BCL6|CALD1|CAPG|CAPZA1|CDC42|CFL1|CNN1|DBN1|DIAPH1|DPYSL3|CTTN|EPB41L1|DMTN|FLII|FLNA|FLNB|FLNC|CXCL1|ITGB1|JAK2|KRT8|KRT19|LIMK1|MYH9|MYO1C|MYO1E|MYO5A|MYO5B|MYO6|MYO7A|MYO7B|MYO9B|NEDD9|PAFAH1B1|PAWR|PDGFA|PLEC|PRKCI|RAB13|RAC1|RAC2|RTKN|SLC9A1|FSCN1|SNTA1|SRF|SVIL|TESK1|TF|TLN1|TNFAIP1|TPM4|HSP90B1|VIL1|ZYX|TAGLN2|CFLAR|PSTPIP2|PDLIM1|PDLIM7|S1PR2|NHERF1|BCAR1|CDC42BPB|ARHGEF11|WDR1|PDCD6IP|USH1C|ARPC3|ACTR3|ARPC2|WASF2|CORO2B|CDC42EP2|CAP1|TWF2|PALLD|TNIK|ARHGAP26|RHOQ|ACAP2|SUN2|SIPA1L1|RND1|PDLIM3|RHOD|SH3KBP1|VILL|LIMA1|SIX4|FNBP1L|ENAH|PARVA|FGD6|CORO1B|MRTFA|SHTN1|INF2|MICAL1|SH3D21|TLE6|ESPN|FHDC1|SSH2|FMNL3|SPECC1|FRMD6|CARMIL2|RHOV|SAMD14|KCTD13|WIPF3,-28.452317027752894,0,4.0,1.0,1.0,-32.13933291532315,4.561777426181518,
1,0,0,1,1,1,-4.474412653550039,0.0,0.0,-2.9502593510006765,-20.483655397086313,-13.469683491157308,GO:0030036,M100111,4,0,GO Biological Processes,19,actin cytoskeleton organization,19_GO:0009987 cellular process,-31.612531489804855,3.5126247285832144,14.826921085357608,30293,542,1798,113,6.28476084538376,0.5723407170206235,71|87|118|283|357|388|389|390|391|604|800|822|829|998|1072|1264|1627|1729|1809|2017|2036|2039|2314|2316|2317|2318|2919|3688|3717|3856|3880|3984|4627|4641|4643|4644|4645|4646|4647|4648|4739|5048|5074|5154|5339|5584|5872|5879|5880|6242|6624|6722|6840|7016|7018|7094|7126|7171|7184|7429|7791|8407|8837|9050|9124|9260|9294|9368|9564|9578|9826|9948|10015|10083|10094|10096|10109|10163|10391|10435|10487|11344|23022|23043|23092|23433|26037|27289|27295|29984|30011|50853|51474|51804|55740|55785|57175|57591|57698|64423|64780|79729|79816|83715|85462|85464|91010|92521|146206|171177|201191|253980|644150,ACTG1|ACTN1|ADD1|ANG|SHROOM2|RHOB|RHOC|RND3|RHOG|BCL6|CALD1|CAPG|CAPZA1|CDC42|CFL1|CNN1|DBN1|DIAPH1|DPYSL3|CTTN|EPB41L1|DMTN|FLII|FLNA|FLNB|FLNC|CXCL1|ITGB1|JAK2|KRT8|KRT19|LIMK1|MYH9|MYO1C|MYO1E|MYO5A|MYO5B|MYO6|MYO7A|MYO7B|NEDD9|PAFAH1B1|PAWR|PDGFA|PLEC|PRKCI|RAB13|RAC1|RAC2|RTKN|FSCN1|SRF|SVIL|TESK1|TF|TLN1|TNFAIP1|TPM4|HSP90B1|VIL1|ZYX|TAGLN2|CFLAR|PSTPIP2|PDLIM1|PDLIM7|S1PR2|NHERF1|BCAR1|CDC42BPB|ARHGEF11|WDR1|PDCD6IP|USH1C|ARPC3|ACTR3|ARPC2|WASF2|CORO2B|CDC42EP2|CAP1|TWF2|PALLD|TNIK|ARHGAP26|RHOQ|SIPA1L1|RND1|PDLIM3|RHOD|SH3KBP1|VILL|LIMA1|SIX4|ENAH|FGD6|CORO1B|MRTFA|SHTN1|INF2|MICAL1|SH3D21|TLE6|ESPN|FHDC1|SSH2|FMNL3|SPECC1|CARMIL2|RHOV|SAMD14|KCTD13|WIPF3,-28.022425615242653,0,4.0,0.0,0.0,-32.13933291532315,4.561777426181518,
1,0,1,0,0,1,-12.77611975174148,0.0,-31.176803960141562,0.0,0.0,-2.405422744675795,M5913,M101001,3,0,Hallmark Gene Sets,23,HALLMARK INTERFERON GAMMA RESPONSE,,-31.176803960141562,17.22344481605351,22.98305232527792,30293,200,299,34,11.37123745819398,1.8359278631502707,103|567|684|716|972|3105|3437|3627|4599|4790|4940|5359|5696|5698|5699|5720|5721|5743|6373|6774|6890|6892|7127|7128|7412|8743|9111|10410|51015|54625|55008|64135|64761|80830,ADAR|B2M|BST2|C1S|CD74|HLA-A|IFIT3|CXCL10|MX1|NFKB1|OAS3|PLSCR1|PSMB8|PSMB9|PSMB10|PSME1|PSME2|PTGS2|CXCL11|STAT3|TAP1|TAPBP|TNFAIP2|TNFAIP3|VCAM1|TNFSF10|NMI|IFITM3|ISOC1|PARP14|HERC6|IFIH1|PARP12|APOL6,-26.887728081243342,0,5.0,1.0,1.0,-31.176803960141562,25.067475778367754,
1,0,1,1,1,1,-9.580112352014384,0.0,-6.447370907859391,-5.294739287178047,-4.763171893231468,-6.421817208459012,GO:0030097,M101111,5,0,GO Biological Processes,19,hemopoiesis,19_GO:0032502 developmental process,-31.12405236584759,3.1714192239743504,14.385713888811875,30293,680,1798,128,7.119021134593993,0.6064272235806861,87|103|292|351|537|538|558|567|604|650|652|678|843|860|861|972|998|1030|1435|1436|1499|1540|1938|1958|1969|2034|2039|2057|2064|2120|2131|2150|2235|2316|2353|2625|2811|3140|3566|3589|3623|3624|3659|3688|3694|3696|3716|3717|3726|3976|3981|4067|4237|4318|4615|4627|4643|4772|5048|5293|5371|5663|5795|5880|5971|6237|6461|6469|6522|6648|6722|6774|6776|6778|6932|7018|7040|7042|7048|7067|7097|7157|7301|7351|7412|7480|8301|8399|8763|8767|8809|8837|8879|9215|9258|9308|9452|9644|9734|9846|9948|9991|10019|10163|10682|22890|22904|23094|23186|23529|29887|51205|51522|54361|55008|56262|57217|57326|65018|79705|79798|80169|91298|116151|140685|150372|168002|359948,ACTN1|ADAR|SLC25A5|APP|ATP6AP1|ATP7A|AXL|B2M|BCL6|BMP2|BMP4|ZFP36L2|CASP10|RUNX2|RUNX1|CD74|CDC42|CDKN2B|CSF1|CSF1R|CTNNB1|CYLD|EEF2|EGR1|EPHA2|EPAS1|DMTN|EPOR|ERBB2|ETV6|EXT1|F2RL1|FECH|FLNA|FOS|GATA3|GP1BA|MR1|IL4R|IL11|INHA|INHBA|IRF1|ITGB1|ITGB6|ITGB8|JAK1|JAK2|JUNB|LIF|LIG4|LYN|MFAP2|MMP9|MYD88|MYH9|MYO1E|NFATC1|PAFAH1B1|PIK3CD|PML|PSEN1|PTPRJ|RAC2|RELB|RRAS|SHB|SHH|SLC4A2|SOD2|SRF|STAT3|STAT5A|STAT6|TCF7|TF|TGFB1|TGFB2|TGFBR2|THRA|TLR2|TP53|TYRO3|UCP2|VCAM1|WNT10B|PICALM|PLA2G10|CD164|RIPK2|IL18R1|CFLAR|SGPL1|LARGE1|MFHAS1|CD83|ITM2A|SH3PXD2A|HDAC9|GAB2|WDR1|PTBP3|SH2B3|WASF2|EBP|ZBTB1|SBNO2|SIPA1L3|RCOR1|CLCF1|SNX10|ACP6|TMEM14C|WNT4|HERC6|LRRC8A|TTC7A|PBXIP1|PINK1|LRRK1|ARMC5|CTC1|RLIG1|FAM210B|ZBTB46|NFAM1|DACT2|IRF2BP2,-27.613127737333013,0,6.0,1.0,1.0,-31.12405236584759,3.281590259961583,
1,0,1,0,1,1,-20.124677014328633,0.0,-8.846270021692796,0.0,-2.929912145817676,-5.834667589204829,GO:0071345,M101011,4,0,GO Biological Processes,19,cellular response to cytokine stimulus,19_GO:0050896 response to stimulus,-31.042909257245842,3.0674647555254633,14.263343235814832,30293,736,1798,134,7.452725250278087,0.6193619610576349,71|210|292|329|330|355|558|634|678|824|960|965|972|998|1435|1436|1687|1809|1843|1906|1958|2057|2131|2317|2353|2625|2634|2730|2852|2919|2920|2921|2923|3383|3454|3455|3459|3460|3566|3572|3576|3589|3597|3606|3611|3615|3624|3627|3656|3659|3663|3716|3717|3856|3875|4067|4092|4599|4615|4641|4772|4790|4792|4938|5155|5371|5603|5795|5970|6364|6373|6374|6376|6558|6774|6776|6778|6810|6932|7057|7097|7098|7133|7157|7185|7297|7357|7412|7494|7791|8372|8399|8737|8767|8809|9076|9180|9253|9413|9466|9590|9641|10010|10019|10096|10148|10253|10410|10435|10670|10678|10755|10765|11235|22904|23143|23529|27242|27342|29108|29887|50506|51094|53832|53905|54836|55540|55647|64135|81848|84818|132014|153090|163702,ACTG1|ALAD|SLC25A5|BIRC2|BIRC3|FAS|AXL|CEACAM1|ZFP36L2|CAPN2|CD44|CD58|CD74|CDC42|CSF1|CSF1R|GSDME|DPYSL3|DUSP1|EDN1|EGR1|EPOR|EXT1|FLNB|FOS|GATA3|GBP2|GCLM|GPER1|CXCL1|CXCL2|CXCL3|PDIA3|ICAM1|IFNAR1|IFNAR2|IFNGR1|IFNGR2|IL4R|IL6ST|CXCL8|IL11|IL13RA1|IL18|ILK|IMPDH2|INHBA|CXCL10|IRAK2|IRF1|IRF5|JAK1|JAK2|KRT8|KRT18|LYN|SMAD7|MX1|MYD88|MYO1C|NFATC1|NFKB1|NFKBIA|OAS1|PDGFB|PML|MAPK13|PTPRJ|RELA|CCL20|CXCL11|CXCL5|CX3CL1|SLC12A2|STAT3|STAT5A|STAT6|STX4|TCF7|THBS1|TLR2|TLR3|TNFRSF1B|TP53|TRAF1|TYK2|UGCG|VCAM1|XBP1|ZYX|HYAL3|PLA2G10|RIPK1|RIPK2|IL18R1|CLDN1|OSMR|NUMBL|ENTREP1|IL27RA|AKAP12|IKBKE|TANK|SH2B3|ACTR3|EBI3|SPRY2|IFITM3|CDC42EP2|RRAGA|B3GNT2|GIPC1|KDM5B|PDCD10|SBNO2|LRCH1|CLCF1|TNFRSF21|RABGEF1|PYCARD|SNX10|DUOX2|ADIPOR1|IL20RA|DUOX1|BSPRY|IL17RB|RAB20|IFIH1|SPRY4|IL17RC|IL17RE|DAB2IP|IFNLR1,-27.59893141836188,0,7.0,1.0,1.0,-31.042909257245842,5.6160548757879125,
1,0,1,1,1,1,-5.428443922787773,0.0,-13.22894678121919,-2.2253993060346406,-4.397209087003927,-8.997911628162761,GO:0001775,M101111,5,0,GO Biological Processes,19,cell activation,19_GO:0032501 multicellular organismal process,-30.192861687130012,3.0569384573194593,14.05178118310104,30293,722,1798,131,7.28587319243604,0.6129413445070317,71|102|292|306|351|538|558|567|604|678|684|860|868|960|972|977|1191|1435|1499|1540|1650|1906|1958|2000|2064|2147|2150|2280|2316|2625|2730|2811|2896|2923|3105|3140|3383|3459|3460|3476|3566|3576|3589|3606|3611|3615|3627|3659|3684|3688|3694|3696|3716|3717|3981|4035|4067|4478|4615|4627|4791|5025|5154|5293|5359|5530|5663|5699|5795|5912|5971|6284|6376|6461|6469|6722|6774|6778|6932|7040|7048|7094|7096|7097|7098|7157|7292|7301|7412|7414|7476|7480|8323|8399|8740|8767|8809|8935|9111|9308|9452|9590|9734|10125|10148|10397|10627|22890|22904|23303|23308|23529|27342|29108|54361|56262|56892|57162|79798|80381|80762|83593|83737|84959|113277|140685|148022|150372|201294|359948|440275,ACTG1|ADAM10|SLC25A5|ANXA3|APP|ATP7A|AXL|B2M|BCL6|ZFP36L2|BST2|RUNX2|CBLB|CD44|CD74|CD151|CLU|CSF1|CTNNB1|CYLD|DDOST|EDN1|EGR1|ELF4|ERBB2|F2|F2RL1|FKBP1A|FLNA|GATA3|GCLM|GP1BA|GRN|PDIA3|HLA-A|MR1|ICAM1|IFNGR1|IFNGR2|IGBP1|IL4R|CXCL8|IL11|IL18|ILK|IMPDH2|CXCL10|IRF1|ITGAM|ITGB1|ITGB6|ITGB8|JAK1|JAK2|LIG4|LRP1|LYN|MSN|MYD88|MYH9|NFKB2|P2RX4|PDGFA|PIK3CD|PLSCR1|PPP3CA|PSEN1|PSMB10|PTPRJ|RAP2B|RELB|S100A13|CX3CL1|SHB|SHH|SRF|STAT3|STAT6|TCF7|TGFB1|TGFBR2|TLN1|TLR1|TLR2|TLR3|TP53|TNFSF4|TYRO3|VCAM1|VCL|WNT7A|WNT10B|FZD6|PLA2G10|TNFSF14|RIPK2|IL18R1|SKAP2|NMI|CD83|ITM2A|AKAP12|HDAC9|RASGRP1|EBI3|NDRG1|MYL12A|ZBTB1|SBNO2|KIF13B|ICOSLG|CLCF1|RABGEF1|PYCARD|WNT4|LRRC8A|TCIM|PELI1|ARMC5|CD276|NDFIP1|RASSF5|ITCH|UBASH3B|TMEM106A|ZBTB46|TICAM1|NFAM1|UNC13D|IRF2BP2|EIF2AK4,-26.806875795223736,0,6.0,0.0,0.0,-31.12405236584759,3.281590259961583,
1,1,1,1,1,1,-5.029260868470777,-4.0434208671937135,-3.5738325939650055,-7.291191640690929,-5.564349981404263,-6.696000509582733,GO:0098657,M111111,6,0,GO Biological Processes,19,import into cell,19_GO:0051179 localization,-29.91676027070633,3.0697927075281384,13.998521918080229,30293,708,1798,129,7.174638487208009,0.6086091710453139,43|157|160|306|348|351|432|433|476|481|558|598|634|858|949|950|998|1182|2017|2055|2181|2348|2580|3482|3576|3684|3688|3984|4035|4041|4067|4240|4615|4627|4641|4643|4646|4647|4648|4688|4734|5071|5167|5663|5874|5879|5899|6337|6469|6509|6515|6524|6533|6548|6558|6560|6567|7057|7301|7448|8301|8804|8871|8912|8943|9146|9260|9261|9413|9610|9873|9936|10043|10062|10079|10163|10487|10550|10723|10938|11031|11254|22905|23048|23433|23507|23677|25938|27092|27342|29108|29887|29967|30011|30844|50618|51429|54492|54874|55040|55113|55207|55647|55707|55788|56262|56882|57488|57720|58191|64127|66000|66036|79958|81035|81693|83737|84230|84679|85377|92745|93082|121260|126432|171177|201176|201294|283375|440400,ACHE|GRK3|AP2A1|ANXA3|APOE|APP|ASGR1|ASGR2|ATP1A1|ATP1B1|AXL|BCL2L1|CEACAM1|CAV2|SCARB1|SCARB2|CDC42|CLCN3|CTTN|CLN8|ACSL3|FOLR1|GAK|IGF2R|CXCL8|ITGAM|ITGB1|LIMK1|LRP1|LRP5|LYN|MFGE8|MYD88|MYH9|MYO1C|MYO1E|MYO6|MYO7A|MYO7B|NCF2|NEDD4|PRKN|ENPP1|PSEN1|RAB27B|RAC1|RALB|SCNN1A|SHH|SLC1A4|SLC2A3|SLC5A2|SLC6A6|SLC9A1|SLC12A2|SLC12A4|SLC16A2|THBS1|TYRO3|VTN|PICALM|CREG1|SYNJ2|CACNA1H|AP3D1|HGS|PDLIM7|MAPKAPK2|ENTREP1|RIN1|FCHSD2|CD302|TOM1|NR1H3|ATP9A|WASF2|CAP1|ARL6IP5|SLC12A7|EHD1|RAB31|SLC6A14|EPN2|FNBP1|RHOQ|LRRC8B|SH3BP4|HEATR5A|CACNG4|RABGEF1|PYCARD|SNX10|LRP12|SH3KBP1|EHD4|ITSN2|SNX9|NEURL1B|FNBP1L|EPN3|XKR8|ARL8B|RAB20|NECAP2|LMBRD1|LRRC8A|CDC42SE1|ESYT2|GPR107|CXCL16|NOD2|TMEM108|MTMR9|DENND1C|COLEC12|AMN|ITCH|LRRC8C|SLC9A7|MICALL1|SLC38A5|NEURL3|SLC15A4|RINL|RHOV|ARHGAP27|UNC13D|SLC39A5|RNASEK,-26.581926901247435,0,8.0,1.0,1.0,-29.91676027070633,3.3244462770468677,
